DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
7,15.75,371.42,14.73,-5.81,-5.775,193.125,134.405,0.57,25.655,25.2525,62.3175,95.2,627.8,90.575,379.025,452.35,436.65,1298.25,59.1625,1450.75,592.475,26.7425,31.68,25.2525,29.84,20.5025,28.16,17.5675,22.7425,6.46025,11.4525,8.9025,6.6745,3.5075
7,16.25,371.555,14.51,-5.135,-5.19,168.4625,103.6475,0.56,25.6325,25.305,61.4175,95.2,552.025,80.9,378.625,450,375.55,1146.25,51.9225,1322.25,521.275,25.8775,31.9625,25.4975,29.1775,20.61,27.705,17.6,22.87,6.46025,11.4525,8.9075,6.6775,3.3825
7,16.75,371.6025,14.6375,-4.2825,-4.34,148.785,92.0125,0.55,25.6725,25.175,65.5725,95.2,490.075,72.6,375.55,447.5,321.425,1032.25,47.59,1196,474.75,24.195,35.0525,23.7725,32.49,20.45,29.85,17.61,23.17,6.45925,11.455,8.905,6.6805,3.28
7,17.25,371.2675,14.9575,-3.2375,-3.33,126.1975,74.1875,0.53,25.58,25.1775,65.3275,95.2,423.425,63.75,374.725,443.075,260.8,886.25,41.86,1018,429.4,22.3075,35.5875,22.21,33.3825,19.9875,29.6275,17.6125,23.0375,6.45825,11.4775,8.905,6.683,3.1425
7,17.75,371.435,15.1375,-2.3,-2.345,105.0475,52.425,0.5,25.495,25.0375,65.8175,95.2,360.275,54.585,373.2,440.15,209.05,759,41.62,875.25,363.775,21.205,34.34,21.3375,31.38,19.5825,28.595,17.65,23.255,6.45825,11.485,8.9075,6.68625,3.005
7,18.25,371.6475,15.225,-0.945,-0.9475,86.195,34.08,0.465,25.09,24.7075,66.3875,95.2,286.125,45.15,370,436.7,148.825,606.275,39.965,714,302.975,21.1425,33.1475,20.97,30.32,19.5125,27.28,17.68,22.915,6.4575,11.5225,8.9075,6.689,2.8675
7,18.75,372.02,15.635,-0.015,0.325,64.83,15,0.435,24.5325,24.1775,68.975,95.2,212.25,35.08,368.85,430.95,87.65,457.6,23.355,531.275,240.425,20.7325,30.7325,20.86,28.845,19.3725,25.8525,17.68,22.555,6.4575,11.5325,8.9075,6.6925,2.64
7,19.25,372.3175,15.6975,0.9225,1.4775,39.465,1.3,0.375,23.6825,23.4675,71.35,95.2,147.2,26.425,368.575,424,37.575,320.1,15.2125,361.9,181.2,19.5975,27.115,20.11,25.755,18.9525,24.5725,17.4125,21.93,6.4575,11.525,8.9075,6.69675,2.315
7,19.75,372.8075,15.8775,1.65,2.19,21.2875,-1.7925,0.32,22.79,22.6725,74,95.2,82.9,17.125,369.775,416,-3.5375,191.925,8.5425,206.5,129.35,18.42,23.205,19.325,23.4925,18.385,23.1225,17.1925,21.145,6.45675,11.525,8.9075,6.699,1.95
7,20.25,375.115,16.08,1.93,3.06,8.505,-1.835,0.235,21.56,21.4425,77.35,95.2,36.985,8.9275,364.1,405.625,-19.465,86.625,3.835,98.625,79.275,17.275,20.7525,18.415,21.225,17.9975,21.4225,17.03,20.1725,6.45675,11.52,8.91,6.70075,1.68
