DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
10,20.75,2.7721285,127.638,0.667,-15.9622,0,22.7305,25.115,82.2093,5.68741,0.117506,1.48431026,0.215371,-0.0161049,25.95695,415.131,22.2665,0.3470625,0.131342,101.861,360.60608943863,300.476495726496,-3.58133975998425,-1.51561840120664,1.87221139430285
10,21.25,3.060827,138.374,-0.084,-15.958,0,22.64005,25.075,83.0015,5.622405,0.1125865,1.3859459315,0.208993,-0.0135954,25.86935,419.201,21.4873,0.319735,0.1295145,101.8605,359.894862036156,301.978276353276,-3.22505169191425,-1.29978883861237,1.84700149925037
10,21.75,2.7288855,125.196,0.206,-12.982,0,22.4473,24.94,83.7764,5.696005,0.109,1.423017419,0.207736792,-0.010410705,25.8051,420.2605,21.293,0.328209,0.113083,101.858,359.553282588011,300.807336182336,-3.51348868552148,-1.26439668174963,1.88671664167916
10,22.25,2.938231,138.422,0.757614,-14.0635,0,22.2961,24.795,85.5446,5.894885,0.1146425,1.443945,0.231431731,-0.0129708,25.68935,420.576,21.0609,0.3433355,0.12159,101.848,356.497145575642,300.365028490029,-3.83891457551767,-1.58365761689292,1.9117916041979
10,22.75,3.05967,128.9935,0.7330235,-17.397,0,22.1212,24.77,85.444,5.65315,0.116145,1.376180478,0.216382,-0.0138025,25.7137,423.034,19.89125,0.356133,0.106891,101.822,356.253092293054,299.752136752137,-3.41515028684756,-1.4926395173454,1.72759370314843
10,23.25,2.98573,125.379,0.5115,-13.5982,0,22.0368,24.68,85.7744,5.6532,0.10762,1.32213,0.175573387,-0.0119687,25.7253,422.28,20.38195,0.356715,0.100832,101.824,353.551855375832,294.629985754986,-3.11230402898098,-6.26602941176471,-3.06468890554723
10,23.75,2.960436,155.127,0.832351,-13.2892,0,21.6722,24.645,86.6511,5.58979,0.1081,1.23648,0.169441,-0.0112678,25.4656,422.593,20.4173,0.345532,0.0922925,101.807,356.382017126546,293.766381766382,-3.68628604815237,-7.5118665158371,-4.01656671664168
11,0.25,2.076106,82.884,3.559,-14.47265,0,15.3785,17.43,76.86515,4.06378,0.113624,1.4148293775,0.2005348745,-0.01507235,19.2974,427.092,6.43377,0.3587805,0.12678,102.274,306.312083729781,263.678774928775,-4.19686534560776,-6.13201357466064,-1.90496251874063
11,0.75,2.1600295,71.96595,0.847,-13.6587,0,15.02,17.35,79.536,3.63276,0.100578,1.353645184,0.220053,-0.0153208,19.2296,425.85,6.4024,0.360241,0.117902,102.261,308.711227402474,265.398148148148,-3.40708608365501,-2.02636500754148,1.5328035982009
11,1.25,2.07098,69.4185,3.447915,-11.13,0,14.76165,17.315,79.403,3.48739,0.0981,1.305573806,0.213914892,-0.0120414,19.0392,430.487,6.57911,0.359904,0.118373,102.251,317.092293054234,264.73896011396,-3.18799250261748,-1.43471342383107,1.83537856071964
