DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
2,8.75,-6.0086,26.068480935,159.21,396.2521024,0.354417764,23.845,89.5,99.2665,1.664,202.9,304.06,39.064833335,428.1,447.95
2,9.25,-8.3592921505,35.67,196.0803733,391.3315224,0.3851908985,24.63,85.25,99.289,1.874,279,391.2,47.595,429.45,453.34333335
2,9.75,-13.917715635,42.639652865,263.55780875,388.3162484,0.4094316765,25.35,82.6,99.29415882,2.0315,329,435.6,53.43,432.8,456.1
2,10.25,-13.911,57.416328,281.5487585,385.31,0.449935,25.855,80.2,99.284186195,2.175,369,494.4,58.61,433.95,458.75
2,10.75,-16.41260806,62.095556545,324.46070405,383.59,0.4736480725,26.325,78.16,99.26251503,2.25,411.8,524.2,63.93,435.85,462.05
2,11.25,-16.3840342,61.54493564,362.8193757,379.52,0.482162309,26.615,76.72,99.23919974,2.2965,470.85,582.8,69.63,437.7,466.25
2,11.75,-15.4500125,58.61380223,383.7228558,378.9811728,0.470787911,26.87,75.5,99.20894244,2.282,469.05,590.2,70.59,439.2,467.9
2,12.25,-16.168,55.30190887,385.15,378.25697085,0.47099,27.145,74.095,99.17216168,2.342,445.2,588.15,71.705,439.68166665,469.4
2,12.75,-15.32033654,59.296,391.02,378.49562325,0.493980282,27.235,74.49,99.13544508,2.296,418.1,554,67.225,439.95,468.35
2,13.25,-15.286,47.81052727,349.1220844,375.17118395,0.44846,27.35,72.92,99.07883176,2.221,410.7,549.7,67.54,439.7,468.15
2,13.75,-15.55842928,58.86064977,374.5275965,374.94,0.460329644,27.35,74.24,99.019,2.163,433.3,549.8,66.383666665,438,469.05
2,14.25,-14.141385435,41.55602233,339.4875362,373.77412,0.4465787615,26.895,75.15,98.96945499,2.112,343.95,447.1,53.595,438.3,466.8
2,14.75,-13.28263904,36.525,334.4762923,373.87,0.411324867,27.1,74.25,98.905,2.032,305,395.5,47.855,435.75,465.65
2,15.25,-11.266,23.620853015,273.14,372.9459412,0.414932787,27.06,74.865,98.86700566,2,239.45,312.2,37.47,434.55,464.4
2,15.75,-9.4188277835,19.400475765,251.66,372.0132814,0.379719415,26.91,76.3,98.83974673,1.944,183.95,257.6,30.98,431.55,462.3
2,16.25,-7.108701072,9.4992,174.9560198,372.053656,0.361214188,26.61,78.405,98.812861645,1.69,131.7,192.35,24.335,429.8,459.3
2,16.75,-5.258600845,-0.69714,119.3734659,372.158914,0.308782377,26.22,79.72,98.813854245,1.597,81.8,133.2,16.84,427.45,457.3
2,17.25,-1.8938,-2.4762381105,71.68077439,372.67475955,0.265590309,25.83,80.6,98.817335275,1.496,34.14,79.82,10.89,424.1,453.65
2,17.75,0.088036,-4.071914719,29.204611625,373.6230164,0.2005,25.275,83.4,98.836307125,1.416,-1.45,34.66,5.3475,420.45,449.65
2,18.25,0.071122122,-4.7083,13.9465,374.8854057,0.17253,24.885,85.7,98.85495944,1.4325,-25.28,4.522,1.586,417.75,446.25
2,18.75,0.552695,-4.8187211345,10.5245,375.35114865,0.1428295,24.63,86.25,98.86448268,1.431,-28.69,0,0,416.9,444
2,19.25,0.4325904845,-4.7952767085,6.6195,377.46,0.15732,24.485,87.6,98.89688247,1.47,-28.085,0,0,416.95,442.6
2,19.75,1.0342,-4.520885346,8.082188594,378.99,0.15499,24.31,88.15,98.94,1.4875,-27.73,0,0,415.75,441.6
2,20.25,0.982356256,-3.795079377,4.4850262465,378.5977915,0.14657,24.11,89.5,98.9635,1.459,-27.75,0,0,417.145,440.7
2,20.75,1.014990664,-4.349468156,6.7887,379.77438735,0.13976,23.935,89.9,99.01024743,1.427,-26.695,0,0,417.45,439.9
2,21.25,1.1071,-3.9842,4.06405,381.55946965,0.1374164925,23.815,90.3,99.04809662,1.406,-25.92,0,0,418.3,439.1
2,21.75,1.315871054,-5.0874012725,4.1641606355,386.21,0.133752021,23.785,90.7,99.080291465,1.4115,-23.945,0,0,418.95,438.6
2,22.25,1.494452391,-4.0997,1.328973577,385.4044818,0.124970509,23.58,91.1,99.10883689,1.363,-24.385,0,0,419.62666665,437.8
2,22.75,1.5345916475,-4.0454,1.513636994,388.54587395,0.11838,23.46,91.7,99.1240043,1.313,-23.7825,0,0,420.05,437.5
2,23.25,1.6145,-3.426153397,0.76384,389.2934778,0.12009,23.32,91.9,99.12751076,1.328,-22.13,0,0,420.215,437.2
2,23.75,1.2957,-3.44075,1.7598,390.3824342,0.118761163,23.2,92.1,99.12,1.29,-21.3,0,0,421.4,436.9
3,0.25,1.792,-2.6939,0.60085,399.9225574,0.118622677,23.17,92.2,99.1465,1.3175,-20.155,0,0,424.8,437.6
3,0.75,1.8812,-3.2412120395,0.088543,401.64922085,0.1195731465,23.05,92.4,99.113182435,1.279,-19.99,0,0,424.6,437.1
3,1.25,2.2668,-2.439564948,0.28842,405.7771922,0.12795,22.98,92.5,99.094,1.305,-19.94733333,0,0,424.4,436.7
3,1.75,2.29335,-2.63732967,-0.00605505,407.46931655,0.123377668,22.87,93,99.074,1.2755,-18.09,0,0,424.9,436.1
3,2.25,2.7825,-2.6416,0.54502,407,0.12124,22.79,93.15,99.056,1.2775,-17.36466667,0,0,425,436
