DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,21.75,0.0297,1.86006,-30.0189,0,-19.45,-1.2055,71.46,0.2069365,91.9,0.3896815,-21.95605,0,-0.583,1.095,-1.252,-2.229,-0.367,-5.0425,-1.8175,-2.9265,410.1
1,22.25,0.04835,1.93983,-24.62055,0,-19.3,-1.2215,72,0.234377,91.9,0.5452955,-19.8093,0,-0.578,1.195,-1.34,-2.221,-0.338,-5.2355,-1.8145,-2.907,410.3
1,22.75,0.113845,0.438256,-26.3433,0,-18.735,-1.2215,71.36,0.192361,91.85,0.09995615,-21.8528,0,-0.5945,1.203,-1.26,-2.238,-0.361,-5.0525,-1.7935,-2.913,409.5
1,23.25,0.3323545,1.70017,-37.50685,0,-18.75,-1.202,71.4,0.2067875,91.85,0.227258,-20.85025,0,-0.5895,1.241,-1.2805,-2.217,-0.417,-5.401,-1.803,-3.09525,409.2
1,23.75,0.0821,1.14693,-24.37325,0,-18.35,-1.218,71.19,0.201824,91.9,0.471844,-20.0139,0,-0.784,1.158,-1.288,-2.268,-0.305,-3.612,-1.788,-2.6355,409.35
2,0.25,0.117463,0.4597705,-26.80935,0,-23.78,-1.1545,70.085,0.1717435,91.9,0.3426505,-6.40267,0,-0.7785,1.77,-0.9915,-1.711,-1.2935,-4.637,-1.46,-2.9745,409.8
2,0.75,0.09255,0.438662,-26.1622,0,-24.07,-1.161,69.71,0.161779,91.9,0.1491625,-6.52196,0,-0.7945,1.6855,-0.869,-1.732,-1.4265,-4.721,-1.48875,-3.20525,409.7
2,1.25,0.0354,0.245317,-23.9445,0,-24.18,-1.154,69.87,0.175497,91.9,0.283125,-8.766835,0,-0.802,1.6505,-0.8915,-1.752,-1.6805,-4.938,-1.48225,-3.4645,409.65
2,1.75,0,0.425568,-25.3465,0,-24.045,-1.162,70.15,0.166583,91.9,0.482414,-7.88232,0,-0.8345,1.553,-0.925,-1.7505,-1.734,-5.024,-1.5105,-3.53725,409.5
2,2.25,0.0659,0.00798,-27.39615,0,-24.16,-1.1605,70.12,0.163967,91.9,0.2365415,-9.34911,0,-0.814,1.716,-0.9435,-1.7425,-1.803,-5.05,-1.55825,-3.56875,409.6
2,2.75,0.0281173,-0.199459,-21.9091,0,-24.565,-1.157,70.22,0.167253,91.9,0.276333,-8.366735,0,-0.81,1.722,-0.942,-1.7505,-1.818,-5.076,-1.5725,-3.56575,409.7
