DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1
8,14.25,370.208,-20.37324997,19.76,120.7686483,29.98319929,292.5105958,419.4,482.275,514.875,99.019,1420.25,74.02,63.7325,0.0503021745,1.107931018,2.22770435975,771.125,164.125,-0.088020079,30.325,27.675,24.85,22.25,22.4,21.7,28,25.9575,24.7,22.7,21.3225,32.695,30.90728482,0.425134404,1.08333533589559,27.66041609,1.02857993612553,2.803,0.452650523,20.64,33.2375,28.736215,20.3,27.415,24.665,22.52,21.635,21.16,20.835,20.445,19.895,19.08
8,14.75,369.5455,-19.1014705125,19.85,98.05816432,29.75123055,271.608527,418.8,479.4,463,99.000010735,1290,69.66,63.52,0.052392221,1.220986441,1.88683664325,704.8,152.1,-0.08113607325,30.26,27.87,24.895,22.4,22.4,21.7,27.9,26.1425,24.84,22.6225,21.26,32.11,30.9366995675,0.4211601825,1.07645743425889,28.11761271,1.01087342425142,2.84982745225,0.46275244649236,20.42,33.49,28.81284,20.3675,27.245,24.635,22.64,21.695,21.16,20.835,20.445,19.895,19.08
8,15.25,369.8527346,-16.05066654,20.7167125,83.767263715,29.32234495,256.500601975,417.325,476.55,399.7,98.993974905,1135,62.71,64.17,0.0899192625,1.11886293025,1.8655,623.7,141,-0.08,30.25,27.99,24.9075,22.4,22.4,21.7,27.6,26.255,24.9625,22.6525,21.3,31.8875,30.82062054,0.418,1.04408891192273,27.14419889,0.991309750279901,2.815609599,0.446600835,19.72,33.1025,28.60613,20.33,27.06,24.62,22.7,21.74,21.19,20.85,20.445,19.895,19.08
8,15.75,369.62264855,-14.548915225,19.4325,66.80013453,29.108551525,240.0567786,414.325,473.325,316.1,98.978,959,54.61,65.06,0.1055014245,0.60419848,1.85673955825,525.6,122.9,-0.07753591525,29.92,28,25,22.4,22.4,21.7,27.34,26.21,25.1,22.6225,21.285,31.35,30.6169664425,0.40950540475,1.02002104279842,26.82163443,0.940010568867989,2.726593252,0.450829729239835,18.335,32.865,28.52371,20.3225,26.75,24.57,22.775,21.76,21.19,20.835,20.43,19.895,19.065
8,16.25,370.68387055,-11.26598311,17.88202,44.91656415,29.1394246025,201.199504075,413.1,468.95,245,98.96880984,773.4,46.58,66.42,0.101673512,0.288683447,1.2589538015,428.9,106.8,-0.0711237115,29.75,27.89,25.05,22.57,22.4,21.7,27.1,26.04,25.125,22.67,21.2925,30.74,30.540251605,0.405258357,1.00486904535311,24.99873829,0.881607367523785,2.7959227515,0.428337292794575,17.275,32.8725,28.29,20.33,26.545,24.44,22.8275,21.7975,21.1975,20.85,20.46,19.8575,19.045
8,16.75,370.00319205,-8.992,16.7425,27.822774055,28.2835673725,171.657487525,410.825,464.5,170.75,98.9439141725,605.1,38.86,67.82,0.0641445775,-0.834926325,0.2882945695,334.1,89,-0.058,29.29,27.565,25.03,22.585,22.4,21.7,26.7925,25.95,25.2375,22.6475,21.3,30.0475,30.3196764,0.389621738,0.949733970120054,22.7736500325,0.793141996114189,2.688300768,0.421,15.16,32.515,27.99,20.36,26.36,24.4075,22.88,21.85,21.2275,20.8575,20.46,19.8575,19.0375
8,17.25,368.6816176,-5.41258436,15.3552825,9.308132667,27.25768177,130.5536457,407.275,459.9,96.7,98.937883575,402.9,28.11,69.91,0.105787557,-1.267874724,-0.033,230.5,67.66,-0.04778005875,28.83,27.01,25.01,22.6,22.4,21.7,26.475,25.8625,25.35,22.65,21.3075,28.9125,29.88611699,0.36864760625,0.899,20.10021856,0.719937474605065,2.57838111525,0.390136093056869,13.655,32.2325,27.36912,20.3225,25.99,24.34,22.895,21.91,21.2275,20.85,20.43,19.8625,19.06
8,17.75,367.441125225,-1.681,14.03,-1.251633037,27.00890698,92.19044606,403.85,453.1,29.98,98.92535911,251,18.1,73.01,0.21433254175,-1.68174238475,0.644360728,141.2,46.4,-0.03207297875,28.08,26.725,24.9325,22.74,22.4,21.7,26.13,25.75,25.4,22.625,21.3,27.74,29.28355531,0.3465721605,0.820010190248912,18.00427933,0.630756848533831,2.27540175125,0.364482939249874,12.33,31.3325,26.79861,20.3,25.6175,24.2875,22.925,21.9175,21.25,20.835,20.4225,19.8575,19.0375
8,18.25,370.7523998,1.8261690415,13.005,-5.7761254545,26.55506325,60.6513095025,402.275,445,-9.62,98.92502723,110.8,7.86,76.97,0.55360510825,-2.0291153125,1.455,61.61,22.69,-0.01801560875,26.98,26.385,24.9475,22.75,22.4,21.7,25.5675,25.6,25.3625,22.635,21.27,26.1675,28.3800624425,0.293113733,0.695779505818564,16.200685495,0.524714708576018,1.94426143125,0.308784233251278,10.49,30.4075,25.85764,20.3,25.22,24.21,22.9775,21.9475,21.2575,20.8575,20.46,19.8575,19.0375
8,18.75,377.68697225,4.05621230675,11.050065,-3.9243961565,26.19711464,30.94863385,399.9,436.4,-32.12,98.9324967775,28.25,1.842,81.1,0.98660701625,-2.392443975,0.9402421745,13.08,5.004,-0.006863946,25.72,25.865,24.84,22.8,22.4,21.7,25.0525,25.385,25.15,22.65,21.3175,24.2375,27.506,0.2457767,0.562,13.3992609425,0.409,1.681751511,0.250469900387252,9.255,28.8925,24.75318,20.3,24.7575,24.0975,22.9475,21.9775,21.2875,20.88,20.46,19.8575,19.0375
8,19.25,387.851407,6.12977597575,9.53,-4.16750599475,25.90552326,16.927572345,398.05,430.6,-36.51,98.9395,1.541,0.105,85,1.345015185,-2.359356903,0.46132965575,-0.958,1.418,-0.00369870675,24.62,25.53,24.7775,22.8,22.4,21.7,24.6525,25.165,25.1,22.715,21.2925,23.2475,26.66602498,0.20084020525,0.486203105936904,10.46724282,0.366667857842611,1.4784230205,0.203548170608261,7.9635,27.3175,24.00437,20.3225,24.295,23.91,22.9475,22.005,21.31,20.88,20.46,19.8575,19.0375
8,19.75,399.2979787,6.6089621695,7.83325,-3.668449529,25.271785005,12.07249037,395.675,428.125,-35.46,98.972,-0.018,0,87,1.4990436825,-1.5902214465,0.44549793325,-1.286,1.706,-0.0031877065,24.08,25.135,24.7125,22.8,22.4,21.7,24.1575,24.945,25.1,22.695,21.3,22.43,25.81923656,0.181413274,0.412561411829199,8.284044382,0.337290302294705,1.386457109,0.197984096777712,6.798,26.4575,23.30881,20.33,23.6525,23.7275,22.94,22.0275,21.315,20.8575,20.46,19.8725,19.0375
8,20.25,414.29567,7.461313146,6.392,-4.435048116,24.818209,11.0519764675,393.475,426.45,-34.74,98.9997957225,-0.024,0,88.3,1.47543577375,-1.11635910275,0.400912389,-0.893,1.986,-0.0032779405,23.59,24.76,24.575,22.8,22.4,21.7,23.9,24.73,24.93,22.68,21.3,22.23,25.2150986925,0.18372239975,0.429073127482409,7.3298548385,0.36196433889596,1.402756501,0.19656682225,5.587,26.24,22.9432,20.3225,23.27,23.45,22.8425,22.0575,21.315,20.8875,20.46,19.8725,19.0375
