DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
2,8.25,-0.6075,-25.1475,-2.9775,-0.513,-14.6775,48.6,-5.98,9.505,1.74,21.3525,0.3495,0.06,95.52925,-25.8075,0.5
2,8.75,-6.51,-16.695,2.03,-0.5154,-13.865,45.545,5.075,17.8525,2.6925,39.725,0.6715,0.0705,95.5215,-23.6325,0.5
2,9.25,-2.05,-10.49,-2.3375,-0.5325,-13.1075,39.7525,16.0125,30.575,4.885,57.195,0.7905,0.07125,95.51825,-22.9125,0.4225
2,9.75,-1.4975,-6.3,3.5275,-0.6462,-12.3625,35.93,16.815,33.1275,7.1575,63.3,1.034,0.1,95.517,-22.885,0.4225
2,10.25,-2.1,0.33,1.37,-0.6465,-11.575,33.8175,27.8975,54.07,11.4575,93.795,1.052,0.09,95.51575,-21.24,0.4225
2,10.75,-8.87,1.115,1.0375,-0.6228,-10.6875,31.125,35.085,70.5925,13.38,128.0325,0.72,0.071,95.51225,-17.2175,0.4225
2,11.25,-2.2725,6.45,3.8725,-0.654,-9.6775,29.2475,35.385,70.3725,10.54,126.9625,0.5215,0.101,95.479,-18.0475,0.4225
2,11.75,-6.0375,6.57,1.83,-0.714,-9.155,28.245,43.105,70.16,11.58,131.7525,0.739,0.0715,95.428,-16.4825,0.4
2,12.25,-3.68,5.1325,1.78,-0.6834,-8.655,27.5225,49.7175,71.76,11.7,134.895,0.82875,0.1015,95.357,-16.575,0.4
2,12.75,-1.7475,1.9875,7.9625,-0.5865,-8.365,26.08,46.395,75.01,12.52,137.0375,1.141,0.11125,95.2725,-14.875,0.4
2,13.25,-3.5875,0.51,1.53,-0.5916,-7.865,24.415,41.17,68.495,10.94,123.215,1.12775,0.12525,95.167,-13.9325,0.4
2,13.75,-2.785,0.1225,8.7125,-0.5502,-7.62,23.8475,39.375,75.835,12.02,140.7475,1.20175,0.13,95.13825,-12.575,0.4225
2,14.25,-2.34,3.5825,7.42,-0.6285,-7.3975,21.9225,37.0925,69.105,10.04,124.83,1.175,0.13125,95.104,-12.065,0.4225
2,14.75,-1.25,0.595,1.4,-0.6555,-7.23,21.28,31.8675,56.0075,8.02,106.1725,1.084,0.10125,95.09625,-12.2775,0.4225
2,15.25,-1.195,0.675,6.2,-0.6213,-6.875,21.5375,27.0425,57.405,7.64,99.365,1.19525,0.1215,95.10175,-13.82,0.4225
2,15.75,-1.4875,-8.955,7.795,-0.5619,-6.9975,21.1675,20.305,45.1,6.42,71.055,1.185,0.0935,95.12275,-13.4975,0.4225
2,16.25,-0.775,-29.4825,2.88,-0.5484,-7.255,21.6675,15.0625,35.4575,4.68,60.3875,1.1045,0.11,95.14825,-15.01,0.5
2,16.75,-5.83,-46.7175,4.8,-0.4899,-7.73,20.8825,5.2175,19.2925,2.6,38.6425,0.88075,0.08525,95.167,-15.7975,0.5
2,17.25,-0.5875,-50.8475,1.0125,-0.4302,-7.9075,21.84,-29.285,9.2125,1.1,14.2625,0.58,0.059,95.1835,-17.54,0.5
2,17.75,-1.35,-59,-5.1575,-0.4545,-8.2425,24.2325,-63.3525,2.5225,0.22,1.6975,0.616,0.05,95.21675,-21.635,0.5
2,18.25,-1.295,-68.3875,-4.235,-0.4686,-9,28.9675,-70.2825,0,0,0,0.478,0.03,95.24125,-27.685,0.5
2,18.75,-0.4225,-66.5325,-2.225,-0.468,-9.875,33.315,-70.5175,0,0,0,0.35,0.04,95.27575,-29.6475,0.5
2,19.25,-1.3625,-65.23,-5.9,-0.471,-9.875,35.99,-67.03,0,0,0,0.395,0.03,95.2915,-31.7525,0.5
2,19.75,-0.555,-63.41,-5.41,-0.504,-10.6625,39.135,-65.765,0,0,0,0.4665,0.038,95.3105,-33.42,0.5
2,20.25,-4.4675,-68.04,-9.455,-0.5166,-10.52,40.3825,-66.2075,0,0,0,0.6275,0.04,95.315,-31.91,0.5
2,20.75,-0.5225,-64.9625,-7.18,-0.465,-10.7775,40.7725,-65.6175,0,0,0,0.512,0.04,95.3195,-31.4875,0.5
2,21.25,-0.67,-60.65,-6.915,-0.384,-11.155,44.3025,-62.9,0,0,0,0.423,0.04,95.3485,-31.2425,0.5
2,21.75,-0.5225,-62.2,-5.8,-0.4092,-11.4775,44.5375,-63.7275,0,0,0,0.4075,0.049,95.35425,-32.455,0.5
