DOY2,HR2,T_BOLE_1_1_1,T_BOLE_2_1_1,G_1_2_1,G_2_2_1,G_3_2_1,G_4_2_1,NEE,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,17.25,-20.566,-20.558,-3.48205,-2.561075,-3.15675,-2.781975,0.037338,-2.9798925,0.162995,0.0160274,-1.191615,-1.61024,-23.90475,-9.129775,-82.07295,0.42780025,0.12278825,172.0075,235.9745,1.351255,0,0.039126725,-19.5935,-19.748,-19.686,-20.053,75.80375,78.3926,75.68965,1.792275,-6.7167,-6.508,-6.2537,-5.8697,-4.625425,-1.853175,-6.05545,-5.754025,-5.428625,-5.354725,-4.150975,-1.853175
1,17.75,-21.29825,-21.4415,-3.4584,-2.546775,-3.087625,-2.785075,0.0372891,-3.03338,0.1255825,0.00716525,-1.349005,-1.33196,-26.8154,-10.62425,-85.053825,-0.922879,-0.15918525,173.39725,234.062,0,0,0,-19.6605,-19.97675,-20.40925,-20.95975,76.53,78.313525,75.62175,1.89235,-6.710375,-6.50845,-6.24825,-5.88105,-4.631725,-1.839575,-6.054025,-5.749775,-5.415625,-5.355475,-4.124075,-1.839575
1,18.25,-22.116,-22.16325,-3.397325,-2.52315,-3.018575,-2.779425,0.035826375,-3.13308,0.119409,0.0091170575,-1.235735,-1.0910575,-30.449825,-8.7300275,-82.08515,-1.150475,-0.131647,171.14925,231.27475,-0.000133895225,0,0,-19.7885,-20.1015,-20.92975,-21.1755,76.94925,77.3543,76.026,1.9134,-6.698375,-6.501775,-6.249475,-5.87915,-4.632325,-1.831875,-6.05,-5.748125,-5.408225,-5.35065,-4.116525,-1.831875
1,18.75,-22.51825,-22.6265,-3.36955,-2.507025,-3.020575,-2.752275,0.033884475,-3.38056,0.13317925,0.008419275,-0.92219175,-0.8967875,-30.619875,-6.9327225,-77.0324,-0.9109425,-0.1047035,170.663,230.261,-0.000415225,0,0,-20.053,-20.15,-21.3075,-21.6215,77.5088,77.005775,76.1709,1.8314,-6.6796,-6.491675,-6.25175,-5.87715,-4.62405,-1.82655,-6.040625,-5.74545,-5.399675,-5.34805,-4.123,-1.82655
1,19.25,-22.69075,-22.68225,-3.37225,-2.48915,-3.025225,-2.724675,0.051817375,-3.4743425,0.1348425,0.011749025,-0.9720975,-0.85182875,-25.464225,-5.279835,-76.025,-0.87793025,-0.17056825,169.35075,227.8455,-0.0020692375,0,0,-20.51675,-20.622,-22.371,-22.828,77.71375,77.6075,76.0125,1.74175,-6.6742,-6.500875,-6.256575,-5.877525,-4.636125,-1.8368,-6.034475,-5.74455,-5.3936,-5.346475,-4.1299,-1.8368
1,19.75,-22.91375,-22.88725,-3.3687,-2.472375,-3.0256,-2.70915,0.046632375,-3.3687625,0.12026675,0.0108931,-0.87728875,-0.75886925,-17.603,-5.395345,-68.692025,-0.70233375,-0.1386895,170.71775,225.75925,-0.00613449,0,0,-20.852,-21.063,-22.608,-22.7965,78.00175,77.173375,76.34135,1.862375,-6.6586,-6.511675,-6.25315,-5.87535,-4.652,-1.845725,-6.027925,-5.75395,-5.39445,-5.322275,-4.14285,-1.845725
1,20.25,-23.01,-23.16925,-3.36175,-2.45465,-3.030175,-2.70735,0.038428125,-3.3327475,0.1376165,0.0143626,-0.67562875,-0.57845475,-20.786275,-4.880695,-64.123,-0.57393125,-0.12978525,168.03125,223.457,-0.0050201275,0,0,-21.20075,-21.221,-22.818,-23.0695,78.175575,78.22245,76.1414,1.702325,-6.6841,-6.504975,-6.242025,-5.87625,-4.6468,-1.855325,-6.015375,-5.76735,-5.397075,-5.312425,-4.15115,-1.855325
1,20.75,-23.13475,-23.279,-3.35565,-2.44285,-3.01645,-2.70855,0.050438975,-3.279935,0.13085625,0.022281825,-0.63921675,-0.572039,-23.665625,-4.2627275,-63.48945,-0.394252,-0.17018025,176.0315,223.46725,-0.00481774,0,0,-21.30975,-21.374,-22.9325,-23.343,78.267425,78.517975,76.071675,1.67635,-6.68075,-6.497725,-6.2374,-5.875425,-4.659425,-1.858725,-5.995425,-5.782025,-5.39835,-5.30445,-4.1597,-1.858725
1,21.25,-23.25325,-23.4055,-3.3469,-2.4303,-3.0211,-2.70935,0.032719775,-3.2754525,0.12449175,0.0150008,-0.6870725,-0.559835,-19.425925,-4.0266575,-60.1612,-0.31842325,-0.21958925,173.88025,224.42625,-0.0080015125,0,0,-20.9725,-21.002,-23.3555,-23.8315,78.728125,78.5243,76.085525,1.6589,-6.681975,-6.493325,-6.23715,-5.875425,-4.6616,-1.8616,-5.98475,-5.7945,-5.397225,-5.306325,-4.1663,-1.8616
1,21.75,-23.5325,-23.651,-3.33645,-2.4301,-3.0242,-2.715475,0.040551225,-3.27906,0.122134,0.0134549,-0.47883025,-0.53732,-17.0991,-4.152955,-63.3996,-0.295341,-0.19460475,173.10725,224.52975,-0.004301475,0,0,-21.38825,-20.778,-23.68525,-23.6515,78.774,78.024875,76.713075,1.6155,-6.70245,-6.48505,-6.235425,-5.87765,-4.6604,-1.862625,-5.97645,-5.806675,-5.39575,-5.28765,-4.1644,-1.862625
