DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
6,8.75,-8.4635,-6.92725,151.87275,140.168,0.7075,0.14025,426.806,406.6,20.354,489.79875,1094.359,43.391,29.0315,680.04,112.5575,414.64,428,22.48,84.3,3.6635,101.6,16.8775,16.5525,16.2025,15.8625,14.5225,12.1925,17.03,16.79,16.4325,15.9125,14.36,12.18,5.628,6.51,5.25,5.88,0.8649,1.36855
6,9.25,-9.549,-9.084,169.263,163.728,0.752,0.367,424.8075,405.2,20.54825,557.373,1245.746,45.643,34.2335,759.797,122.76725,417.084,430.258,22.95,82.6,3.8335,101.6,16.995,16.5625,16.2125,15.8525,14.525,12.1925,17.0975,16.82,16.4175,15.8825,14.3775,12.18,6.594,7.812,6.258,7.14,0.8915,1.4421
6,9.75,-10.6835,-10.1575,184.241,194.43,0.75875,0.23775,424.6135,404.4,20.7805,612.93275,1375.436,49.175,40.3705,828.3355,131.761,418.624,434.598,23.26,81.2,3.88575,101.6,17.075,16.6025,16.2075,15.835,14.525,12.21,17.245,16.88,16.4275,15.86,14.3675,12.1725,7.602,8.988,7.77,9.198,0.9364,1.5061
6,10.25,-11.356,-10.9405,195.78175,214.83175,0.786,0.365,425.0425,403.9,20.88175,662.1985,1492.328,51.554,48.6955,883.466,139.49825,421.028,435.813,23.45,80,4.0165,101.6,17.2125,16.64,16.2125,15.82,14.5325,12.22,17.35,16.95,16.445,15.83,14.375,12.1825,8.316,9.618,8.61,10.458,0.954975,1.5467
6,10.75,-12.44,-12.1445,203.137,245.553,0.814,0.1855,423.68225,403.2,20.70925,705.226,1601.871,52.899,79.673,932.4055,145.581,423.406,437.912,23.93,77.95,4.00725,101.5,17.2775,16.655,16.2325,15.8125,14.54,12.21,17.5275,17.03,16.4625,15.8125,14.365,12.18,9.198,10.248,8.904,11.088,0.9775,1.5562
6,11.25,-11.111,-9.46875,200.835,261.6645,0.826,0.38425,423.80775,402.85,20.6575,731.7075,1691.505,55.204,53.95375,963.614,150.958,424.706,439.862,24.07,76.47,4.13125,101.5,17.3825,16.685,16.2525,15.8125,14.535,12.22,17.7425,17.145,16.4725,15.82,14.3675,12.1725,9.87,10.92,9.45,11.34,0.9975,1.6135
6,11.75,-11.632,-11.262,232.112,272.811,0.82775,0.265,422.592,403.1,20.674,750.3945,1744.692,56.861,59.50225,984.4415,154.761,425.62,442.323,24.34,75.68,4.35425,101.5,17.495,16.73,16.255,15.8125,14.54,12.22,17.885,17.2475,16.5025,15.815,14.365,12.1825,10.584,11.466,10.122,11.97,1.016175,1.6332
6,12.25,-11.894,-11.6765,240.1475,277.36475,0.864,0.2885,421.862,401.9,21.12,755.794,1763.017,58.135,228.941,991.5455,154.696,427.262,442.991,24.65,75.01,4.3525,101.5,17.61,16.7825,16.2625,15.8125,14.5325,12.2125,18.0125,17.3925,16.54,15.815,14.365,12.18,11.634,12.6945,10.731,12.768,1.03145,1.63755
6,12.75,-11.927,-11.587,234.0275,271.676,0.8495,0.317,421.4165,401.3,20.9805,750.13,1759.381,58.603,206.05275,982.527,152.304,427.491,444.509,24.88,74.63,4.4195,101.5,17.8075,16.8525,16.28,15.8125,14.535,12.2125,18.18,17.5175,16.5825,15.8225,14.36,12.18,13.272,13.671,11.256,13.1145,1.02915,1.658275
6,13.25,-12.002,-11.04,224.925,262.7185,0.8525,0.281,420.4895,400.7,20.83375,729.6575,1716.275,58.493,63.9095,964.1145,149.933,426.679,445.115,25.07,73.87,4.41625,101.5,17.94,16.92,16.315,15.8125,14.5375,12.2225,18.305,17.5875,16.645,15.8225,14.35,12.175,12.684,13.7865,11.9385,13.5975,1.03995,1.6651
