DOY2,HR2,TA_1_3_1,RH_1_1_1,TA_1_3_2,TA_1_4_1,TA_1_5_1,TA_1_6_1,T_BOLE_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_2_1_1,CO2_1_2_1,CO2_1_1_1,H2O,NETRAD_1_1_1,SW_IN_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_1_1,TA_1_2_1,WS,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT_1_1_1,NETRAD_1_1_3,SW_OUT_1_1_2,PPFD_IN,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_3_3,PA
9,2.25,8.3045,85.1075,8.232,7.16175,6.838,5.598,5.5035,7.066,9.915,10.665,11.615,-7.07275,-18.18,-14.6575,-13.1175,-21.9825,5.5035,391.15,400.875,9.715,-50.3125,0,0.042445,-1.11925,-13.595,0.9068,-0.28875,-21.31,-0.4638,-1.20175,4.23625,9.2025,8.777,0.26185,-41.0975,0,0,0,0.42565,-64.275,0,0,0.199,12.385,12.49,13.11,13.0275,12.68,8.57125,99.28
9,2.75,8.12,84.4875,8.135,6.8305,6.678,5.361,5.36625,6.849,9.76875,10.545,11.5725,-6.97775,-18.265,-14.38,-13.2925,-22.0475,5.36625,393.5,402,9.7,-53.22,0,0.04056,-1.259,-14.15,0.94075,-0.2117,-21.435,-0.61555,-1.17975,2.5975046875,9.1675,8.9055,0.275725,-40.1625,0,0,0,0.4197,-63.7725,0,0,0.195075,12.32,12.415,13.08,13.0625,12.6975,8.36925,99.27
9,3.25,7.988,84.6225,7.91,6.6735,6.3775,5.428,4.87475,6.709,9.5855,10.405,11.4525,-7.227,-18.0125,-14.51,-13.44,-22.3225,4.87475,397.9,404.55,9.61475,-46.94,0,0.033985,-0.8757,-13.07,0.503525,-0.12545,-21.9675,-0.57705,-0.874325,2.47425625,9.0675,8.638,0.271075,-37.1075,0,0,0,0.4977,-63.88,0,0,0.17955,12.215,12.395,13.0625,13.08,12.7225,8.11525,99.26
9,3.75,7.7425,84.8775,7.71,6.4675,6.1215,5.348,4.86575,6.6005,9.44775,10.3,11.335,-7.091,-17.6775,-14.2,-13.7175,-22.785,4.86575,397.05,405.2,9.505,-45.93,0,0.03696,-0.9669,-15.095,0.6817,-0.1812,-21.3025,-0.68525,-0.701875,2.4122578125,8.888,8.3825,0.2504,-39.0525,0,0,0,0.4581,-60.0225,0,0,0.177875,12.1125,12.32,13.03,13.0825,12.7225,7.9,99.25
9,4.25,7.7185,86.19,7.79425,6.362,5.7885,5.07475,4.725,6.4085,9.282,10.145,11.23,-7.1775,-17.915,-14.29,-13.76,-23.03,4.725,399.1,404,9.441,-47.1775,0,0.0395275,-1.0415,-13.44,0.782,-0.2568,-22.05,-0.52785,-0.8082,1.918384375,8.78,8.28025,0.254225,-37.955,0,0,0,0.4197,-60.61,0,0,0.1746,12.04,12.2,12.99,13.09,12.73,7.5365,99.2475
9,4.75,7.5715,87.11,7.47875,6.2165,5.796,5.01625,4.53,6.298,9.10225,9.959,11.11,-7.233,-18.26,-14.465,-13.82,-22.86,4.53,402,404.5,9.42175,-44.135,0,0.0364875,-0.9133,-12.5225,0.8912,-0.29845,-21.71,-0.5357,-0.76005,1.9616359375,8.65325,8.11625,0.263375,-35.965,0,0,0,0.4197,-58.8675,0,0,0.18435,11.99,12.09,12.98,13.1,12.75,7.5875,99.255
9,5.25,7.439,86.75,7.3715,6.0915,5.6275,4.704,4.304,6.1425,9.0305,9.865,10.99,-7.2555,-18.11,-14.11,-13.77,-22.82,4.304,399.875,404.85,9.387,-44.5625,0,0.03263,-0.968675,-13.04,0.571425,-0.3151,-21.31,-0.466325,-0.4336,1.7205125,8.48525,7.873,0.262525,-35.87,0,0,0,0.4196,-57.325,0,0,0.1649,11.93,12.04,12.94,13.1,12.77,7.34,99.26
9,5.75,7.3145,87.66,7.356,6.1315,5.703,4.38925,4.1565,6.1505,8.922,9.79075,10.91,-7.2145,-17.845,-13.365,-14.08,-22.8,4.1565,396.15,405.8,9.297,-42.19,0,0.03457,-0.7043,-9.387,0.5665,-0.4624,-20.13,-0.183425,-0.168675,0.7468,8.42675,7.84325,0.27385,-34.84,0,0,0,0.5558,-55.65,0,0,0.2305,11.89,12.01,12.91,13.11,12.8,7.38,99.2675
9,6.25,7.27,87.25,7.2055,6.2105,5.6935,4.63175,4.2,6.31725,8.846,9.69925,10.8,-7.2205,-17.1,-12.54,-13.75,-22.69,4.2,392.6,404.275,9.3,-32.1275,4.87875,0.037815,-0.812125,-10.2125,0.5755,-0.86925,-16.63,0.2774,0.35615,0.6179,8.64375,7.86,0.26525,-23.74,4.059,4.5285,6.074,1.77,-47.92,0,12.95,0.82355,11.8,11.97,12.91,13.1,12.83,7.488,99.29
9,6.75,7.873,85.8925,7.85325,6.879,6.582,5.8095,4.7425,7.1205,8.99275,9.768,10.74,-6.8115,-15.32,-10.45,-13.02,-21.43,4.7425,380.85,401.3,9.586,-16.71,20.1475,0.04268,-0.71655,-9.569,0.523675,-1.421,-11.01,0.9544,1.2325,0.3971,8.963,8.248,0.202325,-10.205,19.78,17.33,23.415,4.27325,-32.0975,0.91975,48.8775,2.359,11.76,11.85,12.86,13.11,12.83,7.692,99.2925
9,7.25,9.217,81.12,9.2925,9.065,8.737,8.523,6.352,8.556,9.3285,9.87325,10.81,-6.282,-10.985,-7.82,-11.38,-18.71,6.352,367.4,393.9,10.12,17.72,52.9625,0.04886,1.0665,-5.051,0.491775,-1.3905,-3.959,0.891,1.448,-0.0897,9.8235,9.446,0.135675,23.035,56.3525,50.805,57.4725,9.292,11.53,7.811,107.65,5.1535,11.68,11.78,12.81,13.16,12.84,9.311,99.28
9,7.75,11.065,72.14,10.7625,10.89,10.88,10.975,8.9225,10.7525,10.13,10.2475,10.94,-5.5885,-3.873,-1.5635,-8.366,-13.42,8.9225,354.925,385,10.53,43.19,92.6275,0.06162,8.0885,2.101,-0.797825,-0.82935,8.282,0.2963,1.17725,-1.172,10.765,10.73,0.17395,46.295,96.795,87.68,96.1125,14.215,42.0025,14.195,178.8,8.186,11.69,11.81,12.81,13.26,12.94,10.825,99.32
9,8.25,12.23,65.96,12.09,12.33,12.39,12.445,10.9,12.0975,11.1,10.9125,11.39,-4.3355,0.39855,1.701,-4.757,-7.036,10.9,342.8,380,10.67,87.18,132.925,0.0807725,18.01,10.9575,-1.57,-0.4343,14.01,0.021415,1.025175,-1.95,11.8325,11.85,0.2641,83.69,140.95,126.225,137.825,20.405,84.505,21.735,259.125,12.255,11.92,11.98,12.92,13.39,13.15,12.1325,99.31
9,8.75,12.925,63.01,12.605,12.97,12.99,13.335,12.34,13.13,11.83,11.495,11.74,-2.4955,3.8845,3.1345,-1.915,-0.7146,12.34,335.1,377.275,10.56,105.1,163.625,0.09312,25.45,23.21,-2.81375,-0.1878,16.07,0.094665,0.785275,-2.972,12.4075,12.48,0.418925,98.815,169.5,159.35,169.25,24.7525,105.925,28.23,312.525,15.635,12.07,12.14,13.06,13.6,13.32,12.75,99.32
9,9.25,13.45,60.2225,13.215,13.565,13.35,14.045,13.885,14.075,12.41,12.0575,12.08,-0.90625,6.657,3.6815,0.06015,3.57,13.885,331.25,375.1,10.55,129.7,204.25,0.09633,31.03,36.2875,-2.9855,-0.1836,16.36,-0.013242,0.876325,-3.223,12.9375,13.06,0.574525,116.05,207.65,200.525,209.475,30.88,139.2,32.015,396.55,19.635,12.1975,12.26,13.1525,13.7,13.43,13.23,99.3225
9,9.75,13.78,57.69,13.58,14.135,13.88,14.37,14.83,15.185,13.29,12.545,12.4,0.13975,8.1225,4.3365,1.68,8.978,14.83,327.95,372.85,10.64,156.3,218.15,0.1116,37.76,45.48,-3.557,-0.1505,21.23,-0.14805,0.9047,-3.695,13.2025,13.29,0.655975,128.3,219.1,230.75,246.575,34.6825,175.8,35.92,430.625,21.275,12.33,12.38,13.17,13.79,13.46,13.755,99.34
9,10.25,14.02,54.56,14.0425,14.58,14.11,14.98,16.245,16.255,14.295,13.3175,12.67,0.90205,9.737,4.7815,2.768,14.13,16.245,326.1,372.15,10.7,177.6,243.35,0.1296,41.18,49.9925,-3.85875,-0.15155,22.5,-0.227875,0.71095,-3.8705,13.6325,13.63,0.740825,151.6,255.475,240.05,248.425,35.3775,178.65,40.595,462.45,24.015,12.51,12.59,13.16,13.84,13.49,14.17,99.33
9,10.75,14.4775,52.6125,14.4975,15.115,14.58,15.35,17.09,16.93,14.95,14.045,12.97,1.81,10.405,5.2765,4.069,16.7,17.09,325.475,370.65,10.8375,182,249.85,0.12445,37.67,50.7225,-3.637,-0.1299,20.61,-0.359575,0.53465,-3.7025,14.03,13.94,0.787925,166.65,271.575,251.8,249.2,33.815,178.7,40.225,484.95,22.31,12.75,12.78,13.2,13.83,13.54,14.4025,99.34
9,11.25,14.79,50.61,14.8425,15.38,14.81,15.62,17.66,17.29,15.49,14.4925,13.3,2.429,10.815,5.5965,5.641,18.33,17.66,322.65,370.1,10.86,171.1,251.8,0.14545,40.7025,60.1625,-4.1155,-0.1018575,17.98,-0.4744,0.523825,-4.077,14.3325,14.07,0.877525,165.65,257.025,256.475,246.65,36.135,183.15,40.38,492.8,23.68,12.98,13.01,13.28,13.88,13.6,15.01,99.3475
