DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
1,11.25,388.3638096,-0.661325383,-6.87979,-4.301,50.02517372,4.183664795,32.115308685,266.1,311.65,156,99.1940918,691.65,121.95,75.33,-0.022962012,0.7049340915,0.146044952,393.2,113.2,-0.176093651,-3.286,-0.316,-0.083,0.8,1.799,3.15,-0.4745,-0.5,0.6,1.816,6.508,-0.976,-2.468576231,0.373131589,0.97641303043333,1.232492377,0.882376213414664,4.379702129,0.417308167904727,-4.3985,-0.942425,4
1,11.75,387.4252731,-0.661314895,-6.557385,-4.102,53.91997825,4.174310064,33.26770819,265.95,312.5,153.95,99.16057506,728.1,126.3,75.03,-0.0255363225,0.539061046,0.056433071,415.2,114.15,-0.1804564745,-3.124,-0.3,-0.083,0.8,1.817,3.125,-0.4495,-0.5,0.6,1.8085,6.5085,-0.577,-2.099105628,0.376443127,0.99153410248882,1.355677833,0.884158454296689,4.326189344,0.411351761737467,-4.345,-0.7016007,4
1,12.25,387.6295641,-0.5923181815,-6.174,-4.073,52.07384639,4.197240874,35.166576865,267,312.3,161.15,99.10264714,727.95,122.2,74.635,-0.007546765,0.4957600095,0.0702350925,386.4,114.55,-0.192472099,-2.908,-0.3,-0.083,0.8,1.799,3.125,-0.425,-0.5,0.6,1.8085,6.5,-0.259,-2.021791042,0.393719644,1.01401001523654,1.411607121,0.902909499894646,4.320221831,0.420616372719846,-4.0355,-0.3660449,4
1,12.75,386.9206107,-0.526916896,-6.1025,-3.88539,51.1187533,4.17135642,34.83622204,269.4,313.5,145.95,99.07723864,667.75,121.7,74.37,-0.0078842815,0.464271112,0.110368734,362.35,110.95,-0.197339871,-2.866,-0.292,-0.083,0.8,1.783,3.1245,-0.409,-0.5,0.6,1.8,6.5085,-0.368,-1.764392207,0.400036091,1.02900405052653,1.408901343,0.902871843619016,4.540280276,0.434004193528127,-3.6395,-0.2317953,4
1,13.25,387.8078182,-0.503118251,-6.0965,-3.695,44.59242334,4.215083663,33.86685002,269.8,313.1,135.2,99.07211192,637.6,116.35,74.315,-0.0005621945,0.462165224,0.097864283,356.65,110.85,-0.198084245,-2.475,-0.283,-0.083,0.8,1.784,3.1245,-0.3825,-0.5,0.6,1.8,6.5,-0.3835,-1.4144433675,0.4002352795,1.02810262327732,1.405780475,0.903004791527916,4.555708577,0.43582600532302,-3.598,-0.3610991,4
1,13.75,388.2524034,-0.3988616735,-6.07614,-3.3975,40.58692842,4.344568279,33.624187305,265.1,312.9,116.5,99.08110485,553.15,98.6,74.4,-0.001766009,0.324171232,0.123761283,324.8,95.3,-0.202046315,-2.225,-0.2665,-0.05,0.8,1.7835,3.101,-0.368,-0.5,0.618,1.8,6.5,-0.346,-1.161856665,0.400114763,1.04247640980504,1.437339546,0.884054583722069,4.553006283,0.437288008067909,-3.2515,-0.15208079,3.9585
1,14.25,385.7367872,-0.218252147,-5.88896,-3.1595,29.98694859,4.3536888125,28.75891018,266.1,313.1,102.2,99.08986058,482.25,97.8,74.39,-0.017781548,-0.008348166,-0.0263447445,282.6,85.7,-0.187389373,-1.874,-0.2675,-0.0585,0.8,1.791,3.116,-0.3415,-0.5,0.616,1.8,6.5085,-0.426,-0.750480068,0.384363361,1.05032867046463,1.4573761445,0.886871341852921,4.475001393,0.430437039530754,-3.221,-0.108324435,3.9585
1,14.75,385.3568744,-0.076489205,-5.71151,-3.032,21.483556705,4.409565422,23.66464882,262.7,311.6,80.4,99.09153951,393.65,69.85,73.83,-0.011174554,-0.0884745875,-0.0265925935,224,74.64,-0.1752086215,-1.8475,-0.258,-0.0325,0.8085,1.7755,3.125,-0.342,-0.5,0.6,1.8,6.533,-0.313,-0.6869086445,0.369931711,0.979575778276531,1.4248979935,0.835269390308972,4.429700981,0.416879183738708,-3.2765,-0.038755235,3.95
1,15.25,383.6837744,0.110956698,-5.56402,-3.050465,10.26670697,4.282747898,20.18498672,262.3,309.5,41.35,99.09959973,271.85,51.18,73.89,-0.032332937,-0.358746265,-0.080584844,148.9,56.16,-0.1660532,-2.0995,-0.249,-0.0505,0.8175,1.7815,3.1165,-0.3255,-0.5,0.6,1.8,6.5255,-0.554,-0.861764077,0.361337248,0.955805510551179,1.423232481,0.766471876196381,4.121311465,0.412115774995328,-3.39,-0.158988785,3.95
1,15.75,383.1414048,0.299313278,-5.43676,-3.2513,2.883534098,4.153362948,14.984831645,265.2,308,10.89,99.12826232,158.4,32.525,75.345,-0.031367821,-0.701182422,-0.219306188,93.3,38.83,-0.151607118,-2.1465,-0.217,-0.05,0.8415,1.7995,3.117,-0.325,-0.5,0.6,1.8,6.55,-1.047,-1.085742703,0.341832386,0.908546753337438,1.362495899,0.751253624949657,4.018646836,0.396570846129667,-3.5305,-0.2125784,3.95
