DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
1,14.75,2.61653018242499,18.777925,12.541612123,32.926,-1.2966,-0.8219,89.31,0.377641613675,93,25.176,6.39929999999999,46.75025,50.99385,-0.82985,8.518,-0.657025000000002,-0.3965375,0.325,-0.778500000000001,-0.256525,-0.48745,440.88,-6.2819,-4.797575
1,15.25,1.91049010915,25.08256771425,33.4168,12.878,-1.50305000000001,-0.660050000000002,88.875,0.3827685,93,11.905,6.92404999999995,30.41075,30.73968,-0.66525,7.979175,-0.653699999999999,-0.3944,0.3179,-0.7529,-0.255,-0.4837,424.9575,-6.2386,-4.73405
1,15.75,1.9806218718,23.508007497,21.9018924999999,5.44655,-1.5916,-0.6275,89.345,0.393321325,93,5.817875,8.601,17.0923,17.428,-0.655400000000001,7.57925,-0.649225000000002,-0.39285,0.31935,-0.745100000000001,-0.2525,-0.50345,423.9125,-6.245325,-4.725725
1,16.25,2.3844546459,25.117225,30.4615,2.1163,-1.38255,-0.5706,89.205,0.37484571545,93,2.66975,7.82989999999999,6.73601999999999,10.42594,-0.504275000000001,7.9871,-0.647025000000002,-0.390975,0.31685,-0.750950000000002,-0.25115,-0.530950000000001,437.3775,-6.26305,-4.81865
1,16.75,2.669655,15.8215,30.77352,1.0613,-1.0736,-0.5082,89.91,0.3734627,93,1.341625,7.47565,2.675985,4.82156000000001,-0.404575000000002,8.12825,-0.645525000000002,-0.38895,0.3182,-0.747650000000003,-0.25085,-0.529550000000001,435.2,-6.29295,-4.834575
1,17.25,2.8342923409,24.472125,20.5976375,0.4655,-1.06710000000001,-0.418300000000001,89.67,0.41919714005,93,1.0045,9.34,2.04684,2.40694,-0.301125000000002,8.0889,-0.644025000000002,-0.38615,0.3237,-0.715350000000002,-0.24925,-0.52815,424.82,-6.2708,-4.8038
1,17.75,2.26218904732499,22.4408996695,29.5380643234998,0.434025,-1.43400000000002,-0.4089,89.575,0.3425454043,93,0.952875,4.47967500000001,2.0069625,2.028856,-0.300950000000003,8.62275,-0.643100000000001,-0.381825,0.33135,-0.695750000000001,-0.24895,-0.5285,430.65,-6.295825,-4.874575
1,18.25,3.78440137,25.6343875,21.901534781,0.456375,-1.7142,-0.4417,89.07,0.48565804305,93.005,0.927375,7.50099999999998,1.99145,1.9648665,-0.337375,8.84275,-0.645175,-0.37785,0.319275,-0.693075,-0.247675,-0.530875,442.14,-6.311075,-4.874425
1,18.75,2.20686520175,30.6739025,17.5992374999999,0.6292,-1.673,-0.4125,88.8,0.415894,93.015,0.811925,10.5104999999999,1.979755,1.940575,-0.332875000000002,8.49225,-0.65405,-0.372525,0.32535,-0.701100000000001,-0.24765,-0.526800000000001,432.9225,-6.299775,-4.8427
1,19.25,2.07158652535,29.087275,31.8580617589999,0.476799999999999,-1.5244,-0.446,89.24,0.491696223125,93.015,0.957275,4.16435,1.982165,1.960686,-0.326925,8.595,-0.646150000000001,-0.37855,0.3092,-0.7238,-0.247,-0.519800000000001,443.775,-6.293225,-4.901375
