DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,8.75,401.53668,0.35745459,0.846041835,0.03834377375,-1.663417325,-18.26107675,-48.5801175,-23.75972825,-18.71685825,0.50339846,0.0460185035,-0.108141864,0.168784695,0.159852865,0.04749825875,82.31076,-15.44729775,26.800549,0.838173135,-14.4700125,0.077207712,-4.86584435,-7.786043525,13.58485175,16.81419225,197.07914,240.475235,-14.56632775,26.64151,-15.97585825,60.7547075,0.939739405,-5.416715575
1,9.25,400.517666,0.3601941875,1.10494372,0.041732686,-6.0816814,-8.565324,-36.0878685,-21.80668275,-16.465335,0.40508037,0.04322707,-0.17010698,0.2167010225,0.1849092825,0.041461409,82.34275875,-14.30904475,24.5037035,0.896920655,-13.6855755,0.08825628875,-4.5821663,-25.4739415,26.82821,38.3732655,200.171245,246.1932375,-13.94398,24.69910475,-15.27506775,57.46127,1.0032317575,-5.1442665
1,9.75,383.47438,0.27453754,1.3269727,0.0450460825,-1.49878645,-4.0181397,-31.9294935,-13.72574275,-12.29096975,0.45019595,0.04795344975,-0.180634025,0.1668968125,0.199880765,0.04241285725,82.377406,-12.72988925,26.25766325,0.86294636,-12.206775,0.07176342975,-4.1696022,-30.882145,49.527558,41.49196325,202.887425,254.2799,-12.5012305,24.83400125,-14.02037125,59.6242485,1.0986144,-4.76333565
1,10.25,385.840385,0.33186212,1.3567104,0.034582625,-1.074990885,-1.93922495,-35.36966325,-15.8934575,-12.08889695,0.4879059025,0.041603713,-0.26320874,0.1892853925,0.20453146,0.0451837015,82.40827725,-12.00248825,26.7750965,0.9783115925,-11.26634725,0.1251557725,-3.807505625,-36.7339355,79.38538675,37.300619,205.6761175,261.4561475,-11.5756885,25.15856675,-13.02440975,53.4155785,1.195584175,-4.3330896
1,10.75,392.3747925,0.336553975,1.328803425,0.049215296,-1.391054875,-1.801405675,-38.5921365,-29.124628,-19.6309285,0.4806972125,0.03003762175,-0.26039286,0.2110459,0.1341562575,0.063062235,82.40913,-9.235571775,25.99102775,1.0563426,-9.945880975,0.079119393,-3.436791,-35.31648775,109.053775,42.470955,210.53257,272.45415,-10.32389825,25.54981,-11.42218625,53.2550005,1.34084715,-3.943637925
1,11.25,385.0060125,0.3027366,1.25757525,0.057568338,-1.00188922,-1.69335185,-31.974039,-10.220484425,-7.95257695,0.57292027,0.03210130375,-0.313301475,0.251780575,0.203628275,0.0639252585,82.38897625,-7.6223259,23.339274,1.177039,-8.764203525,0.0901958565,-3.025110575,-39.83535225,147.5672575,59.65021925,213.4310225,279.518805,-9.1467431,22.538261,-9.940975075,47.104918,1.5826079,-3.56571265
1,11.75,376.817325,0.3505057375,1.1986333,0.063038914,-0.9957825875,-5.08110779999999,-26.952569,-28.87068,-21.68377525,0.5120886075,0.07033643175,-0.30653841,0.237646825,0.1442759125,0.07385107825,82.363012,-5.9504372,19.89782125,1.37502825,-7.2772367,0.07727673525,-2.632936,-53.43165175,155.854045,67.886656,214.9661975,286.9105875,-7.73328575,19.136087,-8.711555625,42.296364,1.8146741,-3.212997325
1,12.25,385.6117,0.3343012125,1.1987008,0.062827496,-1.441948125,0.800699950000001,-25.25757,-16.227936,-12.507863325,0.565414245,0.0444499185,-0.27940617,0.1985748325,0.1775622025,0.07647423375,82.31092,-4.9199219,19.38627,1.5222889,-5.35069945,0.065369478,-2.350415,37.17348575,155.6727925,70.8361425,216.6413625,290.842755,-5.711680125,18.6407835,-7.161842925,37.930378,2.07426465,-2.8972266
1,12.75,395.877225,0.29983555,1.3164195,0.056783869,-1.569489,0.38219489,-29.823229,-12.80902675,-9.4955434,0.4748283875,0.04761117875,-0.27468008,0.2032341475,0.14926402,0.07041371575,82.2835415,-4.074799175,18.868363,1.463018625,-4.906017425,0.09622976675,-2.11830605,72.86799275,155.42261,64.4644915,219.4291325,293.280325,-5.333956,18.9399925,-6.40634985,36.640018,2.366222375,-2.6298718
1,13.25,400.80968,0.3047550175,1.22737505,0.05686243025,-3.3617207,-0.154743903999999,-35.364069,-17.69072725,-12.3188105,0.5877978525,0.03646076875,-0.32764181,0.214911505,0.201259615,0.07417029675,82.260966,-3.75946885,17.75209825,1.4884266,-3.9128769,0.08630959325,-1.9750844,90.410665,156.67278,56.015428,220.3567775,294.0434,-4.2450077,18.5732,-5.4547022,35.400577,2.516917375,-2.4378866
