DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
12,6.25,-73.2961375,-22.7406475,-4.9739625,0.05746,409.607,4.18937875,4.62282500000002,0.232288625,0.280921455944461,0.258002007868753,0.0653083770911825,2.184375,36.98075,99.104554,-111.5375,0,0,-15.75875,-9.52125,3.0474,5.2462,8.2475,8.1944,10.568,3.8084,5.1722,7.2308,8.404,10.406,5.2066,6.9852,8.226,8.886,10.58,5.2433,6.679275,7.701575,8.656,10.136
12,6.75,-63.8041125,-21.18957,-4.1745915,0.05826,410.025025,4.10464425,4.84130000000002,0.12757415,0.243211981327244,0.250858522815187,0.0697687182911707,1.9861,37.419,99.154178,-111.425,0,0,-15.8475,-9.7375,2.822,5.0876,8.14925,8.1212,10.576,3.9266,5.2032,7.1886,8.342,10.412,5.0524,6.8362,8.16,8.836,10.57,5.1726,6.712175,7.669425,8.64075,10.1295
12,7.25,-66.13568,-12.720223,-2.261358,0.0499075,408.7915,4.008918,4.93460000000002,0.120545125,0.250259552963402,0.214056345873338,0.0714156232472048,2.33025,36.01,99.143102,-110.75,0,0,-15.51375,-9.9425,2.7654,4.962,8.0476,8.05,10.574,4.0156,5.254,7.171,8.3,10.396,4.939,6.709,8.032,8.802,10.57,5.149975,6.735675,7.65695,8.629,10.11125
12,7.75,-63.2057025,-6.412536,-10.425103,0.05396,408.4075,4.173755,4.60680000000001,0.104134,0.2342729403586,0.224432441935424,0.0808149406112786,2.176375,35.124,99.131984,-100.3125,1.4921422491644,0.259502999854678,-15.07,-10.125,2.7848,4.832,7.91975,7.9888,10.566,4.0032,5.2742,7.0848,8.254,10.38,4.8656,6.6418,7.9622,8.78,10.548,5.1242,6.698325,7.655775,8.59075,10.1095
12,8.25,-48.983155,2.8890065,-10.91104,0.04804,408.301875,4.57889425,4.78940000000003,0.154054,0.243590498649916,0.178145358504115,0.086010095777015,1.940625,35.074,99.14775,-103.3625,11.1261911187693,0.778508999564035,-14.76375,-10.3,2.8902,4.7388,7.76855,7.922,10.564,3.978,5.2776,7.0116,8.202,10.364,4.76,6.565,7.8884,8.764,10.532,5.031425,6.689625,7.65185,8.5295,10.09775
12,8.75,-31.15728,8.71964125,-13.40095,0.04758,407.7016,4.83746975,5.42820000000002,0.136897,0.273713036163172,0.258223591908686,0.104975148552759,2.335625,35.119,99.192456,-68.15375,24.8474122360854,2.07602399883743,-14.495,-10.4625,3.2,4.7604,7.69365,7.8588,10.532,3.9642,5.19,6.9534,8.17,10.318,4.651,6.4586,7.7734,8.74,10.538,4.93895,6.61195,7.57065,8.46825,10.076
12,9.25,-29.07245,8.976425,-15.23756,0.06556,405.1838,4.57789025,6.12780000000005,0.324523,0.343002786663471,0.277560450899868,0.132205265615106,3.66025,33.41375,99.219428,-30.30375,47.2944217235152,3.47085262305633,-13.97375,-10.57875,4.0652,4.8128,7.6653,7.7728,10.486,4.2684,5.2274,6.8742,8.142,10.258,4.5326,6.1872,7.6286,8.56,10.486,4.8918,6.54135,7.500275,8.41125,10.026
12,9.75,-18.93917,10.84619,-16.29565,0.0834,406.8535,4.494364,6.77120000000004,0.2828532,0.312836707053408,0.336188440308306,0.140978240986855,4.835875,31.5195,99.253846,-14.96375,66.4652058377795,5.38468724698458,-12.7825,-10.6175,4.6144,5.0656,7.652125,7.7542,10.476,4.638,5.4274,6.8358,8.09,10.234,4.6304,6.0204,7.4774,8.464,10.446,5.329275,6.53955,7.453825,8.35075,9.99125
12,10.25,-5.51160875,14.1656875,-19.1466,0.07661,406.44455,4.46527625,7.42002500000003,0.536148725,0.34639767333657,0.3458015755328,0.154907062268644,5.59875,29.7875,99.29401,-17.080125,97.3136249455044,6.35782349643962,-10.93875,-10.63625,5.1768,5.3914,7.6771,7.7656,10.492,5.2578,5.6814,6.8844,8.078,10.23,4.877,6.0734,7.4724,8.454,10.464,6.022975,6.672775,7.4773,8.3255,9.98475
12,10.75,-15.402976,16.8105975,-20.205075,0.0658175,406.3095,4.436245,7.78062500000001,0.3054077,0.376723647498891,0.385939283877386,0.160084864743585,6.1855,27.90425,99.322658,5.190625,129.167618177666,8.01215512051319,-8.524375,-10.53125,5.761,5.6646,7.7586,7.8164,10.506,5.8396,6.1006,6.965,8.072,10.234,5.2264,6.2496,7.494,8.438,10.466,6.478725,6.88055,7.53215,8.30375,9.97475
12,11.25,-14.177065,13.41878,-20.510245,0.08419,405.50505,4.480407,7.36615000000003,0.4301921,0.337174767438062,0.382757122379724,0.158096364057719,6.257,27.78275,99.318862,-13.85,122.939546181154,8.14190662044053,-5.9895,-10.225,6.8766,6.0866,7.82845,7.9378,10.512,6.3444,6.4034,7.0734,8.086,10.244,5.8486,6.4208,7.5504,8.418,10.45,6.9534,7.076975,7.6268,8.31725,10.00125
12,11.75,-2.13259305,16.0115,-18.6465925,0.09572,405.4057,4.4796675,8.23480000000002,0.378792,0.420744751733403,0.414141786890318,0.178491668812894,6.287625,26.46375,99.323652,-11.601,110.775343062966,7.65533849571301,-4.318625,-9.78,7.5032,6.8354,8.054,8.1256,10.508,6.9544,6.6758,7.2244,8.126,10.226,6.4302,6.7114,7.5854,8.416,10.464,7.39055,7.293875,7.713925,8.322,9.983
12,12.25,-9.0461075,14.62628,-19.33951,0.1042204,405.665475,4.305831,8.77617500000002,0.4330025,0.416040511314692,0.433606477742951,0.188722303755389,6.314875,24.151,99.289528,24.59,156.091054412589,11.6776349934605,-3.305875,-9.18875,7.6528,7.6298,8.24825,8.348,10.51,7.2472,7.0664,7.4056,8.204,10.226,6.7652,7.013,7.642,8.416,10.45,7.802075,7.5093,7.7914,8.33375,9.97475
12,12.75,-4.168476,17.8118275,-20.45509,0.081515,404.424975,4.35034075,9.487075,0.4937111,0.410286527332355,0.431956030096124,0.168907243815418,6.580625,23.9085,99.278932,15.42625,180.192395524093,13.5914696173888,-2.477625,-8.46625,7.7808,7.8718,8.303,8.514,10.47,7.509,7.3212,7.6112,8.298,10.186,7.1524,7.321,7.676,8.452,10.446,8.40075,7.738,7.880525,8.385,9.95
