DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
1,12.25,-0.57,16.78,60.774,-2.02053,-1.973515,-2,405.15,5.9,90.15,4.24,0.36632,6.2574,3.095,4.21,59.428335,612.4,317.6,54.98,277.06667,332.4333,199.03,2.19,1.131,1.1465,1.66,2.93,4.47,0.251355,0.66083,0.682,0.36545,1.2,-0.8615,-3.04131,-2.20231
1,12.75,-0.6335,17.21,59.61981295,-1.31126,-1.519865,-1.384055,404,5.8601816315,90.126,4.79936,0.364304575,7.03049,3.53,4.565,59.048,612.05,313.09,54.89,280.2,333.7,193.33,2.518,1.327,1.179,1.658,2.918,4.46,0.26056,0.694395,0.70568,0.3727685535,1.30465,-0.869,-3.0738,-2.10043
1,13.25,-0.5637,16.745,60.6590403,-1.06402,-1.025105,-1.00052,404.1,5.8,90.096715,5.04,0.36,7.52268,3.982,4.99,58.21,576.53,292.05,53.74165,281.285,334.45,178.11,2.867,1.592,1.289,1.657,2.882,4.457,0.25672,0.73738,0.702085,0.36724,1.3925,-0.514,-3.07395,-2.30039
1,13.75,-0.529839,14.41,53.79024,-1.0637,-0.922205,-1,404.1,5.810449457,90.088,5.31811,0.326136245,7.68548,4.195,5.04865,57.58,528.92,268.77,49.854,281.585,335.733335,164.28,2.7715,1.675,1.349,1.69,2.903,4.4685,0.27,0.7,0.744516174,0.36925,1.506,-0.8245,-3.0752,-3.000125
1,14.25,-0.46765,14.49865,42.055,-1.063375,-0.427055,-1,403.5,5.9,90.07388,5.66,0.29,7.73878,4.515165,5.167,56.913335,474.86667,246.07,42.679,279.66,336.3,133.53,2.877,1.8995,1.528,1.792,2.975,4.5465,0.276035,0.69626,0.67,0.35724,1.441002746,-0.6085,-3.075385,-2.018885
1,14.75,-0.31,11.62,27.315,-1.0633,-0.9568,-1,403.3,5.9,90.07661,5.700999237,0.26,7.827735,4.636665,5.34,55.935,397.99,212.85165,39.255,280.69835,335.915,104.04835,3.089,1.855,1.6085,1.83,3.031,4.553,0.257,0.681815,0.691446177,0.3566669215,1.52,-0.17,-3.07518,-2.002215
1,15.25,-0.27,7.91,15.327,-1.06336,-1,-1,403.3,5.9,90.1,5.6550808045,0.21695,7.351135,4.62,5.234,56.93,274.06,145.17,33.18,277.55,333.815,65.09667,3.058,1.94,1.6855,1.873,3.02,4.56,0.254,0.665485,0.695,0.3111,1.499,-0.107,-3.076015,-2.001965
1,15.75,-0.0780677,4.22,3.07574,-1.06357,-1.2,-1,403.5,5.907595,90.12,5.37,0.1811,7.063505,4.47,5.108,58.80667,171.27,97.97,26.331665,276.06835,331.785,26.2085,2.53,1.952,1.7785,1.933,3.013,4.532,0.23,0.630754794,0.58,0.29,1.39,0.6035,-3.07568,-2.001885
1,16.25,-0.0153305,2.37,-4.07,-1.0636,-2,-0.13342,404.5,5.90635,90.13,5.196,0.23,6.09363,4.30035,4.88735,60.631,85.145,43.408335,12.529,270.13333,328.7,-9.4697,1.817,1.831,1.87,1.96,3.03,4.526,0.2,0.57125,0.51407,0.233295,1.3488,1.1345,-3.07611,-2.00189
1,16.75,0.02,0.389402949,-6.41248,-1.064,-2,0,405.7,5.9,90.135805,4.357445,0.38,4.6278,3.502,4.07085,64.8935,28.4265,6.384815,1.57,271.87,324.435,-45.73,1.209,1.523,1.866,2.03,3.067,4.566,0.165,0.58,0.510535,0.19,1.22,1.7485,-3.0764,-2.001855
1,17.25,0.13,0.1865736005,-4.627,-1.06436,-2.05031,-0.1335,407.3,5.8,90.1672,3.396,0.4,3.05196,2.46,3.1255,67.75665,2.61,0,0,273.565,319.83,-50.503335,0.82,1.324,1.856,2.042,3.06,4.567,0.13232,0.5,0.49,0.141085,1.25865,1.647,-2.68347,-2.00178
1,17.75,0.153,0.13887,-3.58,-1.8,-2.05129,-1,409.5446,5.794785,90.159015,2.077031241,0.443162042,1.92494,1.45,2.08865,69.956,0,0,0,268.79835,316.43335,-49.625,0.679,1.127,1.825,2.031,3.05,4.56,0.12535,0.476365,0.54,0.14,1.22345,1.215,-2.56389,-2.001965
1,18.25,0.29,0.08115,-3.88,-2.1,-2.1,-1,410.7,5.76185,90.1535,1.29,0.405,1.11809,0.722,1.1623,73.409,0,0,0,266.531665,314.448335,-47.343335,0.48,0.95,1.7505,2.07,3.048,4.505,0.10695,0.49,0.48,0.1238,1.231,1.0125,-2.56389,-2.001975
1,18.75,0.2833,0.27,-3.41,-2.1,-2.1,-1,412.5107274,5.710055,90.165835,0.64294,0.4,0.882495,-0.05,0.54,77.22667,0,0,0,267.2,312.9,-43.821665,0.414,0.93,1.67,2.0655,3.021,4.4885,0.10829,0.44,0.45021,0.11,1.22,1.1695,-3.07635,-2.0021
1,19.25,0.33,0.236,-2.296525,-2.1,-2.1,-1.00105,413.7,5.69019,90.14885,0.045,0.346575,0.57999,-0.409,0.10233,78.176,0,0,0,267.25,310.266665,-43.598335,0.378,0.8355,1.594,2.041,3.006,4.4675,0.1,0.43815,0.475,0.11,1.185,1.422,-3.07635,-2.0021
1,19.75,0.3495,0.13,-2.467,-2.12765,-2.1,-1.0014,414.4,5.600047863,90.15586,-0.37633,0.33491,-0.02362,-0.80385,-0.3455,80.435,0,0,0,267.835,309.516665,-41.785,0.31,0.8,1.5415,2.023,2.995,4.46,0.09,0.439275,0.47887,0.1072,1.1545,1.367,-3.795225,-2.00241
1,20.25,0.27,0.046,-1.934553481,-2.12793,-2.1,-1.8,415.5,5.6,90.14783,-0.902055,0.310841543,-0.1953,-1.055,-0.789,81.606,0,0,0,266.27,307.531665,-39.835,0.22,0.7,1.495,2.027,2.99,4.45,0.093775,0.43679,0.4952883925,0.10237,1.179725,1.1855,-4.10157,-2.002545
1,20.75,0.28,0.195,-1.72225,-2.12816,-2.1,-2,414.65,5.5,90.1411,-1.105986417,0.29,-0.5079,-1.372,-1.02165,82.709,0,0,0,266.26665,306.44835,-39.293335,0.187,0.67,1.4885,2.044,3,4.43,0.094924277,0.42,0.4663,0.09753,1.12,0.987,-4.103655,-2.002725
1,21.25,0.4882975,0.285,-2.33,-2.12816,-2.1,-2,415.2,5.5567953605,90.180575,-1.3412,0.31668,-0.7118,-1.527,-1.12,82.761,0,0,0,266.801665,305.700015,-42.105,0.059,0.5955,1.444,2.0195,2.99,4.432,0.1,0.42,0.48,0.09981,1.1225472905,0.821,-4.10289,-2.00278
1,21.75,0.35585,0.13,-1.79,-2.12816,-2.1,-2,415.88559,5.5,90.22,-1.69,0.29,-0.91297,-1.834165,-1.32485,84.36667,0,0,0,267.63,304.76667,-37.1,-0.009,0.552,1.417,2.0045,2.98,4.4045,0.09244,0.43,0.47269,0.09,1.144,0.9765,-4.10425,-2.00278
1,22.25,0.5023975,0.133,-1.345,-2.12816,-2.1,-2,415.73341,5.5,90.27,-1.968679913,0.287315,-1.01214,-2.004,-1.5817,85.1525,0,0,0,269.7,304.36667,-33.945,-0.0205,0.53,1.382,1.9795,2.965,4.3945,0.0975261335,0.38,0.4311653935,0.091485,1.1,0.984,-4.10425,-2.00278
1,22.75,0.4001,0.15617,-1.4965,-2.12835,-2.1,-2,415.81996,5.5,90.264,-2.045,0.3,-0.818335,-2.287335,-1.7485,86.316,0,0,0,268.17,303.165,-36.35,-0.04,0.52,1.3525,1.95,2.951,4.39,0.09,0.397945,0.43,0.09,1.105,0.7745,-4.61728,-2.00278
1,23.25,0.5511,0.03587,-1.4935,-2.12836,-2.1,-2.0016,415.6,5.414,90.24545,-1.89523,0.29,-0.89932,-2.11185,-1.7435,87.0667,0,0,0,269.33,302.7,-34.8385,-0.0695,0.49,1.332,1.9285,2.958,4.391,0.09,0.41,0.44,0.09,1.1095,0.984,-4.99219,-2.00278
1,23.75,0.41,0.1523,-1.8854,-2.1289,-3.0761,-2.0016,415.3,5.4,90.24,-2.02,0.29,-0.990305,-2.296,-1.84415,87.43,0,0,0,267.63,302.385,-36.05,-0.085,0.462,1.267,1.906,2.9595,4.38,0.09,0.38743,0.479175,0.09038,1.1,0.994,-5.0606,-2.00278
2,0.25,0.657765,0.19142578,-7.2013,-4.3,-5.1269,-2.00179,413.035635,5.1138,89.8832,-0.0056,0.29357,-0.74912,-1.3605,-1.2435,81.985,0,0,0,269.75,309.03333,-36.873,0.04,0.59,1.9,2.73,3.26,4.202,0.16,0.6764648505,0.6691,0.21,1.24433,0.921,-21.876225,-2.2538
2,0.75,0.66,0.185,-4.6452,-4.3,-5.1269,-2.002,412.46906,5.0276,89.87276,-0.24283,0.28,-0.69724,-1.4095,-1.304,81.7525,0,0,0,269.185,308.07,-41.87,0,0.542,1.803,2.667,3.276,4.204,0.160135,0.66943,0.7208999165,0.19565,1.27995,0.974,-20.876415,-2.503845
2,1.25,0.5556,0.265,-4.23,-4.8804,-5.1269,-2.002,413.13484,5.1,89.8895,-0.31445,0.29,-0.931795,-1.505,-1.2115,82.051665,0,0,0,268.835,307.53,-42.387,-0.005,0.52,1.736,2.6195,3.246,4.217,0.14885,0.655,0.64,0.16918,1.217,0.911,-21.54904,-2.20233
2,1.75,0.61,0.36,-5.66612,-5.3,-5.1,-2.002,413.466,5.04686,89.86,-0.470615,0.29393,-1.0025,-1.591335,-1.33,82.591835,0,0,0,269.3,306.93,-37.6,-0.012,0.48,1.671,2.58,3.272,4.216,0.154,0.66,0.65702,0.19,1.2243,0.974,-20.979485,-3.00355
2,2.25,0.555,0.265465,-5.308,-4.39821,-4.41018,-2.002,414,4.9955,89.855,-0.545205,0.3,-1.397,-1.59167,-1.24,84.126,0,0,0,271.38,306.40165,-37.193335,-0.069,0.435,1.585,2.4835,3.2415,4.203,0.15917,0.7026472575,0.7,0.20085,1.26849,1.0075,-23.35771,-3.003635
2,2.75,0.5673835,0.5271,-7.509,-4.331065,-5.1,-2.00228,413.365,4.939832259,89.833775,-0.565156466,0.28857,-1.43423,-1.497165,-1.164,84.5365,0,0,0,271.165,305.9667,-37.7,-0.1165,0.42,1.541,2.488,3.2155,4.184,0.15166,0.66019,0.6968,0.2,1.28,0.894,-23.0886,-3.00373
2,3.25,0.589669,0.28899,-7.52,-4.260515,-5.12919,-2.0022,413.269,4.9663,89.83,-0.57213,0.3,-1.146665,-1.529,-1.06,84.57,0,0,0,273.468335,306.865,-36.73665,-0.1365,0.4065,1.508,2.4805,3.2185,4.197,0.173085,0.6417,0.686095,0.19,1.354235,0.9735,-23.089155,-3.00417
2,3.75,0.60909,0.55,-7.865,-4.2589,-5.1269,-2.0023,412.5,4.9,89.8315,-0.60012,0.3,-1.127695,-1.57,-1.3,84.57,0,0,0,269.985,306.03,-41.77667,-0.15,0.39,1.45,2.435,3.24,4.184,0.15872,0.67391,0.6674,0.21,1.38013,0.7465,-23.458835,-3.004215
2,4.25,0.46,0.412,-6.95975,-4.7176,-5.12728,-2.0027,412.87759325,4.9,89.81375,-0.855695,0.29,-1.283395,-1.7755,-1.495,85.385,0,0,0,271.5,305.98335,-37.828335,-0.161,0.375,1.39,2.452,3.26,4.201,0.14794,0.63,0.65,0.2,1.311,0.693,-23.242505,-3.0044
2,4.75,0.48,0.288,-4.27,-5.3215,-5.12728,-2.00278,412.9,4.9,89.8132,-1.07,0.29,-1.40235,-1.906835,-1.67915,85.7,0,0,0,272.1,305.715,-34.533335,-0.2,0.361,1.36,2.41,3.301,4.204,0.14,0.57,0.68,0.17,1.23,0.824,-23.096055,-3.004925
