DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
6,18.25,19.0508,-1.27403,1.34234,-1.1343025,-0.641107,-0.042575,-0.34131125,379.6980989,0.29371531,6.678515,0.077722712,1.06099,1.007735,0.383834,3.15684012525,0.33971685,30.3539275,0.19503675,30.565,6.0285,84.9,34.36334185,35.15,32.6925,33.73,-16.866085,-13.992915,63.61449,15.4451,-52.78,143.134025,19.845
6,18.75,-9.1628075,-2.096105,0.40519793675,-1.038755,-0.24916153525,-0.040925,-0.276189,379.43457565,0.2534871695,6.859322975,0.073144949,0.92161075,0.7648905,0.33983075,3.19599496275,0.2939896,29.7624,0.21479875,29.54,6.3245,84.9,32.48097605,32.22,30.8075,33.05,-23.523915,-22.4005,26.53,6.907664,-92.9,60.9039675,8.067527
6,19.25,-24.9894,-3.3760025,-2.3022315845,-0.71808,-0.032475,-0.049475,-0.194314,379.1725,0.34970408,6.947906152,0.052600971,0.62838525,0.5689685,0.25282825,2.7952725,0.2158395,28.817025,0.28324775,28.005,7.3915,84.9,30.226380605,30.295,28.8225,32.29,-29.6644375,-26.6936425,3.720642,0.92806,-111.7395,8.85425,1.000118
6,19.75,-27.5871,-5.0724725,-2.2800375,-0.68962625,-0.047675,-0.069425,-0.1350595,378.728,0.41119997,6.999028447,0.03664447575,0.4655625,0.55372475,0.18811375,2.6128625,0.162815,27.8183075,0.2981395,26.705,8.085,84.9,28.197,27.595,26.55,30.835,-35.285455,-32.29356,0.052195,-0.03590457,-106.6,0.1292791,-0.1572286
6,20.25,-29.033696445,-5.39194,-1.76287,-0.6872115,0.0075475,-0.0708,-0.12228925,378.7685,0.44007299,7.096835,0.040900039,0.45202075,0.44156825,0.1821845,2.6264375,0.1399475,27.003175,0.29848725,25.845,8.73,84.975,26.233816685,26.115,24.55,30.16,-37.705025,-36.059,-0.001655,-0.05739167,-99.9875,8.29e-05,-0.196245
6,20.75,-30.118432055,-3.8884725,-1.7371361085,-0.64596,0.0449,-0.037225,-0.14777825,378.488,0.465072775,7.1390697545,0.04114610625,0.441576,0.43592125,0.1736495,2.559475,0.133473,26.61725,0.31271425,25.345,9.065,85,24.41363897,24.835,23.06,29.34,-37.85108,-37.0165,-0.0018456,-0.05692063,-94.674,-0.000463855,-0.1957422
6,21.25,-31.2028,-2.737715,-1.581305,-0.641391,0.074775,-0.0366,-0.16779425,378.5413933,0.4696859865,7.228815,0.04575756975,0.43827375,0.4261495,0.17165725,2.670495,0.1211249,26.290225,0.2847455,24.925,9.385,85,23.407421125,24.12,22,28.63,-38.1175125,-37.48475,-0.001773769,-0.05588179,-92.1385,-0.0004339825,-0.1863197
6,21.75,-32.02075,-2.4516325,-1.616335,-0.71300475,0.071825,-0.031675,-0.1683345,378.429,0.445666245,7.25805,0.04259043625,0.42480525,0.44733825,0.17368175,2.6009925,0.1171185,25.86876,0.28796,24.48,9.52,85,22.809,23.375,21.41,27.905,-37.587225,-37.8395,-0.001743706,-0.055171,-89.0765,-0.00043636,-0.1815892
6,22.25,-30.514590465,-2.36448,-1.1101925,-0.783355,0.078430158,-0.030475,-0.18038325,378.3425,0.42021748,7.34944,0.0388502445,0.449824,0.4073545,0.16186275,2.585825,0.1153665,25.65385,0.29022075,24.065,9.995,85,22.108159905,22.845,20.81,27.225,-36.25765,-37.339,-0.001755778,-0.055646,-86.7935,-0.0004280825,-0.17923
6,22.75,-31.7632,-2.177155,-1.20016,-0.86527725,0.1155015,-0.0359,-0.19227225,378.3956089,0.449640646,7.3140998765,0.040264953,0.4504785,0.42307325,0.15560725,2.7070379985,0.1161085,25.35125,0.27237525,23.61,10.645,85,21.623160835,22.49,20.35,26.68,-35.90666,-37.125895,-0.001714982,-0.055642,-84.9455,-0.0003863175,-0.1749552
