DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,15.75,-0.4896,-0.69425,-2.208,-47.8971,0.136,-0.244925,371.8114,0.2915,-26.0275,26.73315,1.439125,-13.0645,48.79375,0.528525,97.0024,-3.78865,-3.34265,-2.8754,-2.364425,0.0534750000000001,2.3479,-8.82325,-3.25245,-4.039,-1.857625,0.47615,2.494475,-8.06915,-6.87305,0.19521,0.35935
1,16.25,-0.2876,-0.42995,-1.82055,-61.19285,0.11235,-0.2678,371.852825,0.29455,-37.6025,10.183825,0.6504,-13.17725,51.9595,0.495325,97.022,-3.72925,-3.2894,-2.855825,-2.119725,0.1496,2.3496,-8.8365,-2.8531,-3.84865,-1.5288,0.222675,2.532625,-9.13275,-7.724275,0.15709,0.29049
1,16.75,-0.231,-0.31015,-2.2938,-72.590025,0.0722,-0.2091,371.270275,0.29475,-56.78,0,0,-13.9535,53.88425,0.388775,97.04,-3.934875,-3.222,-2.8147,-2.34365,-0.03135,2.371675,-8.83975,-3.321075,-3.784,-1.4772,0.518575,2.48905,-10.45025,-8.8165,0.11392,0.25029
1,17.25,-0.3208,-0.3767,-2.9214,-82.902,0.0464,-0.23985,371.69445,0.3972,-75.4725,0,0,-14.81175,54.91325,0.26385,97.1,-3.83595,-3.36595,-2.76635,-2.0476,0.0578750000000001,2.40165,-8.83625,-2.84555,-4.07435,-1.5574,0.494025,2.568625,-11.8845,-11.3015,0.071875,0.1933
1,17.75,-0.1305,-0.2767,-2.7587,-80.083425,0.0294,-0.2312,372.17635,0.4256,-79.755,0,0,-15.298,56.04925,0.192275,97.1,-3.997575,-3.334775,-2.90585,-2.107775,0.456125,2.44755,-8.84275,-2.9837,-4.090525,-1.4874,0.3725,2.500925,-12.666,-12.51175,0.0658,0.18178
1,18.25,-0.139,-0.246125,-3.089625,-82.5596,0.0227,-0.1983,372.48835,0.4354,-79.225,0,0,-15.579,56.931,0.177225,97.1,-4.0909,-3.25055,-2.9338,-2.115775,0.516675,2.3729,-8.86625,-3.01375,-3.684,-1.7911,0.156875,2.5019,-14.38475,-13.09525,0.052425,0.171325
1,18.75,-0.1075,-0.26975,-2.8055,-80.57025,0.020675,-0.25035,371.93845,0.4268,-78.893,0,0,-15.8665,58.2575,0.123225,97,-4.2086,-3.44005,-2.999925,-2.187725,0.48885,2.3778,-8.88625,-3.164875,-4.047825,-1.7513,0.297275,2.5297,-15.4035,-13.656,0.0439125,0.1754
1,19.25,-0.21825,-0.2578,-2.369775,-86.342025,0.014625,-0.322125,371.8614,0.40045,-78.8125,0,0,-16.09475,57.96475,0.07325,96.9152,-4.1873,-3.491125,-3.07515,-1.954825,0.44235,2.361,-8.87975,-2.9559,-3.57275,-1.4725,0.22535,2.4926,-16.26,-13.496,0.0354925,0.15794
1,19.75,-0.1537,-0.282125,-3.4025,-82.948125,0.021,-0.3102,371.804425,0.42745,-78.78,0,0,-16.443,58.6865,0.07625,96.9248,-4.426975,-3.420925,-3.0842,-1.92855,0.467575,2.37215,-8.8765,-2.836375,-3.43055,-1.3988,0.2668,2.53525,-16.918,-13.74025,0.03578,0.14039
1,20.25,-0.23975,-0.332,-5.02575,-80.054075,0.0206,-0.30775,372.0175,0.4515,-80.05,0,0,-16.4235,60.1925,0.084425,96.9344,-4.25725,-3.5092,-2.98395,-1.903,0.5191,2.3732,-8.901,-2.9318,-3.241825,-1.5848,0.2588,2.56595,-17.129,-14.05025,0.0365625,0.15209
1,20.75,-0.231,-0.33625,-3.427,-85.679725,0.019,-0.495675,372.717775,0.44775,-79.6675,0,0,-16.47725,59.28425,0.09685,96.904,-4.504,-3.699425,-3.095425,-1.731675,0.527675,2.36335,-8.8995,-2.9358,-3.526,-1.62685,0.38125,2.538625,-18.3665,-14.7405,0.0320575,0.1541
1,21.25,-0.381275,-0.594325,-4.8206,-85.0935,0.018,-0.368525,372.8218,0.442,-78.8125,0,0,-16.943,59.16,0.1017,97.04,-4.61455,-3.662,-3.13765,-1.950275,0.54825,2.367025,-8.90625,-3.06165,-3.617,-1.65485,0.55725,2.5286,-19.27825,-15.22275,0.041175,0.154225
1,21.75,-0.23895,-0.486,-3.24335,-87.099175,0.0187,-0.297925,373.230725,0.44545,-79.825,0,0,-17.263,59.7705,0.07485,97,-4.5119,-3.67825,-3.10415,-1.817525,0.5951,2.36435,-8.914,-3.3664,-3.597,-1.619375,0.37845,2.5286,-19.8315,-15.78125,0.0348,0.1586875
1,22.25,-0.195825,-0.3448,-3.31025,-87.0478,0.01935,-0.347625,373.267325,0.42495,-80,0,0,-17.51725,60.6255,0.0647,97,-4.5052,-3.668175,-3.118975,-2.0606,0.6214,2.35585,-8.91975,-3.2885,-3.588,-1.5365,0.331375,2.5001,-18.88125,-15.52275,0.033625,0.1519625
1,22.75,-0.2572,-0.3075,-3.001375,-82.20525,0.015675,-0.284525,372.58735,0.4182,-77.7275,0,0,-17.571,61.94675,0.056975,97,-4.5145,-3.661875,-3.114975,-1.944575,0.5595,2.356875,-8.92325,-3.117425,-3.4466,-1.65385,0.112425,2.539625,-18.7555,-16.09875,0.035,0.142025
1,23.25,-0.25875,-0.406875,-2.43075,-84.13885,0.0217,-0.3884,372.15365,0.43465,-77.275,0,0,-17.6015,61.3745,0.0427,97,-4.5785,-3.64355,-3.1577,-2.03935,0.6893,2.369725,-8.913,-3.296025,-3.678,-1.77125,0.0138750000000001,2.5327,-18.2955,-18.66975,0.03556,0.1387125
1,23.75,-0.2337,-0.40855,-2.861,-80.4576,0.019175,-0.293,373.21955,0.41175,-78.9,0,0,-17.92225,62.194,0.043625,96.94,-4.5938,-3.672325,-3.084275,-1.80425,0.68215,2.356225,-8.9095,-3.266475,-3.58185,-1.7292,0.396775,2.524425,-17.88425,-17.6205,0.039435,0.1649725
2,0.25,-0.433325,-0.5842,-2.917,-80.21355,0.014,-0.4767,389.4732,0.75825,-80.96,0,0,-16.844,59.1398,0.00210000000000001,96.2535,-3.226,-2.2207,-1.7361,-1.1838,-0.34005,1.34675,-10.4445,-1.9746,-2.3421,-1.374375,-0.1501,1.5235,-20.3,-13.748,0.026845,0.1445325
2,0.75,-0.319875,-0.437,-3.8073,-81.437,0.012,-0.26,390.588175,0.764,-81.36,0,0,-17.095,59.609,0.00350000000000001,96.2481,-3.184375,-2.22445,-1.73425,-1.1911,-0.33805,1.3584,-10.444,-1.8912,-2.489075,-1.480575,-0.335375,1.48985,-21.36,-13.971,0.03115,0.1507
2,1.25,-0.36,-0.4136,-2.993125,-86.0714,0.01175,-0.391225,390.372,0.75975,-81.22,0,0,-17.613,59.488,0.0182,96.2688,-3.1621,-2.22715,-1.75235,-1.2571,-0.26235,1.33465,-10.4535,-1.93305,-2.30965,-1.51995,-0.199,1.4902,-21.44,-13.9975,0.026145,0.1414075
2,1.75,-0.377,-0.621325,-3.28875,-82.712,0.0145,-0.322775,390.0915,0.805,-80.91,0,0,-17.928,60.699,0.0104,96.2778,-3.2244,-2.24995,-1.7334,-1.20615,-0.33735,1.35475,-10.463,-2.0399,-2.163325,-1.49545,-0.1174,1.4396,-20.93,-14.97,0.0308525,0.1395575
2,2.25,-0.4127,-0.491,-3.674925,-84.661625,0.0136,-0.302,391.1458,0.75095,-81.1,0,0,-18.209,60.967,0,96.4,-3.2237,-2.261975,-1.75415,-1.187775,-0.343125,1.3408,-10.47225,-2.05905,-2.310125,-1.6004,-0.2243,1.4101,-21.55,-16.049,0.03258,0.1547
2,2.75,-0.383,-0.7802,-3.60215,-85.161,0.01485,-0.36,390.8038,0.73285,-79.903,0,0,-18.378,62.615,0.00750000000000001,96.37,-3.2363,-2.2736,-1.72295,-1.18925,-0.339825,1.2608,-10.4705,-2.2115,-2.342375,-1.5391,-0.26645,1.4524,-21.04,-16.626,0.03159,0.14545
