DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
5,12.75,1844.7930555,66.44495536,944.45446095,110.232266925,399,458.117246975,744.26728055,26.65,66.162595,399.44733975,20.07367825,4.085275,0.7785985,18.035933,19.06006225,19.5,21.0442925,98.7,-6.331037,0.234361,281.46052125,8.42887,260.547118,0.1464015,-10.283345
5,13.25,1783.7862745,64.28917422,919.32930605,107.1660974,399.967415425,459,722.5,26.922515,65.9375075,399.441011,20.224444,4.2161015,0.77246725,18.158,19.99598325,19.5,20,98.68066,-6.254179,0.24768025,277.05190925,10.195728,248.251087,0.17750975,-8.1952245
5,13.75,1696.65911925,62.11232701,881.00743495,104,401,460,682.3471015,27.12205,66.208165,398.7159065,20.344406,4.2217285,0.767268,18.289437,19.962515,19.03448,19,98.66962,-5.873665,0.27571225,265.965602,9.757456,230.262809,0.094152,-8.916902
5,14.25,1571.2559675,59.84702025,826.541356775,99.4463957075,401.2823105,460.9675805,632.3079493,27.1388325,66.445,398.8155185,20.318683,4.220803,0.746649,18.32748,20.04820475,18.92371,18,98.64738,-5.441945,0.2644115,253.39416325,11.2591135,215.676057,0.157481,-8.1727635
5,14.75,1413.695782,56.1357645,758.1008365,92.39931991,400.5768875,458.442671175,572.03742135,27.1838275,66.14187,398.2490355,20.477358,4.08253625,0.7522205,18.386,19.6890775,18.515245,17.867425,98.60627,-4.677073,0.33425225,236.464831,10.234025,182.9665595,0.09290875,-7.35186975
5,15.25,1245.11676925,51.2665401775,680.166357,84.451881875,399.770439825,457.750633925,503.25,27.2816375,66.88,397.500081,20.380247,4.141013,0.732735,18.485,19.380097,18.35459,17.80613,98.6,-3.93981025,0.439556,222.09767975,6.8283845,151.496467,0.184551,-5.89337775
5,15.75,1070.81544725,45.791869285,596.23001865,76.64134341,398,457.824806075,426.116366625,27.32,68.3266675,397.557758,20.3114995,4.048525,0.715728,18.52,19.192403,18.05302,17,98.6,-3.613661,0.572207,189.80529025,11.32310125,113.7126305,0.31364875,-5.10810575
5,16.25,883.0458,41,498.173280675,68,397,456.496713125,339,27.2,68.01,397.8138365,20.2041495,3.951313,0.702379,18.55905,18.417095,17.978125,16.215385,98.58611,-2.409803,0.5402655,173.85071,9.7206095,81.3529,0.42139825,-3.7720525
5,16.75,706.33207325,36,399.559433125,59,393.14503875,454.8667913,246.04580775,27.1,69.97123,397.831741,20.14146,3.866977,0.669734,18.60190225,17.71697,17.13812,16,98.577285,-1.04907725,0.7223665,136.345484,10.667598,53.00301425,0.36900625,-1.9493085
5,17.25,570.133952925,31,300.646468375,50,392.9542245,452.2244895,163.8916861,26.95514,70.0845,398.1738275,20.4806975,3.874791,0.63772825,18.558624,17,16.4897125,15.3923225,98.56137,-0.485974,0.84062225,107.604115,12.47104075,24.666443,0.475753,-1.06353
5,17.75,380.293959125,23.4642634375,200.0898545,39.953453965,391.362841125,449,78.89683744,26.55282,71.42931,398.978432,20.380128,3.6728315,0.5664355,18.53847,16.4134325,15.5725125,14.8008575,98.56506,0.32764875,1.13418575,75.6720275,11.18160925,2.52242925,0.71110825,0.51381225
5,18.25,204.08366975,14.200908535,108,27.37536357,389.75164245,445,12.8697554275,26.14,72.50738,400.401159,20.371465,3.32586625,0.49323725,18.492527,15.56604725,14.643285,14.06269,98.56022,0.822609,1.981964,45.027993,10.92431075,-5.6198995,0.87945775,2.2332785
5,18.75,73.93240703,5.106530723,39.231330545,13,386.780481,440.557448275,-18,25.47,74.11394,401.054909,20.302893,3.1608185,0.428399,18.42366,14.17267275,13.98386,13,98.57495,1.450535,2.45895325,23.7812025,8.161928,-4.50328,1.084916,3.74829675
5,19.25,12.1789902225,0.983130647,6,3,385.45076,434.623323625,-32.92932475,24.75,76.59294,402.67404875,20.6393995,3.171797,0.371259,18.401943,13.244203,12.994855,12.373065,98.58251,2.68397425,2.9231195,14.128341,6.97528425,-3.09229,1.2389205,4.85448725
5,19.75,0.381711,0.0127620405,0,2,382.6533365,430.2673319,-36.38392134,24.13,79.6,404.2088755,20.37235425,3.2108055,0.36454,18.37211,12.27901325,12,11.96854,98.59967375,3.30741,2.775698,10.922165,6.38804375,-3,1.554469,5.2311675
5,20.25,0.1986766665,7.6795e-05,0,2,382.4843981,427.169902,-36,23.70154,81.54294,406.229212,20.108372,3.2097835,0.3477805,18.308222,11.268049,11,11.29835,98.6222875,3.63577,3.330982,11,5.887174,-2.96770125,1.803884,5.800457
5,20.75,0.19867025,0.00117752625,0,2,381,424,-34.3365958075,23.18,82.6,408.207045,20.207482,3.205582,0.362212,18.26111,10.33556,10.339745,10.88919,98.6476325,3.7886485,3.0973705,9.394281,6.092202,-2.9173655,1.470031,6.397914
5,21.25,0.197231,0.0039682305,0,2,380.05416975,421.0551001,-33.6203922175,22.48,83.37018,410.17188875,20.009759,3.317345,0.361181,18.188198,9.35804975,9.535806,10.57085,98.67567125,4.075682,2.96771925,10,5.084642,-3.001515,1.13267575,5.692949
5,21.75,0.1958638705,0.0047251565,0,2,377.658469075,419,-32,22.19,84.66892,411.59577,20.186943,3.221604,0.368124,18.122,8.61093425,8.8026185,10.17295,98.67815,3.976369,2.275375,9.586151,4.387888,-3.98796725,0.54404775,6.208084
5,22.25,0.19703725,0.00343404375,0,2,375.1049224,416.06474915,-30.890649,21.89,85.89294,412.46194,20.0152805,3.3137775,0.383945,18.084987,8,8.3237365,9.3545535,98.67354125,4.3596235,2.457939,9,4.4098055,-4.00117675,0.4398145,6.1702605
5,22.75,0.196560391,0.003128231,0,2,374.52304725,414.651628,-32.2068215,21.40604,86.88386,414.012467,20.110827,3.21704725,0.3604995,18.044434,7.76406325,8,8.98526,98.67029,4.027465,2.308859,7,3.02096625,-3,0.2573655,5.927206
5,23.25,0.196501247,0.0033123885,0,2,375.39057025,414.1195034,-32.2747717175,21.2,87.50883,414.945826,19.92325825,3.246598,0.360278,17.98,7.0522015,7.27663725,8.3038315,98.66834,4.320329,2.5401435,6.9349815,3.20536,-3.1802225,0.306361,5.93552275
