DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
7,8.25,3.8365,247.085,186.923,0.7675,407.435,406.6375,408.3625,408.4525,21.0255,20.8815,20.9915,6.79125,7.5945,10.01375,100.497,840.413,413.2,510.984,45.99275,407.1105,421.57775,371.32,1023.6265,19.776,28.47725,4.23245,20.7815,22.28775,21.376,21.4965,20.1465,20.16775,19.8285,97.8,97.9525,99.8525,100,100,19.355,18.511,18.048,15.9279,12.746,11.99
7,8.75,2.871,287.87783837,180.641,0.7465,404.28,404.2825,406.145,406.6525,21.09525,20.96125,21.10675,6.786,7.62925,10.09925,100.484,979.795,451.2505,588.76625,51.83875,403.84,425.85575,436.34425,1181.26725,22.542,31.80525,3.878925,21.466175,22.810925,21.90875,22.04,20.69875,20.757,20.49975,97.81,97.8525,99.8525,100,100,19.563,18.481,17.73,15.983,12.681,11.9231
7,9.25,1.334,349.084846675,182.865,0.804,401.1675,401.335,401.335,400.97,21.1975,21.08,21.1895,6.8045,7.73675,10.239,100.472,1126.48,538.541,675.89225,59.711,404.96375,434.7065,504.594,1368.6615,31.098,34.9155,4.39625,22.317225,23.382075,23.165,23.36525,21.407,21.3735,21.1665,97.4575,97.705,99.8,100,100,19.511,18.258,17.853,16.109,12.636,11.951
7,9.75,-1.1905,396.0079514,219.8765,0.8185,398.27,398.4025,398.0675,398.4675,21.337,21.2195,21.353,6.881,7.901,10.44975,100.469,1223.39,608.234,738.8225,66.83475,415.9195,442.78225,565.39425,1492.7995,35.434,38.47975,4.36345,23.143675,24.444725,24.12875,23.803,22.1535,21.9465,21.6965,97.3675,97.5525,99.8525,100,100,19.533,18.453,17.964,15.905,12.723,11.995
7,10.25,-2.285,349.929948235,261.895,0.8565,397.44,397.05,397.61,397.65,21.575,21.44,21.621,6.9775,8.139,10.73575,100.466,1293.42,617.786,807.291,74.68925,419.0565,448.074,622.151,1623.50175,171.686,41.46425,4.52655,24.160475,25.23295,24.47025,24.86875,22.76525,22.65725,22.36475,96.805,97.5,99.8,100,100,19.485,18.414,18.015,15.977,12.654,11.981
7,10.75,-1.6325,418.92642441,276.362,0.8665,396.93,396.51,396.69,396.14,21.796,21.669,21.884,7.14775,8.404,11.05925,100.463,1377.4085,667.727,851.44325,77.32975,416.12975,452.2305,676.99325,1732.36225,45.82,43.3135,4.394825,24.789625,26.0171,24.4055,25.151,23.883,23.458,23.0405,96.805,97.3525,99.7,100,100,19.756,18.451,17.877,15.875,12.737,11.99
7,11.25,-1.6185,533.965693255,329.716,0.9055,395.62,396.49,395.94,398.09,22.05,21.971,22.275,7.2905,8.6775,11.323,100.458,1422.503,785.2975,901.7755,84.7285,412.028,458.08725,711.65175,1808.803,84.3639999999999,44.5245,4.608725,25.4445,26.54075,24.90575,25.302,24.6205,24.62525,24.1375,96.705,97.205,99.6525,99.9525,100,19.988,18.52,18.102,15.9117,12.621,11.942
7,11.75,-1.12825,468.076292145,337.3505,0.962,394.07,394.06,393.91,395.41,22.294,22.272,22.525,7.41225,8.91975,11.57525,100.454,1487.34,768.8255,923.334,84.785,408.5445,460.67375,736.88475,1880.60525,45.963,47.2015,5.095575,26.04425,27.14255,25.66,26.233,25.39875,25.30725,24.92075,96.505,97.005,99.5525,99.9525,100,20.344,18.61,17.988,15.923,12.734,12.061
7,12.25,-0.896750000000004,452.41411325,375.6545,0.9685,393.3,392.07,392.13,392.77,22.615,22.554,23.189,7.5455,9.16725,11.783,100.457,1504.5055,769.3025,935.31075,87.2365,408.926,462.218,736.97175,1900.3945,44.933,47.65375,5.20765,26.3025,27.8205,26.306,26.773,26.38875,26.312,25.77925,96.3525,96.9525,99.605,99.805,100,20.272,18.712,18.168,15.836,12.654,11.9945
7,12.75,-1.14,459.883207365,368.56575,1.0405,391.06,391.62,390.77,392.42,23.205,23.7064,23.884,7.79675,9.691,12.13425,100.468,1540.0695,758.091,961.42825,91.4905,410.9945,465.1685,763.05175,1948.06025,44.542,49.20725,5.404325,26.688,28.14125,26.7925,26.63975,27.03125,27.02425,26.59675,95.705,96.5725,99.3575,99.805,100,20.5352,18.814,18.108,15.885,12.645,11.907
7,13.25,0.614249999999993,497.135827835,418.5675,0.982,388.74,388.58,389.25,390.07,23.742,24.2252,24.385,8.11925,11.1085,12.91925,100.486,1572.3165,768.8625,961.93225,88.84325,419.03975,465.10725,773.975,2029.0175,42.006,51.9055,5.2935,27.2535,28.3055,26.91025,27.29475,27.404,27.43475,27.10675,95.415,96.4625,99.4625,99.805,100,20.6331,18.929,18.231,15.875,12.645,11.9528
7,13.75,0.380749999999999,443.95707629,396.055,0.9555,388.08,387.67,388.71,389.63,24.237,24.6693,24.806,8.54,12.126,13.802,100.504,1476.875,683.4805,903.477,86.3255,413.81,469.1685,706.144,1872.01,50.122,47.2,5.554225,27.4615,28.92725,26.951,27.6605,27.64325,27.656,27.369,95.4,96.105,99.4625,99.8525,100,20.9222,19.037,18.37,15.807,12.702,11.957
7,14.25,-0.111000000000001,403.75892657,401.587,1.014,387.43,387.14,386.65,387.94,24.512,24.9387,24.979,9.0105,12.87275,14.31625,100.501,1542.1735,730.9595,939.92,90.939,414.54125,466.57425,744.51525,1909.743,108.892,47.26975,4.843,27.84025,29.0775,27.76775,28.10525,28.08975,27.9645,27.63,95.225,96,99.01,99.8525,100,21.1516,18.962,18.355,15.758,12.69,12.034
7,14.75,-0.0955000000000003,403.85427557,382.38,0.96,387.6,387.49,387.48,388.37,24.782,25.1991,25.257,9.4815,13.22775,14.95575,100.509,1420.4955,689.5375,878.12025,84.65475,419.755,465.44025,671.282,1820.8295,144.17,45.96725,4.99905,27.555,29.423,27.63975,28.2835,28.35675,28.2835,28.08775,95.71,96.2575,98.71,99.8,100,21.154,19.064,18.526,15.881,12.63,12.0166
7,15.25,2.27299999999999,413.43399518,413.9025,0.9855,388.39,388.44,388.69,388.9,24.985,25.3421,25.479,9.79725,13.4625,15.734,100.525,1393.674,608.026,857.33525,83.5145,417.033,466.55,645.9435,1763.2765,49.4752499999999,43.6375,5.448,27.59525,29.22025,27.7215,28.69825,28.80325,28.7295,28.40925,95.3,96.3575,98.8675,99.705,100,21.262125,19.2195,18.47325,15.73425,12.63,11.98025
7,15.75,2.8465,467.47974982,298.3015,0.9065,388.24,388.68,388.17,389.06,25.012,25.3391,25.456,10.06875,13.873,16.09325,100.53175,1328.943,590.643,821.54325,78.5185,411.32825,466.113,618.5975,1681.31375,29.48525,41.62425,5.110075,27.689,29.58275,27.554,28.51525,28.51525,28.6905,28.55475,95.705,96.5575,99.1625,99.4625,100,21.3274,19.30725,18.5175,15.85425,12.684,11.94245
7,16.25,4.3855,304.96776713,262.8195,0.9495,387.67,387.44,387.62,388.38,24.932,25.035,25.316,10.2625,14.06475,16.347,100.54875,1256.026,556.5615,776.472,74.693,414.405,462.8715,590.35525,1571.25225,57.812,39.53925,4.69875,27.7965,29.2765,27.55625,28.288,28.2785,28.29175,28.0515,95.5525,96.61,99.3625,99.4625,100,21.24225,19.33,18.5629,15.93825,12.7505,12.0845
7,16.75,4.038,300.177693215,230.26,0.932,387.32,387.1,387.29,390.97,24.898,25.021,25.303,10.44525,14.2865,16.5855,100.52525,1203.792,436.8615,744.18575,71.0925,414.45575,461.68325,564.89775,1491.74625,33.38475,37.18,4.804125,27.6695,29.4145,27.7655,28.17425,28.33575,28.4005,28.03475,95.5,96.4675,99.03,99.5625,100,21.34125,19.3585,18.67325,15.9245,12.74,11.9
7,17.25,4.01149999999999,252.78546269,177.6975,0.94,387.65,388.14,387.59,392.12,24.822,24.958,25.196,10.76875,14.42275,16.7795,100.51525,1118.757,376.8715,691.633,66.0425,413.27,461.4695,465.366,1367.741,18.054,33.91225,4.63525,27.57475,29.33375,27.89575,28.46125,28.35825,28.44925,28.121,95.8,96.51,99.13,99.5625,100,21.24375,19.4095,18.63375,15.87825,12.74075,12.0035
7,17.75,3.091,209.21146206,154.513,0.89,387.52,391.22,387.31,390.2,24.673,24.816,24.944,11.2215,14.512,17.038,100.4985,979.892,314.7695,572.9135,54.6465,407.86025,456.92575,350.9505,1189.40475,14.0905,30.1055,4.9847,27.56675,29.21,27.764,28.27725,28.1585,28.12975,27.82475,96.0675,96.5575,99.13,99.5625,100,21.13575,19.38025,18.72675,15.90825,12.68675,11.98025
7,18.25,4.6865,212.823012645,101.0595,0.841,388.59,388.21,392.05,392.88,24.551,24.655,24.772,11.6705,14.58225,17.30175,100.495,883.414,239.563,513.54875,48.94875,409.68075,452.588,293.7425,1042.93475,10.918,25.92175,4.5604,27.19925,29.199,27.695,28.26525,27.6925,27.688,27.2865,95.9525,96.305,99.13,99.61,100,21.00575,19.48075,18.78375,15.9545,12.824,11.98
7,18.75,5.7485,137.161088565,37.335,0.8285,388.49,387.66,388.3,396.27,24.426,24.536,24.05,11.8845,14.592,17.3475,100.49825,741.6185,217.5415,458.5445,43.67,411.8605,446.52175,247.48325,859.29025,8.4795,21.402,4.6591,26.54825,28.6845,27.76875,28.0065,27.5165,27.49175,27.03675,96.1575,96.305,99.03,99.61,100,20.88,19.40875,18.7545,16.02575,12.72525,12.06675
