DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,17.75,0.4354554885,-0.8865,6.7586604555,0.4991354265,0.017952052,-8.42108066675,17.143027855,0.360117592,-2.254,0.49125,95.185,79.572763315,375.6315118,-13.1725,9.0151292415,5.76725,281.55,294.175,6.1397896825,-0.017398265,1.371754548,1.198775244,0.6771741635,0.025186166,0.309440685
1,18.25,0.397574425,-1.215,6.6913130575,0.481031411,0.0144797635,-9.797690163,17.116346455,0.189467687,-2.5375,0.49025,95.295,79.601677515,374.79209415,-11.7275,3.6218375215,1.54775,272.175,293.075,6.06277287375,-0.01974120075,1.360992579,1.17987602975,0.71256158925,-0.08938704475,0.30188298225
1,18.75,0.4201600585,-1.1615,7.0264663975,0.500140058,0.0159740795,-10.4757186,16.081893925,0.224280552,-2.557,0.491,95.445,79.606179835,375.3395827,-11,0,1.55875,274.075,291.875,5.830430169,-0.0255486695,1.4070753305,1.3543316915,0.666230712,-0.319025354,0.3268067035
1,19.25,0.43312081,-1.041,7.34793007975,0.47592065325,0.02246627375,-11.16933155,16.0838489775,0.5862458375,-2.514,0.48975,95.235,79.5986388675,375.781067,-6.50675,0,1.5545,273.75,292.6,6.296029293,-0.028390931,1.38654173625,1.29344255725,0.699690849,-0.128750697,0.3635084135
1,19.75,0.447103411,-0.973,7.355649256,0.544415102,0.033786473,-13.8451539525,18.00658682,0.708898884,-2.4925,0.4905,94.98,79.61422558,376.07062775,-8.0785,0,1.79675,275.1,293.975,6.206462952,-0.026519816,1.4273275995,1.254185937,0.6737835145,-0.046206661,0.3367515735
1,20.25,0.46168215225,-0.821,6.979862352,0.52091469,0.0225442235,-12.91816399,18.977631625,0.42517042525,-2.501,0.48475,94.985,79.62375075,376.2236246,-6.64125,0,1.581,278.225,294.05,6.031847077,-0.033910874,1.38807391675,1.274905484,0.6557404735,-0.10741250975,0.348002004
1,20.75,0.44800042,-1.1195,7.26476979125,0.67846658375,0.0258168555,-17.7003657,22.109983545,0.3680311975,-2.47,0.48325,95.625,79.6309621925,376.280297925,-7.64925,0,1.58925,280.725,293.8,5.925329282,-0.02307329425,1.315141481,1.257159948,0.634469025,-0.2334037955,0.35308459375
1,21.25,0.453316385,-1.237,7.182431824,0.5518414805,0.0203543055,-12.8022308,13.1885961175,0.485781014,-2.4345,0.48375,95.79,79.62972159,376.12609555,-6.55175,0,1.4815,278.425,294.525,6.079026626,-0.021790263,1.449996843,1.279773026,0.675027066,-0.435249909,0.338208583
1,21.75,0.471546417,-1.142,7.316982098,0.5875485865,0.0231127255,-12.355091965,23.028803855,0.36875033,-2.343,0.48075,95.625,79.64663775,376.50897585,-7.8085,0,1.5315,273.85,294.1,6.217539518,-0.029511368,1.451037589,1.428225722,0.726632615,-0.829885803,0.337661613
1,22.25,0.4481182755,-1.234,7.4727616345,0.58410415475,0.009763865,-14.492291695,20.280244525,0.5445746675,-2.3445,0.4805,95.6,79.68182901,376.482023975,-7.60225,0,1.535,278.275,293.4,6.058730995,-0.018317865,1.367092909,1.2866019495,0.7602537375,-0.575581947,0.327734075
