DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
1,14.75,388.6493766,1.322261686,7.537148893,0.0177331285,-4.2553332715,0.141958833,23.02,128.24805605,78.1405076,99.1,41.614856595,19.26576977,0.356266154,14.40525991,9.019264255,15.29,13.84,-0.5110760715,1.255839565,0.64493432,0.75113842,2.58
1,15.25,388.2666217,1.046412728,7.826121118,0.0161673455,-3.7684028425,0.09495618,21.125,109.7310769,69.2135385,99.1,42.005218915,19.46050785,0.311449979,14.66443617,9.35118033,14.96,13.83,-0.47766844,1.260855805,0.622447778,0.723470757,2.66
1,15.75,388.0360589,0.763167461,7.696577739,0.0150496235,-3.3862850775,0.0708431655,17.22,75.81372893,63.62537338,99.1,41.897769355,19.622159345,0.251680034,14.54486917,9.40275253,14.46,13.35,-0.455306414,1.194403683,0.612191969,0.706151779,2.649
1,16.25,387.4508891,0.523470337,7.729835777,0.016769441,-2.648745603,0.024200993,10.365,47.16032943,57.38595013,99.1,42.25,19.583241485,0.18849763,14.79965669,9.49806364,14.1,13.51,-0.405400564,1.140432026,0.575851957,0.64297753,2.4235
1,16.75,387.7698279,0.323668225,7.921258064,0.0128477905,-1.5939234415,-0.014278968,6.361,13.51490969,44.77224087,99.1,42.37096316,19.51037617,0.144964448,14.86404541,9.235384005,13.81,13.35,-0.303465137,1.032253507,0.500237444,0.5855512885,2.339
1,17.25,387.5287799,0.18143316,8.177033341,0.0112122695,-0.6065143505,-0.059747214,2.92,-11.46786949,32.27789459,99.1,43.610347705,19.23853063,0.139199753,14.552542875,8.8490598,13.51,13.21,-0.22773691,0.902271669,0.430649599,0.507474145,2.142
1,17.75,387.6190363,0.2815297105,7.916419564,0.007429751,-0.000306482,-0.1051332995,0.689,-26.44250615,20.4595444,99.1,45.327560805,18.72335879,0.189965569,14.07902769,8.247901715,13.07,13.065,-0.137446218,0.7292893255,0.331030282,0.4095006025,1.937
1,18.25,387.65056,0.38878,8.032989331,0.003802113,0.281422982,-0.158450248,-2.0445,-30.7452947,11.38639415,99.15,46.582265545,18.377543765,0.211190132,13.419029415,7.79433436,12.73,12.88,-0.086842854,0.6253938875,0.2632162905,0.327911298,1.965
1,18.75,387.66271495,0.477561695,8.1109992585,0.003827554,0.398246431,-0.121457893,-4.3615,-29.48974103,7.953869723,99.2,47.37221378,17.971733135,0.2179811055,12.932019245,7.397339755,12.405,12.67,-0.078075945,0.600763553,0.2515719,0.317501592,2.038
1,19.25,388.2227046,0.545876407,7.9325937375,0.003415983,0.477339075,-0.1905367695,-5.979,-31.43289852,6.407563271,99.2,47.445701885,17.63077657,0.2237128,12.57197174,6.960734305,12.28,12.65,-0.0897453605,0.61623694,0.267775919,0.3338049995,2.1325
1,19.75,388.6777847,0.6067720565,7.788570297,0.002963985,0.5492931585,-0.192421524,-7.24,-33.12293358,6.494935158,99.2,48.283856665,17.29301938,0.217780342,12.35475218,6.534399525,12.12,12.61,-0.1029369285,0.656497186,0.2892362955,0.3442944865,2.148
1,20.25,389.1714244,0.664750468,8.0957239585,0.002464065,0.739303756,-0.141433689,-8.4,-31.107663355,4.522819296,99.2,49.66856378,16.86695452,0.219596558,11.98231469,6.27554119,11.985,12.585,-0.107722307,0.687891574,0.2986535365,0.369425054,2.233
1,20.75,389.6915284,0.628895958,8.022129319,0.002686899,0.75216359,-0.218936064,-9.32,-30.71958629,4.833728433,99.2,49.965827185,16.47020683,0.2151309325,11.62751896,6.055479175,11.785,12.5,-0.123437948,0.687180517,0.3161976975,0.387433666,2.189
1,21.25,390.2091437,0.653153528,7.988852614,0.002888635,0.942377334,-0.0972596425,-10.045,-35.059180675,4.8039427235,99.2,50.415261325,16.24631167,0.219921491,11.344860585,5.836550925,11.725,12.395,-0.136981917,0.730367084,0.332298146,0.411500989,2.237
1,21.75,390.86108485,0.613889207,7.585200381,0.002710647,0.927522659,-0.176701959,-10.39,-28.562349,4.321242272,99.2,51.232145925,15.84874607,0.209126653,10.99687035,5.679410965,11.585,12.25,-0.114855229,0.688322119,0.307886345,0.3670473935,2.23
1,22.25,391.3873609,0.6253293295,7.705987543,0.002385132,0.9150064875,-0.115935402,-10.84,-29.28136816,4.373987636,99.2,52.70502579,15.69168829,0.2059137895,10.803079465,5.407815065,11.43,12.135,-0.1169508845,0.671773426,0.30670394,0.379876638,2.2
1,22.75,391.33899025,0.5605353765,7.791748897,0.002811768,1.008285249,-0.098079552,-11.425,-30.96278875,3.6953538735,99.2,52.811205705,15.18657943,0.207061178,10.5204027,5.14874712,11.335,12,-0.117010687,0.689585692,0.305529401,0.385598702,2.208
1,23.25,391.61807475,0.536540479,7.458522538,0.002617598,0.808750359,-0.095919132,-11.85,-29.89765599,4.640753148,99.2,53.51049371,14.926553595,0.190803638,10.43981127,4.94865621,11.22,11.99,-0.110900551,0.676743244,0.300043909,0.38351679,2.205
1,23.75,391.8662903,0.61350608,7.915953911,0.0035239675,0.799416636,-0.093272705,-12.275,-30.13263129,6.624169573,99.2,54.060264565,14.46178073,0.193712986,10.06926836,4.77261089,11.015,11.78,-0.109307801,0.7139313975,0.2987567785,0.380960953,2.193
2,0.25,391.7754305,0.6453451775,8.440573433,0.0030991255,1.134712917,-0.195224629,-11.46,-29.82777211,5.486172693,99.1,58.82065123,15.78246272,0.2028116015,10.6659031,4.864527635,12.665,13.39,-0.09967529,0.6584092675,0.284617141,0.347201062,2.212
2,0.75,392.15822745,0.6632474745,8.31472273,0.003171726,1.077162748,-0.121396916,-11.51,-28.238617335,5.3214286095,99.1,59.95,15.28291548,0.1996949795,10.46650975,4.669808265,12.53,13.225,-0.09901568,0.648601054,0.284741382,0.352543044,2.224
2,1.25,392.2295918,0.690701504,8.169917374,0.003149788,1.111636617,-0.0990686995,-11.75,-28.89821908,4.816696193,99.1,59.991451185,15.13238691,0.2046224855,10.135559855,4.479023765,12.46,13.075,-0.097248008,0.6491602515,0.2794684275,0.353298719,2.182
2,1.75,392.7389751,0.7559151815,8.1292939975,0.002667249,1.1656472285,-0.129830243,-11.895,-28.4239967,5.231024182,99.1,61.65,14.78091776,0.200149717,9.888270772,4.36820225,12.615,12.975,-0.097037043,0.638708463,0.280924266,0.35577987,2.1025
2,2.25,392.9449207,0.729148757,7.9925623055,0.0025925445,1.054480134,-0.153922825,-12.07,-29.24098696,5.212098697,99.1,62.35,14.46676101,0.198764468,9.658709063,4.190699,12.49,12.92,-0.092176372,0.624953678,0.2707066,0.330062432,2.1
2,2.75,393.2900531,0.711550356,7.970721419,0.002681704,1.127500822,-0.0003156515,-12.395,-29.74634197,5.57581061,99.1,63.063983235,14.05760404,0.195444635,9.3714202325,4.05651608,12.455,12.93,-0.090263201,0.6355814365,0.270898308,0.334037452,2.1515
2,3.25,393.7781879,0.720643013,7.834505663,0.002603773,1.064075006,0.008701679,-12.595,-30.24374238,6.695502198,99.1,64.2,13.70136515,0.192369784,9.050017844,3.88385695,12.235,12.815,-0.0979539475,0.625558858,0.283818671,0.349004502,2.1305
2,3.75,394.2124006,0.753703698,7.967872749,0.003272885,1.252144801,-0.028073414,-12.915,-27.43434338,5.819528884,99.1,65.21773941,13.42566807,0.191254494,8.621526757,3.759943705,12.17,12.805,-0.103684881,0.645491096,0.2925095035,0.3610142355,2.0935
2,4.25,395.3008933,0.779624797,7.8983009935,0.0023674765,1.1114271095,-0.190888925,-13.12,-25.80727225,5.05957234,99.1,65.90994444,13.219655765,0.186807999,8.3320192835,3.65361772,11.92,12.67,-0.104820266,0.632281726,0.289757147,0.358276758,2.0215
2,4.75,395.5050793,0.7788511985,8.081772196,0.003253051,1.332680595,-0.121373668,-13.235,-30.94808278,5.445994778,99.1,67.100816055,12.91223368,0.19852887,8.034325438,3.629172035,11.88,12.57,-0.114428617,0.641056856,0.304775249,0.371550987,2.1155
2,5.25,395.379122,0.8489122545,8.042130794,0.003904071,1.149323188,-0.000388379,-13.29,-30.18397467,5.1732786655,99.1,66.7,12.54936731,0.191900839,7.830723116,3.452295715,11.81,12.55,-0.1150244735,0.6707760185,0.304751705,0.378922914,2.1065
2,5.75,395.7447417,0.804337729,8.091312914,0.003427905,1.413537275,-0.166236348,-13.43,-29.07836441,5.5668709595,99.1,66.75288933,12.47488717,0.184500197,7.7542678645,3.34713336,11.69,12.37,-0.123551081,0.6764579215,0.318063632,0.381376504,2.109
