DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
2,2.25,0.403,-7.42,2.742,0.491,0.36374,-15.1235,-0.227935,0.422,0.367,80.1135,98.2765,408.69,-29.184,0.014,-0.86707,0.51404,257.9905,292.485,3.057,0.10296,0.575,0.8,1.4333,1.833,3.7,5.05
2,2.75,0.3987,-7.411,2.72875,0.49146,0.3565,-15.664,-0.13369,0.417,0.375,79.8675,98.289,408.78,-31.094,0.014,-0.895,0.450245,255.9,292.6665,3.0448,0.0958555,0.56667,0.8,1.425,1.8333,3.7167,5.05
2,3.25,0.39035,-7.55,2.8168,0.51068,0.34754,-15.875,-0.186,0.421,0.358,80.263,98.3,409.01,-31.5875,0.014,-0.9581,0.457,253.64,291.86,3.051,0.086177,0.575,0.80833,1.425,1.833,3.7,5.05
2,3.75,0.39423,-7.53,2.756,0.56691,0.397,-16.069,-0.224025,0.423,0.354,80.8015,98.291,409.17,-28.666,0.014161,-0.83628,0.472,255.0735,290.129,3.01,0.10206,0.56667,0.8,1.425,1.833,3.7,5.05
2,4.25,0.38141,-7.559,2.8134,0.58982,0.385,-15.568,-0.18632,0.416,0.367,81.33,98.29,409.3,-26.872,0.014,-0.821805,0.415025,256.731,290.305,3.0109,0.105945,0.55,0.8,1.425,1.833,3.7167,5.0333
2,4.75,0.394015,-7.607,2.82805,0.54509,0.368795,-15.624,-0.16132,0.409,0.367,82.042,98.3045,409.35,-26.405,0.014,-0.81775,0.402475,258.68,290.185,3.01,0.098427,0.55,0.79167,1.425,1.8667,3.7,5.05
2,5.25,0.38489,-7.7486,2.75525,0.50837,0.387685,-14.06,-0.156,0.409,0.375,82.472,98.3085,409.45,-24.288,0.014,-0.70509,0.45262,258.917,289.916,2.9697,0.096938,0.55,0.8,1.425,1.833,3.6833,5.05
2,5.75,0.3535,-7.643,2.6833,0.5566,0.38895,-15.077,-0.123465,0.408,0.367,83.0305,98.3265,409.525,-25.8635,0.014,-0.70838,0.427915,257.33,289.93,2.919,0.13086,0.55,0.8,1.425,1.8333,3.7,5.05
2,6.25,0.35501,-7.824,2.73005,0.55196,0.36927,-14.2115,-0.102,0.409,0.375,83.081,98.313,409.585,-24.0845,0.014,-0.700315,0.436,258.49,288.874,2.9326,0.1784,0.55,0.79167,1.425,1.8333,3.7,5.05
2,6.75,0.368,-7.7397,2.751,0.54,0.39352,-14.041,-0.183,0.416,0.375,83.26,98.31,409.65,-25.246,0.017,-0.689675,0.41254,259.041,289.4,2.9,0.059914,0.55,0.8,1.425,1.8,3.7167,5.05
