DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
2,11.25,0.35,2.425,21.9125,21.5425,37.135,756.6025,174.32,419.7925,174.0175,53.815,0.19,16.8075
2,11.75,0.3625,2.3625,22.1825,21.7825,36.0075,771.73,176.0775,432.2275,184.83,58.625,0.15,17.7125
2,12.25,0.3625,2.3075,22.66,22.1125,34.32,768.255,175.2525,425.935,194.39,53.9425,0.1975,18.635
2,12.75,0.38,2.45,23.15,22.465,33.3275,754.365,170.24,411.24,187.8475,56.2025,0.22,19.3575
2,13.25,0.38,2.705,23.265,22.71,32.805,725.6475,163.8675,389.46,185.5925,55.035,0.13,20.125
2,13.75,0.42,2.685,23.4175,22.92,33.3275,676.135,154.435,353.745,185.515,56.985,0.15,20.805
2,14.25,0.385,2.79,23.5175,23.035,32.2675,605.365,140.1425,307.2375,166.795,48.4125,0.18,21.4025
2,14.75,0.4,2.9925,23.6,23.2625,32.965,524.9775,122.1375,249.075,147.2825,43.675,0.11,21.855
2,15.25,0.39,2.9125,23.755,23.38,33.075,433.69,102.5325,184.7325,125.6925,40.8475,0.105,22.21
2,15.75,0.38,3.145,23.555,23.33,33.99,331.8875,81.1125,114.4275,93.04,34.1025,0.1,22.3575
2,16.25,0.355,3.2075,23.28,23.0025,35.6175,213.64,57.8575,39.4725,56.65,24.44,0.18,22.3025
2,16.75,0.33,3.0075,22.545,22.505,38.7025,64.7975,16.8475,-40.315,16.97,14.2175,0.28,22.045
2,17.25,0.33,3.025,21.6125,21.6375,40.855,13.39,3.8425,-70.315,-1.495,9.1825,0.42,21.6275
2,17.75,0.34,3.01,20.94,21.01,42.44,-3.39,0.57,-77.085,-5.555,7.5425,0.52,21.125
2,18.25,0.34,3.06,20.2725,20.49,42.76,-5.115,0.27,-75.005,-8.26,8.16,0.655,20.58
2,18.75,0.3525,3.1225,19.835,19.965,43.03,-4.995,0.21,-72.2625,-12.11,9.22,0.665,20.035
2,19.25,0.3625,2.9375,19.3025,19.775,43.225,-5.025,0.1725,-72.105,-14.1525,9.8,0.67,19.555
2,19.75,0.3525,2.925,18.9325,19.265,44.43,-4.8675,0.135,-70.5475,-10.005,8.13,0.66,19.125
2,20.25,0.3425,2.68,18.47,18.7225,45.56,-4.975,0.1225,-70.075,-10.9825,9.1,0.7375,18.71
2,20.75,0.31,2.73,18.0025,18.37,46.73,-4.895,0.08,-69.245,-10.645,8.65,0.7275,18.2925
2,21.25,0.3,2.68,17.7925,17.96,47.3625,-4.88,0.01,-68.315,-11.22,8.1325,0.595,17.8925
2,21.75,0.28,2.6825,17.34,17.6325,48.055,-4.935,0.07,-67.315,-9.4475,6.3,0.4775,17.52
2,22.25,0.2825,2.64,17.0225,17.48,48.07,-4.8275,0.105,-66.2825,-10.2975,7.24,0.58,17.125
2,22.75,0.28,2.71,17.03,17.35,50.1775,-4.74,0.1225,-65.32,-10.26,9.37,0.69,16.795
2,23.25,0.2825,2.7225,16.6975,17.055,51.285,-4.5875,0.17,-64.69,-7.8075,6.68,0.5175,16.5175
2,23.75,0.27,2.8025,16.6725,16.6525,52.15,-4.68,0.12,-63.69,-9.6575,8.7,0.645,16.275
3,0.25,0.345,2.8,19.1,19.7575,46.7,-5.1575,0.24,-71.0825,-8.12,6.205,0.7875,21.815
3,0.75,0.33,2.705,18.87,19.515,45.6075,-5.05,0.36,-69.9075,-8.45,4.67,0.6675,21.515
3,1.25,0.33,2.825,18.61,19.125,45.125,-4.825,0.28,-68.785,-9.59,5.825,0.75,21.1925
3,1.75,0.3,2.835,18.43,18.98,45.24,-4.9975,0.32,-68.32,-8.245,5.445,0.73,20.9125
3,2.25,0.33,2.83,18.49,18.72,45.765,-4.79,0.29,-67.7325,-8.215,6.735,0.765,20.65
3,2.75,0.295,2.795,18.05,18.64,46.9925,-5.0925,0.33,-67.575,-9.63,5.8825,0.615,20.3675
3,3.25,0.2925,2.9125,17.92,18.37,45.71,-4.795,0.3,-67.605,-8.625,5.6125,0.685,20.055
3,3.75,0.32,2.9025,17.68,18.2575,44.415,-4.74,0.25,-65.5575,-11.75,5.9375,0.635,19.765
3,4.25,0.325,2.92,17.71,18.455,43.6225,-5.0425,0.08,-66.1975,-11.26,5.6225,0.67,19.51
3,4.75,0.27,2.82,17.56,18.11,44.945,-4.6925,0.18,-65.6075,-8.865,5.3475,0.64,19.2225
3,5.25,0.25,2.92,17.39,18.12,45.6625,-4.6125,0.18,-64.79,-8.51,5.4125,0.505,19
3,5.75,0.26,2.91,17.2,18,44.0875,0.29,1.33,-62.605,-11.54,4.645,0.545,18.8
3,6.25,0.25,2.755,17.05,17.91,44.87,21.545,6.18,-51.3525,-9.2575,6.95,0.535,18.5875
3,6.75,0.24,2.675,17.61,18.3825,44.775,60.2425,14.03,-23.9975,-6.3,6.295,0.21,18.4175
3,7.25,0.25,2.29,18.56,19.3025,42.045,247.805,69.42,69.0225,13.755,12.135,0.07,18.3275
3,7.75,0.27,1.81,20.07,20.39,40.195,374.795,99.28,144.005,41.815,18.1625,-0.03,18.3775
3,8.25,0.2925,1.7525,21.17,21.465,37.6,481.61,119.86,214.1525,72.4925,21.9525,0.095,18.575
3,8.75,0.32,2.14,22.28,22.3675,35.235,587.68,144.82,281.1825,108.895,27.8725,0.075,18.9775
3,9.25,0.35,2.3925,23.07,22.99,32.5,676.25,165.87,340.49,145.345,34.8825,0.04,19.58
3,9.75,0.3425,2.3125,23.77,23.6175,30.885,752.2275,180.39,387.1725,169.1775,35.34,-0.02,20.35
3,10.25,0.37,2.4275,24.48,24.335,29.995,817.95,194,429.1075,191.525,33.92,-0.09,21.2325
3,10.75,0.38,2.445,25.17,24.8875,28.385,863.67,204.03,460.02,215.66,33.8725,0.165,22.22
3,11.25,0.39,2.6025,25.68,25.245,26.51,895.4775,210.61,474.8,241.265,36.24,0.135,23.275
3,11.75,0.4025,2.6125,26.27,25.7225,24.835,909.955,213.1,481.95,248.4575,35.12,0.17,24.095
3,12.25,0.43,2.6575,26.76,26.1925,23.41,903.775,211.34,477.205,264.6275,36.335,0.145,25.1275
3,12.75,0.4225,2.625,27.14,26.5275,21.56,883.635,206.55,465.39,260.27,36.3175,0.145,26.1475
3,13.25,0.415,2.76,27.4525,26.755,21.9975,849.015,197.85,437.795,249.49,34.9425,0.15,27.015
3,13.75,0.45,2.87,27.6325,27.06,21.5825,795.08,184.6275,398.83,242.06,31.8075,0.14,27.8125
3,14.25,0.415,2.92,27.785,27.315,22.145,723.975,169.8925,351.75,224.38,30.9,0.1225,28.49
3,14.75,0.425,2.98,27.67,27.31,22.575,638.51,152.5,295.405,198.35,29.46,0.0975,29.04
3,15.25,0.41,3.1525,27.72,27.41,22.32,542.455,131.73,232.735,176.97,28.5,0.065,29.39
3,15.75,0.4125,3.2125,27.57,27.38,22.7525,436.81,107.92,165.2075,145.345,22.8875,0.115,29.6175
3,16.25,0.41,3.28,27.35,27.205,23.62,325.77,84.0875,90.7,105.55,18.34,0.15,29.67
3,16.75,0.415,3.405,27.0775,27.02,23.8425,212.7925,60.4225,11.815,66.24,14.9975,0.1425,29.51
3,17.25,0.42,3.52,26.275,26.47,26.015,70.2825,19.78,-56.67,22.495,8.5475,0.38,29.16
3,17.75,0.435,3.645,25.52,25.715,28.13,9.43,3.6975,-86.19,-2.965,6.165,0.6,28.6375
3,18.25,0.465,3.935,24.7025,24.99,29.88,-4.945,0.5025,-89.295,-6.785,5.47,0.81,28.0525
3,18.75,0.495,4.31,24.0525,24.55,31.88,-5.47,0.51,-86.175,-12.395,3.7775,0.8275,27.4175
3,19.25,0.505,4.465,23.59,24.175,32.91,-5.505,0.3525,-85.33,-14.145,6.2675,0.91,26.8075
3,19.75,0.48,3.96,23.205,23.705,33.6125,-5.67,0.26,-83.265,-16.09,6.7525,0.94,26.195
3,20.25,0.45,3.54,22.8775,23.145,35.7025,-5.8075,0.1825,-80.98,-16.505,6.43,0.9875,25.6175
3,20.75,0.45,3.455,22.045,22.325,37.1775,-5.99,0.05,-80.27,-12.94,6.8875,0.9275,25.1
3,21.25,0.4,3.08,21.255,21.86,37.71,-5.725,0.21,-77.625,-12.9,5.2075,0.9,24.6225
3,21.75,0.39,2.685,20.8125,21.295,40.3225,-5.95,0.1625,-76.805,-9.97,4.7575,0.8875,24.1375
3,22.25,0.3575,2.905,20.4,20.98,41.57,-5.4575,0.1825,-75.95,-10.1825,6.405,0.83,23.6725
3,22.75,0.385,2.6475,19.8175,20.7425,43.2225,-5.5825,0.25,-75.415,-9.3075,6.68,0.77,23.275
3,23.25,0.34,2.7825,19.7575,20.58,43.88,-5.15,0.2825,-73.96,-8.915,6.2475,0.8,22.8775
3,23.75,0.37,2.84,19.575,20.25,47.325,-5.2025,0.1925,-72.385,-7.47,6.05,0.8725,22.5325
4,0.25,0.4,2.7125,21.2025,21.845,46.9275,-5.55,0.4775,-75.33,-5.21,5.07,0.78,26.8425
4,0.75,0.39,2.57,20.97,21.46,47.4,-5.22,0.6,-75.65,-7.33,4.1375,0.75,26.42
4,1.25,0.39,2.58,20.805,21.13,47.85,-5.37,0.56,-74.635,-5.53,5.2925,0.7225,26.07
4,1.75,0.39,2.6,20.245,20.88,49.76,-5.18,0.62,-73.54,-5.27,5.105,0.7925,25.6525
4,2.25,0.39,3.04,20.24,20.86,49.32,-5.0275,0.615,-73.11,-7.83,4.53,0.76,25.275
4,2.75,0.4,2.86,20.165,20.55,48.23,-4.925,0.525,-72.125,-6.88,3.705,0.6525,24.86
4,3.25,0.36,2.73,19.795,20.52,47.96,-5.13,0.585,-71.645,-5.43,3.965,0.6125,24.46
4,3.75,0.32,2.58,19.62,20.44,47.49,-4.92,0.51,-71.29,-8.28,4.045,0.57,24.115
4,4.25,0.33,2.62,19.54,20.3125,47.925,-4.905,0.53,-70.6925,-5.075,3.57,0.46,23.7825
4,4.75,0.2825,2.595,19.075,19.76,48.51,-4.845,0.4525,-70.3875,-7.595,3.645,0.64,23.4925
