DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN
2,11.25,-0.241772,52.96445,11.9343,3.09137,2.697855,0.506701,-1.5335,413.914,1.94107,1.2386,1.10358,0.703034,0.3025,486.95
2,11.75,-0.334484,57.6936,13.0042,3.94283,2.84149,0.5782945,-1.25194,413.53,1.935285,1.34416,1.10989,0.716127,0.3286,509.2
2,12.25,-0.336617,55.3965,11.9994,4.25997,3.005445,0.605086,-1.22229,412.035,1.94432,1.37597,1.162125,0.7558795,0.3469565,517.6
2,12.75,-0.372519,56.682,11.4443,2.38531,2.830235,0.603688,-1.263295,411.8755,2.009855,1.29947,1.17662,0.745648,0.3024,582.7
2,13.25,-0.332694,47.8681,12.0352,3.269655,2.87464,0.617046,-0.7176025,411.3085,2.114885,1.32145,1.18247,0.717647,0.2783,586.75
2,13.75,-0.3530455,58.02645,14.4419,3.397425,2.89893,0.609873,-0.239724,411.668,2.00499,1.345895,1.169355,0.710748,0.3263,486.25
2,14.25,-0.3510245,50.97055,14.1568,3.049915,2.828425,0.615211,-0.180546,412.292,1.85611,1.36968,1.10529,0.737065,0.293276,484.3
2,14.75,-0.2975,40.838,12.8757,2.99256,2.923565,0.54879,-0.312733,412.666,1.90299,1.28748,1.13448,0.7212285,0.265663,390.1
2,15.25,-0.2707975,38.5515,12.9849,3.87409,2.81076,0.521509,-0.213038,412.277,1.84478,1.315205,1.09769,0.7117705,0.231454,334.15
2,15.75,-0.310362,36.9416,9.44641,3.1004,2.66797,0.54372,-0.081,412.0355,1.87713,1.24506,1.00676,0.67967,0.1939225,281.45
2,16.25,-0.243474,27.6734,8.99947,2.93609,2.6472,0.521879,0.0571,412.7315,1.89157,1.24294,1.01034,0.6466435,0.1813105,189.1
2,16.75,-0.297554,21.9308,10.111895,2.584295,2.71354,0.517123,-0.1193965,412.787,1.837875,1.14888,1.00455,0.626274,0.175497,136.75
2,17.25,-0.2662015,13.2238,6.93139,2.725965,2.64856,0.4839805,0.0124,412.747,1.91377,1.123975,1.0026865,0.6178485,0.1437,88.45
2,17.75,-0.229141,10.18262,5.89492,1.68042,2.414465,0.455756,-0.392172,412.73,1.874385,1.12744,0.9298885,0.5815445,0.1253,32.065
2,18.25,-0.160725,8.42934,5.69443,1.62124,2.404815,0.425804,-0.149423,414.076,1.883255,0.968282,0.8586125,0.547729,0.1377,4.513
2,18.75,-0.16292,8.6613,4.722255,1.60054,2.23496,0.387043,-0.462182,413.66,1.967045,0.911219,0.767518,0.514087,0.152018,0.1145
2,19.25,-0.128616,7.28289,3.40405,1.64884,2.22875,0.394815,-0.28748,413.1065,1.90553,0.962844,0.745013,0.488376,0.146743,-0.1415
2,19.75,-0.1317945,5.560425,3.26525,1.33205,2.47407,0.374992,-0.801187,413.037,1.86045,0.904443,0.7845845,0.507694,0.1446,-0.143
2,20.25,-0.182917,6.48316,3.81936,1.18297,2.2917,0.396219,-1.14472,415.904,1.84604,0.954439,0.733144,0.51866,0.1565,-0.141
2,20.75,-0.139657,5.52636,3.79922,1.944055,2.24884,0.3818005,-0.756619,416.769,1.77606,0.890229,0.741146,0.516261,0.13982,-0.1455
2,21.25,-0.0811,6.35248,3.30371,2.138115,2.31,0.3397605,-1.2550545,415.876,1.76981,0.8977275,0.687133,0.488269,0.163615,-0.134
2,21.75,-0.089,3.6597,3.15876,1.32516,2.06877,0.309195,-1.32893,417.246,1.83939,0.834526,0.664451,0.477726,0.14865,-0.1425
2,22.25,-0.0991,7.9136,2.75119,1.36749,2.19811,0.349207,-2.10688,417.132,1.771235,0.92866,0.668709,0.485893,0.1487,-0.1405
2,22.75,-0.06655,5.19705,3.4593,2.47125,2.08264,0.3489805,-1.65797,417.995,1.758455,0.873221,0.706695,0.4764975,0.1382,-0.1385
2,23.25,-0.155524,5.193285,3.162505,1.770545,2.02352,0.363678,-2.06577,417.1855,1.79195,0.882242,0.721641,0.4631575,0.1350505,-0.134
2,23.75,-0.146417,4.87593,2.49944,1.50717,2.10111,0.374726,-2.32346,416.506,1.67151,0.863994,0.735555,0.530046,0.12355,-0.1375
3,0.25,-0.0753,2.75811,1.38861,1.505985,2.05954,0.315596,2.69263,415.652,2.78207,0.882698,0.68723,0.525293,0.183945,-0.169
3,0.75,-0.135473,2.51664,4.07807,1.1433045,2.1469,0.36383,2.961185,415.672,2.67422,0.863367,0.747856,0.525752,0.1744,-0.1745
3,1.25,-0.09715,2.356105,4.17194,1.872875,1.89389,0.3581295,2.48709,415.746,2.73998,0.9033695,0.7018965,0.4975865,0.159666,-0.167
3,1.75,-0.132872,0.9253175,1.30463,0.9723145,1.90156,0.336445,2.26867,416.202,2.686975,0.884194,0.687964,0.459998,0.1488,-0.1705
3,2.25,-0.09825,-2.26433,2.07173,1.95254,1.90233,0.324826,2.00157,417.559,2.59617,0.8119925,0.68651,0.4783255,0.1518565,-0.17
3,2.75,-0.0814,0.970595,1.34324,1.95967,1.927785,0.295247,1.73464,416.476,2.6576,0.816298,0.699624,0.449566,0.1408425,-0.17
3,3.25,-0.0727,0.484816,1.63365,1.38517,1.76138,0.301145,1.61332,416.242,2.791055,0.7167395,0.593368,0.3747945,0.1497,-0.16
3,3.75,-0.0927,-0.253736,1.80859,1.00824,1.67994,0.299512,1.55494,416.526,2.77728,0.68472,0.553877,0.377476,0.149185,-0.156
3,4.25,-0.0766,-1.062185,2.33862,1.70412,1.65898,0.276358,1.28499,416.602,2.76236,0.749916,0.605815,0.369874,0.1426085,-0.151
3,4.75,-0.0629,1.74916,1.96379,1.14059,1.70547,0.261691,1.03029,417.491,2.785485,0.6741,0.544967,0.368291,0.1429,-0.153
3,5.25,-0.07545,0.5134485,1.39124,1.97798,1.56019,0.2802495,0.911077,420.906,2.710075,0.6537205,0.5818505,0.3944945,0.134873,-0.158
3,5.75,-0.0579,1.203195,2.601755,1.77674,1.60501,0.2626065,0.802818,419.661,2.76649,0.730599,0.5947245,0.4148735,0.14211,-0.152
3,6.25,-0.06005,2.61978,2.659255,2.4186,1.80407,0.265883,0.58912,418.682,2.79187,0.687362,0.579248,0.413784,0.145106,-0.072
3,6.75,-0.0695,5.33988,3.0861,2.21411,1.685905,0.2982445,0.720803,421.334,2.81691,0.72559,0.583225,0.392188,0.145936,2.174
3,7.25,-0.0678,14.20785,1.95826,2.706115,1.79547,0.296175,0.947693,420.059,2.82454,0.7293625,0.5880335,0.436522,0.1726455,31.68
3,7.75,-0.0878,23.4085,6.76373,2.94615,1.87553,0.353277,1.32213,419.525,2.81392,0.837845,0.660539,0.468359,0.22495,95.9
3,8.25,-0.159421,30.2422,7.01659,2.525725,2.125945,0.422226,1.48297,418.316,2.80585,0.985055,0.7336,0.533629,0.259426,206.9
3,8.75,-0.1995715,38.5026,10.02683,2.32072,2.32469,0.4515545,1.83674,416.499,2.85961,1.04481,0.884829,0.630842,0.2826,401.7
3,9.25,-0.243256,51.3412,15.2889,2.41562,2.33334,0.477826,2.13784,414.506,2.77683,1.09671,0.924513,0.661709,0.306085,538.8
3,9.75,-0.238098,44.5947,13.4129,2.11504,2.68411,0.532367,2.55705,414.849,2.70637,1.14633,0.99679,0.660923,0.3323,621
3,10.25,-0.240463,43.7515,14.7404,1.578805,2.5411,0.507711,3.24591,416.505,2.77797,1.20017,1.01714,0.67506,0.3444085,748.8
3,10.75,-0.323533,59.0207,17.3304,2.13611,2.62648,0.566473,3.86225,416.731,2.75656,1.30813,1.09029,0.701092,0.3838,763.5
3,11.25,-0.257477,71.507,16.3569,2.36332,2.69925,0.541843,3.97839,416.972,2.75816,1.33685,1.0626,0.692337,0.3779,849
3,11.75,-0.325867,74.6061,15.0055,2.580455,2.74772,0.621286,4.1861,416.4795,2.65578,1.33142,1.1642,0.721485,0.3842,903
3,12.25,-0.260233,69.55,22.3937,1.9869,2.76122,0.600797,4.76184,417.5555,2.80101,1.28214,1.13108,0.675212,0.363698,859.5
3,12.75,-0.345093,58.5093,17.91065,2.88575,2.76168,0.58738,4.95071,417.145,2.838805,1.29714,1.15178,0.664909,0.3997,771.15
3,13.25,-0.272103,73.2254,13.2286,2.74901,2.741355,0.60051,5.17883,417.2685,2.84626,1.37063,1.13668,0.711887,0.36685,866
3,13.75,-0.243716,50.2832,17.9,3.38398,2.89957,0.585747,5.25758,416.988,2.67704,1.3482,1.02753,0.690483,0.364,736.55
3,14.25,-0.277062,56.4363,13.6661,2.58167,2.95347,0.583463,5.45848,417.009,2.61958,1.3476,1.12334,0.700159,0.3655815,690.4
3,14.75,-0.3146,59.86945,11.0443,2.29831,2.832635,0.58743,5.43851,416.4545,2.63813,1.32249,1.10613,0.703727,0.335764,684.5
3,15.25,-0.354178,42.60305,11.3011,1.598335,2.79821,0.578564,5.53773,416.546,2.6859,1.29895,1.17925,0.691902,0.318761,606.2
3,15.75,-0.341699,40.9736,7.784065,2.73191,2.85213,0.570514,5.74164,415.7975,2.58046,1.26322,1.11924,0.675471,0.2766,556.95
3,16.25,-0.294546,37.8561,7.76195,2.0695,2.839915,0.560725,5.64044,415.056,2.58927,1.27758,1.08102,0.676532,0.271265,415.8
3,16.75,-0.250845,32.9644,9.184145,2.17254,2.86903,0.572529,5.64076,413.367,2.8123,1.28953,1.07837,0.667265,0.24155,308.85
3,17.25,-0.317413,29.138,6.69195,1.681115,2.84593,0.5455495,5.785225,412.3205,2.87617,1.224335,1.053415,0.692881,0.21795,217.45
3,17.75,-0.234257,12.6008,7.36848,2.562755,2.856035,0.523422,5.5128,412.407,2.86206,1.20532,1.0129,0.653827,0.2006395,161.1
3,18.25,-0.22542,7.08995,6.24069,1.57777,2.64253,0.520432,5.45883,411.364,2.94228,1.15381,0.926105,0.624374,0.1944085,56.37
3,18.75,-0.20324,3.68822,3.9475,1.91888,2.40858,0.488395,5.10615,412.72,2.90521,1.06391,0.832517,0.583675,0.2058,7.8885
3,19.25,-0.12989,4.30137,5.857095,1.173745,2.3322,0.429198,4.74297,413.294,2.97499,0.990887,0.831046,0.557623,0.224418,0.2125
3,19.75,-0.0844,1.70916,3.78647,1.18606,2.23254,0.423906,4.79155,414.273,2.95776,0.981383,0.779641,0.523562,0.204787,-0.187
3,20.25,-0.110197,7.30202,3.82324,1.39667,2.060935,0.394589,4.81772,414.3235,2.99283,0.943203,0.730618,0.524186,0.1993,-0.1995
3,20.75,-0.128851,3.83509,4.47736,1.17398,2.1331,0.419304,4.8304,413.473,2.98498,0.93541,0.819895,0.52453,0.199107,-0.191
3,21.25,-0.0894,2.72521,5.082525,1.432475,1.96899,0.360531,4.43281,412.899,2.98039,0.922093,0.745263,0.48544,0.2045555,-0.1885
3,21.75,-0.082,4.64628,4.10804,0.822552,1.833,0.358657,4.2393,414.891,2.80477,0.914981,0.687534,0.470728,0.1954,-0.1885
3,22.25,-0.0867,3.65323,3.76447,1.54892,1.74554,0.383568,4.29064,414.896,2.76955,0.847682,0.756314,0.521908,0.1895,-0.184
3,22.75,-0.0944,6.46178,4.28531,0.996202,1.751145,0.401489,4.02581,414.523,2.88118,0.825577,0.824179,0.467301,0.201062,-0.1875
3,23.25,-0.107752,2.15606,5.40578,0.926308,2.01318,0.356881,3.52289,415.849,2.817375,0.887855,0.729899,0.467744,0.188,-0.1795
3,23.75,-0.07635,3.742805,4.33273,1.68453,1.781155,0.347001,3.391635,415.299,2.78599,0.846982,0.7063515,0.4777905,0.18525,-0.183
4,0.25,-0.1583805,1.95803,2.60067,0.405463,2.10195,0.4239365,8.06831,412.851,4.45374,0.9636165,0.7672605,0.548418,0.19325,-0.165
4,0.75,-0.129339,8.483435,4.49258,0.466075,2.07084,0.381993,7.6249,414.208,4.43022,0.948412,0.750142,0.5474,0.173444,-0.1785
4,1.25,-0.157469,2.3255,3.956885,1.42246,2.19903,0.4265415,7.43269,414.782,4.41789,0.9190095,0.713722,0.5174635,0.1481,-0.174
