DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,NETRAD,RH,SW_IN,SW_OUT,T_CANOPY,G,TS_1_4_1,VPD,WS,LW_IN,LW_OUT,PPFD_IN,PA
2,1.25,0.5010245,0.622635225,0.64614225,0.1595689,5.92735847499998,1.376573,11.730584925,0.544657925,432.3407998,7.43434655,3.98155845,0.3426765375,0.3382224425,0.341987740000001,4.33032882500002,96.794798,0.268009399999999,2.7879164,2.52074266475,1.02406371,0.411255027500002,2.38759490695,5.06987275,320.1357575,326.56031,0.01580706425,100.538685
2,1.75,0.5253529,0.601475199999999,0.585130625,0.197763,7.01159931249999,1.6738382875,11.3107483625,0.58010525,433.275369875,7.0756545,3.92403809999999,0.295552485,0.293986280000001,0.341204107500001,5.159402275,96.6118385,0.60219018,3.03362395,2.348716449275,1.0246256775,0.424083747500002,2.2384367593,5.17635279999999,319.11032,325.15172,0.0131718305,100.543985
2,2.25,0.513597849999999,0.7389664,0.6803833625,0.197617325,8.17160609999999,1.725963,10.07579,0.5556825,432.553826225,7.3482223,3.9440156,0.251925115000001,0.259329037500001,0.337522610000001,5.06617340000001,96.9015075,0.62523376999999,3.0937315,2.3527631351,0.777467627500001,0.420865127500002,2.2265279083,4.99839625,319.4562075,322.72556,0.01494626375,100.524295
2,2.75,0.4839533625,0.902303974999994,0.5698214375,0.15998275,6.92820709999999,1.56325475,10.6349413,0.3887224,433.5560922,7.191380375,3.76696565,0.244667127500001,0.262062910000001,0.339542182500001,5.34465372500001,96.6478875,0.232545639999997,3.05912615,2.39328447775,0.775351172500001,0.415409975000002,2.1712081065,4.7767169,319.2695875,322.407205,0.0150216455,100.48485
2,3.25,0.48103975,0.750607,0.644719074999999,0.1368785125,5.4118904375,1.83920015,9.6827088125,0.5310332625,429.070837675,7.298638675,3.70129725,0.248216250000001,0.258745325000001,0.333978965000001,3.811129425,96.776465,0.425791969999999,3.1263743,2.399638303775,0.774470610000001,0.413784882500002,1.9849975234,5.043115825,318.625225,321.49786,0.0116302425,100.491145
2,3.75,0.4613002,0.7926449,0.641531175,0.1415336,6.71782239999999,1.944321375,9.7642937875,0.630483149999998,432.139999725,7.2285226875,3.09542394999999,0.255645160000001,0.285818882500001,0.340578002500001,5.627791,97.2060065,0.465391019999995,2.7449181,2.4173602644,0.77243203,0.406497375000002,1.884923689525,4.97531999999999,317.917665,320.54073,0.012554439,100.45925
2,4.25,0.4856968,0.86719975,0.7616533,0.22772025,6.746012625,2.2138074,14.83019225,0.524346875,430.43177065,6.95567925,2.68313579999999,0.3256929125,0.3325160025,0.338928775000001,4.14337665,97.1213985,0.583021769999999,2.95102175,2.441094551275,0.768334027500001,0.387828682500002,1.786344214125,5.78016814999999,316.750455,319.97746,0.012784795,100.49643
2,4.75,0.5088124,0.7345435,0.715214649999999,0.17294625,8.78702328749998,1.54567514999999,16.25483255,0.5702908125,428.3560040375,7.1373481,3.18428455,0.305737325,0.308684235,0.315704115000001,2.79713375000001,97.1593405,0.0650830529999989,2.9186843,2.452398766925,0.767254137500001,0.384923050000002,1.80584439975,5.42955919999999,314.75904,320.55966,0.0122969255,100.49699
2,5.25,0.504030275,0.54752555,0.51493995,0.21159715,5.23800684999999,1.4821079,20.87881225,0.40088675,429.30441415,6.85585942499999,2.88020844999999,0.3064707025,0.317884845000001,0.332421565000002,3.173029225,97.286714,0.182372469999999,2.9763774,2.53630105,0.7406969375,0.389268580000002,1.7211100605,5.30125065,311.7242375,318.670945,0.01790211975,100.519165
2,5.75,0.532325,0.583736299999999,0.4396566,0.1747784,5.52624338749995,1.3374969625,20.6365006,0.452991375,432.9799523875,6.9719764,2.47045905,0.3548574875,0.3860363325,0.335974832500001,2.29972605,97.4157805,0.438933069999999,2.9414833,2.620459375,0.661930175000001,0.399777817500002,1.671905902825,5.12175255,313.9276975,318.14443,0.013647405,100.555805
2,6.25,0.51015925,0.687751999999999,0.514148425,0.2128631,9.23615259999997,1.38057625,12.458340125,0.4044696,431.9319268375,6.6922306,2.12537845,0.32212374,0.318970852500001,0.287296752500001,3.162530825,98.000958,0.454251049999997,3.0299629,2.82863975,0.659674312500001,0.377254917500001,1.674491546725,5.12038085,313.6294075,318.652185,0.04729151475,100.565535
2,6.75,0.47269625,0.70115335,0.6045876875,0.197905775,4.88712939999999,1.712783925,11.40561575,0.491465775,433.57611675,6.464986575,2.25845865,0.2303650075,0.21230031,0.259213345000001,3.15387422500001,97.5687975,2.2916501,3.73077275,3.064820125,0.657368002500001,0.366776902500001,1.7012785209,5.064978925,313.927335,318.816435,6.103032475,100.58135
2,7.25,0.4668310625,0.788041624999999,0.5227169,0.185205725,7.93375647500001,1.84437255,12.8139507375,0.77854995,433.093073025,6.1706227,2.0028867,0.21176849,0.221044967500001,0.294522047500001,6.02797672500001,97.1077595,46.6614869999999,34.7887465,3.83516577499999,0.656365282500001,0.385086142500002,1.802983648425,5.47641035,313.9075725,318.8648,67.44270125,100.624965
2,7.75,0.471850075,0.61221015,0.806215874999999,0.1808129,15.7373092,3.204630125,15.9306887,0.894626375,433.3813804,6.153790875,2.1914819,0.271197155000001,0.266619350000001,0.318413275000001,32.6275964999999,98.1785315,147.169,93.6056565,4.67861575,0.656030165000001,0.408032420000002,1.78651783475,5.32643485,315.938765,320.932585,211.9389,100.641765
2,8.25,0.504725375,0.46829635,0.47268785,0.21156725,32.45607315,4.413413075,26.36802,1.1143172875,429.932673,6.3216488,2.7243662,0.18954302,0.2037797725,0.262537865000001,72.8078559999999,97.246891,241.11668,162.94197,5.20184385,0.5901935825,0.338773452500001,2.043556530275,4.96762145,316.6241725,324.909875,405.8951625,100.66446
2,8.75,0.5291188625,0.662926525,0.507114675,0.128952475,47.2825420875,5.057252325,30.38203125,0.8493991,429.7381003,6.473374525,3.64602884999998,0.1676360675,0.1451789475,0.1669905,99.4119755,96.401796,331.67465,221.704135,6.0376403,0.559157555,0.25446858,2.0594333976,5.025201925,315.616455,334.314285,602.877825,100.676575
