DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
3,17.75,0.371384,5.726,3.51508,0.0671487944,0.0462184,0.0249638889,8.174155,32.24685,-0.063803312,-9.3496698965,4.9595,4.974,5.3955,49.7047354265,83.4609,399.118797,17.6305,218.3,109.4722,20.64,263.05,337.15,5.7337364367,-0.144505,1.067445549,0.9559408978,0.4043686437,5.532,0.2679588662,4.8,3.4,2.8,2.95,3.4
3,18.25,0.3367505,4.989,3.07361,0.5496034444,0.515047,0.0402905556,-13.3569,22.84855,-0.036487637,-13.743374905,4.615,4.747,4.907,51.474502001,83.4692,399.22696904,-28.155,92.85,46.21,9.685,256.85,330.7,5.6607715845,-0.120656,0.99083580465,0.831644101,0.3668155112,4.9845,0.2922533148,4.675,3.5,2.8,2.95,3.4
3,18.75,0.2842385,4.173,2.86324,0.8774464444,0.8423285,0.05701055555,-24.52665,14.5096,-0.0592844535,-20.181930375,4.1485,4.572,4.5265,53.8814017045,83.4663,399.56878323,-61.2265,20.23,7.6215,2.327,256.9876,324.5,5.7735178118,-0.0872618,0.9197559262,0.80376730815,0.33478499555,4.1575,0.3309607227,4.55,3.6,2.8,2.95,3.4
3,19.25,0.255086,3.612,2.75642,1.07315833335,1.04161,0.0362266667,-28.6822,11.6267,-0.03402551,-25.084596125,3.7075,4.289,4.0845,56.462200753,83.4876,399.62826143,-74.74409615,0.8975,0,1.20581345,250.5,320.9,5.7366332383,-0.0741712135,0.8543003673,0.69711078675,0.30408682595,3.633,0.32044902875,4.375,3.6,2.85,2.95,3.4
3,19.75,0.261757,3.3265,2.8384451582,0.9739961111,0.971587,0.0185777778,-26.1323,9.82803,-0.0413978555,-24.8786821,3.284,4.0485,3.6015,59.0769811795,83.4876,399.692279285,-76.898,0,0,1.461,252.14035,319,5.64071440535,-0.0728744,0.8046104648,0.6738390015,0.3065941943,3.336,0.34749885065,4.2,3.6,2.9,2.95,3.4
3,20.25,0.2623849889,3.1845,2.65866027865,1.0367111111,1.02429,0.01248194445,-28.54615,8.569,-0.0219889635,-23.502466755,2.908,3.7995,3.1615,60.1255991505,83.4797,399.590492,-75.092,0,0,1.404,254.4,318.3,5.5723087177,-0.079649,0.8003286825,0.6836168518,0.2934038173,3.207,0.3699702691,4,3.6,2.9,2.925,3.4
3,20.75,0.232276,3.0955,2.54173,0.9842863333,0.976513,0.0067344444,-29.25125,7.91053,-0.0791031125,-21.755115935,2.6295,3.55,2.827,61.243225457,83.4865,399.721750265,-74.86250395,0,0,1.53408075,251.4414,316.7,5.4919751769,-0.0621017,0.8192556344,0.7038717654,0.2689221772,3.164,0.3682471996,3.8,3.6,2.9,2.9,3.4
3,21.25,0.2403903815,2.9155,2.5977422948,0.93860066665,0.929656,0.00830194445,-27.7892,9.50537,-0.074395928,-19.79706849,2.454,3.373,2.544,61.198770632,83.5095,399.773224385,-75.61,0,0,1.6485,250.75,315.95,5.4427510482,-0.0735904,0.816481325,0.690293945,0.28636983995,2.957,0.37385181905,3.6,3.525,2.9,2.9,3.4
3,21.75,0.2549715,2.7785,2.69057,0.9929595556,0.9781,0.0100436111,-30.1193,10.0819,-0.074131623,-19.46673725,2.325,3.1695,2.3635,61.0266950625,83.5103,399.93952419,-74.48346185,0,0,1.6334701,251.25,315.9,5.3913428696,-0.06957685,0.823872563,0.6701537137,0.3017006795,2.924,0.37280875105,3.4,3.45,2.9,2.9,3.4
3,22.25,0.2361905,2.882,2.470895,0.918388,0.913983,0.0060377778,-32.482,8.058525,-0.0526915725,-16.536692955,2.1875,3.0355,2.274,62.499627244,83.5012,399.7860608,-76.055,0,0,1.6535,245.8742,315.65,5.4160449004,-0.060727227,0.76732978415,0.65800870695,0.26780726365,2.9685,0.37295308015,3.2,3.425,2.9,2.925,3.4
3,22.75,0.248076,2.701,2.54545,0.9782084444,0.955965,0.0051088889,-31.4627,7.55038,-0.055985901,-14.993201085,2.0915,2.9095,2.0695,62.3940887855,83.51095,399.404944,-74.31276015,0,0,1.7045312,246.25,314.65,5.395825508,-0.0657222,0.8275832284,0.7005333682,0.2810083629,2.7775,0.36588518485,3,3.4,2.9,2.95,3.4
