DOY2,HR2,CO2,FC,CH4,FCH4,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TAU,T_SONIC,USTAR,WS,VPD,U_SIGMA,V_SIGMA,W_SIGMA,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,TS_1_1_1,TS_1_3_1,PPFD_IN,NEE,SC,SH,SLE
1,7.75,387.1718,-2.81828875,1954.0905,-15.185,-45.2891518735,1.09507842025,-20.27104,215.379548166667,297.686289916667,-68.1166264258334,100.7559,48.3930926,20.2978,51.4794429416667,-5.120304415,-3.00357343499996,-5.24577081416667,-0.3038436,-3.00357343499996,0.047065,0.3023355,0.37491825,0.178311302982231,0.170889309891362,0.0554075982243641,4.16494508416667,3.315804419,5.34772704583333,0,6.29220168333333,6.06648931666667,4.06125,-3.0450035,-2.288964,-1.83178,-4.609913
1,8.25,385.37125,-3.05864375,1958.346,-14.81,-45.801175,1.124029791625,-18.45734,216.78279525,303.18581075,-14.4652796433333,100.75,46.504342075,21.4717325,49.1011397833333,-4.56927538416667,-1.81274923999997,-4.65278521,-0.3178138,-1.81274923999997,0.07618,0.2677860948,0.745282725,0.171143488939798,0.186681951370163,0.0928521654108013,12.1838072291666,14.8568217575,13.2556916941666,0,6.36148312083334,6.0308652,14.93625,-2.43540925,-3.0392975,-1.11016607795,-5.25525675
1,8.75,383.4265352875,-3.51584125,1920.371,-7.372,-32.0394260675,1.124344541875,-17.5558625,221.047023,310.79390725,11.0887523916666,100.756875,41.9050503166667,22.590195638,44.3197819916667,-4.02623372583333,-1.26389639999997,-4.130895245,-0.3963072084,-1.26389639999997,0.07632,0.4092054,0.8548663,0.192965656734677,0.243588908470103,0.113362018681335,28.9324186325,24.383949305,34.1489049316667,0,6.40905992166667,6.07209837083333,39.64,-2.652398,-1.8931193846,-1.0208795,-3.4799552747
1,9.25,381.025617125,-18.5351493085,1909.77125,-13.1625,-28.71312897125,1.200475091275,-15.4006,225.661041,312.62136225,23.820565595,100.81525,35.7384843583333,22.46978735,38.4138477916667,-3.16086714166667,-0.483192612499984,-3.32275983166667,-0.43770766875,-0.483192612499984,0.11419875,0.334396125,1.250035,0.263049697819463,0.249824769703335,0.136426600182604,33.08182701,33.34572815,34.0946788691667,0,6.40972919416666,6.11212862,46.06875,-8.6168735,-2.91826525,-1.0077714,-3.620694
1,9.75,378.431375,-10.39543017125,1924.7425,-11.06175,-36.02281221875,1.18883672025,-17.8617,223.115770583333,313.7115345,34.6808367166667,100.8414,34.7799442166667,21.593755,36.7862867833333,-2.7968711925,0.0807422000000202,-2.72917228333333,-0.418494,0.0807422000000202,0.1022894352,0.4072824,1.95638325,0.271026401681267,0.271071436972966,0.130573463097097,20.17461313,46.5396346,21.257408575,0,6.10505401666666,6.12237641666666,72.2475,-5.208483,-4.31011848075,-0.2937877,-10.4027775
1,10.25,379.108875,-6.2547325,1932.307,-7.6015,-30.4999125,1.3250904626,-19.46308,219.660051416667,318.594104416667,45.769329025,100.877625,33.6057497666667,20.6419777285,34.3372834416667,-2.04635656416667,0.149503187500024,-2.03993797491667,-0.451323875,0.149503187500024,0.108031125,0.376591875,1.778718209475,0.327398569117112,0.317891018826392,0.151120727754965,38.8815668416667,52.0175013333333,39.832881375,0,6.33036323333334,6.12731641333334,95.845,-6.240694,-1.3729597616,-1.427942,-4.95318875
1,10.75,377.8778,-8.678475,1933.4405,-3.286,-23.46210528975,1.23875705575,-15.62431,219.619300666666,319.393369,43.8272292033333,100.879875,33.0999564666667,18.7159,33.4203056666667,-1.44860094566666,0.837416230000015,-1.503814008,-0.42810175,0.837416230000015,0.10862247545,0.689942575,1.33475684525,0.307320289320146,0.322701727516872,0.129728488586932,55.2012373416667,48.0085018666666,56.270430475,0,6.31535858666667,6.12859879333333,113.17,-9.17715025,-0.71331925,-1.588917,-4.89749
1,11.25,377.7642,-6.0008425,1936.068,-2.8565,-22.79346,1.2712460706,-11.9279677225,222.051189333334,321.586360333333,51.8789009666667,100.8578,31.7535112,17.09364481375,32.7215627333333,-1.115798142,1.46904998000002,-1.03615479473334,-0.4439167656,1.46904998000002,0.1272390936,0.827231963,1.7164563747,0.403485512504715,0.340449771129061,0.13827406847034,64.3260340166667,61.6356837,107.174843866666,0,6.33610383,6.13361541333333,122.81875,-6.68133,-1.1651158981,-1.188446,-3.71971375
1,11.75,380.053,-7.221618,1922.12075,-2.148,-18.840867746,1.266117801125,5.518242,225.568394583334,321.471331666667,60.7612478333332,100.875125,29.9919135416666,16.144521574,29.9389029166667,-0.737752139583334,2.06742430000001,-0.631109320041667,-0.4468814,2.06742430000001,0.1415939572,0.6902877912,1.8307356313,0.418516888161845,0.397226470766527,0.16938180246146,57.1082323916666,71.1316519583334,89.0133172333334,0,6.362862665,6.15113154583333,115.67625,-6.9018175,-0.6871328,-1.7239936589,-5.063767092175
1,12.25,378.64298226,-7.84001975,1918.8125,-0.388525,-15.2962,1.2118912454,-0.900604999999999,227.1735265,321.838848,77.0330088966668,100.799775,27.4880041666667,14.845909487,28.62432595,-0.544484629558333,2.57447905000002,-0.404338942866667,-0.453099501175,2.57447905000002,0.1491001,0.847553477925,1.7696264309,0.446816449909855,0.399603124164103,0.182872856749682,59.8198256833334,87.2101074333333,97.5912292,0,6.31208680083333,6.18114953333333,159.1375,-7.4677425,-1.33270060175,-1.7833425,-5.027477
