DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
2,7.25,0.47933,0.418985,2.0793,-0.6176125,11.10925,84.825,100.1218,422.535,5.43055,2242.2,2.370075,3.24805,0.96888,4.298325,4.3253,10.348
2,7.75,0.4855875,0.44162,2.339625,4.81835,11.50575,85.1925,100.142925,424.705,5.5852,2220.3,31.574,2.825875,0.58176,3.36715,4.3114,11.459
2,8.25,0.51572,0.88,2.2023,15.952,12.604,83.171,100.112475,423.755,5.48165,2230.625,116.02,3.443975,0.2347325,3.55565,4.3072,15.6325
2,8.75,0.535195,1.5733,2.4047,36.2855,17.15825,81.43575,100.10725,423.17,5.5283,2218.825,262.47,2.773,-0.09421,2.3701,4.3025,18.9735
2,9.25,0.5672675,1.6067,2.5296,65.761,22.484,79.86,100.0965,414.775,5.728275,2205.1,406.31,3.0913,-0.1844825,2.2035,4.3018,26.408
2,9.75,0.58803,2.0067,2.7145,93.248,28.54725,78.137,100.057675,410.3025,5.53675,2196.45,516.8825,2.05805,-0.12821,1.7159,4.295675,19.4925
2,10.25,0.6034375,2.7311,2.830025,119.94,34.26,77.045,100.08225,409.7975,5.564425,2198.2,642.16,2.5117,-0.169085,1.4517,4.28735,23.5325
2,10.75,0.61109,2.928125,2.846,142.005,32.71175,74.34775,100.08125,409.2575,5.492925,2187.15,763.34,2.09975,-0.14962,1.7706,4.2735,22.088
2,11.25,0.6606525,3.567075,2.974625,159.375,37.469,74.586,100.05685,409.0075,5.723325,2194,867.76,1.921875,-0.0692215,1.2946,4.2762,26.04475
2,11.75,0.63917,4.48905,2.964,183.84,38.95275,72.8,100.049225,407.87,5.9589,2186.15,929.64,1.68955,-0.10535,1.2989,4.2843,21.4915
2,12.25,0.6755,4.860575,3.1083,190.785,44.16525,72.80975,100.000925,408.8175,6.093325,2189.9,976.03,1.578075,-0.0692285,1.4399,4.2593,30.14275
2,12.75,0.68731,5.70975,3.2773,183.06,45.145,70.888,99.94193,408.27,6.2143,2178.35,972.64,1.856525,-0.10583,1.54655,4.261025,26.16275
2,13.25,0.703365,5.9668,3.31355,184.22,45.332,69.3655,99.90938,407.91,6.1508,2189.225,966.605,1.4629,-0.0620675,1.08885,4.2855,28.11475
2,13.75,0.69254,6.3308,3.416,178.5325,44.74925,67.211,99.89146,408.11,5.8381,2194,932.7675,1.803225,0.0028894,1.56895,4.319975,24.8195
2,14.25,0.711975,6.6466,3.3654,173.395,43.831,66.163,99.89315,407.66,5.84925,2187.2,885.0375,1.482925,0.04769425,1.4395,4.37115,22.602
2,14.75,0.692675,6.8275,3.22295,149.8625,37.15275,64.486,99.8633675,407.9,5.7819,2178.325,783.4075,1.3673,0.1079025,1.414275,4.4289,18.371
2,15.25,0.731315,6.975775,3.15975,146.9,35.803,64.60225,99.848845,408.025,5.7558,2191.9,679.03,1.807475,0.0879875,1.7062,4.4641,19.72625
2,15.75,0.67179,7.54085,3.06135,121.99,31.761,65.255,99.85423,406.93,5.904275,2206.2,575.7025,1.9256,0.1971425,1.880575,4.556475,15.521
2,16.25,0.66066,7.38885,3.072875,91.0865,27.146,65.1875,99.8438,407.845,5.853075,2194.45,426.645,2.09215,0.24064,2.2391,4.568975,15.437
2,16.75,0.6371,7.60965,3.01765,60.396,22.658,65.524,99.8549625,408.29,5.941975,2189.5,285.84,2.5654,0.3381225,2.6482,4.579725,14.5785
