DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
6,0.75,0.29714325,26.344833335,1.45735,6.57225,6.98325,1.929,-5.1979925,19.307,-5.8495,28.37666667,28.257,95.436833335,101.6,441.246,13.494875,-30.2625,0,2.07625,418.17333335,451.79,33.77595,-0.0138,6.96489575,1.390149717,7.89759,19.025,34.5865,2187.75666625
6,1.25,0.288521,26.388583335,1.45622,7.414,6.8405,1.770118549,-6.077,18.37995,-5.55725,28.323,28.2045,95.913333335,101.6,440.0157106,13.5432,-28.429,0,2.07275,417.70666665,451.215,33.391,-0.014112888,8.23622425,1.173795,3.9408,14.95,34.6195,2171.88593475
6,1.75,0.29,26.346,1.454,6.886,7.37081,1.7475844475,-5.860016494,20.39925,-6.00125,28.335,28.13525,96.03725,101.565,442.458,13.1993,-25.838,0,2.029925,418.16333335,450.64,33.464275,-0.01585296775,9.81,1.491366495,3.3207724985,15.593538,34.63,2216.250692
6,2.25,0.29416975,26.26525,1.454285,7.0735,7.1668,1.664102685,-4.92475,20.02025,-4.887,28.281,28.112,96.17666667,101.53,443.142815575,13.8679,-25.10775,0,2.03225,417.8966667,450.4033333,33.68025,-0.0135806445,9.596208,1.5740575,4.762580306,14.55703975,34.6665,2194.55
6,2.75,0.282894649,26.2225,1.42125,7.33175,6.702,1.6385,-4.939,17.2303,-4.607,28.208,28.11533333,96.28575,101.5,442.27725,13.2172,-24.389,0,2.039133333,417.16583335,449.837499975,33.93525,-0.01330138375,7.67262325,2.4672,4.264765,11.378652,34.6995,2236.3425
6,3.25,0.27890675,26.1532499975,1.3915,6.72625,6.83255,2.15953,-4.460611423,16.384175,-3.7985,28.1421666675,28.08075,96.5125000025,101.5,442.055714725,13.5792,-25.00375,0,2.02220833325,416.93,449.81,33.49975,-0.013304277,11.10452275,1.5882133285,3.613435,10.65,34.66975,2244.7625
6,3.75,0.273076,26.1445833325,1.371,7.156,7.0716,2.239,-4.47475,18.2576,-4.039,28.13758333,28.0705,96.9535,101.5,443.2033768,12.8496,-23.476,0,2.1128,417.855,449.4425,33.23311591,-0.0149,11.835907,1.38034806275,3.14274,18.346019,34.5905,2224.49
6,4.25,0.2745,26.0874999975,1.36,8.7565,6.844,2.213,-4.052545,16.793175,-3.42225,28.102,28.03675,96.958333335,101.5,445.277,13.0092,-24.0865,0,2.06075,417.13,449.32,33.40475,-0.0156,10.8064705,1.80854,3.90576,12.1,34.675,2205.575
6,4.75,0.2714975,26.0117500025,1.40135,6.38975,6.6500036445,1.9722675,-4.686805,16.8335,-3.23,28.056,28.0137500025,97.205,101.5,446.4128823,13.4344,-21.9905,0,2.073175,417.0966667,449.4666667,33.611225,-0.01419903,12.72793825,1.559385903,4.6461968345,17.07912,34.7055,2246.9625
6,5.25,0.282,26.08541667,1.419,5.9265,6.67688,1.76935567975,-4.193,17.445275,-3.355,28.0095,27.959,97.3275,101.535,445.454,13.1543,-20.022,0,2.0873833335,417.775,449.61,34.28625,-0.0136618885,13.3459415,2.5319433395,6.06958,12.73286125,34.373,2241.39
6,5.75,0.2934975,25.9908333325,1.4619475,5.228,6.00470711575,1.45121,-1.131115,26.85515,-3.204,27.93625,27.9247500025,97.296666665,101.6,441.41,11.42435,-10.105,13.177,4.29,418.855,450.07,34.178,-0.02621539225,21.95,6.327539409,9.1575,5.7596975,34.0325,2227.6825
6,6.25,0.33290825,26.1193333325,1.4842325,4.882,5.23275,0.338,12.572,54.51185,-3.429,27.863,27.86875,97.20333333,101.6,435.43012745,10.095,22.992,75.586,18.3755,418.54,451.04,33.9,-0.0433554435,38.5,12.60817132,13.8197,5.7475685,33.81775,2238.54
6,6.75,0.384,26.577,1.55948,1.176,3.57729931925,-0.6098951525,37.898,96.28445,-2.992,27.8185,27.8064166675,95.7110833325,101.6,426.0025,10.8978,92.91325,167.925,31.95256667,418.07,455.3966667,34.357075,-0.06203297425,61.350162,16.0571315625,13.4384,-0.93560175,34.406,2200.29098225
