DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,8.75,0.255,-6.75,5.925,-0.02775,10.75,6,-12,-3.375,-2.9725,86.4,97.9255,0.615,8,189,81,110.5,57.5,258.5,279
1,9.25,0.30975,-6.35,5.785,-0.18675,20.75,10,-12,-3.3775,-2.97,84.5,97.9705,0.68,25.5,329,143.5,215.5,100,259.5,283.5
1,9.75,0.317,-5.65,6.11,-0.3065,29,16.5,-12,-3.3425,-2.8725,84.05,97.9855,0.815,44.5,465,206,342,156.5,260.5,287.5
1,10.25,0.337,-5.15,6.595,-0.363,41.5,22,-12,-3.1275,-2.765,83.9,97.99,0.87,60,577,266.5,417,186,263,291.5
1,10.75,0.34575,-4.65,6.685,-0.23825,50,24.75,-10.25,-2.94,-2.6425,83.2,97.976,0.89,74,706.5,314,520.5,231.5,262,293.5
1,11.25,0.367,-3.6,7.12,-0.32925,59.75,28.75,-9.25,-2.74,-2.545,82.55,97.9505,1.05,98,803.5,370,607,270.5,257,295.5
1,11.75,0.37325,-2.8,7.825,-0.136,63,38,-8,-2.42,-2.255,81.6,97.9,1.125,113,860.5,409.5,653.5,300.5,255,301.5
1,12.25,0.43,-2.3,7.855,-0.14725,70.75,41,-7,-2.2425,-2.09,81.15,97.825,1.135,129,896.5,429,684.5,312.5,263.5,302
1,12.75,0.421,-1.35,7.835,-0.18675,56.75,45.75,-5.25,-2.025,-1.935,80.6,97.76,1.16,126,891.5,435.5,690,314,269,305.5
1,13.25,0.435,-1,8.45,-0.1925,67.75,42,-4.5,-1.81,-1.7375,80.25,97.7505,1.275,135,879,443,675,311,266.5,306.5
1,13.75,0.449,-0.65,8.435,-0.238,69,41.5,-3.25,-1.6125,-1.5875,80,97.7305,1.355,130.5,822,430,639,305,266.5,306
1,14.25,0.505,-0.25,8.36,-0.272,61,41,-2.25,-1.4475,-1.4625,79.35,97.695,1.445,118.5,779.5,400.5,575.5,267,258.5,307.5
1,14.75,0.47275,-0.15,8.57,-0.1645,48.5,38.5,-1.5,-1.595,-1.4675,78.45,97.7005,1.57,82,643.5,348.5,500,227,257.5,308
1,15.25,0.495,-0.25,8.445,-0.1815,35.5,34,-1.25,-1.24,-1.29,77.85,97.72,1.555,69,515,283,398,180,257.5,307.5
1,15.75,0.4345,-0.3,7.68,-0.227,23,21.5,-1,-1.1925,-1.2375,79,97.7355,1.435,30,371.5,220.5,257,122,255.5,305
1,16.25,0.44425,-0.4,7.54,-0.113,14,19.5,-1,-1.425,-1.42,80.6,97.75,1.245,12.5,237,140,157.5,74,258.5,302
1,16.75,0.4055,-0.8,7.365,-0.022,1,13,-1,-1.235,-1.2275,80,97.8055,1.255,-2.5,118,84.5,77,37.5,263,299.5
1,17.25,0.3305,-1.3,6.175,-0.045,1.25,11,-2,-1.28,-1.2425,81.15,97.821,1.15,-17.5,31,17.5,15,8,260.5,298
1,17.75,0.359,-1.7,6.465,0,0,7,-3,-1.3675,-1.2675,83.05,97.84,1.02,-22.5,2,-1,1,1,258,294.5
1,18.25,0.28875,-2.2,6.085,0,1,5,-3.25,-1.56,-1.305,84.35,97.861,0.895,-24.5,0,-1,0,0,254,292
1,18.75,0.34,-3,6.55,0,0,4,-4,-1.84,-1.4625,84.8,97.86,0.85,-22,0,-1,0,0,252.5,290
1,19.25,0.347,-3.5,6.36,-0.03925,-0.5,5.25,-4,-1.7075,-1.5525,84.7,97.8505,0.86,-19.5,0,-1,0,0,252,287.5
1,19.75,0.323,-3.8,6.17,-0.022,-1,5,-5,-1.7025,-1.635,84.55,97.835,0.845,-15.5,0,-1,0,0,252,286.5
1,20.25,0.3125,-3.65,6.14,-0.03925,-1,5.25,-5,-1.9825,-2.0575,85.6,97.83,0.8,-13,0,-1,0,0,260.5,285.5
1,20.75,0.32325,-3.55,6.025,-0.0165,-1,6,-5.25,-2.095,-1.64,85.75,97.8155,0.775,-13,0,-1,0,0,262.5,287.5
1,21.25,0.346,-3.7,6.275,-0.0165,-1,7,-5.5,-2.3125,-1.9175,86.25,97.811,0.75,-17,0,-1,0,0,261,287.5
1,21.75,0.354,-4.2,6.265,0,-0.75,7.25,-6.25,-2.4725,-1.9725,86.2,97.82,0.785,-17.5,0,-1,0,0,264.5,288.5
1,22.25,0.399,-4.3,6.24,-0.022,0,10.5,-6.5,-2.35,-1.9925,86.55,97.8505,0.755,-19,0,-1,0,0,260.5,287
1,22.75,0.3775,-4.45,5.74,-0.07875,3,8,-7.25,-2.3575,-1.945,87.5,97.866,0.725,-16.5,0,-1,0,0,262,286
1,23.25,0.3445,-5.1,5.59,0,0,7,-7.5,-2.4325,-2.0225,88.6,97.8755,0.7,-19,0,-1,0,0,253.5,284.5
1,23.75,0.35625,-5.4,5.335,-0.0675,2.5,7.5,-8,-2.7,-2.4325,88.2,97.8655,0.66,-19,0,-1,0,0,255.5,281.5
2,0.25,0.2615,-2.6,5.36,0.06325,-2,4.75,-1,-1.6325,-1.5175,88.675,97.78,0.695,-18.75,0,-1,0,1,254.25,293.25
2,0.75,0.2235,-2.275,4.88,0.1485,-2,3,-1,-1.64,-1.535,89,97.7935,0.6775,-10.75,0,-1,0,1,251.25,294
2,1.25,0.233,-2.575,4.73,0.091,-2,4,-1,-1.6525,-1.545,89.925,97.78825,0.64,-8.75,0,-1,0,1,252.25,293.75
2,1.75,0.22475,-2.875,5.14,0.091,-2,3,-1.25,-1.6625,-1.5625,89.8,97.79275,0.67,-10.5,0,-1,0,1,253.25,294.25
2,2.25,0.223,-3.4,4.85,0.069,-1,2.25,-2,-1.665,-1.57,89.625,97.79,0.6575,-7.75,0,-1,0,1,252,294.5
2,2.75,0.2375,-3.5,5.2925,0.114,-1,3,-2,-1.7,-1.58,90.375,97.75075,0.63,-8.25,0,-1,0,1,259.5,294
2,3.25,0.261,-3.125,5.94,0.114,0,3,-2,-1.695,-1.5825,90.65,97.74575,0.655,-5.75,0,-1,0,1,259.5,293.25
2,3.75,0.267,-3.375,6.0075,0.16,-1,2,-2,-1.655,-1.5825,89.55,97.7075,0.605,-5,0,-1,0,1,255.75,292.25
2,4.25,0.2915,-3.3,5.9,0.0345,0,2.25,-1.25,-1.645,-1.5975,89.675,97.7075,0.6375,-6,0,-1,0,1,255,291.25
2,4.75,0.2795,-3.175,5.875,0.069,-0.25,2.75,-1.25,-1.6525,-1.615,88.95,97.7,0.6575,-6,0,-1,0,1,253.5,291.25
2,5.25,0.2715,-3.375,5.87,0.069,-1,2,-1.25,-1.6525,-1.625,88.325,97.6675,0.695,-8.5,0,-1,0,1,254.25,290
2,5.75,0.308,-3.65,6.555,0.0855,-1,3.75,-1.25,-1.66,-1.6225,88.675,97.68025,0.6325,-10,0,-1,0,1,253,287.5
2,6.25,0.328,-4.025,6.255,0.07975,-0.25,2.75,-2,-1.67,-1.63,88.35,97.7125,0.6375,-10.5,0,-1,0,1,253,286.25
2,6.75,0.298,-4.15,6.055,0.046,0,3,-2,-1.6775,-1.6275,89,97.76,0.645,-8,0,-1,0,1,253,285.5
2,7.25,0.28725,-4.25,6.0975,0.046,0,3,-2,-1.68,-1.635,88.875,97.75525,0.575,-8.5,12,4.25,5.25,3.25,253.75,286.25
2,7.75,0.26,-4.275,6.3225,0.091,0,2,-2,-1.69,-1.635,88.725,97.7485,0.57,-2,89.5,36.25,47.75,22.75,253.5,285
2,8.25,0.26625,-4.075,6.4675,0.0575,8,11.5,-2.25,-1.7,-1.6425,86.775,97.72,0.615,12.25,222.25,99.25,124.75,62,256,289.25
2,8.75,0.3035,-3.1,6.4675,0.091,11.75,21.25,-3,-1.71,-1.645,86.025,97.75275,0.705,46,383,172,256.25,116.25,257,295.5
2,9.25,0.35225,-2.6,6.7425,0.1655,37,26,-3,-1.7125,-1.6525,84.4,97.74775,0.865,86.25,576.75,246.75,379,171.5,264.25,301
2,9.75,0.37925,-2.175,7.2875,0.31325,56,33.75,-3,-1.71,-1.655,83.325,97.756,1.04,126.25,745,322.25,529.75,226.25,267,305.25
2,10.25,0.415,-1.15,7.3925,0.3075,60.5,37.5,-3,-1.695,-1.655,81.675,97.7835,1.2225,195.25,885.25,399,656.5,272.25,268,308
2,10.75,0.391,-0.6,7.72,0.21625,78.25,37.5,-3,-1.655,-1.645,81.025,97.801,1.4675,239,966,454.25,712,315,270,310
2,11.25,0.37,-0.125,7.68,0.205,97.5,40,-3,-1.605,-1.62,80.7,97.8025,1.7,281.5,1074.75,507.75,840.75,375.25,268.5,315.75
2,11.75,0.423,0.375,7.81,0.4895,118.5,47.5,-2.25,-1.5475,-1.5725,80.05,97.795,1.7625,290.25,1131.25,538.75,914.75,405,273,320.5
2,12.25,0.366,0.925,7.855,0.5,134,53,-2.25,-1.4825,-1.5275,79.275,97.7825,2.0975,316,1167,568.25,942.75,410,274.25,324.25
2,12.75,0.414,1.5,7.915,0.55725,132,48.75,-2,-1.425,-1.4875,78.5,97.75,2.25,329,1165.5,581,914,388.75,274,325.5
2,13.25,0.454,1.925,8.1575,0.4095,129,64,-1,-1.355,-1.44,78.15,97.70525,2.4825,324,1153.75,572.75,920.75,412.5,276,328.75
2,13.75,0.4365,1.625,8.2,0.3755,94,51,-0.25,-1.315,-1.3975,77.625,97.67075,2.505,310,1102,556,903,389.25,275.75,327
2,14.25,0.46,2.1,8.2925,0.569,87.5,52.5,-0.25,-1.295,-1.345,76.85,97.62825,2.5875,288.25,1020.25,525,820.75,376.5,276.75,325.5
2,14.75,0.474,2.425,8.4375,0.3755,70,46.25,-0.25,-1.265,-1.285,78.575,97.58775,2.665,237.5,907,477.5,760.25,334,277,327
2,15.25,0.4255,2.45,8.3525,0.466,56,46,0,-1.2425,-1.2775,79.3,97.61325,2.705,199.75,787,418.25,652.5,277,280.25,321.75
2,15.75,0.439,1.825,8.4525,0.25,35.5,40,0,-1.2225,-1.27,79.175,97.596,2.68,132.25,648.5,362,528.25,228.5,276.5,318.75
2,16.25,0.3935,1.8,8.065,0.114,24,30.5,0,-1.21,-1.2575,78.775,97.626,2.7175,70,500.25,282.25,438.25,197.5,271,316
2,16.75,0.405,1.725,7.37,0.069,15.25,21,0,-1.2,-1.2425,79.4,97.65525,2.5525,37.5,336,201.5,298.5,134.75,264.75,312
2,17.25,0.3585,1.225,6.62,0.046,1,16,0.75,-1.195,-1.23,78.65,97.685,2.39,1,168.25,105.75,142,68.75,264.25,309.25
2,17.75,0.316,1.15,6.33,0.046,0,8.25,1,-1.1825,-1.225,81.225,97.711,2.04,-19,52.75,28,37.5,17.25,262,306.75
2,18.25,0.30425,0.8,5.2775,0,0,6,1,-1.185,-1.22,82.5,97.721,1.8225,-21.75,5.25,0,2.25,1,259.5,305
2,18.75,0.27975,0.225,5.2975,0.023,0,5,0.75,-1.18,-1.2125,83.125,97.7125,1.4925,-21,0,-1,0,0.25,258.75,302
2,19.25,0.295,-0.125,5.16,0.046,-2,4.5,0.75,-1.1825,-1.2075,85.25,97.726,1.36,-28.25,0,-2,0,0,256,300.25
2,19.75,0.27925,-1,5.0975,0.069,-3,5.5,0,-1.1925,-1.21,86.025,97.715,1.235,-29,0,-2,0,1,251.25,300
2,20.25,0.26375,-1.6,5.1875,0.06325,-4,4,0,-1.195,-1.2125,86.3,97.7125,1.065,-25,0,-2,0,1,253.25,300
2,20.75,0.24875,-1.8,4.9775,0.04025,-3,4,0,-1.2075,-1.215,86.925,97.701,1.0225,-17,0,-1,0,1,257,297.5
2,21.25,0.2435,-2.175,4.7475,0.114,-2.5,2.5,0,-1.2125,-1.2175,87.075,97.68,0.93,-21,0,-1,0,1,249.75,296.25
2,21.75,0.219,-1.725,4.7975,0.114,-2,3,0,-1.225,-1.2225,87.35,97.716,0.8025,-11.25,0,-1,0,1,255.25,296.25
2,22.25,0.2295,-1.675,5.2425,0.114,-2.5,5,-0.25,-1.2375,-1.225,87.35,97.7485,0.8,-8.75,0,-1,0,1,260,294.5
2,22.75,0.222,-1.75,5.2925,0.114,-1,5,-1,-1.2525,-1.2375,87.425,97.77525,0.7925,-6,0,-1,0,1,260.5,292.75
2,23.25,0.2455,-2.175,4.92,0.06325,-0.25,5,-1,-1.275,-1.2425,87.5,97.82575,0.81,-7,0,-1,0,1,261.25,292.75
2,23.75,0.2245,-2.6,4.98,0.046,-2,4.75,-1,-1.3325,-1.2475,87.725,97.85825,0.7625,-9,0,-1,0,1,259.25,293
3,0.25,0.268,0.4,4.8825,0.245,-2.75,6,1,0.04,0.01,92.8,97.625,1.16,-11.5,0,-1,0,1,290.75,309
3,0.75,0.2705,0.525,4.96,0.25,-1.75,6.75,1,0.04,0.01,92.55,97.60075,1.0725,-9.75,0,-1,0,1,289.25,308.25
3,1.25,0.211,0.55,4.72,0.25,-3.5,3.5,1,0.03,0.01,92.55,97.5875,1.02,-9.75,0,-1,0,1,286.25,309
3,1.75,0.219,0.625,4.77,0.25,-3,4,1,0.0375,0.01,91.75,97.60025,0.9225,-13.75,0,-1,0,1,283.25,309
3,2.25,0.23425,0.425,4.535,0.2335,-2,4,0.75,0.03,0.01,93.075,97.61275,0.85,-15.25,0,-1,0,1,283.25,308.25
3,2.75,0.28225,0.1,4.7925,0.30725,-2,3.25,0.75,0.0375,0,93.425,97.58525,0.8475,-14.75,0,-1,0,1,281,307.25
3,3.25,0.268,0.025,4.5375,0.313,-3,7,0,0.03,0,94.025,97.601,0.86,-20.75,0,-1,0,1,281,306
3,3.75,0.269,-0.1,4.8025,0.182,-2.75,5.5,0,0.03,0,95.2,97.601,0.8325,-12.75,0,-1.75,0,1,284.25,306.5
3,4.25,0.2795,-0.175,5.345,0.21625,-1,9.25,0.75,0.0275,0.0075,95.025,97.58775,0.8,-9,0,-1,0,1,285.5,307
3,4.75,0.3315,-0.475,5.33,0.21075,-1,10,0,0.03,0,94,97.625,0.8375,-9.75,0,-1,0,1,284.25,307
3,5.25,0.3495,-0.625,5.175,0.22225,-2,8.75,0,0.0375,0.0075,94.825,97.6,0.8525,-7.75,0,-1,0,1,291.25,306.25
3,5.75,0.362,-0.625,5.9175,0.10275,-1,9.5,1,0.0375,0,93,97.5525,0.9025,-7.75,0,-1,0,1,292.75,306
3,6.25,0.3515,-0.375,6.11,0.1935,-2,15,1,0.0375,0,92.45,97.5635,0.8275,-9.5,1,0,0,1,295.5,306
3,6.75,0.33075,-0.55,5.7825,0.2505,-2,21,1,0.0375,0.0075,91.975,97.5425,0.8,-4.75,18.25,7,5,4,289.25,305
3,7.25,0.366,-0.575,6.0625,0.205,1,17.25,1,0.04,0,91.7,97.54275,0.8575,3,99.75,53.25,33.25,19.25,289.25,308
3,7.75,0.363,-0.35,5.84,0.10825,3.75,21,1,0.04,0.01,91.2,97.5575,0.8825,29.25,276.75,122.5,97.75,47,288.25,308.25
3,8.25,0.352,0.025,6.4875,0.137,11,34,1,0.04,0.01,90.5,97.591,0.9775,80,460.25,192.25,163.5,82.5,288.75,310
3,8.75,0.4125,0.975,7.1175,0.19925,18,41.25,1,0.04,0.01,90.85,97.636,1.195,141.5,647.5,282.5,261.25,125.75,288.5,315
3,9.25,0.399,1.875,7.4825,0.262,30.5,49.5,1,0.08,0.01,87.775,97.6625,1.405,197.75,822.25,375.5,354.5,165.75,283.75,319.25
3,9.75,0.42,2.45,7.365,0.319,44,72,1.75,0.585,0.01,86.475,97.6925,1.6425,262.25,989.5,447,383.75,193.25,290.75,321
3,10.25,0.413,2.975,7.5675,0.2165,50.5,71.5,2,1.3625,0.01,84.475,97.721,1.915,298.75,1137.25,518.25,525.75,242.75,299.25,325
3,10.75,0.39925,3,7.4025,0.30175,61.25,88.5,3,2.205,0.085,82.775,97.7525,2.0825,338.25,1231.25,581.75,598,247.5,300,329
3,11.25,0.4525,3,7.9325,0.31275,82.75,99.75,6.75,2.035,0.2125,81.3,97.78,2.23,389.75,1344.5,632.5,627.5,282.5,301,335.25
3,11.75,0.43975,3.275,7.1875,0.546,83,118,12.25,2.5675,0.7,79.3,97.78525,2.45,386.75,1395.5,666.25,606.75,286.25,301.5,334.75
3,12.25,0.45975,4.15,7.44,0.8075,86.5,119.5,23.75,3.4125,0.8925,80.325,97.79025,2.7675,396.5,1379.75,666.25,616.75,281.75,300.25,339.25
3,12.75,0.4665,4.875,7.8025,0.728,94.5,139.25,30.25,3.7225,0.89,77.225,97.77025,3.1425,367.5,1367,675.5,613.75,260.75,303.25,342.75
3,13.25,0.45775,5.225,8.1075,0.66,98,150,39.25,3.4775,1.1025,77.275,97.7335,3.3125,388.25,1332.25,661.75,559.25,248,299.5,347
3,13.75,0.443,5.325,7.9825,0.6765,91.5,147.25,34.5,3.5525,1.315,80.025,97.6825,3.3175,382.25,1269.75,657.75,571,250.25,301,344.25
3,14.25,0.43125,6.7,7.6025,0.75,85,124,33,3.475,1.7,80.55,97.6435,3.315,381,1219.75,619.75,473.75,224,302.5,348.25
3,14.75,0.43275,7.425,7.4375,0.57975,68.75,129,38.75,4.305,2.0325,77.6,97.60075,3.275,335.25,1085.5,562.25,399,176.5,303,344.75
3,15.25,0.429,7,7.6225,0.55175,54,140,35.5,5.2175,2.525,76.125,97.57275,3.3475,305,957,511,280.75,133,301,345
3,15.75,0.40375,6.825,7.515,0.54025,37,94.75,31.75,4.6875,2.8275,75.775,97.52825,3.535,242.5,758.25,418.75,213.75,93,299.25,345
3,16.25,0.37,7.275,6.5425,0.5,28.25,81.25,25,4.4625,2.8675,75.45,97.466,3.5475,195.5,634.75,352.75,190.75,97.5,299,344.25
3,16.75,0.343,7.05,6.1325,0.273,14.75,67,18.75,4.1925,2.96,75.15,97.45325,3.3675,133.75,474.25,274.25,145.25,70.25,297.25,341
3,17.25,0.325,7.05,5.6375,0.205,5,53,14.5,3.4175,2.7475,76.25,97.48025,2.8775,68.25,306,189.25,99,48.5,298,337.5
3,17.75,0.326,6.5,5.385,0.26725,1,31,7,2.6175,2.4725,79.725,97.50275,2.6125,16,147.25,100.25,41.25,24.25,297,331.5
3,18.25,0.29775,5.45,5.22,0.26175,-0.25,23.75,4.5,2.05,2.11,81,97.53525,1.9275,-5.75,41.25,27,12.25,7,296,323
3,18.75,0.28625,4.475,5.2425,0.21075,-1,14.5,2.75,1.23,1.65,84.25,97.55775,1.7875,-14.5,4,0,1,1,291.75,318
3,19.25,0.257,3.575,5.085,0.137,0,13,2,0.63,1.2075,86.2,97.5785,1.5975,-13.75,0,-1,0,1,292.5,314.25
3,19.75,0.283,2.575,5.0475,0.137,0,11,2.75,0.08,0.9975,87.55,97.6185,1.5775,-12,0,-1,0,1,294.5,312.5
3,20.25,0.3195,2.15,5.44,0.205,-1,8,1.75,0.04,0.825,87.475,97.65525,1.5125,-14.25,0,-1,0,1,293.5,313
3,20.75,0.2895,1.875,4.925,0.296,-2,9,1,0.04,0.4775,89.2,97.65275,1.3775,-10.75,0,-1,0,1,294.5,312.25
3,21.25,0.28625,1.65,5.055,0.364,-3,7,1,0.04,0.175,90.675,97.67325,1.4225,-14.75,0,-1,0,1,294.25,311.25
3,21.75,0.29625,1.225,5.485,0.319,-4,10,1,0.04,0.09,90.775,97.65275,1.3175,-17.75,0,-1,0,1,290.75,311
3,22.25,0.32425,1.2,5.4825,0.182,-2,7,1,0.04,0.0525,90.875,97.595,1.285,-13.75,0,-1,0,1,293.5,310.25
3,22.75,0.284,1.025,5.1,0.171,-2,5,1,0.04,0.035,92.2,97.5325,1.27,-14.5,0,-1,0,1,295.25,310
3,23.25,0.308,0.825,5.3175,0.23925,-1,8.25,1,0.04,0.0175,92.45,97.54575,1.3325,-15.25,0,-1,0,1,290.75,310.5
3,23.75,0.2865,0.7,5.1525,0.273,-2.75,7.25,1,0.04,0.01,92.225,97.54775,1.3025,-15.75,0,-1,0,1,292,309.75
4,0.25,0.36575,7.9,6.405,0.5915,-4,11,-5,4.65,6.125,86.85,97.3355,3.23,-13,0,-1,0,0,314,337.5
4,0.75,0.3195,7.65,5.795,0.41,-2,8,-5,4.0875,6.05,87.75,97.3205,3.1,-14.5,0,-1,0,1,310.5,336.5
4,1.25,0.3335,7.5,5.69,0.682,-4,9,-4.25,3.97,5.9375,88.1,97.3055,2.8,-15,0,-1.5,0,1,315.5,335.5
4,1.75,0.36,7.05,5.64,0.6025,-2.75,9.25,-5.5,3.46,5.6875,87.75,97.3155,2.57,-15,0,-1,0,1,315.5,335
4,2.25,0.318,7.2,5.72,0.79625,-2.5,9,-4.75,3.35,5.49,88.25,97.3455,2.895,-14,0,-1,0,1,315.5,333.5
4,2.75,0.342,7.05,5.835,0.5915,-2,6,-6.25,3.2875,5.2125,88.65,97.35,2.745,-14.5,0,-1,0,1,314,334
4,3.25,0.31325,6.55,6.05,0.546,-3,7,-6,3.2,4.9125,89.9,97.351,2.47,-13,0,-1,0,1,315.5,330.5
4,3.75,0.33275,6.2,5.835,0.58,-4,9.5,-4.5,3.1225,4.715,90.7,97.3305,2.045,-10.5,0,-1,0,1,312.5,328.5
4,4.25,0.319,5.65,5.78,0.4665,-3.5,6.75,-4.25,3.2075,4.515,90.85,97.341,1.94,-13,0,-1,0,1,312.5,327.5
4,4.75,0.344,5.45,5.39,0.34675,-2,6.25,-4.25,3.14,4.4675,90.8,97.3605,1.925,-12,0,-1,0,1,312.5,326
4,5.25,0.30375,5.35,5.55,0.455,-3,6,-3.25,3.0175,4.355,90.95,97.3455,1.885,-10,1,-1,0,1,312.5,326.5
4,5.75,0.33725,4.8,5.815,0.569,-3.25,12.5,-4,2.7675,4.0475,91.2,97.36,1.765,-9,20.5,8.5,2,2.5,312,325.5
4,6.25,0.34425,5.2,6.485,0.64275,-4,14.75,-3.25,3.3825,3.835,91.2,97.3705,1.86,0.5,80,47.5,12,11,311.5,329
4,6.75,0.4105,5.85,7.215,0.89275,3,27.5,-2.25,4.2,3.8375,89.75,97.39,1.98,31,247.5,116,28,26,313,336
4,7.25,0.4195,7.4,7.26,1.1935,19.25,37.5,0,5.1075,4.3175,89,97.39,2.315,88.5,447,202,48,40,312,346
4,7.75,0.4495,7.75,7.755,1.364,33.5,46.75,2.5,7.275,5.1875,88.8,97.405,3.07,155.5,638.5,293.5,63.5,54,310.5,351
4,8.25,0.477,8.3,7.73,1.1425,63.75,68.5,8.75,9.085,5.895,87.95,97.4305,3.63,226.5,828.5,388,82,67.5,312,361
4,8.75,0.465,8.8,7.895,1.4775,94.75,80.25,23.5,9.6125,7.1675,85.5,97.44,4.4,292.5,1013,471,98.5,84.5,314.5,368
4,9.25,0.48925,10.15,8.055,2.205,131.75,115,38.75,11.6425,7.655,83.2,97.435,4.84,349.5,1172.5,551,116.5,97.5,316.5,377.5
4,9.75,0.51375,10.5,8.15,2.08,154,126,46.25,13.3375,8.405,80.8,97.4305,5.265,409,1294.5,625,129.5,108.5,317,383
4,10.25,0.535,11.35,8.49,2.30125,182.25,145.5,49.75,14.16,9.5775,81.15,97.4255,6.055,445.5,1420.5,687.5,140,118,318,389.5
4,10.75,0.538,12.6,8.63,2.137,192,166.5,56.75,16.02325,10.565,80.15,97.4205,7.13,476,1494.5,740.5,146,125,320.5,400
4,11.25,0.5035,13.45,8.965,2.796,232,181.5,63,17.9575,11.3725,78.25,97.4005,8.475,509.5,1562,785.5,153,133,322,410.5
4,11.75,0.5335,14.3,9.195,3.01175,255,191,66.75,19.2675,11.985,74,97.3755,9.31,530.5,1615.5,813.5,159,138.5,324.5,410.5
4,12.25,0.54,14.75,8.96,2.83025,239,180.75,68,20.4275,12.6375,69.6,97.3605,9.74,541.5,1636,831.5,163,140.5,324.5,421.5
4,12.75,0.55775,15.5,8.715,3.60275,284.5,209.5,71.5,21.9225,13.445,68.75,97.335,10.48,553,1651.5,832.5,162.5,140.5,328,422
4,13.25,0.50925,16,8.495,3.319,251,174,70.75,22.6175,13.66,68.95,97.336,10.895,535,1610.5,824.5,154.5,137.5,329.5,430
4,13.75,0.5085,15.85,8.65,2.762,249.5,163,65,22.155,14.01,68,97.356,11.08,504,1537,794.5,148.5,133,333,428
4,14.25,0.48075,15.65,8.58,3.177,222.25,162.25,60,21.615,14.3325,67.75,97.3455,11.395,478,1453,752,142,126.5,335.5,420
4,14.75,0.52,16.15,8.96,3.00625,201.25,177.25,54,21.595,14.5475,64.5505,97.3205,11.99,439,1332,701,129.5,118,334,418
4,15.25,0.516,16.45,9.61,2.864,164,159,51,20.3675,14.5425,62.15,97.28,12.615,400.5,1198.5,633,122.5,107,334,414.5
4,15.75,0.5365,16.55,9.4,2.387,155,136,44.75,19.435,14.4525,59.85,97.2605,12.625,352,1040,554.5,106,94.5,332.5,412
4,16.25,0.5195,16.9,9.13,1.978,112,123,38,18.8475,14.455,59.25,97.2505,12.895,290.5,882,484,93.5,81,329,408.5
4,16.75,0.508,16.95,8.93,1.94925,77.75,91.75,34.25,16.4675,13.8375,61.15,97.2355,12.75,213.5,704.5,391.5,79,67,329.5,402
