DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
7,18.75,0.0371596,-4.18317975,-4.0002894,-0.2208388,-73.833532125,-2.2603312,0.3219204,-3.604008675,346.939159,10.632240575,18.98224475,-4.502038840825,21.98247425,21.86582225,21.67508175,21.45602325,-35.31234,42.64639975,0.218222181925,0.3636803875,10.7544745,2.847654325,335.931135,412.6851475,27.16120275,97.460938,19.718924958
7,19.25,0.0284595,-2.693870475,-1.920475,-0.2335607,-75.5785775,-3.020806725,-10.8944728,-3.514499,351.3663735,10.42220615,18.8116015,-5.958452235,21.63271875,21.6971135,21.6170905,21.41096425,-61.701121,44.8982845,0.013760113675,0.3210977325,4.393730725,1.7968854,334.1479475,407.55355,11.4507575,97.4465542,18.83449704325
7,19.75,0.0218183,-2.9031715,-3.2177985,-0.149054875,-67.267586975,-2.811041925,-10.540978625,-3.5521035,354.857488,10.61130325,17.4207,-8.4648781675,21.19887425,21.4700715,21.4847355,21.318353,-77.43407225,47.546873,0.008213613025,0.3108604325,0,0.584255025,333.39154,400.73636,2.404866,97.4325368,17.6380175
7,20.25,0.0227225,-3.1898405,-4.0682972,-0.225196,-57.0529286,-2.721291875,-15.50058765,-3.21830225,359.6869964,10.79856995,16.53274725,-10.2536223375,20.68544025,21.12578525,21.2526775,21.152869,-80.278404,53.2007515,0.00803839885,0.2711208975,-3.382340375,0.4302581125,329.60337,395.79018,0.05805892075,97.411752,16.96127625
7,20.75,0.0244132,-8.41384235,-2.77443065,-0.5322407,-55.3226496,-2.0156866,-8.872929,-3.414637625,365.27692645,10.945057,15.9781385,-12.3777575125,20.2189355,20.766424,21.02998775,21.08864525,-79.07487225,52.97203375,0.008017869425,0.2681198625,-3.04022725,0.637034285,325.46394,390.898875,0,97.443578,16.06086560125
7,21.25,0.023821925,-5.02589305,-2.4289652,-0.763318125,-49.9258945,-2.6616396,-7.045711575,-3.8010427,367.778550375,11.03316825,15.62577475,-14.197313025,19.6624785,20.4380195,20.9468505,21.02635025,-78.99986225,56.94620775,0.0079515915,0.18957818,-3.0716836,0.693118625,324.916535,387.956505,0,97.5077324,15.38310375
7,21.75,0.0215411,-8.4069065,-3.5138648,-0.6236314,-50.809118875,-2.4522395,-12.969047075,-3.4605938,372.0750239,11.273550375,15.015378,-13.554039625,19.38409375,19.99929225,20.761662,20.87605175,-77.80782825,59.58337875,0.0079795172,0.230833,-2.791586625,0.5538123775,325.10725,386.1013075,0,97.5259196,14.74761625
7,22.25,0.02044675,-6.84174,-0.684195549999999,-0.4120515,-50.593183875,-2.0080092,-9.3851702,-2.6312464,375.964298275,11.3246792,14.31037425,-15.0010531375,18.97459325,19.61656975,20.4358795,20.675621,-76.9111405,61.128339,0.0079940423,0.242691785,-2.58488515,0.4949132075,324.37448,381.6847575,0,97.5005044,14.33582223275
7,22.75,0.021968,-7.65940205,-2.900891,-0.99129845,-46.5116096,-2.05192025,-9.3096941,-2.9141274,378.8558345,11.5296061,13.866814,-16.7355769625,18.75045825,19.30232175,20.162996,20.4673335,-75.22147925,62.76804625,0.00808409415,0.24949613,-2.482118875,0.5520082875,320.96307,378.646015,0,97.5062958,13.91002425
7,23.25,0.02579,-8.5182535,-2.4181099,-0.804162,-47.4922417,-1.8472113,-10.3001898,-2.6826119,381.64812175,11.50405535,13.19270225,-18.186707,18.46331125,19.17088875,19.92976825,20.26376225,-73.536404,63.49110275,0.0080480147,0.22788862,-2.63825535,0.6081183475,320.4238125,377.2990625,0,97.511563,13.525041
