DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_OUT_1_1_1,LW_IN_1_1_1,NETRAD_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,PA_1_1_1,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT_10_1_1,PPFD_OUT_11_1_1,PPFD_OUT_12_1_1,PPFD_OUT_1_1_1,PPFD_OUT_2_1_1,PPFD_OUT_3_1_1,PPFD_OUT_4_1_1,PPFD_OUT_5_1_1,PPFD_OUT_6_1_1,PPFD_OUT_7_1_1,PPFD_OUT_8_1_1,PPFD_OUT_9_1_1,TS_1,TS_2
1,8.75,0.0290975,68.4978,46.8286,0.16262385,5.67366,0.5342694,11.70504,399.35805,9.066888,1.624462,1.458142,0.6620114,1.2466,365.19027,330.5150725,153.36806,67.63629525,286.9245575,11.5349094166667,92.6865818666667,6.60499986666667,-2.256013,-3.3551646,-1.81741793522506,-5.38651780000001,87.21653095,87.314,681.189640333333,632.533333333333,82.6791666666668,57.0645833333333,75.0341666666667,83.7624999999999,86.2425000000001,64.9049999999998,125.970833333334,112.657083333333,92.7583333333331,130.320833333333,97.7916666666666,108.052916666666,8.14122222222222,9.86820833333332
1,9.25,0.023059125,100.123505,58.208965,0.176699,5.94307025,0.564927675,12.5465025,399.531475,9.3415975,1.85023775,1.23905275,0.6823081,0.83469965,379.567705,333.10167,233.1389125,83.82628975,388.198345,12.6828848916667,91.0908984333333,6.77599973333333,0.00315821499999661,-2.77007090000001,2.58367880672374,-4.64075860000001,87.23672645,87.3408333333333,910.316933166667,832.897916666667,94.4333333333333,79.5645833333333,97.91125,109.04375,115.6375,86.9499999999999,176.97,163.77375,117.879166666666,171.5125,123.941666666666,144.315416666667,8.25258333333334,9.79408333333335
1,9.75,0.02618742,131.84995,73.3752,0.2171305,6.00979,0.6062044,13.28252,399.212,9.69655,1.760522,1.64436,0.7080622,0.9301704,389.8195225,335.509835,280.19459,103.12452,474.50332,13.772959825,91.3361861166666,6.63112475083333,2.97533535,-1.553364375,8.68733570000001,-3.63236887499999,87.24454175,87.3601666666667,1089.82825866667,992.158333333333,118.633333333333,99.575,116.919166666667,119.064583333333,130.825833333333,98.4958333333333,183.444583333334,191.845833333333,140,203.154166666666,147.729166666667,166.616666666667,8.49522222222222,9.73083333333333
1,10.25,0.03209858,159.3155,83.2768475,0.1870312,6.27084525,0.647755425,13.8495275,399.37505,9.5841,1.91939475,1.598191,0.697890925,0.96114125,403.311045,339.6268,331.86561,116.90003,550.63234,14.3320443083333,91.60734575,7.37949974666666,7.8042148,-0.32417165,18.4093985,-2.12370932499999,87.2563205166667,87.3645,1262.69127916667,1138.30416666666,130.725,116.2625,132.660833333333,139.033333333333,127.705833333333,113.05,162.935,207.906666666666,161.133333333333,229.916666666667,170.585,190.625,8.86516666666666,9.70349999999999
1,10.75,0.0400531600000001,195.87535,102.0748,0.3302721,6.768436,0.7532058,14.49696,399.8502,9.69158649999999,1.835378,1.80442,0.7664658,0.9030856,418.5950075,339.93831,412.74829,130.60157,623.05492,14.9238614,90.2238925999999,7.40162486666667,12.161104,0.9333665325,25.9606538551757,0.215920357500001,87.2475332,87.345875,1406.9123175,1255.92625,138.729166666667,129.54375,146.2,158.6375,137.255416666667,126.571666666666,191.5125,234.075833333333,178.791666666666,252.216666666667,188.8925,211.716666666667,9.38054166666667,9.662
1,11.25,0.0314621200000001,215.13335,98.885125,0.380915399999999,7.38802200000001,0.773231000000001,15.05148,399.718625,9.7172085,2.034998,1.820248,0.844525600000001,0.9478618,426.2890925,343.8391275,408.91556,137.61005,663.7035,15.3345982083333,86.1730427083333,7.81212484499999,17.40852775,2.4865734,35.482144,2.41278965,87.20181935,87.2994583333333,1490.33215,1333.36791666666,139.383333333333,138.73125,152.8875,166.8875,141.17375,133.627083333333,206.564583333333,246.939583333333,190.216666666667,267.595833333333,198.333333333333,226.383333333333,9.99099999999999,9.63633333333332
1,11.75,0.0514706549999999,235.9178,106.7429,0.18017955,7.53612875,0.768813049999999,16.02181,400.002375,9.5436745,2.06558125,1.9958305,0.8681365,0.896892475,435.707145,344.0291325,445.86691,143.06455,698.4521,16.4851592083333,83.2448902833333,8.71687476833332,19.8220995,4.391213,43.25948975,6.4672708,87.1600415833333,87.2418333333333,1557.80594241667,1391.73125,147.730416666667,145.377083333334,159.377083333333,177.439583333333,148.392916666667,141.16875,210.314583333333,262.2,199.533333333333,277.808333333334,205.100833333333,237.195833333334,10.8753333333333,9.64266666666666
1,12.25,0.0653853249999999,226.55365,104.43969,0.39006425,8.49598475,0.812141249999999,16.4862425,399.505,9.37814525,2.206937,1.90700225,0.96266325,0.873553525,445.205195,343.75379,433.25197,139.73096,709.5880625,17.0792926666667,80.6708721333333,9.01200007333333,23.842065,5.99569759999999,49.425556,9.92523029999999,87.1231731333334,87.190875,1572.76725333334,1409.90916666666,144.525,144.533333333333,161.002083333333,179.2,146.05,143.095833333334,205.23125,262.35625,201.7425,279.55,208.1925,240.025,11.7472499999999,9.72695833333333
1,12.75,0.0637489849999997,239.899575,97.932125,0.232777349999994,8.65434024999999,0.803787525,16.9478425,399.6285,9.28614,2.12941425,2.0090695,0.9668184,0.87240585,454.32935,340.78853,423.6895125,139.862385,710.4477725,17.55274385,79.4437785249999,9.71900000999999,27.337551,7.4570619,55.6016881132286,13.205211,87.0560081,87.1485833333333,1565.08740666667,1399.72583333334,140.629166666667,140.783333333333,157.8875,175.179166666667,143.480416666667,141.8875,204.92625,262.2625,199.820833333333,277.729166666667,208.5125,239.195833333334,12.4451388888889,9.81033333333333
1,13.25,0.0661621399999997,246.002875,101.609925,0.303939075,9.02552625,0.867056474999999,17.3758575,399.82215,9.05461,2.274249,2.026565,0.99307495,0.872504125,457.8278925,340.9485075,402.72177,135.62468,690.53728,18.0386057166667,79.57185615,9.83099995166667,31.054248,9.03941885,63.7155375,16.5751695,87.0290402,87.1335833333333,1515.66852666667,1358.7625,138.08875,135.3875,151.41875,169.897916666667,136.439583333333,136.054166666667,196.002083333333,248.7,191.425,269.854166666667,198.516666666666,230.5125,12.9271527777778,9.96533333333333
