DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,12.75,-2.6975,403.866926,1.207903,60.7945,9.475879,0.306964,90.138,15.212,0.620177,1.551,0.21409,0.271402,0.723996,0.845524,12.06,4.646,66.4945,100.14,11.452,10.88,10.333,10.253,11.143,14.779,216.6,384.905,814.335,80.398,384.505,79.147,301.5,402.29,307
1,13.25,-2.562,404.0106915,1.1765415,58.229,9.5811275,0.301293,87.0185,15.383,0.597361,1.59605,0.21253,0.274171,0.7249895,0.843143,12.316,4.9899,64.4285,100.1,11.707,11.143,10.52,10.342,11.144,15.059,199.5,379.435,807.395,81.143,381.09,75.394,301.08,403.29,299.2
1,13.75,-2.42605,403.614213,1.0905375,56.425,9.513003,0.302894,83.495,15.6265,0.567089,1.58945,0.21133,0.268466,0.7212595,0.846921,12.56,5.33935,63.529,100.1,11.892,11.3485,10.68,10.3995,11.1535,14.913,176.76,373.84,770.57,77.563,374.5585,75.518,303.42,404.49,299.3
1,14.25,-2.202,403.717287,1.067939,49.7385,9.539135,0.281188,70.885,15.824,0.513857,1.5414,0.20215,0.258085,0.679816,0.796473,12.89,5.5154,62.731,100.07,12.079,11.473,10.86,10.431,11.132,13.9008,144.78,319.84,673.54,69.09,320.025,66.8975,300.8,400.75,253.4
1,14.75,-1.8455,403.1780125,1.016894,43.1245,9.586974,0.258509,52.6005,15.926,0.4225045,1.44745,0.18598,0.2439285,0.657118,0.764549,12.9,5.5483,62.3005,100.07,12.0795,11.592,10.983,10.482,11.1445,11.5277,98.396,268.76,562.83,59.236,266.275,58.194,298.47,396.66,223.95
1,15.25,-1.5217,403.2756085,0.8582665,33.054,9.645075,0.2315585,35.3125,16.053,0.3362815,1.4244,0.18519,0.230272,0.601889,0.706343,12.972,5.51695,63.058,100.06,12.0635,11.61,11.0635,10.552,11.149,8.8408,57.7665,215.155,453.45,50.1765,212.38,52.225,297.875,391.885,181.75
1,15.75,-0.826155,403.109489,0.766439,23.839,9.718347,0.19553,14.714,16.067,0.216912,1.37535,0.16365,0.208679,0.532587,0.617648,12.695,5.218,64.4125,100.05,11.9135,11.5285,11.108,10.6105,11.15,6.2217,14.946,140.225,294.41,33.3735,139.315,35.4715,297.66,385.18,146.75
1,16.25,-0.0398035,402.909264,0.81314,12.067,9.7953205,0.161286,-0.85773,15.9455,0.1904175,1.23115,0.1366,0.1721365,0.453613,0.4871805,12.24,4.7652,66.459,100.055,11.605,11.36,11.11,10.664,11.157,2.8795,-15.311,73.028,151.42,17.757,72.6795,24.1995,294.53,377.085,94.7
1,16.75,0.40102,404.039983,1.371087,3.68995,9.728426,0.108295,-5.2393,15.6375,0.2776445,0.89145,0.094168,0.121505,0.358057,0.369466,11.4605,4.0743,70.257,100.05,11.24,11.145,11.044,10.7045,11.163,-0.40368,-43.798,21.176,46.3165,5.25695,21.663,7.9438,294.745,364.975,33.86
1,17.25,0.43017,403.8547985,2.160615,1.4099,9.951659,0.082892,-3.002,15.278,0.376085,0.64506,0.080522,0.075775,0.322149,0.333512,10.41,3.1147,75.15,100.04,10.835,10.873,10.887,10.712,11.158,-3.9531,-49.913,0,0,0,0,0,294.285,354.91,0
1,17.75,0.24268,405.432371,3.199026,0.27016,9.6039375,0.0920155,-2.594,14.699,0.468914,0.73685,0.078882,0.068014,0.29613,0.320656,9.4652,2.4373,79.2,100.05,10.4905,10.6795,10.79,10.734,11.147,-6.9086,-45.5695,0,0,0,0,0,291.51,349.2,0
1,18.25,0.43029,407.464453,3.888171,0.59911,9.447636,0.1006825,-2.6545,14.082,0.46374,0.87923,0.083358,0.072153,0.277579,0.304524,8.7485,1.9433,82.62,100.06,10.207,10.418,10.707,10.728,11.14,-8.9623,-44.716,0,0,0,0,0,292.92,346.83,0
1,18.75,0.37075,407.573244,3.492462,-0.007664,9.225198,0.093471,-3.6101,13.681,0.4422075,0.94025,0.083262,0.076718,0.272331,0.306483,8.2595,1.57075,84.848,100.06,9.9713,10.22,10.63,10.779,11.139,-10.5785,-45.217,0,0,0,0,0,294.72,345.58,0
1,19.25,0.624845,410.056191,3.221512,-0.28473,9.194574,0.08921,-5.7762,13.315,0.406276,0.989685,0.085901,0.08873,0.2884105,0.2992665,7.9665,1.37965,86.735,100.075,9.7402,10.027,10.496,10.772,11.147,-11.2532,-47.27,0,0,0,0,0,295.61,345.06,0
1,19.75,1.01685,411.4108265,2.6246105,-0.5274,8.9186135,0.0839865,-7.9056,13.001,0.4032365,1.0322,0.093039,0.101907,0.298985,0.305668,7.7766,1.2493,88.082,100.1,9.57,9.8985,10.381,10.752,11.14,-11.5885,-46.0105,0,0,0,0,0,297.15,344.92,0
1,20.25,1.3079,412.131484,2.52255,-0.70147,8.87448,0.080547,-10.06545,12.7815,0.3792295,1.06165,0.101275,0.115215,0.33417,0.328504,7.48,1.16215,88.9,100.1,9.3929,9.76335,10.2785,10.7245,11.1625,-12.1435,-42.71,0,0,0,0,0,300.38,343.99,0
1,20.75,1.2776,413.6642025,2.196454,-0.500475,8.78972,0.083366,-11.5,12.564,0.3843305,1.1024,0.10281,0.116739,0.338319,0.329955,7.326,1.04205,89.3,100.11,9.27335,9.6411,10.1805,10.708,11.156,-12.061,-40.991,0,0,0,0,0,300.495,343.69,0
1,21.25,1.33165,414.661326,2.331496,-0.73592,8.7447,0.08158,-11.098,12.431,0.3848495,1.1416,0.105405,0.118135,0.3397575,0.3392415,7.052,0.99347,89.9395,100.12,9.1864,9.52575,10.0945,10.6915,11.1675,-12.145,-39.6745,0,0,0,0,0,300.52,342.81,0
1,21.75,1.1956,414.2858745,2.371484,-0.61092,8.7298475,0.079151,-11.304,12.365,0.39064,1.1398,0.10659,0.117682,0.339985,0.341204,7.01,0.93719,90.2815,100.13,9.0488,9.40365,10.0455,10.68,11.1745,-12.6475,-38.772,0,0,0,0,0,302.025,342.5,0
1,22.25,1.3958,415.769756,2.360646,-0.8048,8.557622,0.079495,-12.577,12.2555,0.404895,1.1661,0.10712,0.121149,0.352434,0.348583,6.804,0.950435,90.357,100.13,8.9302,9.3387,9.9753,10.6425,11.1805,-12.6665,-35.902,0,0,0,0,0,303.74,341.565,0
1,22.75,1.363,416.010091,2.267441,-0.33245,8.585272,0.076503,-11.289,12.0655,0.3893325,1.1819,0.109565,0.1235595,0.3526895,0.3406095,6.6505,0.876765,90.9,100.14,8.8246,9.2214,9.8933,10.607,11.191,-12.6848,-35.563,0,0,0,0,0,308.625,341.61,0
1,23.25,1.21375,415.644619,2.1490515,-0.48366,8.463224,0.076289,-11.9575,12.057,0.374713,1.2153,0.10915,0.1242475,0.3511825,0.3464245,6.645,0.92458,90.612,100.14,8.6248,9.0572,9.7565,10.531,11.171,-13.1965,-33.32,0,0,0,0,0,308.745,341.31,0
1,23.75,1.4069,414.533863,2.116128,-0.056852,8.426123,0.074906,-12.3215,11.966,0.394753,1.22715,0.11213,0.130675,0.3583715,0.342161,6.5045,0.989385,90.3345,100.15,8.5292,9.0033,9.7059,10.491,11.167,-13.0245,-33.061,0,0,0,0,0,307.47,340.91,0
2,0.25,2.1711,413.070441,2.488998,0.22659,8.641358,0.081079,-17.659,12.81,0.3985725,1.3119,0.123315,0.1448305,0.372499,0.356847,7.521,1.6546,83.6185,99.8125,9.67115,10.0795,10.661,11.306,11.687,-13.789,-53.031,0,0,0,0,0,294.02,346.29,0
