DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
3,2.25,0.19,2.19,-0.58,-0.41,58.31,-4.76,0.25,-62.36,-5.92,0.355,0.11
3,2.75,0.165,2.13,-1.26,-0.42,56.03,-4.6,0.4,-64.09,-5.12,0.055,0.08
3,3.25,0.16,2.255,-1.36,-0.38,53.96,-4.67,0.47,-63.64,-3.06,0.13,0.075
3,3.75,0.165,2.16,-0.92,-0.57,52.6,-4.37,0.51,-62.33,-3.485,0.37,0.06
3,4.25,0.17,2.28,-0.89,-0.57,49.33,-4.73,0.4,-63.01,-6.045,0.33,0.06
3,4.75,0.165,2.055,-1.06,-0.67,51.21,-4.74,0.42,-62.31,-3.8,0.48,0.08
3,5.25,0.15,2.07,-1.16,-0.27,52.75,-4.98,0.52,-66.29,-3.49,0.115,0.065
3,5.75,0.17,1.965,-1.21,-0.385,49.67,-3.42,0.69,-63.37,-3.665,0.46,0.06
3,6.25,0.14,2.03,-1.2,-0.89,51.37,5.37,3.2,-47.78,-2.8,0.16,0.06
3,6.75,0.16,1.905,-1.09,-0.63,49.68,57.52,22.9,-7.82,-2.97,0.49,0.07
3,7.25,0.24,1.64,-0.81,-0.34,47.43,165.18,50.37,28.93,3.915,2.105,0.18
3,7.75,0.31,1.58,-0.37,0.175,45.14,282.93,75.03,92.1,26.505,7.39,0.36
3,8.25,0.355,1.76,0.4,0.905,41.3,400.89,102.27,145.2,68.79,18.22,0.45
3,8.75,0.44,1.975,1.15,1.43,42.5,501.17,131.85,204.19,123.015,26.36,0.67
3,9.25,0.52,2.035,1.48,1.83,42.42,594.39,161.2,264.27,150.47,34.035,0.93
3,9.75,0.55,2.195,2.17,2.415,42.7,679.19,195.37,309.65,191.8,40.43,0.64
3,10.25,0.625,2.45,2.47,2.95,44.02,762.52,225.63,349.7,227.48,36.5,0.73
3,10.75,0.655,2.53,3.29,3.37,42.36,803.18,259.05,365.48,258.645,46.24,0.575
3,11.25,0.7,2.98,3.05,3.395,47.06,827.07,267.34,375.9,273.255,48.59,0.92
3,11.75,0.71,2.93,2.93,3.41,48,833.73,296.87,373.37,275.18,31.45,0.84
3,12.25,0.715,3.07,2.96,3.055,49.375,841.15,280.97,368.7,302.06,40.26,0.655
3,12.75,0.7,3.12,3.095,3.27,51.85,821.665,273.8,366.3,268.685,43.77,0.72
3,13.25,0.72,2.92,3.36,3.39,50.8,795.61,255.34,361.67,276.26,45.34,0.745
3,13.75,0.71,2.91,3.23,3.125,53.91,740.83,222.8,324.93,260.29,34.31,0.59
3,14.25,0.69,2.93,3.19,3.17,58.415,662.22,191,303.4,252.12,29.97,0.74
3,14.75,0.66,2.83,3.04,2.94,64.27,544.54,153.84,251.5,215.64,25.22,0.745
3,15.25,0.64,2.86,3.18,3.045,66.51,431.77,125.41,187.72,156.63,31.63,0.71
3,15.75,0.63,2.885,3.04,2.62,67.77,332.8,89.28,144.87,126.28,25.36,0.62
3,16.25,0.58,2.675,2.74,2.38,69.53,277.03,67.405,93.955,96.82,13.25,0.68
3,16.75,0.54,2.47,2.29,2.24,71.48,148.26,47.78,36.345,52.4,14.35,0.64
3,17.25,0.435,2.19,1.825,1.79,74.52,71.62,26.785,3.975,20.305,5.51,0.53
3,17.75,0.295,2.03,1.185,1,75.215,15.125,7.135,-39.105,0.89,2.57,0.43
3,18.25,0.23,1.84,0.81,0.66,77.23,-2.505,0.415,-69.3,-1.89,0.37,0.275
3,18.75,0.2,1.9,0.425,0.405,73.73,-4.66,0.48,-69.315,-2.195,1.24,0.22
3,19.25,0.2,1.765,0.165,0.17,72.84,-4.68,0.62,-67.61,-1.83,-0.525,0.14
3,19.75,0.2,1.935,-0.18,-0.11,72.915,-4.78,0.745,-66.355,-3.04,0.29,0.07
3,20.25,0.19,2.07,-0.14,-0.28,64.425,-4.525,0.655,-67.13,-2.745,0.65,0.165
3,20.75,0.175,2.04,-0.09,-0.05,62.935,-4.345,0.745,-63.63,-4.065,0.24,0.155
3,21.25,0.15,1.82,-0.065,-0.35,60.9,-4.94,0.68,-68.78,-3.25,-0.26,0.1
3,21.75,0.16,1.84,-0.07,-0.26,61.62,-4.895,0.61,-67.29,-4.71,0.48,0.125
3,22.25,0.15,1.825,-0.2,-0.29,58.56,-4.715,0.63,-65.49,-2.05,-0.14,0.07
3,22.75,0.155,1.91,-0.075,-0.16,59.105,-4.78,0.715,-65.855,-3.49,0.58,0.08
3,23.25,0.14,1.98,-0.265,-0.345,59.605,-4.835,0.565,-64.81,-2.695,0.35,0.06
3,23.75,0.17,1.94,-0.475,-0.41,56.245,-4.785,0.585,-64.435,-1.955,0.14,0.05
4,0.25,0.12,1.73,-0.04,0.3,64.81,-4.85,0.835,-69.83,-2.85,0.42,0.09
4,0.75,0.13,1.9,-0.27,0.06,65.94,-5.055,0.94,-67.905,-5.095,0.27,0.1
4,1.25,0.15,2.125,-0.2,0.035,63.67,-5.01,0.875,-68.925,-3.08,0.305,0.1
4,1.75,0.12,2.235,-0.17,0.045,62.51,-4.865,0.825,-68.79,-5.79,0.215,0.09
4,2.25,0.135,2.25,-0.34,0.15,59.995,-4.93,0.63,-67.555,-6.725,0.32,0.07
4,2.75,0.115,2.05,-0.435,0.2,60.11,-4.94,0.72,-67.64,-3.94,0.545,0.07
4,3.25,0.11,2.01,-0.515,-0.18,58.3,-4.835,0.65,-67.53,-4.785,0.1,0.06
4,3.75,0.11,2.04,-0.565,-0.01,56.7,-4.975,0.7,-64.88,-4.35,0.04,0.05
4,4.25,0.12,1.86,-0.805,-0.11,57.305,-4.91,0.605,-66.22,-4.18,-0.085,0.05
4,4.75,0.13,1.915,-0.63,-0.43,55.62,-4.77,0.7,-64.965,-2.565,0.5,0.045
4,5.25,0.11,2.01,-0.785,-0.14,55.625,-0.775,1.535,-63.485,-3.79,0.4,0.05
4,5.75,0.15,1.74,-0.465,-0.02,53.54,25.775,12.15,-34.575,-3.745,0.75,0.05
4,6.25,0.175,1.685,-0.185,0.015,53.025,105.61,40.09,13.6,-0.445,2.86,0.08
4,6.75,0.25,1.34,0.115,0.42,52.23,216.26,58.045,67.905,20.535,7.12,-0.07
4,7.25,0.33,1.355,0.595,0.92,49.98,329.425,77.88,147.595,61.19,15.22,-0.08
4,7.75,0.4,1.47,1.07,1,44.49,444.33,106.735,214.805,119.46,28.755,0.115
4,8.25,0.47,1.56,1.355,1.31,42.47,556.175,139.985,283.27,146.71,32.09,-0.33
4,8.75,0.59,2.21,1.98,1.76,41.89,665.535,175.46,357.305,203.02,48.43,0.22
4,9.25,0.63,2.53,2.24,2.355,40.62,760.43,210.01,414.475,239.06,41.75,0.19
4,9.75,0.68,2.635,2.56,2.425,41.955,840.485,235.325,444.165,257.54,50.75,0.01
4,10.25,0.7,2.95,2.87,2.73,45.57,895.705,271.34,461.455,279.77,53.92,-0.85
4,10.75,0.75,3,3.105,2.75,50.41,945.08,299.705,484.62,299.47,43.39,-0.6
4,11.25,0.76,3.19,2.92,2.88,54.955,977.785,321.76,492.09,300.57,46.46,-0.32
4,11.75,0.72,3.22,2.895,2.85,56.34,954.53,332.285,482.56,298.095,49.88,-1.22
4,12.25,0.775,3.29,2.95,2.875,58.54,992.13,338.585,503.185,306.43,46.32,-1.11
4,12.75,0.75,3.465,2.755,2.73,62.785,971.25,318.725,477.05,287.045,46.385,-1.12
4,13.25,0.75,3.415,2.815,2.805,62.33,889.11,304.78,483.67,301.025,42.575,-0.275
4,13.75,0.77,3.075,2.69,2.63,61.475,868.4,269.295,444.225,290.95,44.745,-1.255
4,14.25,0.73,3.055,2.365,2.435,65.02,764.395,235.17,425.925,279.725,35.445,-0.765
4,14.75,0.695,2.92,2.57,2.4,65.67,691.63,186.3,370.575,244.885,41,-0.75
4,15.25,0.675,2.845,2.275,2.32,67.175,624.43,153.635,328.95,217.555,27.75,-0.7
4,15.75,0.66,2.935,1.965,1.91,69.915,470.225,115.895,256.725,166.94,21.165,-0.335
4,16.25,0.59,2.79,1.98,2.08,71.46,330.9,80.78,176.395,142.97,16.65,-0.34
