DOY2,HR2,FC_1_1_1,LE_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_2,LE_1_1_2,CO2_1_1_2,H2O_1_1_2,H,USTAR,TA,RH,PA,VPD,WS,NETRAD,PPFD_IN,SW_IN,LW_IN,SW_OUT,LW_OUT
2,0.75,-0.0552995,-0.978148905,391.03111,4.6046235,-0.045091,-0.793011605,411.7594275,2.221216775,-28.506049,0.088997325,-1.75432,36.06536,83.7097175,1.73967145,1.515939125,-74.882887,0,0,224.742865,1.074169,292.0324375
2,1.25,-0.053365,-0.789596345,391.051665,4.645252475,-0.026077,-0.77705229,411.9189525,2.244234875,-25.5009565,0.08291294975,-1.9158025,37.9796525,83.712265,1.6725659,1.476769,-73.895422,0,0,224.455655,1.096327,290.042435
2,1.75,-0.053772,-0.8006312325,391.18941,4.6398383,-0.08394575,-0.679554185,411.7640025,2.25773355,-26.881178,0.0765321745,-2.50538,40.6430625,83.71782,1.53546205,1.4010452,-73.16783725,0,0,222.988675,1.037843975,287.958285
2,2.25,-0.036074,-0.92476951,391.046265,4.67797445,-0.037938,-0.9074663625,411.352415,2.2626214,-23.785324,0.077439,-2.556835,41.1165275,83.7147075,1.3870564,1.4976936,-72.77789,0,0,223.70858,1.046581,287.506465
2,2.75,-0.0273295,-0.94808625,391.06587,4.6887442,-0.055019,-0.65877249,411.4101625,2.18826685,-23.3850115,0.0739791015,-2.89275,43.97498,83.70663,1.2977485,1.5231392,-72.070388,0,0,222.9904025,1.060377,286.7560175
2,3.25,-0.026052,-1.08047805,390.672495,4.6703445,-0.071065,-0.6954386725,411.7488875,2.202891975,-23.34722075,0.0790680225,-3.0102725,44.4724025,83.707715,1.2143567,1.5379154,-72.79716,0,0,221.50634,1.096917,286.172035
2,3.75,-0.021222,-0.9125319825,390.25753,4.7502362,-0.0788015,-0.75967705,411.69069,2.075608025,-22.4661615,0.074145329,-3.19519,44.9217225,83.70727,1.1680263,1.5178,-72.15572775,0,0,221.2590725,1.083896,284.7023625
2,4.25,-0.0283665,-0.99285969,390.59013,4.6394126,-0.0605795,-0.7097400075,411.6783075,2.0170394,-21.3122055,0.07727569125,-3.70015,46.054285,83.7114675,1.09631825,1.4456029,-71.09025575,0,0,220.9522,1.05424475,284.127305
2,4.75,-0.022424,-1.0662251,390.65534,4.7427353,-0.069199,-0.8866025,411.74502,2.045603175,-21.03595875,0.0761623535,-3.7798,46.9809475,83.719205,1.034882625,1.5122487,-70.337,0,0,219.436755,1.0755421,282.352355
2,5.25,-0.006175075,-1.0463427,390.9316825,4.736499925,-0.068691,-0.52720627,412.2296825,2.03171215,-20.90604,0.071026837,-4.0528325,49.7631325,83.7324675,0.98276327,1.4437,-70.2548855,0,0,217.93898,1.096447,280.81984
2,5.75,-0.000974,-0.97312275,391.69414,4.6949379,-0.08298275,-0.5287083275,411.69659,2.096200225,-20.233191,0.072621965,-4.25420249999993,50.6092,83.7492675,0.95421474,1.4824938,-69.7012855,0,0,217.007805,1.008798,279.834645
2,6.25,0.00032311875,-1.1141338,391.3373875,4.7015095,-0.0729025,-0.6167978175,411.5626825,2.09643855,-18.5469145,0.071201419,-4.340295,50.7041475,83.759445,0.8677288125,1.399044,-69.384026,0.0247167795,0,215.98193,1.0420886,278.10481
2,6.75,0.031284,-0.865710345,391.371415,4.713443,-0.076241,-0.4899537025,411.6407875,2.134706925,-17.546392,0.075932995,-4.93567,51.05338,83.7928875,0.881044505,1.448184,-67.30079875,2.218285975,0,215.457515,1.415366725,278.489525
2,7.25,-0.013612,0.8708506,391.39721,4.7155396,-0.1357025,0.18193689,411.660785,2.1752375,-15.203719,0.0796634355,-4.62017,48.075625,83.8178825,0.8991553225,1.3129718,-50.02886675,37.171096,26.74413225,214.0442325,9.143265,281.9250925
2,7.75,-0.1896025,2.520657475,391.20033,4.92398455,-0.136315,0.47655695,411.673455,2.43205925,-5.4679947,0.1007862575,-2.8662725,39.3149025,83.8253075,1.3313042,0.9722864,-12.7255,146.72403,85.3905,214.606305,25.32465,295.035355
2,8.25,-0.236855,5.925388925,391.8646175,4.8237827,-0.2074075,2.174988,412.038375,2.672131125,10.90492625,0.12700969,-0.787004999999965,33.3194375,83.8395,2.15778185,0.9302815,42.0279235,322.051615,174.598715,217.098955,45.695645,310.4547925
2,8.75,-0.287845,7.515051125,392.09094,4.7286231,-0.1268475,3.4600845,412.7336575,2.7064518,38.095124,0.1491013625,0.345985,30.17119,83.83779,2.724827925,1.1484218,98.24020125,480.439895,253.325835,218.4501275,57.76602,322.7390225
2,9.25,-0.32914,9.323685775,392.02157,4.668334,-0.1849125,6.13245485,413.335815,2.611082,65.9883,0.170953745,1.243455,27.51642,83.8371325,3.174934,1.3186416,161.94643,655.4546625,357.60376,220.04481,72.050155,336.34619
2,9.75,-0.3026075,11.17742925,391.381625,4.5939403,-0.0820045,7.277910225,413.615385,2.47574945,87.6316265,0.1852534325,1.839695,25.970095,83.8389425,3.62364255,1.3431507,214.55311,805.932255,440.546935,222.635495,86.797765,348.79695
2,10.25,-0.3617725,12.73271925,391.32955,4.590665775,-0.1132325,8.504523275,414.40246,2.51652495,105.976785,0.1957296775,2.65214,23.901125,83.82753,4.240753,1.4443009,266.06002,970.62903,530.40839,225.22516,100.3837,360.852375
2,10.75,-0.4304975,13.68313925,390.6180225,4.5454374,-0.096067,10.22392925,414.7335525,2.515806675,129.597685,0.217444735,3.5623025,22.20405,83.806235,4.758006975,1.5426802,305.54483,1014.9828,594.9854,228.21487,112.3925875,372.24152
2,11.25,-0.28664,13.69075675,390.3193925,4.47985965,-0.12671,9.713296225,414.429565,2.50237765,135.68345,0.22713962,4.30002,20.450185,83.770405,5.198494975,1.6636697,328.67814,1134.635875,635.338755,231.4467725,117.24121,383.0196625
2,11.75,-0.331335,13.7794985,390.45058,4.4193441,-0.0761715,10.9797145,413.808995,2.5310705,146.79779,0.2389425,5.0281275,19.05971,83.738,5.54317735,1.7209484,334.2632725,1130.2038,632.98947,233.7525725,122.0286,390.8170875
2,12.25,-0.37928,13.7195055,389.907405,4.2457655,-0.136495,11.272564,414.0500075,2.4804307,149.3525,0.2544222825,5.71695,17.53382,83.698785,5.9570475,1.753696925,329.72395,1092.945175,601.5963575,236.75217,119.722925,396.972565
2,12.75,-0.28555,12.671094,389.9142425,4.1553004,-0.19804,9.7393724,413.60154,2.408878125,155.25102,0.25242495,6.194865,15.99293,83.640875,6.328311775,1.838847725,329.697885,1103.61315,616.97695,240.0387025,124.66165,400.97427
2,13.25,-0.27815,12.555017,389.94633,4.0907825,-0.018877,9.89874985,413.301395,2.329648125,148.950135,0.264591515,6.74108,14.780315,83.5916375,6.714149725,1.8628793,304.988705,1049.32265,576.11741,242.0238375,115.9097,403.07808
2,13.75,-0.31157,11.552596,389.8721,4.0224953,-0.0498205,8.73123565,413.052975,2.337586575,138.89286,0.254704635,7.17305,14.3205875,83.55241,7.0065594,1.8886851,279.707375,982.9841825,546.4626,243.3627825,110.053495,400.20454
2,14.25,-0.25781,10.04954,389.501985,3.85253025,-0.04607075,7.71896785,412.9955525,2.306226475,126.10053,0.2562796575,7.49403,13.6567475,83.53535,7.294222,1.90559395,240.6203,891.1746,480.349355,243.734185,100.446405,396.435905
2,14.75,-0.26899,8.5431877,389.5229,3.780520725,-0.0309772,6.5290425,412.940135,2.24458495,107.4271325,0.25435,7.60899,13.181,83.5301875,7.4972727,1.933446525,200.0124025,774.96318,425.400205,243.3460375,88.32723,389.4726525
2,15.25,-0.230375,7.18910725,389.926235,3.8007264,-0.055039,5.1829996,412.7979425,2.258335725,78.949283,0.2451289025,8.00835,12.909505,83.517005,7.437789625,1.9539326,140.8017975,619.377465,329.07495,244.22755,71.5111425,384.76858
2,15.75,-0.1666375,5.3763667,389.71461,3.824678775,-0.045171,3.991651825,412.7462825,2.18263445,56.377392,0.235737105,7.87079,13.0425975,83.50946,7.4633763,2.091047275,84.52177475,451.8301575,250.1616,243.863575,54.9238115,375.68166
2,16.25,-0.13913,3.8514049,389.672505,3.80518855,-0.05068775,2.5894606,413.002025,2.208116175,30.4976815,0.216945275,7.81629,12.83715,83.492505,7.313267,2.05933815,36.1860455,312.176175,162.0214,242.75252,38.385545,365.6957
2,16.75,-0.0910185,2.514584475,390.17604,3.854196525,0.0229655,1.297774375,412.853025,2.206524475,3.7563,0.199537875,7.55028,13.24003,83.50736,7.1210857,2.051666925,-17.21614125,195.236285,107.78483,242.0355925,26.323085,355.2362525
2,17.25,-0.0719105,1.497929225,390.3916,3.935908225,0.0291305,0.3434484125,413.136325,2.1959242,-15.50237,0.1465746,6.78801,14.08292,83.5248575,6.520847425,1.73574585,-68.10185575,78.2459315,41.9866675,239.45497,13.432735,342.61758
2,17.75,-0.04602625,0.203377925,390.64147,4.04056405,0.01099125,-0.20273718,413.52907,2.224053125,-31.9091,0.096429488,5.6608625,16.466555,83.5524225,5.444913,1.53536565,-93.76755,10.6369625,0.66934097,239.378165,1.7504255,329.66441
2,18.25,-0.04064675,-0.5091076225,390.84424,4.1031526,-0.025997,-0.5864915175,413.1862275,2.1782216,-35.2713775,0.0896817445,4.36042,18.82318,83.577785,4.60424025,1.517908125,-92.9272875,0.11794267,0,238.32358,0.85753148,320.203095
2,18.75,-0.070345,-0.725196935,391.0743825,4.1687139,-0.04841975,-0.6268842,412.94094,2.221446175,-35.36030575,0.09848806175,3.24778,21.45509,83.6054225,4.054856675,1.8414873,-89.97230525,0,0,237.36215,0.872787305,315.42904
2,19.25,-0.0739145,-0.900668725,390.7038825,4.231160575,-0.03197625,-0.6954126025,413.02694,2.267245675,-33.72825675,0.09033623475,2.17812,23.65215,83.62909,3.4989149,1.8619407,-87.778671,0,0,235.8736625,0.9102667,311.6061725
2,19.75,-0.0788155,-0.77008298,390.818595,4.3013227,-0.05432125,-0.79400528,412.22481,2.223816175,-35.772411,0.102529775,1.542885,24.11435,83.6488775,3.261325775,1.8519,-86.0587725,0,0,235.1145925,1.1712006,309.3189175
2,20.25,-0.065734,-0.7269368525,390.85073,4.40711525,-0.031166,-0.791676265,412.32124,2.167188925,-37.39568,0.1047499675,1.0401425,25.53618,83.662265,3.0330047,1.8081944,-84.467209,0.00100664939,0,234.23075,1.198015,308.1518
2,20.75,-0.077461,-0.6461700725,391.007035,4.3355548,-0.042692,-0.83368967,411.4636,2.2065371,-35.9888585,0.103847475,0.813980000000015,26.437865,83.675735,2.978739975,1.7465629,-83.56446775,0.00097489337,0,233.27794,1.2825857,306.21371
2,21.25,-0.063663,-0.85999554,391.08873,4.417596125,-0.057086,-1.111729125,411.6246375,2.350890775,-34.90459925,0.1033530125,0.57277750000003,27.657165,83.6988425,2.8046473,1.6252919,-81.8572265,0.0011645131,0,232.274785,1.228303,303.922145
2,21.75,-0.053926,-0.954202465,390.612205,4.48377,-0.059289,-0.8101373125,411.4126975,2.34970845,-33.305639,0.101074245,0.231615000000035,28.05749,83.71836,2.669047425,1.6071055,-81.365839,0.00074385925,0,230.442795,1.162458,302.31893
2,22.25,-0.069889,-1.024474,390.56888,4.53914285,-0.065641,-0.7515071325,411.57362,2.265267125,-32.6083915,0.097906656,-0.024180000000001,29.553105,83.7262375,2.431651525,1.5850041,-79.259463,0.00193828495,0,230.013365,1.15195025,300.32841
2,22.75,-0.059616,-0.92864977,390.6126725,4.5522504,-0.06265525,-1.0330479,411.452635,2.2484193,-31.608584,0.098214537,-0.43491,30.86693,83.717995,2.258314375,1.51457975,-78.95551875,0.0016459758,0,229.661715,1.099161,298.39366
2,23.25,-0.053795,-0.9533557425,390.57899,4.58352085,-0.06073025,-0.7726394925,411.2390125,2.282567925,-29.4247185,0.092672552,-0.9207025,32.358175,83.7124675,2.185148,1.58236805,-77.4401835,0.00160860725,0,228.3817525,1.136565,296.8081225
2,23.75,-0.0578095,-0.8527796475,390.38013,4.5619256,-0.06918825,-0.71069227,411.44033,2.20177565,-30.566685,0.0907165405,-0.78516499999998,33.17073,83.7149575,2.123361,1.563304075,-77.704477,0,0,228.03922,1.20905225,295.38393
3,0.25,-0.0605505,-1.065357775,385.07677,4.6739938,-0.028433,-1.120514525,411.77048,2.713632525,-38.464623,0.107593825,2.9620175,24.0323875,83.743415,3.433144775,1.7076027,-83.554297,0,0,239.902585,1.206580875,314.8919125
3,0.75,-0.073983,-1.12574265,385.0032,4.747205825,-0.00377035,-0.906101005,411.8403425,2.705414925,-38.6644405,0.09757159575,2.69594000000005,25.3117775,83.7344525,3.255226,1.714923725,-83.342398,0,0,238.67084,1.1929583,312.7407775
3,1.25,-0.0578085,-0.99026543,385.10344,4.7837658,-0.00712435,-0.805562635,411.8697325,2.733061875,-36.204062,0.095928277,2.6052475,26.61782,83.74421,3.274906525,1.7220949,-83.07425525,0,0,237.989275,1.26910645,310.8457125
3,1.75,-0.05077875,-1.0604007,385.6,4.816403975,-0.0301555,-0.6996678,412.02906,2.7402364,-35.095332,0.093504706,2.20291,27.271315,83.739265,3.07701665,1.646640475,-80.802131,0,0,237.071635,1.24497675,308.720825
3,2.25,-0.06131675,-0.981856695,385.28585,4.882788075,-0.040625,-0.7851941525,411.73038,2.74030705,-30.64405025,0.08892580875,1.76908,28.27434,83.71957,2.768475,1.68654145,-79.46437275,0,0,236.423145,1.2849605,307.906305
3,2.75,-0.0526005,-1.2082557,385.3725425,4.994154775,-0.07527,-0.93315785,411.67521,2.701315025,-30.169517,0.091081183,1.42949,29.158445,83.7093525,2.60510065,1.692627,-77.869588,0,0,234.3170525,1.189131475,305.8469375
3,3.25,-0.062066,-1.0211659,385.68042,4.9764578,0.0044991,-0.79090135,412.15363,2.7251527,-27.943557,0.0856614645,1.08436,30.0890125,83.702665,2.519722025,1.5728444,-78.07005725,0,0,234.577915,1.164360925,303.5685075
3,3.75,-0.04964925,-1.1706014,385.768125,4.9524376,-0.0496195,-0.5579425,411.8798525,2.6686218,-26.795366,0.083609916,0.772630000000038,31.4697975,83.7164475,2.31888515,1.58368695,-77.240501,0,0,233.250695,1.19784825,302.059205
3,4.25,-0.0577355,-1.209672,384.93162,5.000065975,-0.036475,-0.7275009325,412.25077,2.702679,-26.604521,0.079522335,0.233280000000035,32.9528875,83.735125,2.165776,1.55991895,-76.16172,0,0,233.2025275,1.1835674,301.0863625
