DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,10.75,0.509685,409.49,95.030275,2.09349,2.58337,2.29776,0.1634838,62.3526,73.12,1.158938,2.5685,-5.30585,-0.35996015,0.50267445,2.3277855,100.6,-5.315,-6.65,198.96,603.68070645,2.1,2.4
1,11.25,0.2862785,409.7463,106.759,2.2387,2.698045,2.119125,0.076111545,61.155,71.515,1.28328,2.80691,-4.9189,-0.41406065,0.5409199,2.4921885,100.5,-4.8345,-5.99,199.135,618.2,2.1,2.4
1,11.75,0.338035,409.4037,113.5274,2.37688,2.7432,1.97322,0.080704,58.39,70.045,1.433395,3.027235,-4.48165,-0.3981615,0.53039195,2.6986755,100.5,-4.227,-5.49,199.66,613.1,2,2.4
1,12.25,0.301872,409.094,112.9793,2.87089,2.692982,2.0604,0.165851,57.427,68.825,1.54132,3.135545,-4.209,-0.4658175,0.5799661,2.961596,100.4,-3.9625,-5.315,193.303,625.4,2,2.4
1,12.75,0.287537,408.6008,101.4031,3.054291,2.71066,2.22847,0.159987,56.8489,68.28,1.593254,3.30128,-4.07,-0.42351045,0.5541727,2.778202,100.4,-3.596,-5.096,175.551,574.4548082,2.1,2.4
1,13.25,0.290857,408.19315,80.2817,3.422255,2.795196,2.27525,0.225386,56.39,66.53,1.597061,3.38589,-3.9205,-0.46826645,0.573415,3.12362,100.4,-3.396,-4.799,146.13,512.1,2.1,2.4
1,13.75,0.23999,408.284,61.1316,3.483553,2.713787,2.504765,0.1621947,54.5044,67.01,1.68511,3.2244,-3.715,-0.4545472,0.56646085,3.0639375,100.4,-3.313,-4.498,122.47,436.71735585,2.1,2.4
1,14.25,0.1995825,407.8859,42.23606,2.9158805,2.7288655,2.237835,0.1688214,53.8546,66.795,1.686685,3.576895,-3.591,-0.4008785,0.5394769,3.027511,100.4,-3.057,-4.51,99.39,349.9,2.1,2.4
1,14.75,0.268735,406.2315,24.6957,2.90225,2.683229,2.51179,0.24789345,55.1626,66.645,1.703613,3.58251,-3.8331,-0.4558661,0.58757925,2.9312615,100.4,-3.1445,-4.42,57.31,243.35,2.1,2.4
1,15.25,0.1451195,405.77375,8.2161255,1.97584,2.734842,2.58045,0.15538282,56.0019,67.74,1.6378995,3.61366,-3.8251,-0.50841525,0.6085886,3.285145,100.4,-3.521,-4.69,22.4675,147,2.1,2.4
1,15.75,0.187605,405.69455,-12.725915,0.2809598,2.752743,2.36002,0.24456945,56.8749,68.38,1.523257,3.46992,-4.06,-0.2593105,0.4353434,2.656768,100.4,-3.758,-4.91,-0.942,58.146839965,2.1,2.4
1,16.25,0.1249002,405.73165,-17.6763,0.0232156,2.8053695,2.64265,0.36750675,58.70475,68.89,1.389975,3.23484,-4.266,-0.16533115,0.3511989,2.430376,100.43,-4.207,-5.2365,-21.9995,11.2,2.1,2.4
1,16.75,0.1519355,406.1299,-17.30928,-0.0835709,2.841955,2.82395,0.3557679,60.7,70.27,1.321098,2.93814,-4.165,-0.13338075,0.31666255,2.498523,100.44,-4.604,-5.5345,-26.605,0,2,2.4
1,17.25,0.1537864,405.6757,-20.36405,-0.2071455,2.82819,2.810195,0.3310484,62.5086,72.255,1.22058,2.7081,-4.706,-0.089635155,0.2661467,2.337525,100.475,-4.768,-5.82,-27.0585,0,2.1,2.4
1,17.75,0.2256567,405.6561,-21.45222,-0.166258,2.8061,2.738965,0.369129,63.43495,72.93,1.160742,2.34814,-4.709,-0.105828,0.2542331,2.339844,100.5,-5.083,-5.945,-27.5045,0,2.1,2.4
