DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
4,11.25,0.17716,415.06943275,0.0723,139.9410005,33.9169115,4.320525,9.08075,0.89611325,0.029404,0.004959,0.033759,0.090443,4.912,0.563264,1.10297275,0.5846545,98.575159235,98.4955,60.55,59.87725,5.03280387075,6.615,7.970772,6.924925,7.808457,6.47,0.00796435725,0,-0.969455,0.366789,-0.25157225,-0.107857143,-0.03146396425,-0.103714286,-0.18760675,-0.2541765,0.24432475,0.27871,0.01925010725,-0.0564645,-0.05778560725,0.3678235,0.00989275,-0.1512825,618.5439,172.1485,287.61,342.04,1072.25205,353.7,10.2,0.634,0.1840225
4,11.75,0.1810755,415.0735365,0.0933,145.63617425,37.0565,4.3784625,7.770444,0.82671175,0.029807,0.00461525,0.03574875,0.0909075,4.844,0.564603,1.092217,0.60122,98.574435,98.519,60.1275,58.74714,5.462284868,7.04825,8.0220085,7.4604,8.464475,7.25274675,0.01053560725,0,-0.9762925,0.365285,-0.24307025,-0.105035714,-0.03217857175,-0.102285714,-0.16514075,-0.2506775,0.295605,0.3063575,0.02624999975,-0.03514325,-0.04478575,0.385145,-0.0022145,-0.1232825,645.8018,181.4596,287.669075,345.34595,1108,368.425,10.2,0.727,0.1762605
4,12.25,0.14767675,415.4893025,0.09055,147.40082475,43.702641,4.339509,7.285675,0.78010375,0.030659,0.00479,0.038048,0.085382,4.92725,0.58884525,1.1680865,0.6258645,98.5419925,98.48875,57.805,56.999095,5.848717898,7.53175,8.8830575,8.09901725,9.010125,7.84892775,0.032143,0,-1.0423925,0.392645,-0.24593,-0.0937142855,-0.028285714,-0.100857143,-0.150645,-0.2605735,0.3119285715,0.32243,0.027714286,-0.0271425,-0.021786,0.3861905,0.011285714,-0.124855,677.2036,193.03,288.61,346.1961,1166.8754,391.5,9.4975,0.443,0.198018
4,12.75,0.0822,415.353338,0.0731,152.87075,42.2387,4.2907985,7.0592,0.8099465,0.035798,0.005254,0.038702,0.081673,4.96635,0.57034675,1.162432,0.613713,98.5161775,98.456,56.135,54.763145,6.180780378,8.25,8.760735,9.02175,9.87,7.993,0.031,0,-1.0159325,0.4055,-0.240642,-0.09100000025,-0.028142857,-0.096857143,-0.13886,-0.253572,0.3435007145,0.37407,0.029,-0.0157145,-0.024786,0.390925,0.009857143,-0.113575,684.932,199.9078,290.15,349.0369942,1186.25,396.3,8.89,0.176,0.20489325
4,13.25,0.1610575,415.551249,0.0826,144.4193805,41.513782,4.17915075,6.6410345,0.873012,0.034545,0.004552,0.038239,0.086926,5.07625,0.56393,1.173387,0.622354,98.515896905,98.435535,53.865,53.234,6.768574758,8.79,9.520602,9.73595,10.371,8.4324415,0.022142857,0,-1.0167525,0.424425,-0.247285,-0.0809642855,-0.028,-0.096857143,-0.136785,-0.247357,0.387215,0.364575,0.034,-0.013,0.0008575,0.41757,0.004428571,-0.111285,694.8,200.2724,289.3864,352.81,1201.75,398.725,9.82,0.411,0.131101
4,13.75,0.0122,415.699953,0.081975,153.114528,42.8479,4.13935,5.99090875,1.02548675,0.033374,0.003098,0.040804,0.084812,4.96325,0.577654,1.20039175,0.623605,98.52056297,98.433355,52.39,53.2635,6.8340618575,9.08,9.3743,10.1845,10.352335,8.8638995,0.049429,0,-1.03275,0.4429995,-0.20743,-0.06650000025,-0.026714286,-0.089857,-0.128715,-0.2419285,0.40186,0.357425,0.0400715,-0.0057145,0.0035,0.422645,-0.003429,-0.1123555,686.4087,198,289.0391,352.7,1185.60025,405,9.395,0.4695,0.03794825
4,14.25,0.0872205,415.609425,0.056025,149.14,47.866575,4.210894,5.566415,1.0274,0.039159,0.006803,0.051221,0.091032,5.00675,0.58085025,1.15343475,0.63313675,98.5348813,98.4243825,52.49,52.21643,7.16518083925,9.73,9.6047,10.5819175,10.855,9.3223975,0.034285714,0,-1.199825,0.46186,-0.22,-0.062428571,-0.025571429,-0.091714,-0.1217142855,-0.253,0.5655,0.387575,0.039786,0.0177855,0.0261425,0.4409785,-0.000714286,-0.0937145,669.9252,191.8157,293.98,353.1970383,1149.64565,391.1,8.71,0.342,0.05349
4,14.75,0.1225395,415.9582035,0.0436,137.4918475,44.26805,4.14967275,4.9736685,0.8410945,0.04061,0.008186,0.057993,0.100173,5.002,0.57782825,1.153078,0.636736,98.527952755,98.4146525,50.65,50.9125,7.21824113475,9.805,9.77349875,10.84688,11.3575,9.706174,0.047429,0,-1.14925,0.463357,-0.22793,-0.0573215,-0.022857143,-0.099571429,-0.118714286,-0.243287,0.59693,0.3871435,0.0561429285,0.0236425,0.0307145,0.4444285,-0.003714286,-0.0785,644.4,180.23,293.6850403,353.6105839,1099.75,364.325,8.99,0.315,0.05533725
4,15.25,0.243855,416.07291875,0.0442,130.8504205,43.533658,4.11239675,4.572484,0.767784,0.04230525,0.00688025,0.0608135,0.11365225,5.23,0.5663035,1.1689145,0.629824077,98.5129064925,98.41628,50.2075,50.6177025,7.44649583,10.0875,10.1705,10.917475,11.24575,10.062532,0.045571,0.009857143,-1.1371,0.471142143,-0.22586,-0.05057142825,-0.005,-0.047,-0.118714286,-0.2338565,0.619,0.377215,0.040357,0.030857,0.034571643,0.4577865,-0.006285714,-0.0835715,607.2005,166.625,292.282475,353.6621077,1028.75,328,9.73,0.2985,0.17747125
4,15.75,0.18342075,416.35,0.09295,124.55489975,38.693633,4.07314525,4.067185,1.01963875,0.04851375,0.006544,0.0592275,0.12698475,5.21075,0.5741125,1.168412,0.62329175,98.4617077225,98.372,50.77,50.86895,7.45144374975,10.155,10.3268325,11.03187,11.2419025,10.2801815,0.056714,0.002429,-1.124275,0.4926435,-0.2197845,-0.043,-0.008,-0.072714,-0.1213571425,-0.2319285,0.612785,0.4022135,0.0589285,0.039786,0.038571357,0.4786435,-0.009,-0.082357,558.534625,152.080955175,292.39,353.351243525,943.331,296.8,8.48,0.284,0.232572
4,16.25,0.283856,416.16,0.0045325,114.541099,41.347316,4.072795,2.66065325,0.96702475,0.052085,0.006234,0.057938,0.127199,5.263,0.5991,1.14864175,0.61609,98.4611239825,98.347,50.4,50.8425,7.445495335,10.055,10.207,10.957525,11.172435,10.338756,0.06439285725,0.0222145,-1.148675,0.49139,-0.20846425,-0.03617878575,0,-0.07524975,-0.12132142825,-0.22086,0.46846525,0.389715,0.05175025,0.0589645,0.0662855,0.47932025,0.00539282175,-0.0634285,501.915,132.8827,292.5,352.05,841,256.67735,9.57,0.2965,0.213879
4,16.75,0.30744,415.9025,0.0023,93.555078,36.525901,4.127026,2.092675,0.9769895,0.046646,0.004714,0.060685,0.125619,5.142,0.56802675,1.0971365,0.6136975,98.43878,98.32325,50.325,51.21826,7.396496436,10.045,9.9898,10.92137,10.970235,10.3112975,0.05910725,0.040107,-1.164225,0.51539,-0.1943575,-0.0455715,-0.0069642855,-0.06489275,-0.12042857125,-0.210465,0.463855,0.39610775,0.03782125,0.0693215,0.051857,0.48342975,0.0103214285,-0.074857,439.56,115.23,293.51,352.08,726,219.15,9.52,0.23625,0.2131
4,17.25,0.22977,415.61,0.036875,76.436471,32.75504775,4.2476415,1.8178,0.73157775,0.047605,0.005221,0.062212,0.125833,5.1115,0.5470955,1.0456825,0.60242675,98.44031,98.34175,51.625,53.14632,7.42776953775,10.27,10.31114,10.81275,11.13555,10.5197325,0.0830715,0.030571,-1.1472,0.52586,-0.156143,-0.0644285,-0.0023,-0.0647855,-0.118714286,-0.201714,0.46886,0.36871,0.045857,0.076143,0.076143,0.48129,0.010642857,-0.045,379.38,97.421,295.3608157,350.38,624.9,185.5,9.55,0.34875,0.187011
4,17.75,0.2710025,415.432142,0.0244,61.36421,29.7611145,4.1025445,1.0874925,0.92605875,0.046135,0.005157,0.061106,0.127722,5.0466,0.530798,1.013869,0.5633995,98.4608,98.35325,52.12,53.204,7.368757966,10.165,10.65675,10.41275,10.658355,10.4,0.0790355,0.04442875,-1.063,0.5064275,-0.129928,-0.06646425,-0.00010725,-0.07100025,-0.12139285675,-0.1892855,0.38,0.389855,0.041964,0.06617875,0.0607145,0.49282,0.0109642855,-0.0366785,314.1811,77.25,291.9738,348.6090249,521.8349,141.8,8.195,0.387,0.266541
4,18.25,0.333465,415.32,0.0186,43.221,25.61318975,4.163625,0.498405,1.1073,0.043966,0.003981,0.058484,0.130908,5.0185,0.52085875,0.9658585,0.5677952855,98.47707,98.37025,51.255,53.482715,7.331339568,9.8225,10.2885,10.414105,10.219195,10.1975,0.0830355,0.0180715,-1.0366,0.5126795,-0.13693,-0.06475025,-0.00903571425,-0.07992825,-0.121428571,-0.195785,0.3777125,0.376965,0.0545355,0.06742875,0.06892875,0.48682025,0.01,-0.03453575,253.77,60.683,292.2922,347.8279155,412.58715,108.725,7.5825,0.32625,0.301117
