DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
6,0.75,-0.0166,-7.33941,1.932715,3.0378,1.12731,0.11936,17.3853,414.737,16.41045,0.414423,0.33992,0.146106,0.231483,15.2347,98.019,-16.6073,-13.4792,-10.9379,20.0275,19.6492,-0.0255
6,1.25,-0.0232,-8.76493,2.47591,3.124445,1.18531,0.142423,17.5685,412.9725,16.5582,0.457054,0.382522,0.186734,0.22287,15.5917,97.995,-16.2955,-13.9588,-11.0291,19.8272,19.5542,-0.0205
6,1.75,-0.02,-7.23021,2.06684,3.23239,1.27155,0.131603,17.8702,413.9685,16.6524,0.482125,0.368974,0.183474,0.205708,15.3686,98.00105,-16.4595,-14.6827,-11.7261,19.6365,19.4004,-0.022
6,2.25,-0.0228,-7.51128,1.63129,3.03638,1.21932,0.139784,17.728,416.532,16.5802,0.450134,0.410576,0.208515,0.207256,15.3005,97.9763,-16.2011,-14.996,-12.0847,19.478,19.2558,-0.0214
6,2.75,-0.0262,-7.1256,2.83092,2.799485,1.25426,0.151229,17.5445,414.9685,16.26865,0.468376,0.377892,0.185911,0.208573,15.3197,97.9627,-15.7939,-15.2735,-12.1405,19.3227,19.1417,-0.0211
6,3.25,-0.0185,-8.24082,1.84487,2.94377,1.23016,0.128997,17.2969,420.985,16.0843,0.418513,0.387688,0.198419,0.220206,15.1968,97.96675,-15.288,-15.6436,-12.676,19.213,19.0033,-0.0229
6,3.75,-0.02155,-8.22288,0.9949365,3.05898,1.27029,0.1356645,17.1724,416.841,16.2259,0.443465,0.3624025,0.194375,0.1995265,15.0861,97.98795,-16.2447,-16.0834,-13.0545,19.0803,18.8292,-0.026
6,4.25,-0.01795,-8.506035,1.84511,2.91381,1.20095,0.1296215,17.12095,421.43,15.9529,0.414214,0.3830035,0.184519,0.191234,15.0623,97.98505,-15.9126,-16.1884,-13.4641,18.9314,18.6515,0.0704
6,4.75,-0.0211,-9.47878,1.17355,2.85006,1.17647,0.134645,17.0671,424.926,16.2281,0.388727,0.379643,0.1816,0.197723,15.0714,98.0091,-12.7704,-16.2125,-13.9066,18.7627,18.5458,5.27001
6,5.25,-0.0248,-9.42952,4.64163,2.24237,1.35134,0.14953,16.8278,426.557,16.00215,0.446109,0.379357,0.193765,0.179904,15.1909,98.05405,-2.73699,-16.3974,-13.89,18.642,18.4677,37.3674
6,5.75,-0.0273,-6.08184,15.6891,1.60651,1.35973,0.152663,17.0426,423.618,16.681,0.464015,0.394772,0.199429,0.200931,15.4047,98.0515,15.3057,-15.6267,-13.8773,18.5364,18.3532,108.261
6,6.25,-0.0456,-0.541517,31.9633,0.288608,1.48451,0.197302,17.4284,415.5225,16.88705,0.537688,0.46237,0.266243,0.243684,15.8918,98.0631,57.3277,-13.5227,-13.0738,18.4812,18.3143,194.932
6,6.75,-0.0588,5.7024,52.37275,-1.27028,1.67522,0.223493,18.032,410.9615,17.44045,0.589393,0.512906,0.302091,0.246779,16.9502,98.0647,102.137,-11.6939,-10.6548,18.5328,18.2744,321.199
6,7.25,-0.07685,22.0894,78.7651,-3.090845,1.95137,0.2592,19.0053,406.615,17.3253,0.712069,0.601664,0.344085,0.296492,17.7589,98.07695,166.06,-8.69577,-7.81276,18.6039,18.3391,475.428
6,7.75,-0.0911,34.4924,96.23015,-4.06748,2.08555,0.281232,19.9107,400.806,17.3291,0.741438,0.707193,0.369084,0.357891,18.655,98.0786,220.282,-4.5294,-4.25959,18.8141,18.5994,636.135
6,8.25,-0.0959,57.3121,113.187,-5.466425,2.14201,0.288979,20.2545,397.6615,17.36555,0.780463,0.75247,0.379267,0.404347,19.2436,98.0862,275.704,0.455414,-0.582178,18.9212,18.8436,773.329
6,8.75,-0.1102635,75.1748,132.068,-6.425805,2.432,0.3086195,20.85925,395.627,17.2806,0.8216835,0.7981675,0.3997615,0.465655,20.2403,98.0974,347.05,7.23131,3.50994,19.26815,19.0843,920.742
6,9.25,-0.115975,96.7378,142.0865,-7.25229,2.61757,0.319994,21.267,393.464,17.4081,0.926715,0.92466,0.429046,0.50377,20.5451,98.0914,390.905,13.5467,9.97312,19.6155,19.3238,1004.71
6,9.75,-0.114803,107.8425,153.5865,-7.46764,2.50661,0.326959,21.8331,392.539,16.4558,0.9305745,0.954496,0.4318255,0.559155,21.0986,98.1001,432.629,22.1801,16.59135,20.07285,19.87405,1128.815
6,10.25,-0.1209415,125.019,161.9255,-8.7455,2.50392,0.325933,22.48285,391.801,16.5821,0.9637975,1.025135,0.4454765,0.605621,21.8039,98.09615,440.834,32.506,23.2674,20.4541,20.4401,1184.83
