DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,5.25,368.51020658,2.818936,-3.181,-20.22771262375,-22.328,-85.639986925,-60.52217355,0.213825,0.024745,99.549495,40.2003526535,-8.9048902,0,2.075,4.116,-102.4369,-2.88952475,-0.12705775,193.422865,268.7605825,-21.7325,-7.6034592,391.09383355,-4.1777058,-24.92375,-33.226,-17.06930755,-0.82753465,0.0999978,0.09120255,0.0323771,-5.8491914,390.931667,392.89291655,393.425833,395.110416775,-10.67765,-8.4702256,-19.435375,2015.239
1,5.75,368.3278219225,2.8519155,-2.65625,-14.07230085,-22.34575,-86.69273730725,-65.9600132,0.22774795,0.0218404811,99.552715,40.1789933255,-8.6116575,0,2.0445,4.09705,-101.16175,-2.7852081,-0.09068494,192.215175,268.72202,-21.72275,-7.76707275,390.556,-3.0973564,-24.89125,-33.025,-23.711481,-0.872554,0.0938705,0.07700725,0.02870075,-4.892320575,390.1400001,404.35666655,409.31166655,409.67333355,-31.801395,-44.680751025,-39.917025,2016.3085
1,6.25,367.401136925,2.75,-2.2773153,-10.7043688,-22.43575,-85.83635395,-82.3198229,0.3201965,0.0215250768,99.58,40.5982,-8.97504525,0,2.015525,4.08205,-101.154135,-2.8520142,-0.05362235,192.476,268.67369,-21.7175,-7.92478185,390.038750225,-2.0452191,-24.85625,-33.04875,-13.514284375,-0.8643428,0.0957042,0.067555,0.0253994,-1.54864235,389.1600001,406.151667,406.7549999,407.068750125,-28.9750775,-25.132741275,-9.77285,2018.6075
1,6.75,370.1590406525,2.832674201725,-2.053019605225,-8.7396058,-22.39175,-81.850005175,-30.59148955,0.243250375,0.0222003118,99.589,39.35223,-9.1460675,0,1.980975,4.064575,-101.43111,-2.7803994,-0.0409790375,193.0307425,268.5318675,-21.61025,-7.7905679,390.0123331,-2.60874135,-24.8075,-33.04125,-13.86617265,-1.00565295,0.08877375,0.08468715,0.02643605,-1.6292608,390.08125,402.15625,405,405.108333125,-45.0290036,-48.48761905,-33.422175,2025.8005
1,7.25,370.1444817,2.64380385195,-4.87466159999999,-6.851945325,-22.3275,-84.793154665,-97.312696075,0.3187275,0.018785,99.5985,40.63189,-9.054576,0,1.942875,4.046225,-96.7406,0.117315,0.02056255,187.142,267.74,-17.009,-7.7370282,389.394166425,-3.1740109,-25.036,-32.235,-21.8263735,-0.9173066,0.0883898,0.1015854,0.0279426,-37.8292466,389.0375,404.635416875,408.383333125,408.416666875,-35.9432007,-11.38920135,-35.0749,2021.906
1,7.75,370.6110715,2.73156049505,-2.319,-12.580490525,-22.07375,-74.732,-71.126704775,0.2735536,0.021398253,99.6296925,38.858469763,-8.670995575,0,1.905225,4.05235,-72.167651,2.9388766,0.3412708,193.17404,271.0295,-4.3720011561,-7.5939805,391.3825,-5.18787555,-24.51125,-30.252,-13.982060575,-0.7674585,0.0983915,0.090921,0.0345,-3.75218335,408.9533334,421.3466668,424.66,423.5900002,-13.244150625,-66.1485466,-92.534025,2019.412
1,8.25,368.926702395,2.81846275,-4.217,-8.926064475,-21.71875,-53.8327055365,-91.0970581,0.285991575,0.027728236525,99.639065,38.04828164875,-7.752090075,0,1.88435,4.047075,-13.45436375,7.902448375,0.90417625,191.9255,276.48,10.514665375,-7.050872,390.0025,-5.20079275,-24.2835,-28.5825,-15.758325,-0.99245515,0.08978575,0.09210895,0.0492178,-10.45546995,422.307083,425.774583475,427.24500005,428.881666525,-40.8866475,-40.2266044,-57.094475,2019.8755
1,8.75,369.82462529,2.735536760225,-6.9617125424,-14.824664948,-20.565,-49.165080804,-90.94710825,0.3044288,0.027279625,99.70875,37.01380925,-6.71471,0,1.8851,4.031775,9.8583292,13.3580515,1.6253615,192.6522,282.3326,28.45148974825,-6.1128923,394.99275,-3.24029795,-22.1465,-26.5,-17.187626025,-1.41987975,0.11284535,0.094984975,0.0440655,-5.407638975,422.574999775,425.008333225,426.894166775,426.872499775,-47.891241475,-47.8855041,-64.6185,2024.664
1,9.25,368.93796104,2.6857055,-12.094,-19.8568569,-19.41,-43.57866344,-12.2314183,0.29156875,0.0405175,99.6502101205,34.9517955,-6.01705675,0,1.89335,3.99075,16.0675625,22.370885,2.529289125,194.92565,285.959695,53.48593951,-5.276007,391.152,-2.316425075,-20.3025,-21.99875,-11.01824,-1.3166146,0.1158642,0.1102066,0.0507852,-19.138452,400.6175,402.17833365,404.0325,399.09166635,-41.4193875,-58.699084,-20.3294,2027.5
1,9.75,369.655,2.72951148025,-12.65957476,-24.77559,-17.36125,-55.173311306,-28.4907216,0.338281975,0.0603388,99.64239390025,32.1772683905,-5.6809481,0,1.945275,3.98125,20.1324515,26.271395,2.765937625,196.4813,289.844975,62.26024890275,-4.903917575,387.26916645,-1.34468225,-18.95,-19.2525,-4.7881415,-1.447465675,0.124996825,0.112646125,0.082383725,-23.85579625,387.683333,389.983333,392.033333,391.766667,-24.1647554,-82.6325378,-20.65875,2029.3925
