DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,18.25,410.630675,0.0367073308644829,1.858231,0.636963892226239,7.10488175,-5.099298,-37.32248,-12.9697375,-0.9172984,-8.26917425,96.943045,-10.92915,-1.05118965,0.14498375,0.370996423162732,0.358505294706856,0.248151686796776,0.71502615
1,18.75,412.72875,0.0430806367555455,1.8251425,0.536799278946519,6.23348,-3.066199,-52.370665,-16.8369,-0.881175,-12.4635,96.952525,-11.29525,-0.9380835,0.165493375,0.331379661125636,0.332609710525478,0.238716307498436,0.8068155
1,19.25,412.770875,0.0353309802595645,1.84652625,0.642122377430271,2.339944,-8.6605595,-35.08839,-13.12881,-4.30995725,-7.1627935,96.939295,-11.49755,-0.87271125,0.12305745,0.336766926777404,0.300079376132997,0.182254401179624,0.86656015
1,19.75,413.36135,0.0332080577571162,1.820824,0.556604302334505,1.1181755,-2.277865,-48.08428,-13.05995,-9.2653515,-11.641985,96.92005,-11.715,-1.00395945,0.145381,0.408674504854159,0.375738375998997,0.222697977291947,1.4380585
1,20.25,413.438,0.0337253122306907,1.8286075,0.525156345977631,-0.25015755,-10.45693925,-54.5942375,-12.76465,-12.2153975,-8.997911,96.9868625,-11.977625,-0.82782825,0.135427875,0.432638063901544,0.37613068558332,0.234141834558752,1.43842125
1,20.75,412.37625,0.0307274598734378,1.85043875,0.480065620514529,-8.8981575,-11.116204,-55.02946,-17.20879,-4.9426025,-10.745051,97.03483,-12.2752,-0.9984998,0.1540054,0.454520357614336,0.337878380600544,0.286994574092612,1.40857
1,21.25,412.748025,0.0293818083217028,1.85815225,0.42087893554172,0.9760175,-5.3834935,-58.9445,-14.9033675,-7.32410625,-10.4933,97.032345,-12.469925,-1.16133925,0.1581547,0.453399210784779,0.407486724423165,0.258289244217175,1.486631
1,21.75,412.1711,0.0264493766781446,1.861933,0.595689533380733,-0.61377895,-4.620698,-62.274735,-13.5896925,-20.95668,-10.06345925,97.0444075,-12.61045,-1.1620435,0.11884035,0.402061875748332,0.36486678323172,0.219260279041108,1.23516125
1,22.25,410.6388,0.0305806259229314,1.84132925,0.502435738647906,0.9879,-3.25086675,-70.1662725,-13.308445,-12.32591,-8.038937,97.04928,-12.641,-1.36557,0.1561309,0.371990365858968,0.269486334128182,0.189136738771473,1.357966
1,22.75,410.152625,0.0272639620365994,1.81884125,0.475236888444847,1.0155038,-2.27662,-63.18938,-18.11892,-43.47743,-9.408943,97.05253,-12.6983,-1.772821,0.0857732,0.374695943203573,0.30464076389829,0.15795995327972,1.168984
1,23.25,408.979875,0.0266908129474793,1.56093475,0.380242219722739,-4.425535,-1.968702,-63.6708175,-20.88712,-11.33687,-23.54097,97.0508125,-12.683125,-1.43017375,0.0961908,0.387058359705561,0.216072737213931,0.160976562980896,1.17163375
1,23.75,409.964,0.0223671444723964,1.754884,0.525711932172729,-8.74723125,-17.14438,-66.960335,-16.50903,-9.84017025,-9.3437015,97.02858,-12.7386,-1.222973,0.1091828,0.327563544624437,0.282736685777576,0.167327312621618,1.126382
2,0.25,412.34145,0.0166118126470778,2.5198685,0.461490856472407,0.534409075,-6.55913125,-92.10184,-14.380545,-37.68349,-8.26731725,97.581125,-9.93544999999996,-1.53853575,0.1006619025,0.317286276866256,0.262390999595208,0.141064621634925,1.104792625
2,0.75,412.55245,0.0168911574465739,2.52598775,0.485272153154231,-3.690436,-5.84646,-92.99751,-12.2121175,-9.0886865,-8.37428675,97.538305,-9.75024999999997,-1.58362975,0.0687625,0.265022150627764,0.268648094088732,0.12328492164214,0.925364425
2,1.25,413.343925,0.0158161076030577,2.54140325,0.457399030291932,-6.422061,-3.158901,-111.7468,-14.5216,-11.10527,-13.5261925,97.5054525,-9.58764999999998,-1.843128,0.0794227325,0.309086374065589,0.188006935685479,0.0868001394940338,0.969254625
2,1.75,413.2286,0.0174094300394108,2.230506,0.563772017800146,-2.24470175,-8.453971,-80.4190775,-14.70112,-12.82634,-21.657275,97.489075,-10.01815,-1.180422,0.094925855,0.317844494305785,0.257594224869073,0.145480998427968,1.2434975
2,2.25,413.02125,0.0138039849314034,2.2425475,0.45719257444594,-2.5284138,-3.32331375,-117.7805,-19.84593,-8.624125,-14.37905,97.46244,-10.30725,-0.93957725,0.076559305,0.293656692844848,0.270614024654888,0.126455735884224,1.5911795
2,2.75,412.9636,0.018137252090427,2.216735,0.682247700142267,-9.749442,-7.2665605,-113.839,-27.824895,-14.6765575,-18.6873225,97.43988,-10.1591,-0.984964,0.10541555,0.27801293365834,0.291306640710103,0.115812208073386,1.14344815
2,3.25,412.6219,0.0164768171797556,2.227672,0.64514433995285,-8.782216,-13.04172375,-107.5218,-14.66434,-17.3191,-15.61238,97.5661,-10.058975,-1.062162775,0.08508859,0.324903501329428,0.22242179458574,0.123866534758274,1.3321953
2,3.75,412.25,0.0178882731662583,2.2028075,0.523736417135802,-8.57163625,-3.665977,-111.0703,-21.1011175,-11.97684,-7.622837,97.7033525,-10.414025,-0.910599325,0.0842129225,0.219203784595724,0.263218908955536,0.138305316633956,1.103743875
2,4.25,412.4306,0.0179029019953651,2.069246,0.553242880067641,-9.01119725,-25.53137,-93.447375,-15.6620725,-10.209214,-7.41185625,97.7123325,-10.818425,-1.07843775,0.1084401,0.284677183628721,0.301527274788597,0.147262009669422,0.8256024
2,4.75,412.9213,0.0190878701088758,2.08626325,0.534607145399098,-2.862492,-4.5864,-99.12161,-15.105285,-16.0669675,-5.99163175,97.6756525,-11.75775,-0.973924725,0.10571953,0.342764040835777,0.248713953074408,0.154383616230739,0.802106675
2,5.25,413.3074,0.0248917280266942,2.073474,0.535403817049237,-17.650025,-12.05523875,-80.87217,-15.4037875,-10.850583,-11.92178,97.660615,-11.9504,-1.11093,0.1187759,0.399610492722495,0.334285923774507,0.23265542579172,0.72444785
