DOY2,HR2,TS_1_1_1
8,19.75,15.639
8,20.25,15.59
8,20.75,15.5295
8,21.25,15.4725
8,21.75,15.4115
8,22.25,15.35825
8,22.75,15.30675
8,23.25,15.26175
8,23.75,15.08435
9,0.25,9.45
9,0.75,9.358
9,1.25,9.35025
9,1.75,9.327
9,2.25,9.296
9,2.75,9.22325
9,3.25,9.20025
9,3.75,9.096
9,4.25,9.18
9,4.75,9.101
9,5.25,9.17325
9,5.75,9.122
9,6.25,10.14
9,6.75,8.255
9,7.25,8.2825
9,7.75,8.32325
9,8.25,8.335
9,8.75,8.36975
9,9.25,8.379
9,9.75,8.519
9,10.25,9.9595
9,10.75,9.82925
9,11.25,9.69725
9,11.75,9.5415
9,12.25,9.364
9,12.75,9.30625
9,13.25,9.448
9,13.75,9.558
9,14.25,9.6525
9,14.75,9.75975
9,15.25,9.85175
9,15.75,9.8465
9,16.25,9.845
9,16.75,9.825
9,17.25,9.8025
9,17.75,9.78775
9,18.25,9.756
9,18.75,9.7305
9,19.25,9.695
9,19.75,9.67275
9,20.25,9.638
9,20.75,9.626
9,21.25,9.575
9,21.75,9.5245
9,22.25,9.4975
9,22.75,9.479
9,23.25,9.391
9,23.75,9.15485
10,0.25,4.73075
10,0.75,4.6870125
10,1.25,4.677925
10,1.75,4.6642
10,2.25,4.651125
10,2.75,4.607675
10,3.25,4.5923625
10,3.75,4.5436125
10,4.25,4.57795
10,4.75,4.53905
10,5.25,4.5760375
10,5.75,4.5556625
10,6.25,5.0495375
10,6.75,4.1178125
10,7.25,4.127125
10,7.75,4.4178
10,8.25,4.1472125
10,8.75,4.161375
10,9.25,4.163025
10,9.75,4.2368
10,10.25,4.9537
10,10.75,4.35945
10,11.25,4.83285
10,11.75,4.4824
10,12.25,4.572975
10,12.75,4.6477125
10,13.25,4.828875
10,13.75,4.970925
10,14.25,5.028
10,14.75,5.13935
10,15.25,5.2208
10,15.75,5.275
10,16.25,5.304
10,16.75,5.3225
10,17.25,5.315525
10,17.75,5.293875
10,18.25,5.26575
10,18.75,5.220175
10,19.25,5.16
10,19.75,4.8012625
10,20.25,4.77405
10,20.75,4.97595
10,21.25,4.9246
10,21.75,4.842775
10,22.25,4.779275
10,22.75,4.66615
10,23.25,4.698525
10,23.75,4.452425
11,0.25,0.0115
11,0.75,0.016025
11,1.25,0.00560000000000004
11,1.75,0.00140000000000003
11,2.25,0.00625000000000001
11,2.75,-0.00789999999999996
11,3.25,-0.015525
11,3.75,-0.00877499999999998
11,4.25,-0.0241
11,4.75,-0.0229
11,5.25,-0.021175
11,5.75,-0.010675
11,6.25,-0.040925
11,6.75,-0.019375
11,7.25,-0.02825
11,7.75,-0.032
11,8.25,-0.040575
11,8.75,-0.047
11,9.25,-0.05295
11,9.75,-0.0454
11,10.25,-0.0521
11,10.75,-0.01895
11,11.25,-0.03155
11,11.75,-0.02485
11,12.25,-0.0227
11,12.75,-0.010825
11,13.25,-0.00247499999999998
11,13.75,0.000299999999999988
11,14.25,0.012175
11,14.75,0.017875
11,15.25,0.02155
11,15.75,0.0225
11,16.25,0.0153
11,16.75,0.00912500000000001
11,17.25,-0.0194
11,17.75,-0.01935
11,18.25,-0.01075
11,18.75,-0.0366
11,19.25,-0.044675
11,19.75,-0.070225
11,20.25,-0.0899
11,20.75,-0.07735
11,21.25,-0.110325
11,21.75,-0.13125
11,22.25,-0.124625
11,22.75,-0.1467
11,23.25,-0.16165
11,23.75,-0.25
12,0.25,-0.4684
12,0.75,-0.46485
12,1.25,-0.4817
12,1.75,-0.478
12,2.25,-0.4957
12,2.75,-0.52495
12,3.25,-0.518175
12,3.75,-0.536125
12,4.25,-0.5411
12,4.75,-0.558625
12,5.25,-0.5715
12,5.75,-0.584225
12,6.25,-0.574525
12,6.75,-0.5845
12,7.25,-0.594625
12,7.75,-0.58825
12,8.25,-0.6096
12,8.75,-0.6079
12,9.25,-0.60485
12,9.75,-0.6083
12,10.25,-0.6003
12,10.75,-0.5963
12,11.25,-0.579875
12,11.75,-0.571225
12,12.25,-0.55485
12,12.75,-0.5414
12,13.25,-0.529
12,13.75,-0.5187
12,14.25,-0.51245
12,14.75,-0.5054
12,15.25,-0.500625
12,15.75,-0.4992
12,16.25,-0.377875
12,16.75,-0.361875
12,17.25,-0.3669
12,17.75,-0.3731
12,18.25,-0.36725
12,18.75,-0.38115
12,19.25,-0.3903
12,19.75,-0.40585
12,20.25,-0.40905
12,20.75,-0.42325
12,21.25,-0.43225
12,21.75,-0.43275
12,22.25,-0.4475
12,22.75,-0.451625
12,23.25,-0.4605
12,23.75,-0.551625
