DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_9_1,G_1_1_1,G_2_1_1,NETRAD
2,22.25,0.371654108865678,0.280594482786973,9.31848416236156,1.81141503087617,0.404443762226754,11.8523378564606,5.62691756388975,1.54711316465343,421.187209653549,9.18751438702329,419.218359773444,7.94666888460912,424.40668725414,419.672286493069,8.07574115200965,419.885056946464,420.457489184213,8.70719233023313,421.052817010011,420.889334203771,7.72754565967308,425.86342132607,6.81950765727636,7.96443964359031,1.37301875360063,7.41925,6.564,3.2985,7.82382,7.8473,7.598185,7.25745,6.642025,82.8583925,92.109,7.17153,4.928,5.401,5.163,2.005,-0.5685,3.405,1.82,319.78,342.88,320.17,339.11,0.25,0.18,0.421499999999997,0.28,0.712,0.22,0.12,0.08,5.931275,6.582125,8.22055,6.487775,6.340275,6.6339,6.9392,8.660375,10.43805,5.4816,6.30385,6.2677,6.637775,6.16945,6.13155,7.2335,9.1914,9.29685,5.598,5.9411,6.458,6.2878,6.079,6.0327,6.43455,8.29785,8.93015,5.9051,6.103,6.9455,6.74775,6.2544,5.82875,6.92475,8.805125,9.46645,5.35035,5.5862,6.0136,6.31765,5.8197,5.8448,6.73015,10.048,-0.212700000000001,0.357075000000001,-4.3045
2,22.75,0.65898655913622,0.19274590292229,11.1933075998502,2.54103224574886,0.430409281395632,14.7130287823834,5.70731187897504,1.54344494287083,421.246567320296,9.09181851127328,419.053503025041,8.00989636862808,424.558870399371,419.176263914488,8.04577790934051,420.562841867429,420.074485380813,9.18634315097309,420.784330979702,421.457480847523,7.82473069184809,424.411905585415,5.98175372701487,8.10045957121597,1.04755315256441,7.3125,6.271,3.404,7.4945725,7.46705,7.30131,7.17004,6.410695,82.86311,90.6395,6.932315,4.812,5.1685,5.241,1.9,-0.54175,3.4,2.115,319.815,340.75,322.18,338.64,0.25075,0.1705,0.406999999999997,0.2705,0.73075,0.221,0.12,0.08,5.907925,6.513125,8.23275,6.448075,6.353775,6.641275,6.9381,8.661225,10.443925,5.40965,6.08695,6.1524,6.596775,6.153875,6.13485,7.2335,9.1926,9.29685,5.4453,5.9178,6.3475,6.2064,6.0788,6.02635,6.43165,8.2974,8.9301,5.755,5.9446,6.83065,6.671625,6.2532,5.83625,6.92935,8.80605,9.46645,5.3094,5.4494,5.83725,6.24515,5.8239,5.842,6.72925,10.045,-0.351775000000002,0.311,-5.2655
2,23.25,0.339931115795264,0.18837116317206,13.257993153788,2.03571103901456,0.403022359063415,16.4551977916557,4.98249233471435,1.44393149703205,421.531259757931,8.09841207655066,419.13112825031,7.9734263387216,424.615562498483,419.445367085246,7.97713812211532,419.682113847654,419.730728239728,8.66262809631796,420.323717731692,420.465470043198,7.96922501307869,424.526858835731,5.71927350597002,8.02657984287533,1.17093996145818,6.4535,5.6745,3.17175,7.3405625,7.076225,7.06442,6.62190749999999,5.68532499999999,82.8660945,90.28625,6.35282,4.84025,4.94025,4.93225,1.9,-0.47,3.3025,2.093,318.83,339.905,319.2175,336.96,0.25,0.18,0.38774999999999,0.27,0.73,0.24,0.12,0.0802499999999999,5.7232,6.37785,8.400375,6.369,6.3318,6.6468,6.9355,8.6612,10.446875,5.2375,5.8801,6.064075,6.547325,6.134475,6.13785,7.23255,9.1932,9.296725,5.28614999999999,5.7876,6.21515,6.1154,6.0682,6.01975,6.4288,8.29695,8.9301,5.637975,5.792275,6.674125,6.5855,6.2016,5.8306,6.93305,8.80535,9.46645,5.1531,5.3112,5.65805,6.15115,5.7696,5.8463,6.727425,10.047,-0.332075000000001,1.0313,-4.286
2,23.75,0.339931115795264,0.22840393214747,15.4576344412898,1.67121986605057,0.351145591100959,37.8440689624691,4.96886488002041,1.33429158329972,421.070497808022,8.00078005887937,419.437069340412,7.36126635050808,424.959025365918,419.583283547366,7.43692385657794,420.306725199799,419.712051587888,7.52228866872061,420.859462217251,420.210855404216,7.56347005202001,425.116052468863,6.11010551935541,7.88992518723946,1.15402039228578,7.45899999999999,6.59774999999999,3.5915,7.179335,7.011875,6.804115,6.58037,5.9093125,82.86083525,88.3695,6.323905,4.69549999999999,4.78499999999999,4.72075,2.0025,-0.287749999999999,3.5025,2.00125,318.84,339.37,320.24,337.7675,0.25,0.17025,0.367499999999991,0.27,0.72025,0.24,0.12075,0.09,5.5549,6.2061,8.4915,6.2822,6.2828,6.6552,6.933775,8.66205,10.444325,5.069175,5.6617,5.981325,6.493775,6.110525,6.143025,7.231725,9.196,9.2972,5.166725,5.628775,6.034275,6.011775,6.052075,6.0096,6.425475,8.29725,8.931025,5.569,5.68475,6.487,6.4868,6.148775,5.824125,6.9312,8.805375,9.466225,5.054225,5.202075,5.5298,6.08915,5.721175,5.857125,6.726475,10.044,-0.5752,0.1757,-3.134
3,0.25,0.823868229814356,0.261512351505198,14.1705109292296,3.69269375345198,0.337134952616556,46.890076489008,7.6373643400307,1.54184350621886,421.74164861804,9.44655952773812,419.798327035026,8.59737982558745,424.941772060741,419.798051812994,8.50291929602665,419.826161911647,420.201320606444,9.24529815362213,421.100394314674,421.17190471803,8.90972148669529,424.982215674841,5.21484409720508,11.9459936126197,1.0673297067641,5.218,4.684,2.3385,11.832175,11.9972,11.48522,10.98521,9.92427,82.591994,95.337,10.326475,6.289,8.01,7.651,2.1125,-0.47625,3.6,2.026,331.03,358.91,332.51,353.64,0.15,0.14,0.35,0.28,0.23,0.13,0,-0.14,9.2361,9.7539,10.80715,10.8613,10.36315,9.3737,8.6789,9.317,14.093875,8.618,10.03765,10.5375,10.695575,16.4584,9.0012,8.907875,9.99955,9.61065,9.0279,9.6234,10.5741,10.8694,10.301625,9.226375,8.394125,9.240225,9.336,9.1188,9.6555,11.1991,11.397975,10.692,9.016375,9.1335,9.5956,9.7236,8.899875,9.769375,10.471375,11.16725,10.476875,9.362,8.93625,9.906925,-8.96087500000001,-9.43680000000003,0.47125
3,0.75,0.606936611513537,0.174584368659365,29.9718082734089,2.44828934363409,0.424195361652543,23.8271612533735,6.38935244885152,1.38381728753849,421.98655870487,9.16683659517331,418.942155224397,8.23107524107009,425.275621224037,419.589229543884,8.39462746456794,420.390754294782,420.872056491244,8.70666103007937,420.859777017774,421.224042842642,8.54743237756191,425.387109466642,6.06356365280617,11.3318357463374,1.54466673939005,6.74875,5.9,2.80875,11.326875,11.5316,10.95199,10.55357,9.64887,82.60901025,92.466,9.71322,6.22075,7.804,6.63799999999999,2.1,-0.549500000000002,3.5125,1.964,329.15,353,331.91,349,0.15125,0.152,0.34175,0.29,0.23,0.11,-0.01,-0.14,8.9848,9.657,10.5776,10.767,10.34465,9.38705,8.6787,9.31875,14.111,8.6038,9.7304,10.3443,10.627225,16.43635,9.0068,8.9076,9.999875,9.61065,8.86125,9.38875,10.3416,10.753,10.270375,9.2406,8.393125,9.241225,9.3363,9.00275,9.627375,10.965375,11.329825,10.66075,9.030375,9.131875,9.59625,9.72525,8.738,9.549625,10.217625,11.0627,10.46915,9.378,8.937625,9.904025,-9.1179,-12.72345,-1.75125000000001
3,1.25,0.743235614919001,0.201468956153597,21.1004680700726,2.25520556220811,0.485314175095458,9.97740083642745,10.4941495709093,1.30887932328217,422.060279194821,9.19478694689971,421.348751056815,8.33823469121426,425.624113660547,421.471863569825,8.50138709719059,419.758248212488,421.852834386801,8.56239951544718,421.011722948218,422.427011367432,8.61061619045919,425.944202358649,6.83124507959764,10.9864739837409,1.31013285221881,7.705,6.90375,3.52225,11.028235,10.984,10.6732875,10.26418,9.5908875,82.605162,93.735,9.2464125,6.158,7.57125,7.1075,2.5,-0.3775,3.6,2.0705,318.0125,353.3125,320.1875,349.7125,0.163,0.17125,0.33,0.28,0.22,0.11125,-0.01,-0.14,8.9515,9.481375,10.36225,10.66775,10.320875,9.4055,8.680125,9.3205,14.11175,8.266625,9.475025,10.174375,10.554325,16.40885,9.016375,8.90925,9.99875,9.61075,8.784375,9.1065,10.12225,10.6305,10.23225,9.256,8.39225,9.2422,9.337,8.74025,9.37,10.728375,11.227325,10.633,9.04525,9.131375,9.59725,9.726125,8.65305,9.3627,9.99715,10.93925,10.4499,9.3939,8.938625,9.9004,-10.027175,-12.0545,-1.3325
3,1.75,0.721937659958835,0.182629121192374,14.3358866919929,1.53901629391328,0.41164835199323,26.0297351455504,8.87661075528586,1.411764277988,422.442138223535,8.80657574126817,420.760684494494,8.34190720106168,425.658962555177,421.033827231962,8.4996215336326,421.311225125,421.151092940787,8.65163519594517,421.361373281754,423.173171767913,8.71109397537169,425.794964561879,5.64763161675249,11.819935626451,1.56539156150103,5.6725,5.18624999999999,2.939,11.24717,11.1325,10.4336125,10.095705,9.502125,82.6047295,93.555,9.0666225,6.25600000000001,7.81875,7.5675,1.9,-0.437999999999999,3.315,2.0105,327.2,353.9,327.7375,349.5375,0.153,0.1425,0.342,0.27125,0.2115,0.11125,-0.01,-0.15,8.912625,9.4095,10.148625,10.564,10.291875,9.420125,8.680875,9.321625,14.1114,8.260375,9.235625,10.012625,10.4766,16.37985,9.022375,8.909875,9.999,9.611125,8.645,9.02075,9.902375,10.505875,10.188375,9.26325,8.391375,9.242225,9.337875,8.595375,9.048,10.4955,11.11765,10.590375,9.054875,9.13,9.597375,9.72625,8.51195,9.1824,9.78015,10.8111,10.4248,9.4035,8.938,9.89995,-13.065975,-15.510875,1.33
3,2.25,0.722366661911074,0.216501146074381,13.3868013642822,3.67034757359841,0.390534228576991,3.20782693868272,6.54786599333681,1.46373949584897,421.220074999639,8.84631146664592,418.609595579667,8.43769753549664,425.590652911132,418.185979776292,8.45336076311081,419.811431642152,419.952950183386,8.61844803743273,420.943625421084,420.453577267431,8.59021147238638,425.879730892711,5.93477361641332,11.3713444670361,1.21783676536191,6.1645,5.04425,2.83,11.004655,10.9695,10.33645,10.25616,9.6569875,82.61155725,93.7075,9.0221475,6.358,7.57,7.41375,2,-0.382000000000002,3.5,1.93375,327.6125,352.8,327.3625,349.1125,0.15,0.16,0.342,0.27,0.2115,0.11125,-0.01,-0.14,8.804875,9.223875,9.946875,10.45625,10.25925,9.433,8.6815,9.3235,14.1062,8.242,9.01125,9.857625,10.395875,16.3475,9.0285,8.90975,9.999625,9.61175,8.491625,8.949625,9.715875,10.381875,10.142,9.2635,8.390625,9.2432,9.33845,8.550375,8.9485,10.2855,11.0047,10.54225,9.062,9.129625,9.598375,9.727125,8.37644999999999,9.0058,9.5706,10.6791,10.3937,9.4094,8.937625,9.8985,-12.8071,-15.0522,-0.444
3,2.75,0.452261737775774,0.270981325915764,9.72308807471057,4.47400562724649,0.468072009904712,9.63239081335467,9.68446222286496,1.47486027726517,421.071773840652,8.77765228069618,418.319313667648,8.26171768119678,425.054467263297,419.50363239632,8.21692438201335,420.530084346772,420.177181234178,8.65267144624444,421.068932616527,421.934209753685,8.65704632600526,425.15572550036,7.07742499830665,11.1529628300984,1.01398744339779,6.20249999999999,5.303,3.099,10.38286,10.371375,10.1975625,10.16342,9.6796875,82.606574,93.61,8.30952,6.346,7.29375,7.58875,1.915,-0.509999999999999,3.4,2.405,326.3,354.8625,328.25,352.7625,0.16,0.16,0.332,0.29125,0.22,0.11,-0.00875,-0.14875,8.636625,9.12875,9.755125,10.347625,10.22275,9.448625,8.68225,9.325375,14.111525,8.24375,8.8193,9.707375,10.312975,16.3121,9.035,8.910375,10.001,9.612125,8.438125,8.83725,9.555125,10.262125,10.092125,9.2845,8.38975,9.2442,9.33945,8.540625,8.875,10.104125,10.889475,10.489125,9.06725,9.12925,9.598375,9.72725,8.33055,8.8185,9.3696,10.5454,10.35705,9.4076,8.93725,9.896325,-9.47090000000001,-12.0285,-0.435749999999999
