DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
1,18.75,0.254372707,1.0813584475,2.9152,0.609669973,0.3794965,0.0004325,-14.521605,-0.559350276,1.5924,-0.00231,-6.272,-8.895,0.8035,0.865,65.884032895,97.03270679,390.4668806,2.272,-65.6276915,0,0,0,254.38425,317.38412725,4.410966656,0.558,-17.743,4.85165,5.79745
1,19.25,0.2621443425,0.870377454,2.882905611,0.564245,0.352183723,0.000538,-15.045155,-0.5066242565,1.9945,-0.00268,-6.5725,-9.09,0.784,0.829,67.3,97.03844149,390.13074985,2.1197,-63.868750185,0,0,0,253.8726,318.3238,4.4220145755,0.557,-17.793,3.9191,4.77135
1,19.75,0.262127298,0.7315333325,2.940852535,0.59125,0.322472751,-0.000679,-16.862,-0.350630485,2.0821,-0.00541,-6.585,-9.275,0.7775,0.8255,70.08734677,97.07802631,390.0257829,1.93,-61.65100117,0,0,0,252.20505,315.78254235,4.37663395,0.564,-17.828,3.39395,4.1786
1,20.25,0.2756719835,0.4258158835,2.958009835,0.62221,0.384602967,0.000553,-16.82992,-0.4573,1.8153,-0.004625,-6.7434322895,-9.58,0.77575,0.849,71.1537,97.04102665,390.4352611,1.7607,-60.425,0,0,0,251.433,315.9964,4.437370174,0.565,-17.753,3.0174,3.6699
1,20.75,0.277726616,0.297175,3.07261,0.66091,0.392745893,-0.000786,-15.009,-0.34505,2.42436,-0.00467,-6.944,-9.77,0.79,0.811,71.0299,97.046890775,389.9333419,1.73418539,-62.5755,0,0,0,250.0615,314.65215,4.388389625,0.569,-17.753,2.8755,3.51695
1,21.25,0.2885818745,-0.0631,3.160783656,0.68053,0.387516673,-3.65e-05,-16.93056,-0.291425,2.4881149105,-0.00509,-7.295,-9.81,0.742,0.8135,72.15454338,97.03,389.6848392,1.68385,-57.55,0,0,0,250.52,315.4565,4.5008381145,0.5775,-17.311,2.47925,2.95735
1,21.75,0.3000436335,-0.1358,3.363514571,0.6224424245,0.3866,0.000299,-17.57925,-0.2927533595,2.89989,-0.00447,-7.9976145975,-9.865,0.707,0.8025,73.73,97.06337909,389.8104331,1.59211,-60.423018,0,0,0,250.36555,314.3622,4.3801685125,0.584,-17.713,2.19025,2.68895
1,22.25,0.2843505375,-0.49911,3.23721075,0.61585,0.290805085,0.000316,-17.61941,-0.341641059,2.67591,-0.00549,-8.55,-9.895,0.7075,0.8035,72.99055616,97.0394768,390.4556706,1.52955,-63.8709575,0,0,0,250.5205,313.7039,4.401893168,0.5955,-17.728,1.88865,2.24555
1,22.75,0.2901514365,-0.40191,3.252535217,0.52279,0.34583044,0.00048,-18.90117448,-0.309766681,2.67945,-0.005965,-8.72,-9.97,0.7055,0.795,73.9,97.028846295,390.15650095,1.491795,-63.63,0,0,0,251.2845,313.6067,4.4531,0.597,-17.903,1.4941,1.8511
1,23.25,0.29582,-1.28105,3.215418031,0.497985732,0.387999203,0.0008165,-19.785885,-0.3257194405,1.941863169,-0.001975,-9.03,-10.02,0.668,0.7875,74.75,97.103400015,392.05333845,1.45,-61.488508,0,0,0,251.3786,314.1414445,4.24366903,0.593,-17.938,1.2865,1.5326
1,23.75,0.288169723,-0.375918514,3.362,0.517305,0.3270634865,0.000751,-19.88848,-0.30964,1.996755,-0.00201,-9.567364621,-10.105,0.815,0.959,75.34,97.12106524,390.33206025,1.40115,-57.47467028,0,0,0,247.4586,312.46270615,4.4215476965,0.5825,-18.293,0.91225,1.0882
2,0.25,0.304440751,-1.31714,3.288653125,0.4464360865,0.37996,3.36e-05,-18.74514,-0.2193462285,2.7838,-0.0081,-7.93,-7.18,0.695,0.858,74.020802445,96.795,392.5489954,1.31198,-51.759275095,0.006996912,0,0,247.5801335,308.68825,4.31,0.633,-15.048,15.4065,18.6855
2,0.75,0.28062334,-1.2538,3.232270948,0.56115,0.40747195,7.585e-05,-19.783385,-0.2724319575,2.84925,-0.00391,-7.96,-7.21,0.698,0.867,74.34453988,96.806110155,392.2675421,1.27283715,-51.487,0.013993824,0,0,247.95411585,308.677431,4.278502588,0.637,-15.474,15.3845,18.389
2,1.25,0.295276332,-1.2804027605,3.311794825,0.5046,0.352616649,0.000447,-18.6315,-0.217426451,3.1601,-0.003615,-7.96,-7.25,0.666,0.8765,75.13,96.78874707,392.54433345,1.20402871,-50.7,0,0,0,246.4486,307.94955,4.2491027315,0.664,-15.873,15.12,18.5245
2,1.75,0.30537,-1.4678236395,3.3630410165,0.508620489,0.393165,3.04e-05,-18.26563097,-0.187195936,3.1189,-0.007495,-8.03,-7.28,0.6325,0.879,75.69,96.7900195,392.6894398,1.2326,-52.79,0,0,0,247.2142,307.7362,4.25995726,0.668,-16.798,14.8645,17.802
2,2.25,0.31021,-1.5115,3.368965,0.63154,0.4643499785,0.00034,-15.62757,-0.244765333,2.98075,-0.00328,-8.04,-7.35,0.60725,0.872,75.49515,96.764,392.9543537,1.241015,-53.14,0,0,0,244.8979071,305.9519,4.2902273405,0.672,-16.545,14.3015,16.9205
2,2.75,0.299009675,-1.756405,3.389913908,0.549266238,0.42812,0.000463,-16.26493,-0.380338964,2.5818,-0.00611,-8.03,-7.35,0.566,0.875,75.60072068,96.79040719,392.904454,1.16814336,-48.26128007,0,0,0,244.12515,305.6627,4.348646969,0.6715,-16.755,13.8375,16.8645
2,3.25,0.289840056,-2.05445,3.338887939,0.630745,0.320952992,1.87e-05,-16.2927,-0.245285897,2.7418,-0.00462,-8.035,-7.39,0.5935,0.859,74.7,96.74780054,392.33217495,1.1504,-55,0,0,0,244.46955,305.54,4.1625950245,0.659,-15.9465,13.5185,16.3275
2,3.75,0.294066793,-2.065315,3.32272368,0.57471689,0.40784161,0.0002835,-14.93862,-0.249324508,2.65554,-0.008705,-8.045914598,-7.435,0.6135,0.861,75.105,96.75481153,392.39,1.200557025,-49.11049015,0,0,0,246.2613,307.1912,4.0349,0.662,-16.9685,13.177,15.49
