DOY2,HR2,CO2,H2O,CH4,FC,SC,FCH4,SCH4,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN_1_1_1,SW_OUT,SW_IN_2_1_1,TS_1_1_1,TS_3_1_1,G_1_1_1,G_3_1_1,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
3,15.75,502.35275,11.1357275,2101.434,9.422265,13.6671846446553,20.32301,6.74287319854923,141.867,17.3114184214003,107.872725,9.76649549906188,99.46494,86.175425,21.5592225,20.28,16.356895,495.6906,643.38355,268.9054,489.4715,212.276,423.4538,5.88708449999999,9.079625,43.5604,36.5149,0.115787349999999,2.38561942860951,1.03143975,1.31730075,2.13785525,9.03721924999999
3,16.25,496.05965,11.122175,2102.632,18.478455,9.53609822799735,18.162904,8.07807393892843,104.391275,10.4542381329633,94.40542,18.7036701228137,99.46624,90.0773625,21.898715,19.3413,15.795915,490.5396,680.94825,184.601,386.2445,166.455,355.9756,5.885,9.12819025,39.742575,33.5922,0.08101298,2.211759,1.0062776,1.3168685,2.094717,9.25045050000001
3,16.75,498.6664,10.552275,2104.11,32.80099,10.082993452682,41.79362,8.1599553798888,72.1492927499999,11.6036306752995,74.5044950000001,26.1555332872879,99.48104,88.84842,21.85142,19.12478,15.0995,499.6962,637.66275,108.758615,277.40195,113.041825,246.981,5.875,9.1937475,33.82784,30.7813525,0.0272418800000001,2.26633797742068,1.0271935,1.2987565,1.9225145,9.2365
3,17.25,498.559,10.16586,2101.8475,9.90725749999996,11.7098566102989,20.93614,6.16720769624177,26.840105,15.992556216532,61.066585,11.6184745774157,99.4768875,89.5099,21.48209,18.4337,14.67199,520.55525,671.04825,37.45555,174.4585,55.8003875,153.073875,5.828335,9.2118125,27.522275,27.11705,0.0135114999999999,2.0893203301344,0.972591,1.291458,1.75999797824355,9.328902
3,17.75,507.85835,10.25891,2101.372,21.55975,7.79680626201973,30.2916375,13.4273695589415,8.93923125,6.79953432520213,56.4874875,9.65443204892773,99.478465,88.5202,21.14941,17.336,13.5307625,525.3145,693.32525,9.18872499999997,78.8553125,19.751925,68.6021125,5.812625,9.1807905,22.6624625,23.74155,0.02668062,2.134162,0.8852358,1.166853,1.64048869689331,8.69197825
3,18.25,504.903325,10.5234375,2097.3875,20.5763449999999,7.09177556801372,31.16187,10.8866776889396,4.95436699999993,3.18713149547898,37.1048625,14.3244163877111,99.48445,91.9802,20.80145,16.5456,12.57053,519.58525,696.419375,3.22816999999999,11.8376375,4.47809,14.575575,5.7338125,9.0945625,18.6928375,21.154075,0.0114354299999999,2.14791125,0.925003775,1.200741,1.720948,8.3813985
3,18.75,513.01315,10.8879325,2100.33925,17.982865,10.5906581701001,34.65365575,26.2510033832818,5.37875875000002,8.45903282130774,47.59757,21.8624473886691,99.537175,90.9734,20.2768825,16.1543,12.318445,501.2529,671.528875,3.492513,0.0996011875,2.77781625,0.75189255,5.6975,8.985168,18.7312125,18.5133125,0.00867122675000004,2.18441875,0.914642750000001,1.16879,1.6263285,8.36883475
3,19.25,505.2195,10.38832,2108.3015,22.46792,7.33207198425927,39.9479350000001,29.2422321733485,3.28377497500001,13.5963460459926,48.5617149999999,13.3014386615454,99.5154175,90.7669,19.8322525,15.95,11.8761175,503.78325,664.7667,4.3795064,0.0999505625,2.4701475,0.181597575,5.6975,8.84114375,17.751875,15.9770375,0.03992137,2.0826335,0.844722825,1.1152505,1.57463025,8.43479975
3,19.75,516.9628,10.6849975,2107.083,15.9510625000001,10.0075740869315,37.0630265,23.1234230749271,6.22286975000003,13.453582997852,38.1315649999999,12.4275280754526,99.52593,92.0164,19.5004625,15.7887,11.3682875,508.098175,667.05225,3.26958520000001,-0.0849523875,2.839455,0.1635861,6.02572725,8.70083125,16.4862875,13.68475,0.00922591275000002,1.99017075,0.791067425,1.042832,1.56054795854488,8.7399905
3,20.25,515.43135,10.619405,2129.273,20.0117199999999,14.2454860585379,111.5354,44.4308019336066,13.64391,12.3886668197091,40.5546989999998,10.4015703175799,99.5304,90.5972,18.9977425,15.4893,10.73386,511.2105,665.1448,2.13238570000001,-0.0941494,2.660935,0.161485925,5.952498,8.5280175,14.9979125,11.48425,0.0189676375,2.34019525,0.828283775,1.15431575,1.67641947622987,8.667881
