DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
2,11.75,409.2409,0.316834,112.2227,94.0562575,4.929579,5.2203455,0.60925415,68.65749,3.902337,94.090675,252.79095,1001.168625,2.27249975,6.073844,0.44138785,1.117353,1.2082735,0.4306761
2,12.25,408.69365,0.3052295,114.218625,90.9247525,5.55679,6.057624,0.6199812,66.3889825,4.056695,94.08851,266.11215,1016.677,2.5591665,6.197074,0.4528589,1.166153,1.297774,0.4436634
2,12.75,408.64185,0.3371355,101.9664,85.444025,5.79671725,6.1921825,0.62440865,63.94122,4.226283,94.0854275,252.6833,979.5774,2.686667,6.3355055,0.454942,1.2171455,1.175243,0.43605915
2,13.25,409.0159,0.4718575,117.47765,84.644485,6.1363735,6.506797,0.6425469,64.139065,4.4351075,94.0267175,235.7257,916.23075,2.903333,5.952142,0.4679059,1.191967,1.300393,0.4496026
2,13.75,409.6208,0.365769,99.8967,90.366365,6.12540525,6.800305,0.6294371,61.24664,4.52250625,94.03092,206.0384,842.4883,3.315,5.874743,0.456112,1.105395,1.269618,0.4248989
2,14.25,409.60615,0.39506025,85.084045,76.346785,5.7895075,6.87029875,0.517860425,62.89729,4.553317,94.120805,160.102075,731.1993,3.65,5.80932625,0.415851025,1.03432025,1.19165575,0.4013667
2,14.75,409.5574,0.5081785,56.53488,73.36708,5.7661485,6.84180925,0.478591875,63.88059,4.53004,94.134115,91.090135,571.9871,3.873333,5.49722775,0.382255775,1.020262775,1.122032,0.403384775
2,15.25,409.3846,0.619714,41.449655,53.58744,5.518539,6.191419,0.3864802,62.5472175,4.49769925,94.1320475,55.0713075,409.1943,3.771666,5.197882,0.368755,0.9792743,1.002801,0.3820678
2,15.75,409.3579,0.4914725,26.33911,45.4674725,5.62504975,6.361886,0.3230869,61.9971625,4.404902,94.1363475,29.40943,311.3838,3.9649995,4.752458,0.3478802,0.9434084,0.99210955,0.3571949
2,16.25,409.45515,0.8349485,8.09541575,31.59724,5.7033975,6.504566,0.28336145,62.90679,4.09031,94.11966,1.665796142,174.2337,4.1,4.70697525,0.326588225,0.8173384,0.989964375,0.3448376
2,16.75,410.1193,0.954015,-10.5996,22.04744,5.023866,6.5117145,0.36864175,63.9035425,3.817888,94.118465,-15.0533275,75.594735,4.07333275,4.6631305,0.32307245,0.7707496,0.9131112,0.3301866
2,17.25,409.86575,0.9568025,-7.7978665,17.2274825,4.644957,6.105396,0.3743759,66.36624,3.75587225,94.109925,-14.67499,18.734485,3.913333,4.305421,0.3022113,0.7491624,0.8676523,0.2939278
2,17.75,410.66965,1.11847,-9.436921,20.30524,4.7664335,5.4936345,0.366327425,67.6188575,3.4756755,94.0984,-13.9321825,0.7559454,3.78,4.1676435,0.28011755,0.772600525,0.8391637,0.314830225
2,18.25,411.068125,0.805199,-6.39873,14.176185,3.629163,4.56868475,0.4223529,67.8674075,3.295408,94.082405,-19.061165,0.08859976,3.5599995,4.00043125,0.26926775,0.721005075,0.7479019,0.2957749
2,18.75,412.422,0.99786425,-10.20180975,12.760935,3.35832425,3.832102,0.4501027,71.462535,3.1451325,94.07661,-12.4454,0.08246576,3.428333,4.171526,0.272488,0.7011611,0.8003503,0.3028013
