DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,13.75,380.133,2.441,0.22,74.675,241.75,252.15,111.75,30.31,-14.6,86.3,136.105,54.84,13.15,55.29,-6.35,2.1,-4.51,-4.36,0.424,93.7,2.385
1,14.25,379.294,2.556,0.22,68.295,241.45,252.25,103.55,25.375,-14.35,86.1,126.345,49.13,11.3,47.835,-6.3,1.75,-4.495,-4.325,0.445,93.7,2.4
1,14.75,379.2625,2.573,0.22,57.74,244.45,252,85.9,22.555,-14.6,86.45,112.44,44.14,10.8,41.66,-6.15,1.7,-4.49,-4.33,0.429,93.7,2.475
1,15.25,379.45,2.573,0.21,45.185,244.05,251.25,76.05,17.48,-14.85,86.6,89.243,33.55,9,26.17,-6.05,0.15,-4.49,-4.325,0.424,93.7,2.3
1,15.75,379.5995,2.5935,0.205,32.375,244.25,251.1,60.175,13.685,-14.95,86.4,70.48,26.42,7.65,18.205,-6.05,0.05,-4.475,-4.305,0.388,93.65,2.2
1,16.25,379.6715,2.6385,0.2,14.72,243.1,248.7,31.18,7.87,-15.3,86.9,38.01,15.805,4.9,7.76,-6.15,-0.7,-4.465,-4.3,0.39,93.65,2.07
1,16.75,379.609,2.552,0.19,4.395,238.6,247.5,12.9,3.39,-15.85,87.25,16.71,6.2,3.5,-1.59,-6.2,-1.5,-4.51,-4.35,0.34,93.7,1.975
1,17.25,379.324,2.579,0.18,-0.615,236.95,245.9,0.94,0.81,-16.2,87.95,3.19,1.64,1.4,-5.3,-6.3,-1.7,-4.52,-4.365,0.31,93.7,1.86
1,17.75,379.134,2.51,0.17,-1.935,236.95,244.5,0,0.17,-16.5,88.55,0,0,0.7,-2.85,-6.2,-1.4,-4.53,-4.38,0.3,93.65,1.89
1,18.25,379.1365,2.4955,0.16,-1.855,237.05,243.5,-0.15,0.055,-16.9,88.85,0,0,1,-7.075,-6.25,-1.25,-4.54,-4.38,0.281,93.65,1.89
1,18.75,379.075,2.5,0.16,-1.795,239.35,243.65,-0.18,0,-17.1,89.6,0,0,1.1,-3.255,-6.2,-0.7,-4.54,-4.385,0.29,93.6,1.98
