DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
1,17.75,466.139,0.367145,5.387685,0.043996,2.62033,1.4287275,0.15067625,102.2766745,96.594756,7.406259,-4.75807225,0.0190905,1.64316525,332.05,343.79575,7.65051435,6.2418,5.96362725,7.08385925,8.085
1,18.25,466.629,0.40817875,4.04868225,-0.197571,3.5318175,1.6448775,0.150467,102.26202,96.5644875,6.9696425,-4.16399875,0.018723225,1.63478525,332.24625,342.9112785,7.29627,6.25468225,5.96782375,7.06947475,24.15
1,18.75,467.60325,0.401927,3.14875,-0.84506475,1.48708,1.63491,0.149906,102.25656675,96.8143575,6.83,-4.048582,0.045064875,1.58869325,332.75225,342.44275,6.9037625,6.24059475,5.96514775,7.07346525,7.81
1,19.25,467.42875,0.5443005,2.2991665,-0.560059,1.59268,1.92496,0.15973575,102.264992,97.094989,6.7180075,-2.760282,0.03872275,1.59643075,332.731994,341.98225,7.02487,6.226489,5.98662,7.06986725,16.95
1,19.75,473.416,0.476519,1.61824341675,-0.23033975,0.972745,1.69228,0.165469,102.27,97.27838325,6.72411,-2.95109875,0.019021675,1.48733,332.4536375,340.69225,7.269210325,6.29,5.987915,7.05730875,5.36
1,20.25,473.923,0.3333995,1.16233875,-0.3308205,0.889081,1.456425,0.11867525,102.31205975,97.585,6.7489525,-2.9157,0.0385411,1.530444,331.435379,341.22584325,7.0148767,6.2400155,5.9650325,7.0593955,3.6675
1,20.75,469.495,0.4476765,0.803895,-0.513009,0.6721395,1.478275,0.154961,102.33241475,97.6625,6.623195,-3.269409,0.0475,1.4599175,331.71925,340.92025,6.862565,6.212969,5.948869,7.062045,17.37
1,21.25,472.048,0.353303,0.47231250025,-0.000453,1.313015,1.89643,0.182285,102.33402325,97.65396275,6.8226325,-2.54,0.087507775,1.458859,332.8,341.179891,6.741865,6.232197,5.97711,7.055697,24.375
1,21.75,482.227,0.31533225,0.10073675,-0.009417375,1.545795,1.54435,0.145405,102.3332505,97.8358825,6.68535975,-2.2325,0.02203225,1.36,333.26762425,341.61761925,6.69306,6.21413,5.99,7.05324425,8.09
1,22.25,480.7865,0.3722735,0.0175,0.004415,1.664425,1.7612775,0.1488945,102.34683025,97.72827825,6.518795,-2.011575,0.057002125,1.5213305,332.1664885,341.4264605,6.8827175,6.20528825,5.99,7.04778225,6.40989
1,22.75,502.3255,0.451796,-0.19782232525,-0.06386175,2.058435,1.557345,0.1376665,102.3285335,97.91458475,6.5354735,-2.26641175,0.057156275,1.42808375,331.2680945,341.13283925,6.86491,6.19869,5.98587,7.047633,7.106455
