DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
2,4.25,0.9838,10.339,4.6024,2.05945,2.4293,1.04205,8.205,7.06842499999998,2.97437499999999,6.4705,95.7875,102.69505,434.0195,3.24575,-0.507675000000003,0.001175,0.0915749999999994
2,4.75,1.049,11.44825,4.429075,4.24154999999999,2.9376,3.102125,10.716,9.92235,2.03715000000001,6.489,95.915,102.69505,430.205675,3.066,-0.435649999999999,7.77575000000001,2.631
2,5.25,1.0334,11.8925,4.33195,2.938875,3.04775,1.48675,31.546,10.0127,2.4865,6.6165,95.63,102.7,427.979675,3.0335,9.979,55.516,20.881
2,5.75,1.061625,11.85125,5.2462,2.636,4.339125,1.2998,108.22335,20.592975,1.76077499999999,6.76275,95.6125,102.79595,429.62115,3.1115,36.29775,128.9725,32.46425
2,6.25,1.0594,12.31,5.7956,3.13975,2.6575,1.07075,162.429,19.0598,2.02635,6.941,95.6125,102.79595,423.24845,3.1165,90.3424999999999,227.8,41.05975
2,6.75,1.2246,12.48675,5.931,3.3905,4.0196,1.38975,231.14675,17.27655,1.77212499999999,7.041,95.6,102.80095,423.374025,3.3645,148.6025,312.8125,49.87375
2,7.25,1.165125,12.771,5.5818,2.577,2.83185,0.97575,260.521075,26.973225,2.256925,6.9355,95.41,102.80095,425.36375,3.613,217.2225,375.59,60.6754999999999
2,7.75,1.2772,13.35675,5.7048,4.291875,4.5312,0.740049999999999,331.19975,20.54235,2.783775,6.83925,95.5075,102.89505,421.7119,3.94699999999999,279.4225,448.4225,73.5325
2,8.25,1.2376,13.496,5.559,3.71195,5.22555000000001,0.4294,370.17455,35.6909,3.17215,6.8805,94.825,102.89505,419.5341,4.36274999999999,313.5875,513.7875,92.0424999999999
2,8.75,1.29075,13.7005,5.3342,4.1355,5.96779999999999,0.852499999999996,401.7668,32.1599,3.67512499999999,7.16575,95.12,102.89505,421.5395,5.01949999999999,367.055,567.85,103.61
2,9.25,1.301375,13.417,5.4182,4.2748,4.7907,0.567399999999998,366.877,49.9908,4.08364999999999,7.47075,94.915,102.9,414.174425,6.12574999999999,400.5925,614.5975,110.29
2,9.75,1.246125,13.46325,5.2978,3.4338,3.93829999999999,0.390799999999999,433.926725,83.14235,6.804925,7.60475,94.8075,102.925125,412.76105,7.10325,428.235,636.795,119.8575
2,10.25,1.28675,13.37625,5.3746,3.57899999999999,4.709125,0.533199999999999,425.4969,55.607,7.99544999999999,7.6655,94.5,102.816,410.9845,7.40849999999999,428.5675,644.9375,128.1275
2,10.75,1.33955,14.156,5.2668,3.091725,2.914825,0.623099999999999,453.6394,56.2816,8.617275,7.7065,94.3025,102.831,414.356375,7.66149999999999,422.3175,637.9575,128.15
2,11.25,1.2642,15.4655,5.0684,3.1034,3.291125,0.322925,433.8762,59.498125,8.645675,7.885,94.005,102.846,413.68575,8.09099999999999,431.2975,665.1125,142.555
2,11.75,1.33705,15.99025,5.18075,2.71225,3.1308,0.4655,432.796675,61.173125,9.9973,8.05125,93.705,102.7375,407.9851,9.19174999999999,448.26,680.675,142.1575
2,12.25,1.3342,16.66525,5.32585,2.92865,3.0376,0.5337,427.244525,75.767375,11.006775,8.037,93.8025,102.72,410.7794,9.79975,450.2025,686.065,137.31
2,12.75,1.3768,16.987,5.8944,4.49625,4.8858,0.5552,450.691825,65.680625,12.38075,8.03225,93.705,102.6309,407.621,10.849,449.71,681.4075,134.3225
2,13.25,1.325825,17.18275,5.071975,2.291175,2.635,0.4832,418.642725,70.370625,11.6428,8.655,94.0025,102.611,406.306,11.32675,435.4,662.825,145.29
2,13.75,1.3348,17.12225,5.16395,3.83095,4.112375,0.4866,420.619,63.54375,11.82475,8.46825,94.2025,102.51,406.75525,11.4985,401.685,627.025,113.6625
2,14.25,1.27075,17.25,5.2559,4.45525,3.631825,0.9774,351.93425,57.45135,11.47315,8.41225,94.205,102.5,407.976975,11.62525,355.6075,569.5575,94.3849999999997
2,14.75,1.386875,16.518,4.866225,3.66945,3.0462,1.196925,318.152975,45.0343,11.11885,8.22949999999999,94.405,102.502525,407.7383,11.86225,289.305,492.58,79.4444999999999
2,15.25,1.3046,16.3725,5.062175,3.272875,3.433625,1.064,268.1762,40.47675,10.73535,8.35674999999999,94.605,102.502525,406.009925,11.4695,233.3325,424.0675,57.4944999999999
2,15.75,1.3272,15.632025,5.239625,2.94979999999999,3.01395,1.1392,207.1788,29.241625,10.080075,8.08224999999999,95,102.5,406.396475,11.7025,170.5,349.8425,44.572
2,16.25,1.2088,15.1795,4.933925,3.50405,3.31455,1.4156,131.5772,30.004375,9.3659,7.96274999999999,95.105,102.5,409.35025,11.31575,92.8325,258.5175,34.44175
2,16.75,1.2688,14.27625,4.8075,3.689625,2.98595,1.43885,99.8761999999999,26.93975,8.274275,7.79449999999999,95.3,102.5,411.620275,10.5735,31.49075,157.0025,23.10475
2,17.25,1.139,13.25725,4.727225,4.13994999999999,3.647,1.63025,22.7544,29.816375,7.1113,7.64374999999999,94.825,102.4975,411.7305,9.239,4.28042499999982,55.59125,10.7405
2,17.75,1.1208,12.99575,4.933175,3.6555,2.354425,1.80655,18.1633499999999,11.5725,5.97299999999999,7.48224999999999,95.0225,102.5,412.23275,7.64175,1.92222499999983,8.313,0.473449999999998
2,18.25,1.1022,12.41,4.83675,2.85445,2.62425,2.283125,11.412525,20.0822999999999,4.92797499999999,7.37024999999999,95.8025,102.5,413.3117,6.72974999999999,-0.0673250000000074,0.1477,-0.147800000000003
2,18.75,1.082125,11.639,4.5829,3.294175,3.21865,1.393125,38.5651499999997,15.684125,5.08294999999999,7.22924999999999,95.5175,102.5,411.992275,6.25075,0.511399999999992,0.007,-0.0142750000000008
2,19.25,1.0456,10.9245,4.794825,3.9795,3.46349999999999,1.955375,36.2437249999998,11.0445,4.25329999999998,7.22425,95.2225,102.5,416.899075,5.6085,1.30777499999999,0.00602499999999999,-0.0609250000000005
2,19.75,1.245,10.77375,4.899675,3.93025,3.079,1.10325,27.006075,10.861875,4.05149999999998,7.2685,95.41,102.5,419.391475,5.26125,0.946649999999998,0.005,-0.146225000000001
2,20.25,1.228,11.65825,4.762475,3.472275,3.4038,2.118375,7.92002499999997,23.50725,4.00169999999998,7.323,95.4025,102.5,420.830375,4.9815,-0.594200000000019,0.00502499999999999,-0.115125000000001
2,20.75,1.0834,11.00825,4.900425,3.80075,3.3788,2.654125,-0.0713500000000001,19.26475,4.01622499999998,7.29375,95.4025,102.5,421.3607,4.57575,-1.30815000000001,0.00502499999999999,-0.0611000000000006
2,21.25,1.0618,11.1465,5.5546,4.084575,2.5279,2.075875,12.1008,14.04735,4.07015,7.1245,95.515,102.5,421.8571,4.431,-1.34585,0.00305,0.000249999999999744
2,21.75,1.1386,10.831,5.2656,4.25385,2.9148,1.51125,31.4315999999999,11.6370999999999,5.0344,6.9195,95.625,102.601,422.03,4.4415,-0.988000000000001,0.003,-0.00567500000000003
2,22.25,1.0048,10.4015,4.8858,3.235,2.380525,1.297625,13.8807,15.44155,5.38355,6.714,95.12,102.601,423.1866,4.0975,-1.5119,0.00109999999999999,-0.00567500000000003
2,22.75,1.13125,10.236,4.829,3.06025,3.4316,1.751175,55.9799749999997,11.5553,5.251575,6.5235,95.2225,102.7,424.7788,4.16075,-1.787025,0.003075,0.0396999999999998
2,23.25,1.113925,10.097,4.9866,2.90575,2.6273,1.1013,4.44675,13.6788,4.919325,6.33025,95.3225,102.7,425.8776,3.9475,-2.4917,0.00215000000000001,0.0517749999999996
2,23.75,1.109,11.087,4.329475,3.43245,3.25635,2.368375,11.2859499999999,8.94589999999998,5.2884,6.256,95.41,102.7,426.50225,3.891,-0.954125,0.00209999999999999,0.0669999999999993
3,0.25,1.053675,14.2495,4.38295,3.2804,2.764375,0.777299999999998,1.642,12.756,5.23405,8.38075,95.7,103.045,413.1715,6.563,-1.78345,0.002,-0.947675
3,0.75,1.146675,14.407,4.7815,3.19285,3.43805,1.281825,5.2199,12.0628,5.2108,8.2655,95.705,103.045,416.027325,6.409,-1.4532,0.00105,-0.806600000000001
3,1.25,1.134,14.641,4.36165,2.2785,3.084025,1.1908,3.81429999999998,8.86657499999999,5.53295,8.2695,95.715,103.045,417.529825,6.3555,-1.72555,0.00105,-0.687750000000001
3,1.75,1.077475,15.242,4.4107,2.5926,2.9148,1.148425,5.92182499999998,8.8858,5.0864,8.234,95.71,102.990225,420.1554,6.253,-1.4197,0.002,-0.775425
3,2.25,1.06845,15.1035,4.60465,2.4346,2.428075,1.34075,11.268,8.89760000000001,4.65619999999999,8.304,95.425,102.990225,419.6632,6.0625,-1.57535,0.002,-0.796550000000001
3,2.75,1.1275,14.986,4.553,2.7886,2.9362,1.3905,0.877,11.805175,4.26409999999999,8.38225,95.52,102.990225,420.2834,5.7975,-2.2212,0.002,-0.668375
3,3.25,1.293625,14.727,5.091,3.33725,3.441,1.068,28.1876749999999,8.88175,4.15025,8.65575,95.62,103.067725,418.70245,5.708,-3.30230000000001,0.00105,-0.310100000000001
3,3.75,1.1209,14.6175,4.741,3.3546,2.944775,1.64315,2.7484499999999,8.17002499999997,4.17375,8.585,95.81,103.067725,416.7218,5.1615,-1.36045000000001,0.003,-0.702575000000001
3,4.25,1.0228,13.9245,4.27515,3.048025,3.223,1.846,3.73009999999996,12.0131,4.6546,8.5465,95.9,103.067725,419.64855,4.9505,-0.970200000000015,2.5192,-0.511900000000003
3,4.75,0.981,13.0215,3.9063,4.25639999999999,2.432,2.3457,13.4706249999999,11.91875,4.41924999999999,8.5405,95.805,103.1675,420.0635,4.604,-1.72560000000001,29.499,13.842
3,5.25,0.984,12.70175,3.918175,3.63409999999999,2.670525,1.283225,17.3753749999999,7.87175,4.13702499999998,8.506625,95.5125,103.1675,419.402,4.37525,22.9042499999999,108.6075,26.20575
3,5.75,1.002925,12.30775,4.097075,2.53625,2.4416,1.15105,75.2018,13.24925,4.14905,8.48,95.515,103.19,419.2705,4.30175,68.838,207.3225,33.251
3,6.25,1.0133,12.3335,3.90725,3.45855,3.450025,1.242175,101.4782,14.45375,3.22605,8.41725,95.7125,103.19,419.63805,4.405,131.295,302.7025,41.26275
3,6.75,1.087425,12.72275,4.40785,2.6006,3.358675,1.472875,214.944875,36.09425,2.857675,8.427625,95.7175,103.212725,417.3949,4.57099999999999,202.795,395.245,49.04925
3,7.25,1.201225,13.03425,4.64595,4.09409999999999,4.66955,0.571425,252.425575,60.6555,2.71465,8.413,95.805,103.212725,414.19365,5.01199999999999,252.7025,474.6325,57.12775
3,7.75,1.281975,13.974,4.829275,3.765,4.66594999999997,0.372975,285.5095,70.8235,2.88724999999999,8.4745,95.3225,103.212725,412.727675,6.40025,316.8775,541.5225,65.6355
3,8.25,1.29025,15.80675,4.884525,1.190125,2.1598,0.2373,333.5434,75.2865,3.20624999999998,8.47874999999999,95.4225,103.212725,411.97215,7.06024999999999,372.0025,598.0925,71.6975
3,8.75,1.28335,16.405,4.984525,2.5626,2.87135,0.1908,349.213,93.234,4.04539999999999,8.71437499999999,95.4175,103.212725,412.1266,8.73825,426.23,653.275,81.3025
