DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,5.25,-0.09425,-0.10025,-0.4275,-18.894,0.1265,-0.04525,425.2185,4.007,-21.97225,0,-1.50375,-0.0505,249.7935,277.5255,-6.788,78.3475,1.07275,98.49275,-0.08975,-0.404,0.122,2.12425,-9.63075,0.3299,0.1566,0.3771
1,5.75,-0.05575,-0.116,-0.117,-18.8555,0.123,-0.02775,424.9045,4.0315,-22.932,0,-1.06975,-0.0635,249.2315,275.831,-6.757,79.5375,1.195,98.49,-0.0905,-0.408,0.11925,2.1245,-9.61725,0.3608,0.1344,0.403
1,6.25,-0.0385,-0.095,-0.165,-18.7505,0.126,-0.0595,424.5695,4.0145,-20.38225,0,-1.123,-0.083,261.32075,273.1255,-7.01325,77.9625,1.12,98.539,-0.0905,-0.41175,0.11675,2.12425,-9.82825,0.3734,0.179,0.4263
1,6.75,-0.05075,-0.1425,0.127,-16.225,0.13,-0.0225,424.8175,3.8355,-27.157,0,-1.2215,-0.057,255.687,276.8295,-7.03575,78.1375,1.112,98.69,-0.091,-0.41575,0.115,2.123,-9.89175,0.4034,0.162,0.4435
1,7.25,-0.184,-0.432,-0.25125,-15.94,0.127,-0.02925,425.378,3.81625,-22.6875,0,-0.9525,0.03475,250.35275,274.9875,-7.18225,79.0075,1.26075,98.503,-0.10975,-0.41875,0.1125,2.1225,-9.86225,0.3728,0.1876,0.3996
1,7.75,-0.1285,-0.1865,-0.21925,-20.081,0.136,-0.0435,425.16825,3.657,-20.29025,0,1.90575,0.4545,254.98475,271.78725,-7.11875,81.1,1.078,98.502,-0.1095,-0.42025,0.111,2.122,-9.8415,0.3865,0.1754,0.4088
1,8.25,-0.0525,-0.183,-0.19325,-16.5905,0.10425,-0.039,425.939,3.673,-6.059,15.79,9.07475,2.18,261.523,272.12925,-6.91025,80.425,1.342,98.577,-0.1095,-0.4195,0.109,2.1215,-9.6625,0.3438,0.1712,0.3791
1,8.75,-0.242,-0.279,0.33225,-11.837,0.12075,-0.029,425.503,3.9785,4.59225,44.6175,24.99125,4.59775,252.85175,277.44625,-6.85675,78.705,1.17775,98.59475,-0.1085,-0.42125,0.10825,2.122,-9.1895,0.3775,0.1625,0.4299
1,9.25,-0.46725,-0.543,1.07275,-10.36525,0.121,-0.07025,425.751,4.063,9.968,77.08,33.10325,6.84,256.03975,283.2195,-6.62325,77.84,1.30475,98.58,-0.1075,-0.42225,0.1105,2.1215,-9.01625,0.3667,0.1955,0.455
1,9.75,-0.81175,-0.9565,4.184,-7.505,0.161,-0.089,426.051,4.0075,20.64475,107.525,59.22725,10.0455,240.05625,285.9145,-5.7935,76.0325,1.58,98.596,-0.1075,-0.4235,0.113,2.12225,-8.871,0.471675,0.220375,0.534
1,10.25,-0.727,-0.7325,6.59925,-3.7875,0.16875,-0.07575,426.5365,4.2035,29.06425,152.275,76.0355,10.52675,243.522,288.38075,-5.25825,73.155,1.582,98.599,-0.10725,-0.42375,0.115,2.122,-8.242,0.516425,0.2463,0.529025
1,10.75,-0.6755,-0.7845,7.302,-1.348,0.162,-0.068,425.893,4.1865,35.24575,171.2,76.59375,11.19775,248.8185,292.19725,-5.03,72.6225,1.816,98.602,-0.1065,-0.4225,0.117,2.122,-7.23225,0.605325,0.255075,0.613075
1,11.25,-0.6475,-0.6555,10.79,-0.6185,0.17425,-0.08275,425.8505,4.2495,45.0845,184.75,83.1415,13.38425,239.24575,293.049,-5.01525,72.8,1.804,98.60625,-0.10625,-0.40025,0.119,2.12225,-7.0185,0.596375,0.28045,0.689875
1,11.75,-0.7685,-0.8315,14.453,1.25,0.206,-0.09275,425.5325,4.2245,46.64175,238.05,89.82125,16.3095,231.65525,294.57975,-4.96125,71.1425,1.827,98.60025,-0.1055,-0.38725,0.121,2.12175,-6.77625,0.7228,0.283,0.738575
1,12.25,-0.742,-0.7115,13.0875,1.1555,0.16925,-0.042,425.7045,4.23925,40.158,220.15,100.19,15.81575,223.19975,297.6335,-4.82575,70.645,1.68875,98.51875,-0.1045,-0.37225,0.1235,2.121,-6.1305,0.70045,0.2565,0.703475
1,12.75,-0.43675,-0.48,14.2105,0.73,0.2045,-0.03825,425.3415,4.249,40.656,211.2,75.88575,19.89475,229.20325,296.754,-4.79875,70.7925,1.89075,98.508,-0.1045,-0.37025,0.12525,2.12125,-6.01875,0.687325,0.29255,0.74275
1,13.25,-0.42375,-0.5505,15.2245,1.798,0.177,-0.047,425.614,4.153,29.96375,208.7,80.0795,16.85525,227.43175,296.473,-4.70775,70.4175,1.72975,98.5185,-0.1035,-0.37625,0.12725,2.1205,-6.0325,0.681125,0.2565,0.76975
1,13.75,-0.406,-0.432,14.755,1.64375,0.189,-0.0395,425.487,4.31825,24.58175,175,81.07025,13.67925,228.1455,296.738,-4.62225,68.8775,1.7015,98.51,-0.1025,-0.376,0.13075,2.12,-5.68625,0.70125,0.29425,0.699375
1,14.25,-0.315,-0.386,14.2185,-0.6515,0.1925,-0.06025,425.45,4.198,18.346,177.975,59.18875,13.276,225.11875,294.72175,-4.7165,68.9575,1.63625,98.57125,-0.101,-0.36875,0.135,2.12,-5.58375,0.639425,0.267725,0.69105
1,14.75,-0.3365,-0.519,14.971,-1.81875,0.193,-0.057,425.13,4.237,8.08225,128.075,50.7545,9.8395,224.1675,294.89125,-4.84975,68.665,1.76625,98.571,-0.10025,-0.3495,0.141,2.119,-5.559,0.648175,0.281075,0.6608
1,15.25,-0.213,-0.274,12.911,-2.52,0.199,-0.038,425.3155,4.303,0.99825,100.5,42.318,7.50375,224.0625,294.04675,-4.75375,68.6625,1.79325,98.598,-0.09925,-0.3335,0.1475,2.11825,-5.65475,0.66085,0.2728,0.682625
1,15.75,-0.163,-0.223,8.479,-4.6,0.168,-0.047,425.68825,4.277,-11.37425,78.1875,27.01175,5.028,233.60775,291.7995,-4.76225,68.8075,1.6555,98.59425,-0.09825,-0.326,0.15425,2.11825,-5.9425,0.58475,0.2452,0.6364
1,16.25,-0.035,-0.09675,5.947,-10.024,0.15025,-0.044,425.8975,4.283,-39.2135,43.71,14.39325,2.19525,233.60625,291.48475,-4.767,68.95,1.484,98.59925,-0.09825,-0.3215,0.162,2.117,-5.8905,0.5383,0.2331,0.5356
1,16.75,-0.013,0.048,2.599,-12.783,0.1455,-0.05375,425.85225,4.249,-55.2655,16.36,2.59325,0.51275,231.76225,290.982,-4.95075,73.7925,1.24675,98.59525,-0.09725,-0.31375,0.1705,2.1155,-6.04075,0.47945,0.218475,0.5236
