DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
7,23.75,2.15357,2.78886,-14.972495,68.1245,423.559578,18.138259,2188.298,0.101642,0.298874,17.3515835,15.62,97.9,96.078065,16.62,0,54.216,83.218,2246.6165,2093.842,-0.7615,15.335,13.82,13.34,12.81,8.88,6.1695,1.483,370.8104041,391.50734855,-17.105
8,0.25,1.820584,1.218469,-13.735246,63.982,430.199454,17.390024,2281.93,0.1027645,0.2753705,16.0517,14.76,99,96.20313,16.565,0,65.737,66.9005,2253.5255,2107.728,-0.359,15.84,14.41,14.03,13.75,10.465,7.0605,1.31,374.9475616,393.7593871,-12.11
8,0.75,1.890036,1.1864685,-9.142859,82.57,432.5671085,17.418723,2269.1785,0.1032865,0.3015625,15.7155,14.43,99.4,96.200703,16.56,0,71.76675,55.811,2233.395,2096.698,-0.328,15.835,14.405,14.03,13.75,10.47,7.0615,1.241,374.0890926,392.3189233,-11.55
8,1.25,1.9587565,1.276018,-9.548224,68.849,433.716705,17.7183475,2256.615,0.104615,0.284165,15.53,14.22,99.5,96.200434,16.565,0,77.7965,61.898,2235.6285,2117.7815,-0.248,15.84,14.41,14.035,13.755,10.475,7.0625,1.22,375.320289,390.5225837,-10.8
8,1.75,1.92762,0.6408585,-11.2133185,67.635,437.973637,17.483051,2285.523,0.105722,0.294542,15.448002,14.01,99.8,96.176623,16.565,0,61.9795,62.814,2252.31175,2105.2475,-0.097,15.84,14.41,14.04,13.755,10.47,7.065,1.035,375.814909,388.5615767,-10.18
8,2.25,1.9998955,1.2660935,-13.079838,76.301,447.44037,17.411176,2287.416,0.107179,0.290485,15.447399,13.89,99.8,96.191603,16.565,0,68.1685,63.819,2246.62875,2097.8295,-0.119,15.84,14.41,14.04,13.75,10.475,7.066,1.092,376.6453851,388.3646016,-10.55
8,2.75,1.8956625,2.397918,-11.983651,78.745,443.340875,17.402831,2272.83,0.104715,0.308553,15.677633,13.94,100,96.198637,16.565,0,62.843,57.296,2285.7305,2108.987,-0.116,15.845,14.41,14.04,13.75,10.475,7.069,1.097,376.5943999,389.6655837,-10.58
8,3.25,1.74168,4.580275,-10.609868,65.861,452.6491435,17.4709455,2251.0265,0.105619,0.299715,15.577594,13.85,100,96.197379,16.56,0,60.452,59.718,2318.0105,2138.487,-0.31,15.84,14.415,14.04,13.75,10.475,7.0705,1.117,376.4540217,388.7594538,-10.53
8,3.75,1.8266945,5.339627,-12.28156,66.517,445.455025,17.6049,2275.608,0.105593,0.290346,15.201438,13.81,100,96.204618,16.56,0,63.884,63.538,2294.2365,2156.441,-0.126,15.845,14.415,14.04,13.75,10.48,7.069,1.071,371.6652338,388.2655751,-10.4
8,4.25,1.975455,0.110646,-12.449442,71.009,447.176,17.3824565,2285.5655,0.107366,0.320003,15.289,13.66,100,96.201093,16.55,0.0115,72.0455,70.85,2275.55625,2153.9035,-0.12,15.845,14.415,14.035,13.76,10.48,7.07,1.154,372.4384134,386.0484126,-10.36
