DOY2,HR2,LE_1_1_A,LE_1_1_1,LE_1_1_2,H_1_1_1,PA,RH,SW_IN,LW_IN,USTAR,WS,TA,TAU,T_SONIC,T_SONIC_SIGMA,VPD,FC,CO2
1,20.75,295.991864581482,209.857552642969,313.816268083744,315.523315912832,100.416625,94.6054725560459,0.0058290761,318.90001,0.6873581375,18.276902,2.89197475,-0.009372336425,4.29389649999998,0.63561998,2.26772239719889,0.968155774724947,414.264388368816
1,21.25,246.310670146013,212.407371659942,335.445605654523,301.574349603734,100.42034,95.4880661477849,0.0057267785,318.20915,0.783408569999999,18.525983,2.84499765,-0.01607567125,4.47884844999999,0.6759703525,2.2581602847347,0.729345079330087,414.409075926785
1,21.75,290.284020185514,195.821350817504,357.810494978757,317.120786086935,100.434245,94.8152758987352,0.006018936625,316.82097,0.7366846775,18.808167,2.99601075,-0.01565912975,4.1464035,0.653910245,2.3033590291316,0.573856247464414,414.351359158122
1,22.25,241.902637521495,199.619043649941,324.665938111984,297.86855003886,100.45314,94.9110438453045,0.00582630675,317.58848,0.781068652499999,19.286197,2.8829236,-0.0122974015,4.11157782499999,0.641634415,2.26388191600139,1.00780331416691,414.187030437951
1,22.75,225.070963401595,207.616305352665,300.628551642123,301.587764872308,100.45466,94.8092366596156,0.0059004553,316.40528,0.76955283,18.996292,2.99647915,-0.0157201430000001,3.8432847,0.68098483,2.20251912948159,0.308863520010532,413.759992329548
1,23.25,215.068432629871,197.388892766002,302.528397545212,281.962274071625,100.45698,95.3961464276901,0.005849202875,315.31909,0.75727058,18.928901,2.9961473,-0.01747614675,4.4213939,0.6364732,2.12219998200064,0.468016189632229,414.496658663884
1,23.75,248.352593489144,191.671602528974,347.684194856132,298.845274749778,100.4438,95.0321695305715,0.0062591056,315.96377,0.78630617,18.568603,3.0037171,-0.013800508,4.0043465,0.6087618,2.01884621197134,0.46262834065073,413.991049272355
2,0.25,241.868043723094,188.877402040298,290.549205133614,248.193965466411,100.45385,93.9132733932733,0.007635622375,315.5579725,0.679017275,18.500449,2.4912953,-0.01570980325,4.14980075,0.7008160125,2.41639892215125,0.594266903348705,413.157524379646
2,0.75,224.44034535876,185.764559269334,310.490103279794,249.534451151885,100.430735,94.2628307526555,0.007196726,315.5097525,0.7467623375,18.44489625,2.47275905,-0.013413985,4.13654225,0.64755505,2.42641044761758,0.368570113928983,413.171940122548
2,1.25,235.759203756551,199.66668312275,314.171352539687,268.363246174207,100.42522,94.1779031125635,0.0072029366,314.535715,0.77236877,18.493675,2.4390139,-0.0115014120000001,3.76091829999999,0.64368209,2.36462790081596,0.933192493729008,413.451332437253
2,1.75,227.376808033263,185.915923640445,308.418878662276,228.853573294631,100.4412,94.8720085109011,0.0072671208,313.7879975,0.73006925,18.1115475,2.298420925,-0.0174477565,3.89587569999999,0.62376882,2.32777416875434,0.464918830277476,413.413350985703
2,2.25,203.163715000174,193.097617231087,268.551008466294,253.842461560391,100.45068,94.5615606031979,0.007089416675,314.78304,0.7333963,18.1269495,2.2597367,-0.016503099,3.7050721,0.60408231,2.233377903406,0.572846726900581,413.533170479216
2,2.75,207.543301664065,179.425507406467,295.204061483612,245.499135194306,100.4703675,95.1067903730973,0.00725781467499999,312.907405,0.778808239999999,18.2618325,2.223684025,-0.01355057,3.2798493,0.603242859999999,2.21496375097295,0.848960230437565,413.484440479762
2,3.25,254.812204782338,185.660530035486,301.0301409325,264.752273117129,100.4641375,95.1968572763255,0.007061417475,313.300225,0.729933809999999,18.318888,2.212461125,-0.010262425425,3.1893177,0.59244794,2.23545231852017,0.458300695422018,413.881806969416
