DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,21.75,0.187,-0.978,1.66,0.46,0.313,0.022,-11.343,-1.687,0.197,-0.236,-2.2,-0.04,0.3235,50.665,78.07,387.576,3.07,-84.4,1.531,-2.059,0,2.332,219.5,297.5,3.391,0.673
1,22.25,0.182,-1.319,1.603,0.4545,0.276,0.011,-12.81,-0.945,0.362,-0.135,-2.623,-0.04,0.3235,52.635,78.08,387.668,3.07,-84.5,1.537,-2.104,0,2.25,218.4,295.7,3.3445,0.673
1,22.75,0.208,-1.103,1.613,0.2975,0.2395,0.0265,-13.573,-1.048,0.1635,0.0205,-2.82,-0.0455,0.31,50.025,78.08,387.712,3.01,-82.5,1.537,-2.007,0,2.416,220.5,295.4,3.3285,0.673
1,23.25,0.207,-1.027,1.657,0.417,0.241,0.004,-10.995,-1.9655,0.076,-0.155,-2.899,-0.0465,0.31,53.425,78.06,387.731,2.96,-83.6,1.526,-1.95,0,2.232,219.8,295.1,3.3525,0.673
1,23.75,0.203,-1.237,1.61,0.413,0.29,0.035,-14.7295,-0.9775,0.209,-0.1335,-2.94,-0.048,0.302,53.23,78.075,387.684,2.92,-82.3,1.52,-1.804,0,2.182,220.4,295.1,3.417,0.673
2,0.25,0.199,0.053,1.585,0.4485,0.2945,0.001,-11.942,-2.1375,0.146,-0.009,-2.648,0.1755,0.417,57.64,77.94,388.1245,2.905,-82.6,1.5175,-2.048,0,2.107,223.35,299.65,4.184,0.673
2,0.75,0.168,-0.238,1.592,0.4675,0.3415,0.0195,-10.0875,-1.006,0.299,0.229,-1.838,0.148,0.4135,59.59,77.93,388.0345,2.895,-80.7,1.52,-2.0025,0,2.158,223.05,299.5,4.3,0.673
2,1.25,0.176,-0.268,1.438,0.4605,0.378,-0.0055,-11.225,-0.963,0.219,0.018,-2.342,0.1485,0.412,58.33,77.921,388.1285,2.79,-80.3,1.515,-1.974,0,2.277,221.85,299.25,4.303,0.673
2,1.75,0.2115,-0.27,1.612,0.454,0.303,0.017,-12.629,-0.8525,0.271,-0.1275,-2.5205,0.137,0.4175,55.76,77.9,387.5885,2.91,-79.77,1.52,-1.9525,0,2.176,224.55,299.05,4.268,0.673
2,2.25,0.2305,-0.342,1.585,0.4345,0.3225,0.032,-12.943,-1.62,0.319,-0.0865,-2.654,0.1365,0.3995,57.01,77.89,387.8555,2.915,-78.445,1.509,-1.953,0,2.0965,221.65,297.5,4.199,0.673
2,2.75,0.236,-0.613,1.652,0.4705,0.3265,0.036,-15.2535,-1.4785,0.158,-0.209,-2.685,0.1365,0.404,56.95,77.89,387.9675,2.785,-78.355,1.5175,-2.0995,0,2.0615,220.9,295.95,4.128,0.673
2,3.25,0.2255,-0.505,1.701,0.36,0.348,-0.005,-12.4645,-0.8345,0.669,-0.288,-2.687,0.1225,0.4075,55.67,77.88,387.8535,2.805,-76.585,1.526,-2.0155,0,2.235,222.55,295.65,4.212,0.673
2,3.75,0.2335,-0.83,1.782,0.54,0.445,0.004,-14.239,-1.18,0.234,-0.342,-1.842,0.123,0.405,56.25,77.87,387.8915,2.675,-77.28,1.526,-2.0115,0,2.1635,221.55,296.2,4.146,0.673
2,4.25,0.2375,-0.881,1.616,0.5305,0.448,-0.002,-14.007,-1.758,0.389,-0.135,-2.4,0.1245,0.4045,56.86,77.87,388.059,2.7,-76.61,1.526,-2.056,0,2.156,223.1,295.15,4.113,0.673
2,4.75,0.2345,-1.0245,1.6685,0.4275,0.3985,0.016,-12.4585,-1.336,0.197,0.057,-2.611,0.1255,0.4,57.835,77.88,387.9785,2.62,-76.26,1.526,-2.1275,0,2.2145,220.15,293.75,4.178,0.673
2,5.25,0.2185,-1.0275,1.6865,0.499,0.3365,0,-14.2755,-1.1895,0.274,-0.0525,-2.671,0.126,0.389,58.4,77.89,387.946,2.48,-75.36,1.534,-2.0895,0,2.2295,219.55,294.2,4.198,0.673
2,5.75,0.234,-1.134,1.69,0.515,0.395,0.001,-16.532,-1.234,0.396,-0.144,-2.692,0.1265,0.388,58.86,77.9,387.7415,2.455,-75.87,1.531,-2.126,0,2.2515,219,294.15,4.134,0.673
2,6.25,0.1995,-1.126,1.6215,0.531,0.3025,0.047,-14.1285,-1.854,0.624,-0.692,-2.7105,0.1235,0.3885,60.13,77.88,388.076,2.445,-75.13,1.5315,-1.9795,0,2.085,221.6,294,4.167,0.673
2,6.75,0.2,-1.275,1.601,0.364,0.213,0.006,-12.4515,-0.967,0.286,-0.2625,-1.8415,0.1185,0.372,59.545,77.89,387.7645,2.415,-74.305,1.6325,-1.3995,0,2.3145,221.7,294.25,3.987,0.701
2,7.25,0.212,-1.3915,1.6725,0.3465,0.2615,-0.0065,-14.2965,-0.9755,0.276,0.171,-2.441,0.1165,0.3625,58.63,77.9,387.8785,2.475,-58.2,14.355,7.594,0,5.7515,220.45,293.6,4.004,12.415
2,7.75,0.242,-0.75,1.5585,0.267,0.3005,-0.0355,-9.21,5.538,0.813,0.2465,-2.6155,0.114,0.3535,57.32,77.93,387.916,2.595,0.466,123.45,84.25,0,25.36,221.2,294.45,4.082,67.99
2,8.25,0.313,-0.0975,1.5035,0.285,0.33,-0.058,2.5485,14.5085,2.241,0.677,-2.681,0.113,0.3395,50.97,77.96,387.6725,2.985,57.255,309.85,182.5,0,36.68,223.25,299.35,4.049,117.5
2,8.75,0.43,1.0895,1.698,0.156,0.4,-0.114,27.7825,16.319,8.777,0.84,-2.728,0.1095,0.3385,46.95,77.98,387.561,3.375,141.35,556.95,288.55,49.43,60.94,224.85,307.25,4.156,160.3
2,9.25,0.491,1.818,1.955,-0.0885,0.231,-0.125,68.58,13.479,16.493,0.194,-2.763,0.143,0.339,43.96,78,387.352,3.775,221.1,792.25,401.9,141.75,84.2,225.85,313.9,3.964,195.6
2,9.75,0.543,2.713,2.052,-0.035,0.267,-0.089,117.95,12.2445,23.7995,0.318,-1.8515,0.144,0.3385,42.41,78.02,387.122,4.07,293.15,986,504.95,174.3,107.1,230.8,320.5,4.0355,225.25
2,10.25,0.638,3.2865,2.3645,-0.565,0.001,-0.121,140.207,10.9495,28.3585,-0.335,-2.3825,0.1525,0.3415,38.91,78.04,387.057,4.365,342.2,1129,585.4,245.6,122.6,230.5,326,3.941,224.45
2,10.75,0.671,3.895,2.525,-0.735,-0.296,-0.121,164.177,9.185,30.784,-0.347,-2.5305,0.198,0.368,38.28,78.05,386.547,4.84,399.4,1272,656.9,284,147.1,231.9,330.2,3.754,235.75
2,11.25,0.661,4.27,2.5785,-0.74,-0.38,-0.145,188.9565,10.728,32.2765,-0.323,-2.5795,0.2035,0.39,36.075,78.035,386.4075,5.24,444.4,1373.5,710.3,308.7,163,235.6,333.2,3.68,274.9
2,11.75,0.713,4.396,2.694,-0.7495,-0.348,-0.1335,196.209,7.847,35.8525,0.02,-2.5835,0.2695,0.399,34.655,78.021,386.1695,5.35,481.15,1473,757.4,286.2,162.6,239.6,335.3,3.7995,292.1
2,12.25,0.716,4.841,2.765,-0.659,-0.396,-0.096,198.977,4.9025,37.393,0.168,-2.6215,0.2735,0.401,33.42,78.01,385.844,5.53,498,1504.5,780.45,288.45,163.4,240.8,337.55,3.912,282.5
2,12.75,0.757,5.118,2.761,-0.6865,-0.5135,-0.0765,200.847,3.3475,35.106,0.094,-1.7635,0.278,0.412,33.875,77.971,385.3,5.55,497.35,1500.5,777.2,267.45,166.4,240.9,337.75,3.808,303.9
2,13.25,0.7595,5.476,2.923,-0.951,-0.707,-0.071,199.1135,2.254,34.2935,-0.306,-2.241,0.286,0.4115,33.13,77.961,385.291,5.86,488,1472,760.75,286.2,157.9,242.75,339.6,3.771,310.6
