DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
1,13.75,-0.8972112473,-4.309971263175,5.7207782314,-9.9961284193,-1.432582411125,-3.07382790225,-3.89522023165,0.57941367695,0.112861190725,14.335811205,374.1724759025,7.3229310674,191.8125,22.884,289.79,409.8575,16.025,16.54225,16.37,33.243,40.02625,14.7665,14.83425,5.12345139475,101.169762675
1,14.25,-0.8436923872,15.138603892,13.92451234,-9.09935526495,-1.556834207175,-2.54928969275,-2.9432879214,0.8583864455,0.1707805553,14.77269603,373.73108422,8.0761211344,141.2425,16.36425,290.16,411.4925,16.246,16.8645,17.132,31.08025,36.88075,14.9355,15.019,5.393334529875,101.1239248
1,14.75,-0.760665356475,15.122227044,22.324896043,-10.223688679375,-0.937456306,-3.1636637527,-6.7005045137,0.9832094572,0.2069402339,15.29422859,373.35623874,8.352122144875,95.87,10.5415,287.2725,411.4025,15.937,16.44475,16.979,32.913,40.60975,15.115,15.1985,5.184382882375,101.06844644
1,15.25,-0.764400649125,20.35675216,26.69279425625,-7.742058950125,-0.34868960395,-4.089386517875,-3.41845781495,1.09879077425,0.220135041625,15.8123572625,373.1835843625,8.7177254275,106.9275,12.2205,289.085,409.5675,16.22125,16.63725,17.033,34.76375,39.1255,15.3865,15.4195,5.219488406375,101.0648276375
1,15.75,-0.7183692636,21.902345248,39.4196232625,-7.203390427,-0.29818465125,-2.87875670125,-3.2373381395,1.1375630554,0.218776998,16.0497859,373.75750846,8.63371703175,84.42,9.54225,289.9825,408.8375,16.52475,16.8335,17.021,32.03425,37.6395,15.70425,15.64475,4.72836166625,101.05278
1,16.25,-0.7426056344,16.938355762,31.412439064,-8.2791323055,-0.32454338975,-5.88921859345,-3.38217686075,0.9966430314,0.2187435304,16.20601602,373.4483518,8.6852059374,91.1025,9.43325,291.4975,405.8225,16.13375,16.55125,16.564,32.88525,38.36625,15.907,15.7785,4.4352864866,101.03845148
1,16.75,-0.72087893875,3.92612681,24.76400752625,-8.55757197675,-0.254498081375,-4.74812816575,-4.190586248375,1.14014111425,0.198937337625,16.1233914875,372.7779053,8.64519647875,39.43525,5.0681,288.39,399.0125,15.81275,16.08025,16.124,34.6495,41.021,16.039,15.9275,3.73398324825,101.0485539
1,17.25,-0.659698869375,-8.928887641875,16.87432468125,-8.08321715775,-0.23123172675,-4.70842017925,-4.691114008625,0.974775446,0.17994260625,15.616341725,371.183854375,8.252187390875,29.906,4.1363,287.4175,392.245,15.3835,15.54925,15.463,36.1375,44.7625,16.14225,16.07375,2.452484305625,101.0567496375
1,17.75,-0.5821709714,-25.612553232,8.4801402002,-7.7258467952,-0.32754414225,-4.930529417375,-4.867247452625,0.8124851998,0.1447561746,15.41131264,372.92573088,8.5542954014,8.70075,1.394575,285.66,382.3825,14.62275,14.715,14.46,42.35225,51.58775,16.25075,16.18375,3.0078321196,101.05432492
1,18.25,-0.5803460724,-29.2628948885,-2.4306148494,-8.6265123603,-0.2473046964,-5.1665201656,-8.7858153506,0.7519054766,0.0971898997,14.30257761,371.83170018,7.9795387993,-3.759,0.2612,283.29,379.3125,13.85225,13.68175,13.192,49.57375,58.222,16.34025,16.27225,2.0690852637,101.09987091
1,18.75,-0.5785955116,-35.311236187,2.311123767875,-7.2611254126,-0.2037763437,-5.1617144772,-5.702864905625,0.4957338,0.0501616948,14.17173384,370.88198784,9.2230978403,-3.625825,0.385,280.13,375.79,13.23525,13.23,12.293,57.7945,64.3295,16.3635,16.319,1.41897041255,101.084502
1,19.25,-0.607518921375,-30.0787004475,-14.9110575325,-7.954688821875,-0.251880352125,-3.162620722375,-8.38589903275,0.31680708625,0.04069084825,13.8153379375,370.2945808375,9.511352857,-3.008175,0.422975,277.9475,372.935,12.7375,12.69975,11.535,61.18525,67.71675,16.31725,16.34,0.6880680706625,101.1054766
1,19.75,-0.4939370995,-34.507358406,-11.883311089,-7.1526137009,-0.39407644375,-3.167609867375,-13.79109048125,0.192529962,0.03808242345,13.16305555,369.23862003,8.91511295995,-2.55335,0.399575,277.355,371.445,12.4515,12.437,11.25,62.56775,69.50875,16.2435,16.37475,0.23352534526,101.114620205
1,20.25,-0.527323663625,-35.9941307875,-3.623340845875,-6.855389157875,-0.509540724875,-2.4800015395,-5.523496562875,0.193026188,0.050163195875,13.2478036,369.382907225,9.19538114175,-2.5433,0.461975,274.63,368.8475,11.9695,11.93525,11.017,62.34475,70.59725,16.1645,16.3795,0.2845513086875,101.124986675
1,20.75,-0.4906954761,-34.7869316525,-2.6908290619,-6.3201354669,-0.5385602809,-1.9912160093,-6.9551575492,0.2896072114,0.0406616187,12.73826416,371.14065911,8.8364298155,-2.3925,0.401625,274.005,366.845,11.5245,11.50225,10.579,64.827,71.72075,16.0655,16.35425,0.0191961693380001,101.1820758
1,21.25,-0.4934816063,-38.909124415,-8.700958721325,-5.474381309675,-1.1451891425,-3.6178591061,-8.8872091694,0.2304632622,0.04635253,12.37441412,371.22999355,8.4611064349,-2.67925,0.487175,274.42,364.025,10.95875,10.93425,10.453,64.5835,71.536,15.986,16.319,0.44089671465,101.19789389
1,21.75,-0.487341580875,-36.9929128615,-14.05292465175,-6.2323678082,-1.142992893225,-2.8027835571,-4.8004648199,0.23087229425,0.0496964395,11.949800275,374.69159598,8.4194136341,-2.487625,0.458575,276.5275,361.83,10.56325,10.4455,10.09,64.00575,70.844,15.89075,16.288,0.3534097905975,101.1988481375
1,22.25,-0.471876179625,-35.9259181025,-23.6706657745,-4.600410487375,-1.3709151206,-3.5483047558,-5.079997420975,0.1891825315,0.052465605625,11.6654605625,374.6474295,8.9197276472,-2.449525,0.4609,278.8275,359.65,10.27675,10.18125,9.46,65.62575,72.8935,15.80125,16.267,0.32897384695,101.197278775
1,22.75,-0.511145024125,-32.7329691825,-15.5217695425,-5.9900818325,-1.852402402475,-2.6550676222,-5.445045711075,0.285213072875,0.039937894125,11.2026676625,374.44774099,8.4988494245,-2.3545,0.3098,281.9575,358.4225,10.037,9.9905,9.394,67.2675,73.249,15.7065,16.25125,0.1191948662,101.2010509625
