DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
7,4.75,-2.26354,373.2367732,0.4579754,-6.723165,8.516149,0.0256322,-31.58628,13.567,0.164012375,0.2291905,0.0314435,0.03688,0.1380745,0.1468195,10.01875,0.4048735,35.501,98.299875,15.8018,19.9075,21.30115,22.51435,22.31425,-28.352525,-71.7895,0.00279165,0.2729895,0,0.05098105,0.71275125,289.787,350.819,1.0686,-0.020162765,20.0665,22.12975,24.636,25.758,25.21525,19.6955,21.692,24.3395,25.8445,25.45725,21.96375,23.31525,24.929,25.7585,25.10825,-17.12793,-31.1790025,-20.8618025,-4.85865,-3.8275,-2.15295,-0.582175,0.1899,-74.09
7,5.25,-3.2263495,371.230224,0.4453509,-5.82098675,8.577848,0.0240314975,-28.074375,13.46909,0.14832875,0.268897,0.0281415,0.032681,0.1394665,0.137257,10.2375,0.50080825,35.311625,98.287375,15.8334,19.7416,21.126575,22.411575,22.2787,-26.877,-61.0312,5.5068825,18.22735,1.0624875,5.48922,2.719625,289.714,355.45425,19.9145,-0.02980039,19.92525,21.97875,24.4275,25.69575,25.19575,19.61325,21.53025,24.13875,25.724,25.40725,21.71225,23.04425,24.7085,25.678,25.1265,-17.214975,-31.1443625,-20.495885,-4.82245,-3.84655,-2.21175,-0.614925,0.12335,-63.5695
7,5.75,-2.74780125,368.391376,0.4510006,-5.9448,8.84014625,0.03755786,-19.6444375,13.793,0.1280365,0.187795,0.0303733,0.0403005,0.1607205,0.1479085,11.36,0.906534,33.43795,98.205725,16.0955,19.715625,20.9965,22.2915,22.2468,-23.5018,-36.82665,31.430025,68.173275,6.6998,30.69575,9.01499,289.609,367.76875,66.17175,-0.038462,20.03875,21.91925,24.24825,25.604,25.156,19.72575,21.40675,23.97775,25.5255,25.33775,21.48175,22.80325,24.49775,25.55725,25.067,-16.285745,-28.5437425,-18.9191325,-4.207775,-3.740175,-2.275275,-0.653525,0.057925,-35.8675
7,6.25,-4.78492,364.32736575,0.299470875,-3.47824,8.977110475,0.031625225,-6.6725865,14.656725,0.1707353,0.203427575,0.05339829,0.080735675,0.2053996,0.2001532,13.133925,1.916185,30.490775,98.290425,17.987075,19.845975,20.98085,22.07035,22.173,-18.63225,-4.60789,53.83125,131.68165625,18.564675,56.5883625,15.916675,292.089,385.6225,101.1675,-0.04972676,20.569,22.0995,24.11975,25.46325,25.07575,20.296,21.738,23.81775,25.26725,25.14925,21.27725,22.56425,24.258,25.398,24.95825,-13.413615,-23.1532875,-15.1667275,-3.152375,-3.25835,-2.25415,-0.64755,-0.008425,-10.7645
7,6.75,-3.908825,363.50887605,0.32741775,-7.39645825,9.24096425,0.0364701375,14.13775,15.359975,0.232190425,0.23273275,0.068638105,0.1380504,0.291512825,0.290161375,14.30265,2.576185,27.269,98.286275,19.254425,20.1501,20.972625,21.917825,22.047,-13.514,21.6517,89.7418,215.12975,30.29076,97.7778375,22.90005,294.0395,403.47375,121.8125,-0.0596591975,21.484,22.419,24.07075,25.3625,25.026,21.42975,22.348,23.7995,25.1575,25.089,21.4565,22.616,24.207,25.2595,24.88875,-8.871129,-14.7568425,-11.878065,-2.117275,-2.7162,-2.13095,-0.68215,-0.06325,6.54725
7,7.25,-3.4513375,361.14656185,0.3862928,-7.112155,9.18500455,0.0391306,31.90859,16.073075,0.30353055,0.254113725,0.0760113325,0.17367845,0.3776305,0.37973305,15.24775,3.27738,24.47585,98.3122,20.535575,20.716325,21.1965,21.862625,22.0086,-8.6717125,56.3418,110.558,334.94175,46.36372,164.76,34.130465,296.461,417.7225,139.9125,-0.0678248825,22.79125,23.15725,24.1495,25.312,25.017,22.8755,23.27875,24.026,25.14725,25.0885,21.7695,22.807,24.17825,25.20925,24.86825,-5.3914015,-7.8703905,-8.982943,-1.38225,-1.9967,-1.915625,-0.699075,-0.100725,42.04975
7,7.75,-1.185245,359.1383137,0.446222125,-4.31812,9.15105085,0.0417929375,52.4745,16.9988,0.4553541,0.35751725,0.0850080525,0.2027957,0.45295205,0.468356075,16.1397,4.27004,21.038775,98.301925,21.65735,21.36635,21.4195,21.86155,21.96985,-4.0073625,87.67915,102.20035,448.51597,59.733,208.113425,41.313,299.976,433.61,160.5675,-0.0688936775,24.0495,23.90025,24.31575,25.27075,25.0375,24.0785,24.04225,24.40925,25.166,25.12825,22.3495,23.07675,24.19825,25.18825,24.887,-2.642852,-3.34640425,-6.453798,-0.677625,-1.43045,-1.615675,-0.656325,-0.117525,38.30925
7,8.25,-1.39294875,359.0614542,0.5121274,-5.106907,9.04375675,0.04811066,73.05807,17.8194,0.5587065,0.51600275,0.10455425,0.2243405,0.531507775,0.543955725,16.977925,5.4958,19.695175,98.308175,22.814675,22.156125,21.721125,21.873425,21.955975,-0.213206,111.0965,96.39168,547.143495,80.1933,293.59975,53.8548275,304.4795,446.809,184.8875,-0.07604264,25.454,24.69775,24.48875,25.201,25.02875,25.23675,24.847,24.5995,25.175,25.12775,23.39125,23.93275,24.48175,25.15725,24.896,-1.0466125,-0.365344,-3.5702315,-0.1666,-0.91425,-1.247275,-0.615375,-0.145375,91.1835
7,8.75,-0.781655975,359.478016475,0.56799335,-5.220335,8.81626065,0.0535942125,88.68885,18.68745,0.6674603,0.7503305,0.1108,0.246883,0.581888,0.635781,18.1096,7.02255,18.91695,98.3165,23.9549,22.94565,22.16405,21.919975,21.93575,3.769695,166.955,170.6978,729.834485,107.10585,372.305,70.8282,308.423,460.481,194.3225,-0.08598667,26.55775,25.5165,24.7235,25.1615,25.009,26.33975,25.58875,24.89025,25.17575,25.10825,24.33475,24.37725,24.788,25.14675,24.8955,-0.0140929999999999,1.31988675,-0.684959,-0.0073,-0.500975,-0.9881,-0.5559,-0.172775,104.529
7,9.25,-0.887381,358.3169814,0.61355275,-2.8781475,8.6878407,0.0598388,121.70725,19.686,0.7633503,0.924847175,0.1224886,0.2655781,0.62807535,0.702276625,19.2355,8.4565975,17.1295,98.3504,25.08765,23.843125,22.561075,22.002775,21.89965,8.3037625,202.538,223.5575,821.52155,106.20355,436.0685,72.9025,312.54775,477.73375,206.7675,-0.090670905,27.765,26.393,25.0095,25.16225,24.989,27.9225,26.6345,25.22975,25.176,25.10825,25.2735,25.14475,24.95975,25.1165,24.8655,2.6979805,6.01635125,0.973273,0.90385,-0.152,-0.651725,-0.50275,-0.173375,114.187
