DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
2,11.25,-1.121246,-210.1628,-87.989505,-44.502545,1.264989,0.2262478,-11.71418,406.915875,2.62404125,0.603749,0.4227081,0.3088165,0.1816681,59.3150475,49.732995,-11.9483,51.38214
2,11.75,-0.951591,-202.8875,-113.00075,-36.9863,1.274085,0.1757615,-11.39305,410.358625,2.6105075,0.5625413,0.4786306,0.3002447,0.1629413,60.89214375,51.1066375,-11.6287,49.37066
2,12.25,-1.071696,-255.2026,-81.4712025,-37.923715,1.28181,0.2526116,-11.23119625,406.8387,2.66641325,0.718234,0.489348625,0.3589259,0.1556457,55.76383,46.745744,-11.467625,47.868995
2,12.75,-0.86043225,-253.986625,-117.1699,-26.159375,1.003749875,0.24987325,-10.91028125,408.8674,2.669,0.72911375,0.46947425,0.3827315,0.17104275,70.698681,59.274205,-11.149875,38.33832
2,13.25,-1.0415875,-248.203225,-73.0638275,-32.967995,0.832388,0.2349583,-10.63952,408.2585,2.54728125,0.6708234,0.4516263,0.296632,0.1513443,71.689101,60.10589,-10.8785,52.555995
2,13.75,-0.7576768,-276.0565,-110.7407,-38.803385,1.227941,0.2346257,-10.216367,406.284625,2.5996525,0.7224097,0.5140345,0.3354026,0.1287756,55.464111,46.50383,-10.4559,48.073415
2,14.25,-0.92505425,-193.959125,-86.56058,-30.79166,1.354649,0.255572325,-9.921946,401.553625,2.56552,0.6700307,0.4710207,0.33468295,0.130789,46.262465,38.781946,-10.1626,44.31396
2,14.75,-1.026886175,-221.78975,-47.40406,-36.512755,1.190386,0.260169625,-9.795156,408.704875,2.5626425,0.6087106,0.5435937,0.3328281,0.1441141,45.237381,37.922913,-10.0352,42.285695
2,15.25,-0.826051225,-237.46615,-100.117065,-37.27172,1.195103,0.2409551,-9.56890925,408.6695,2.5841475,0.654825525,0.4560033,0.342912725,0.1215568,41.552085,34.833564,-9.8105,40.38485
2,15.75,-0.92467165,-208.70485,-87.47633,-43.375805,1.2698985,0.28830605,-9.3370705,409.383375,2.5402325,0.65190155,0.46323235,0.36604555,0.1282593,45.75748475,38.35864875,-9.5994,41.0531375
2,16.25,-0.78951745,-163.766775,-84.92941,-52.0089725,1.2001425,0.1896815,-9.492968,408.159,2.6816775,0.5910517,0.39890625,0.32228715,0.11574625,21.97389825,18.42594025,-9.73055,43.12018
2,16.75,-0.87892615,-131.9432,-43.61275,-28.7313125,0.82809555,0.20529565,-10.021011,410.325125,2.67244125,0.5972569,0.39851695,0.29168655,0.095764,19.6364915,16.53541325,-10.24965,43.89155
2,17.25,-0.791547,-152.6368,-49.07945,-39.4432875,0.861852825,0.1991724,-11.5791925,410.9237,2.57699975,0.4780509,0.3959752,0.277148,0.100387775,5.3736578,4.570941475,-11.78185,46.3471375
2,17.75,-0.558169,-105.13125,-76.10528,-37.94294,1.101249,0.1911578,-10.8271125,410.937,2.626378,0.3502633,0.3352762,0.26755905,0.080915,1.971662575,1.654079725,-11.04255,47.84216
2,18.25,-0.6536277,-167.7873,-50.35298,-18.56353,0.92189465,0.11909705,-11.2010045,411.6384,2.667037,0.3651881,0.2579654,0.2271602,0.087585,-3.4934719,-2.845456475,-11.412,49.63579
2,18.75,-0.5768025,-116.8685,-54.59899,-29.585275,1.1249365,0.14126295,-11.5880475,409.186625,2.7014875,0.410440875,0.28319685,0.2155574,0.0875425,-4.638320425,-3.82445825,-11.800975,50.85778
2,19.25,-0.74112635,-126.501225,-43.2944375,-25.46823,1.044169,0.1406669,-11.866685,409.2563,2.726601,0.3663012,0.31046995,0.19325535,0.07733,-4.739915075,-3.916528925,-12.4194,53.32916
2,19.75,-0.64103995,-171.583415,-65.823555,-48.2927875,0.7246935,0.13715345,-11.838955,411.0457,2.6972875,0.39289465,0.27355935,0.197436,0.078845,-4.622528825,-3.876445025,-12.1003,52.9600625
2,20.25,-0.631419875,-87.99166,-44.93294,-26.79942,0.81736835,0.09573075,-11.567465,410.9211,2.738214,0.369258,0.25497985,0.1722622,0.0868275,-4.5036172,-3.709967075,-11.82715,59.9236125
2,20.75,-0.60462165,-79.9920725,-51.5608875,-22.11402,1.10041075,0.0966515,-11.341465,409.309375,2.77105,0.4305581,0.26471245,0.23423195,0.0786225,-4.5188364,-3.718477575,-11.608,57.49493
2,21.25,-0.665421475,-113.8426,-69.08259,-28.4667,0.9911995,0.126162125,-11.45041,409.38305,2.76366,0.42533395,0.291702175,0.19533255,0.0761325,-4.511157375,-3.712063875,-11.71305,59.850525
2,21.75,-0.7209212,-103.2238625,-43.916925,-21.76875,0.942266925,0.116559325,-11.9768325,404.944075,2.7938,0.387639875,0.3060231,0.19899525,0.0729575,-4.49144685,-3.76382675,-12.2245,60.93911
2,22.25,-0.70412785,-80.771505,-90.000525,-17.757355,1.0542765,0.13988875,-12.158785,408.88795,2.727222,0.3741288,0.25903575,0.2422744,0.086915,-4.383073375,-3.620769425,-12.41155,60.14395
2,22.75,-0.8939906,-101.191305,-46.279675,-48.50233,1.0328065,0.1524619,-12.479665,410.772575,2.45155,0.41536995,0.30553745,0.2334604,0.06683,-4.369587875,-3.621416825,-12.68605,57.3306
2,23.25,-0.700286,-57.729,-57.2121125,-15.03671,1.0018,0.121697,-12.650775,409.9139,2.75687275,0.384728,0.260085,0.207606,0.0701,-4.375591775,-3.609025025,-12.87285,67.23905
