DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
2,8.75,-13.57,63.79425,10.62775,201.53,23.79,86.39125,0.2565,382.1775,381.4235,379.4655,380.33025,390.425,417.739,99.5285,25.18,426.0305,445.986,158.8465,457.625,1.41125
2,9.25,-17.2175,98.63,19.648,243.1375,24.15,82.78,0.2775,375.3895,374.425,373.575,375.367,384.622,409.4825,99.547,31.03,430.22425,449.394,197.63,565,1.56
2,9.75,-21.12225,132.4375,27.35,292.4675,24.6,79.865,0.3135,374,373.381,372.37725,373.87625,381.50575,406.65425,99.558,35.8275,434.19625,452.5415,233.32,660.197,1.656
2,10.25,-23.439,154.47,30.8935,330.9,24.89,77.203,0.3405,372.07225,370.4,369.4,370.9,377.57925,402.65725,99.565,41.83,437.592,455.759,272.865,740.7615,1.8375
2,10.75,-24.92,172.405,36.607,367.6,25.335,74.5,0.341,369.684,368.666,367.415,368.6,374.7,398.8,99.5515,45.465,441.123,457.83325,301.7335,860.608,1.97
2,11.25,-24.8255,221.84,35.67475,399.115,25.625,72.7425,0.3635,368.385,367.307,366.2,367.219,371.3,396.96,99.527,48.72,442.8,460.10025,327.4825,904.9755,2.0285
2,11.75,-26.389,201.155,38.0125,413.575,25.92,71,0.3715,367.22025,365.634,364.45825,365.2255,369.8,395.675,99.501,50.28,442.582,462.255,348.65,956.151,2.12775
2,12.25,-25.938,223.31,40.42075,421.4,26.06,70.2075,0.364,366.897,365.645,364.1105,364.827,369.71,393.57625,99.46,50.345,442.999,463.04275,350.67775,930.1,2.175
2,12.75,-24.6175,221.2775,31.371,388,25.9525,68.955,0.371,366.11775,365.254,364.703,364.9,368.675,393.123,99.4235,46.22,443.901,462.374,313.7805,853.341,2.265
2,13.25,-23.8045,204.1,28.2255,347.35,25.7025,68.4075,0.3665,365.3,364.97475,364.36675,364.6885,369.6,392.5515,99.376,42.76,442.063,461.54225,301.0725,740.694,2.138
2,13.75,-22.355,179.4,16.291,290.625,25.87,67.95,0.319,365.7205,364,362.736,363.735,368.456,392.66575,99.3225,35.645,439.9835,460.786,247.3255,679.9595,2.0045
2,14.25,-20.453,142.37,11.38,244.7,25.44,68.0325,0.3015,364.2835,363.223,362.682,363.56275,368.3325,391.722,99.27125,26.8975,438.076,456.493,191.525,554.7,2.02525
2,14.75,-17.992,113.2,5.7185,209.775,25.235,68.79,0.276,365.104,363.21725,362.3885,363.583,368.2245,391.92825,99.2275,24.37,436.879,455.787,170.044,452.45,1.87
2,15.25,-16.9125,96.9,-1.511,169.05,25.105,68.61,0.2495,364.8,362.625,362.5725,362.824,367.4,392.772,99.189,20.24,433.5495,452.8835,127.86025,388.543,1.7
