DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
9,6.25,425.4875,13.293125,2.76679,0.77509125,-8.1575,-5.82375,-27.125,-1.622455,11.0181,2.94551,0.3403495,8.202395,93.0611,96.4,1.831,9.59684,0.441835,9.51,11.1825,11.38,6.88275,75.9725,3.82875,37.0775,5.95275,336.11,352.639,1.9438025
9,6.75,427.83125,13.234,2.82981,0.52231675,-7.98225,-5.83025,-23.8875,1.594645,18.2042,2.8629975,0.375721,8.578715,93.0728,95.4,2.0113,9.78498,0.349955,9.615,11.13,11.37,42.3815,193.95,8.6,101.775,16.85,336.996,354.433,1.168845
9,7.25,428.9795,13.112325,2.50051,-0.0947218,-6.57375,-5.648,-17.56125,8.4641125,22.5221,2.95633,0.424977,8.885,93.0807,94.1,2.2091,10.16195,0.39071725,9.755,11.0725,11.37,92.40775,325.875,14.58,174.925,20.81,338.292,357.497,0.71635275
9,7.75,426.411,13.06955,1.82,-0.484381,-4.047,-4.6795,-10.6275,32.5425,37.3462,3.09863,0.4798465,9.5175,93.0733,92.7,2.8070425,10.826025,0.48541325,10.02,11.04,11.37,150.97125,461.9,20.19,245.3,23.46,339.96075,361.79475,-0.137743
9,8.25,419.02375,13.19735,0.699709,-0.6183,-0.5895,-2.80875,-1.76925,71.8524,52.04095,3.3365575,0.5311145,10.39,93.0584,90.825,3.3692725,11.571225,0.49994725,10.43,11.0125,11.36,207.02725,610.65,26.07,320.05,27.0225,341.5865,367.37475,-1.144235
9,8.75,412.02925,13.4353,0.12204225,-0.6485875,2.479,-1.1825,8.68625,103.502,65.175525,3.50751,0.5718585,11.1464,93.0593,87.45,4.0880225,12.228425,0.4869555,10.795,10.99,11.37,275.655,750.996,32.28125,392.3625,31.26,342.962,373.371,-1.684815
9,9.25,407.727,13.4244,-1.4822225,-0.53950675,6.53,0.78075,23.01875,135.815,81.3839,3.65432,0.608364,11.966075,93.0538,83.8,4.8085575,13.23875,0.495257,11.14,10.9725,11.3725,331.77175,885.78175,37.995,459.5,35.825,344.23125,379.76375,-2.2008025
9,9.75,404.502,13.517975,-1.81597,-0.4683155,10.765,3.21125,39.66,166.6185,94.171825,3.6801825,0.6184695,12.71645,93.0528,80.025,5.51749,13.8731,0.527285,11.585,11,11.4025,376.473,995.25,44.21,516,41.71,344.3455,383.8875,-2.266045
9,10.25,402.681,13.5435,-2.267545,-0.411413,21.2075,5.38675,51.62,188.8265,98.2411,3.684315,0.627835,13.5475,93.045,78.75,6.23408,14.54405,0.5392885,11.9825,11.0325,11.41,414.234,1073.75,47.895,564.6,47.225,344.887,389.4075,-2.75447
9,10.75,400.558,13.47945,-2.43551,-0.3473005,19.5025,8.055,58.71,198.963,108.871,3.63355,0.630808,14.0825,93.028975,76.08,6.934845,15.1875,0.566588,12.4725,11.035,11.4225,437.32575,1150,51.71,599.325,50.7425,344.878,393.9255,-2.7546775
9,11.25,398.48,13.6017,-3.04177,-0.252999,33.4275,10.195,71.5625,210.268,120.121,3.68178,0.6360795,14.6625,93.012625,73.16,7.6414475,15.65815,0.5576005,12.7125,11.08,11.43,450.494,1178.3975,52.985,608.9,53.9975,343.33,398.792,-2.7969775
9,11.75,397.392,13.5434,-2.9134825,-0.22833775,25.8575,11.6875,106.0625,208.0415,115.895,3.64887,0.65029725,15.275975,92.99645,71.3,8.388125,16.1821,0.567403,12.9825,11.1325,11.43,454.91825,1191.1825,51.395,619.525,53.96,342.86275,401.54325,-2.725365
