DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,14.75,-0.25382125,6.3914375,11.3102,-0.31862,1.4343575,0.296195,-3.5634,401.4015,3.67007,0.755836,0.70837225,0.42232075,0.14133325,-4.35204,97.8358,20.8103,-8.31636,-13.718,1.07661,1.18324,158.328,205.6265
1,15.25,-0.2634535,1.701871,10.518575,-0.2266005,1.345435,0.281022,-4.23822,399.99325,3.6646575,0.696831,0.683294,0.380333,0.121153,-4.43288,97.8593,7.1981225,-8.1974675,-13.97355,1.049705,1.20488,117.8095,165.4925
1,15.75,-0.253029,-4.400085,9.1232975,-0.364214,1.38861,0.261543,-4.118875,399.95325,3.5944925,0.665026,0.62647,0.3424355,0.1091155,-4.57133,97.981175,8.0721425,-7.96111,-13.738175,1.02331,1.20944,77.106,130.4705
1,16.25,-0.2082855,-14.499,4.130845,0.069,1.28831,0.23608475,-4.5253125,399.885,3.48766,0.56778725,0.53699925,0.315354,0.098325,-4.79684,97.98965,0.29809575,-7.8875475,-13.757025,0.99894975,1.22929,35.9973,87.85175
1,16.75,-0.229798,-22.0078,5.08568,-0.037175,1.23469,0.208849,-4.56394,399.717,3.6027925,0.572002,0.499242,0.294644,0.0936,-5.02695,97.9734,-7.38753,-8.03623,-13.7803,0.998826,1.23498,21.8585,50.41145
1,17.25,-0.214334,-28.813,0.689277,0.062675,0.940004,0.180326,-4.78333,399.50275,3.59389,0.432758,0.366788,0.214505,0.0829,-5.46932,97.9746,-28.3947,-8.03404,-13.887,1.00585,1.2407,5.18272,15.0599
1,17.75,-0.16487875,-33.31415,0.20813875,0.00982,0.8938175,0.13645825,-4.71723,398.838,3.585825,0.37967125,0.33770225,0.199232,0.09843175,-5.5491925,98.0272,-33.46305,-7.99133,-14.2841,1.0105675,1.2382,0.0902,1.722136
1,18.25,-0.20208525,-38.8292,0.61974525,-0.05050925,0.8461845,0.14615,-4.6173825,398.97525,3.527085,0.37744825,0.30008575,0.2011415,0.0925,-5.7738475,98.0139,-32.256675,-8.0510775,-14.2552,1.0179525,1.23466,-0.16834,-0.313925
1,18.75,-0.17866925,-39.21105,0.0264,0.085425,0.616609,0.10040575,-4.613065,397.33775,3.38778,0.31977625,0.3252435,0.178575,0.10904925,-5.9036425,98.017625,-26.199,-8.071615,-13.959425,1.0267725,1.23061,-0.165479,-0.361931
1,19.25,-0.2080685,-39.9649,-0.414966,0.09575,0.701779,0.09695,-4.949565,397.6625,3.25333,0.3273855,0.2927575,0.1669225,0.110488,-6.428205,98.01295,-22.701775,-8.1097625,-13.939225,1.0346625,1.22919,-0.1312085,-0.3536595
