DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
3,23.75,0.17825,-2.155,-1.725,0.0665,0.3495,-53.9925,0,0,-0.69,70.575,0.86,90.5,-6.899,1.86525,0.535
4,0.25,0.1695,-15.72,-0.62,0.061,0.605,-58.08,0,0,1.0425,69.135,1.085,90.52525,-11.464,4.50225,6.2165
4,0.75,0.178,-7.73,-0.64,0.048,0.546,-57.12,0,0,0.6375,70.125,1,90.5,-11.7425,4.19425,6.25025
4,1.25,0.296,-13.23,-0.65,0.05,0.347,-55.68,0,0,0.165,70.925,0.85,90.5,-11.904,3.89475,6.09225
4,1.75,0.1565,-7.5,-1.93,0.05675,0.397,-55.47,0,0,-0.08275,71.975,0.71,90.425,-11.8415,3.53925,5.87875
4,2.25,0.4075,-12.09,-0.13,0.054,0.443,-53.0125,0,0,-0.12,73.05,0.69,90.425,-11.7905,3.2435,5.76075
4,2.75,0.37,-6.98,-1.27,0.061,0.481,-53.6,0,0,-0.5225,74.35,0.6,90.425,-12.15,2.94475,5.6675
4,3.25,0.34425,-11.35,-0.32,0.0535,0.52175,-49.555,0,0,-0.9275,74.725,0.575,90.45025,-12.39625,2.78625,5.6245
4,3.75,0.381,-4.88,0.62,0.045,0.6075,-48.8,0,0,-1.0175,74.55,0.52,90.35075,-12.39825,2.6195,5.64775
4,4.25,0.569,-3.99,1.6075,0.04875,0.51025,-48.79,0,0,-1.3275,75.025,0.4,90.35075,-12.5665,2.51375,5.5585
4,4.75,0.1635,10.7525,11.2725,0.04975,0.5865,-49.1675,0,0,-1.5215,74.525,0.44,90.376,-12.76,2.4955,5.5235
4,5.25,-0.637,18.03,30.6975,0.056,0.64,-44.2175,0,0,-1.5375,73.525,0.41,90.376,-12.86025,2.41475,5.48775
4,5.75,-1.24275,46.9975,34.27,0.055,0.55,-29.295,14.4075,6.0245,-1.745,74.7,0.35,90.376,-12.7925,2.18375,5.4635
4,6.25,-1.863,70.055,37.7875,0.055,0.73525,-10.8625,55.4475,19.5025,-1.5,74.125,0.35,90.376,-12.60775,2.0505,5.41
4,6.75,-2.293,85.08,47.7275,0.061,0.462,2.63925,92.9,28.01,-1.295,73.55,0.435,90.376,-12.27025,1.94675,5.33275
4,7.25,-2.408,122.69,60.9875,0.049,0.4585,24.415,142.8,44.765,-0.595,70.975,0.6675,90.45025,-11.41925,1.801,5.20975
4,7.75,-4.076,142.335,74.8075,0.072,0.28275,94.825,317.475,176.2,0.925,68.235,1.18,90.45025,-9.31775,1.818,5.028
4,8.25,-5.5545,156.9525,85.395,0.116,0.184,119.55,379.7,281.8,2.5675,61.3075,1.9675,90.52525,-5.15725,3.1995,4.58175
4,8.75,-6.585,135.73,72.075,0.125,0.21525,185.65,539.675,297.475,3.54925,54.1,2.5175,90.5,0.9455,5.7095,3.9435
4,9.25,-7.401,179.1925,88.485,0.151,0.3145,230.9,625.525,390.875,4.2975,48.75,2.94,90.5,3.4775,7.323,3.35575
4,9.75,-7.9745,153.61,79.0575,0.1795,0.53775,223.975,634.95,441.575,4.87725,43.2375,3.245,90.52525,5.74925,7.695,3.5575
4,10.25,-6.847,155.22,71.6775,0.22825,0.854,289.6,788.75,605.125,5.4745,39.6825,3.6225,90.45025,8.3655,8.6175,3.82375
