DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
5,9.25,426.66275,0.170636913154803,18.042775,9.72058102114879,21.870425,-0.6332985,91.99415,29.83925,127.55875,8.4124775,98.88735,24.7682500000001,-0.14155025,0.62077575,1.36481292275531,1.14044826918259,0.738742779352926,4.764725,394.135,445.0005,658.5685,97.284775,447.759
5,9.75,422.42125,0.172329416718406,17.8921,10.715829729469,27.773475,-0.16975275,125.57,26.525875,169.94675,10.64,98.882325,25.224,-0.1431235,0.623713,1.32993125346924,1.14329854264829,0.781864289178586,5.0515625,388.45525,454.70025,740.037,114.24525,512.257
5,10.25,416.335,0.121318275776873,18.0741,11.481419772833,17.3686,-0.566235,130.86,21.08595,167.53125,7.363975,98.88105,25.53975,-0.18259575,0.67445525,1.44850302035901,1.24284632277652,0.824222559592656,4.9218575,395.45325,461.9365,812.91675,125.78675,569.703
5,10.75,415.2015,0.127027949680375,18.0784,12.2423388172481,16.5342,-0.2410865,152.548,18.5734,193.1515,7.70479,98.8739,25.9040000000001,-0.155133,0.688829,1.4884287016851,1.37533995797403,0.856861715797829,5.02702,394.016,469.56325,850.658,134.87775,593.702
5,11.25,413.49025,0.104359491690364,17.88225,12.2890700035449,17.67435,0.10729585,161.7985,18.524075,216.9195,6.63791,98.876,26.32175,-0.23424475,0.718415,1.52986069331772,1.48484807903324,0.862009801015872,5.0377825,395.827,474.09,876.79,141.032,630.237
5,11.75,411.049,0.0957936471627149,17.4989,12.3915015102728,18.8064,-0.045551225,183.26975,17.9308,218.8015,5.41927,98.8577,26.443,-0.217508,0.715708,1.52100953317197,1.46155054650874,0.893614010633226,5.36741,392.793,477.95,907.47,146.186,650.953
5,12.25,411.0665,0.103450942880448,17.515675,12.00720616963,15.507125,0.10420225,175.65225,17.730975,233.5285,4.4066175,98.856,26.902,-0.202368,0.72091,1.62585977255113,1.54742043414193,0.887927925002925,5.28713,398.22175,481.64925,918.7715,148.7995,653.864
5,12.75,410.241,0.084509344540743,17.2337,12.1787050934895,14.2029,0.2810445,175.6755,16.4261,213.195,4.79457,98.83795,27.14375,-0.24113225,0.72259625,1.61256536701018,1.51366932580646,0.889945637758044,5.3153125,398.83,486.797,921.403,141.703,669.057
5,13.25,410.532,0.0948078386719123,17.109375,12.4163614489242,20.450275,0.953839,171.761,17.1374,213.506,4.82906,98.818875,27.3715,-0.23848725,0.72280525,1.60583653414259,1.56337494303228,0.902979128129992,5.13654,403.51,487.364,882.09225,136.94575,639.6645
5,13.75,410.148,0.101656636965291,17.0043,12.2969693336949,20.9843,0.1859675,167.205,15.255425,209.401,10.6999,98.797,27.4160000000001,-0.190573,0.726919,1.68806977454024,1.6150356082656,0.92559640832445,5.314025,402.762,493.08925,846.79275,136.26825,625.64175
5,14.25,410.63675,0.106707168207599,17.0854,11.8069894554031,20.7785,0.588374,171.528,13.4975,203.619,8.7051575,98.7873,27.522,-0.234933,0.736389,1.68710995492291,1.54634084211729,0.905239194909279,5.52257,403.16025,497.85825,877.022,138.2885,626.96475
5,14.75,409.9875,0.119763479126789,17.14,12.1686898314036,21.54565,0.73678775,150.0185,12.8426,207.418,7.99864,98.768125,27.85575,-0.23219125,0.7410105,1.64393876978577,1.63960811681592,0.907499093332244,5.54209,405.65725,489.99225,817.41775,127.225,561.61025
