DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
2,6.25,0.0298,-16.3472065135,0.073,-0.8683,-65.114,-0.3989,3.411242539625,420.001968,-4.956933267,197.82666436,-0.74414168175,54.7259993685,0.6,97.7615
2,6.75,0.028775,-16.084198051,0.125,-0.52075,-75.100675,-1.43015,3.562404302475,420.8967921,-4.411166658625,197.133329975,-0.9298000098,53.72500033125,0.6,97.8014
2,7.25,0.0197,-15.99720859425,0.081775,-0.32,-57.7144,0.3784,3.553625403525,420.7753137675,-2.72358329575,197.62083375,-0.4162666634,55.6345000155,0.6,97.8202
2,7.75,0.0341,-15.762641925,0.1254,-0.6613,-55.487525,-2.39055,3.66459367565,420.95107969,2.249708370875,198.3916667,0.3660000014,54.90866688,0.6,97.8349
2,8.25,0.022,-15.2104270885,0.138,-0.196,-48.800875,-0.2864,3.7868799522,420.9820013,6.740541741625,198.9916641625,0.89650001555,56.77266667,0.6,97.7777
2,8.75,0.042675,-14.2766208385,0.263175,-0.0338,-23.2183,-0.0254,3.8744352256,421.36777106,13.01749995875,200.566665,1.76341665655,55.06083325,0.6,97.7574
2,9.25,0.0324,-13.03376979065,0.2469,-0.31425,-9.779525,-3.29965,3.835971288675,421.3785660725,16.325417,201.63333375,1.603316678,55.34708260925,0.6,97.7781
2,9.75,0.056925,-11.9643093675,0.236125,-0.44725,-8.583,3.03755,3.97023415415,421.055776275,21.9404163775,203.8000033,3.395666673,52.7553332,0.6,97.5727
2,10.25,0.077,-11.17871253015,0.33225,-0.3408,-22.4566,3.3284,3.834712093,421.55017978,28.5941662525,208.745837475,3.5953999802,39.460000534,0.6,97.594725
2,10.75,0.0675,-10.24971456615,0.51275,-0.7236,-15.5256,6.6924,3.649338197,421.11585402,42.6833329975,211.8958303875,5.56066666,36.1489158,0.6,97.5511125
2,11.25,0.04565,-8.832373943825,0.599375,-0.094375,-13.4908,4.096225,3.6469728466,420.550063005,39.86083204125,214.57499955,5.64054993015,34.66,0.6,97.552175
2,11.75,0.07665,-7.78759684015,0.6439,-1.21945,-26.273,9.558125,3.930743659425,420.247341425,42.657916705,216.6458333375,7.32574992515,35.0010849615,0.605,97.4636375
2,12.25,0.07245,-7.135936512,0.605,-0.832,-30.9869,9.7435,3.78574167455,419.8518480625,48.989166955,217.154169975,5.7042999575,33.00666667,0.6,97.3660125
2,12.75,0.074,-6.9806166925,0.36665,-1.26875,-48.583475,10.81915,3.8529821168,419.889245345,45.53516738,217.5299967,7.64296658995,32.81999967,0.6,97.261125
2,13.25,0.07,-7.45322709625,0.4499,-0.7112,-37.1419,5.6788,3.8953312064,419.325811,49.9084999495,217.2050052,6.335091677,32.80333333,0.6,97.161475
2,13.75,0.0664,-7.57121253875,0.39765,-0.483,-8.6091,14.5502,3.8766536874,419.08983306,39.0100000025,217.39166705,6.538658381025,31.40241633325,0.67,97.1073625
2,14.25,0.0754,-8.225593735,0.5804,-0.5194,-43.688,18.7862,4.0169789542,419.33815512,31.244999875,216.9916633375,4.258333333475,30.166666,0.34,97.0927375
2,14.75,0.0915,-8.9642499339,0.415375,-0.484125,-67.6875,17.95025,3.8531544965,419.2249448875,27.6395832525,218.4333358,3.998875081025,28.78458333,0.3,97.0831875
2,15.25,0.0688,-8.88944787075,0.3844,-1.070325,-23.34185,8.771375,3.82574597265,418.89522785,21.62874966625,218.4291641625,2.557158328,28.900417005,0.3,97.0689125
2,15.75,0.0523,-8.822591666925,0.187975,-1.8428,-17.517675,3.381875,3.748087999175,419.1261138825,15.0249999975,223.15416875,1.751908354975,27.116,0.2805,97.0629
2,16.25,0.0509,-8.6519457414,0.28025,-0.320875,-108.7671,-1.08925,3.473705769,418.837124575,9.543333333625,224.5374971125,1.57389166325,26.9896666865,0.246125,97.1605125
2,16.75,0.0461,-8.929562528025,0.239225,-0.242875,-128.5337,2.517375,3.5462435498,418.29311336,7.30225006495,206.578336945,0.6720333475,27.6365836385,0.235,97.2862375
2,17.25,0.036225,-10.0842999814,0.454325,0.3717,-117.690325,0.1986,4.0552876142,419.72317514,2.7557166769,209.368330495,0.111958337025,28.594417,0.22,97.2621625
2,17.75,0.0364,-10.33994998875,0.192625,-0.63985,-95.19875,-3.300075,3.5588103486,418.933977975,-1.64253333645,203.93500281,-0.44351666875,32.333334,0.268375,97.187425
2,18.25,0.03775,-10.341562492575,0.29645,-1.14355,-98.373975,-4.9983,3.496835875325,419.4788229325,-4.720199943,206.4600038,-0.771641667725,34.65883365825,0.2675,97.2336375
2,18.75,0.037875,-9.80596875735,0.2621,0.04235,-120.65805,-3.30675,3.52482846775,419.6989440025,-5.402233405,206.104999,-0.607216664475,36.56916717,0.29425,97.279875
2,19.25,0.043225,-9.58911450635,0.180225,-0.466275,-73.89375,-6.642325,3.49361896125,418.92550478,-5.1811333064,204.79999967,-0.766041671725,42.8294999995,0.3,97.3197125
2,19.75,0.0292,-9.65618540375,0.1132,-1.10775,-54.354875,-5.198875,3.534496166125,419.399749225,-5.311358299975,208.0491574475,-0.345874988275,42.8789998195,0.3,97.3353125
2,20.25,0.039875,-9.7800083075,0.222375,0.148625,-55.3731,-2.940625,3.57080617425,419.41992025,-5.0413666595,206.25832405,-0.5133333322,45.36591612,0.328875,97.3392125
2,20.75,0.0433,-9.6431271226,0.2302,-1.0284,-43.36535,-3.6556,3.4670461996,419.58859846,-4.92749998725,204.3000033375,-0.442166677375,46.905332136,0.38,97.3582125
2,21.25,0.03905,-9.34171664135,0.195575,-0.591625,-47.36485,-0.825375,3.3699224148,419.52374198,-5.040333283625,203.05832955,-0.507375015625,46.136665936,0.38,97.3176625
2,21.75,0.0375,-9.37621871125,0.17885,-0.747125,-53.7773,-17.4432,3.3929018463,419.70618068,-5.123958325,202.7375028875,-0.28156666205,45.491498755,0.383375,97.3927625
2,22.25,0.02825,-10.08028125,0.11395,0.00879999999999995,-65.88825,-2.9148,3.3962007076,419.6546001,-4.8557333664,201.91666364,-0.457666665,47.646998999,0.416,97.4283
2,22.75,0.026025,-10.99625625,0.1145,-1.0378,-38.69695,-1.5356,3.3977441946,419.48846018,-4.9112333033,201.7633327,-0.28629999555,46.5253339,0.44,97.4673875
2,23.25,0.0424,-11.71526875,0.152825,-0.74275,-49.3194,-1.340375,3.582039225875,419.5742727375,-4.7652666264,201.8600057,-0.370150001475,49.510749005,0.435,97.4185
2,23.75,0.0274,-12.3462625,0.1364,-0.270625,-50.27335,-1.389625,3.3913028981,419.61683811,-4.7215667003,194.15333064,-0.372849992025,52.2201655645,0.451,97.4452375
3,0.25,0.040375,-9.59782287265,0.1926,-0.7652,-67.1256,-0.393875,3.62716498755,419.156323995,-5.0366667,207.4333333,-0.161874996675,50.06333267,1.49875,97.8644375
3,0.75,0.0308,-9.957986429825,0.1696,-0.5705,-69.284625,-4.639,3.598242675625,419.195455625,-4.7256667,206.7000033,-0.250141664925,52.056666,1.55125,97.8961875
3,1.25,0.0258,-9.66531041595,0.1437,-1.4689,-55.79705,-3.0672,3.95798305975,419.39601195,-4.872333367,207.6000033,-0.2050000015,50.5235,1.581625,97.936625
3,1.75,0.032075,-9.961634417875,0.173775,-2.307,-64.4588,-1.331125,3.7107825738,419.42049234,-4.747666667,207.8999967,-0.1205,52.4409996865,1.57425,97.9494125
3,2.25,0.023,-9.969303155,0.1269,-1.1231,-70.8542,-0.8428,3.986943470075,419.55030133,-4.768666767,209.16667,-0.092166665,54.4581659865,1.57425,97.96735
3,2.75,0.03625,-9.90393647865,0.1652,-2.300575,-51.6173,-4.3682,3.762992493,419.7015344,-4.896999867,208.8333367,-0.1141666585,56.877333003,1.545375,97.959825
3,3.25,0.027125,-9.8925916919,0.15875,-2.78815,-59.846375,-2.52285,3.6754919285,419.68499555,-4.493666633,207.9666633,-0.139999993,54.6428342665,1.532125,97.9595
3,3.75,0.036,-9.982611422075,0.0897,-0.812975,-61.9695,-3.124525,4.2368508256,419.36938512,-4.574000033,211.5666633,-0.0806666665,54.309165747,1.504125,97.9498125
3,4.25,0.03245,-10.28522084,0.123225,-0.1202,-63.6396,0.1412,4.0693776535,418.93537769,-4.575666767,207.6,-0.065166667,54.34233205,1.5,97.9325875
3,4.75,0.0327,-10.5991031265,0.098425,-1.1721,-47.08635,-2.024025,4.64713772295,419.112780495,-4.541000067,207.7333233,-0.138499998,56.04516815525,1.5,97.9014625
3,5.25,0.032475,-10.47570208925,0.10835,-0.0785,-52.123575,-1.608875,4.668697255,419.0476075,-4.442333367,207.76666,-0.164166667,57.55691635525,1.5,97.92185
3,5.75,0.0342,-10.3551020885,0.122,-4.8462,-42.3145,-12.0118,4.6446561072,418.846,-4.424333367,207.46667,-0.203,59.056000233,1.5,98.0207
3,6.25,0.03145,-10.29568854425,0.133175,-2.814,-46.8311,-2.23025,4.038732148875,417.09667605,-4.298000033,207.8333333,-0.288333333175,58.8169998,1.5,97.9937125
3,6.75,0.027025,-10.196817739825,0.12,-0.6147,-25.41705,-5.16915,4.129057101675,418.64224769,-0.688333333,207.63334,0.1755,57.58916675,1.5,97.958125
3,7.25,0.0321,-10.020660438,0.116625,-2.506,-27.503,-2.3382,4.1475168274,418.80059754,4.115000033,208.26667,0.601,54.451000264,1.5,97.9656125
3,7.75,0.03825,-9.8954520774,0.1422,-2.38865,-33.438375,0.8615,4.1951828837,416.305564535,9.7566668,210.4,1.73933335,46.70858398,1.5,97.9917875
3,8.25,0.0451,-9.363436456025,0.203325,-4.108475,-22.461325,3.56195,4.703880253925,417.0165160075,14.49666653,212.2,2.6091666835,44.91999933,1.5,97.9895875
3,8.75,0.053625,-8.76388647615,0.322825,-4.1155,-16.461,2.2085,4.12705930385,416.871816005,24.76666733,214.6,2.75716665,41.64399870325,1.5,97.9420375
3,9.25,0.0522,-6.842466685075,0.58665,-6.00555,-3.198425,12.17955,4.1025296541,414.943958665,43.77666733,217.83333,5.974999933,40.5804993335,1.5,97.9236625
3,9.75,0.0373,-5.688013535175,0.461325,-4.36895,-24.5559,14.08205,4.022027508925,417.99627909,50.61000033,221,8.442158282325,38.091667203,1.504625,97.9284625
3,10.25,0.073,-3.68160001815,0.311,-3.2007,-20.49675,14.733975,4.162839164525,414.2034657625,59.22666667,222.5666633,7.74234994815,38.499999125,1.504875,97.937775
3,10.75,0.060425,-2.7597208726,0.264925,-4.9875,-20.1774,13.345,4.075014038,412.98942205,63.306666,225.2000033,7.68068321815,35.9743331,1.504875,97.9198
3,11.25,0.0796,-2.6335781325,0.323,-5.620775,-11.02855,9.830975,4.0402792661,414.2350706925,54.85999933,226.8,5.85138326985,35.39883415,1.535,97.889125
3,11.75,0.0999,-2.33999479385,0.371225,-5.58665,-2.969975,11.28915,4.108809140925,415.9682514975,51.84349966675,228.402503365,6.3320166783,31.63700052,1.419375,97.8707625
3,12.25,0.0596,-2.2067187418,0.50235,-6.84675,-2.342,22.3252,3.82498464075,416.191694465,54.29950127825,229.7750002175,6.71234993685,29.42583343,1.5,97.8496125
3,12.75,0.0614,-1.689188558775,0.46985,-7.674225,-16.215875,13.55255,3.828472269475,415.8702751925,62.1668346135,232.05166995,8.3073416805,27.53625027225,1.6,97.880075
3,13.25,0.082375,-2.2834531262,0.463875,-6.571,-4.2439,19.0755,4.231560468,415.69813965,58.19799935325,231.8908267825,6.704958376525,25.4219996,1.585375,97.90505
3,13.75,0.090275,-2.08675727965,0.38835,-6.0183,-5.07365,16.1442,3.9774387672,412.9870936025,55.65641866675,232.138326885,7.516066713,24.84658392425,1.6,97.9116375
