DOY2,HR2,TAU,H,LE,FC,FCH4,WS,USTAR,T_SONIC,CO2,H2O,CH4,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,PPFD_IN_1_1_1,RH_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1
1,13.25,-0.0625749,85.86955,69.1724,-0.81783,-1.46426,2.55339,0.22665,19.6782,427.0585,9.46796,2079.78,0.756767,0.797429,0.329691,0.530643,101.971,313.066666666667,397.62,97.89,1004.3,62.3343333333333,4.51508333333333,21.4623333333333,29.6376666666667,485.086666666667,58.9656666666667,15.2276666666667,10.7566666666667,10.4163333333333,9.95,10.329,11.69,12.4206666666667,13.4643333333333,11.64,10.368,9.93566666666667,10.1073333333333,10.821,11.8803333333333,10.894,10.27,10.0053333333333,10.285,11.5176666666667
1,13.75,-0.0678198,72.5745,73.3855,-0.4292065,-3.99055,2.29759,0.237414,19.7099,425.871,9.85316,2070.63,0.748751,0.78123,0.331271,0.487701,101.924,311.845,396.58,100.556666666667,947.466666666667,60.603,7.8474,21.599,28.299,461.585,56.799,15.252,10.9643333333333,10.565,10.0556666666667,10.3683333333333,11.689,12.4416666666667,13.6273333333333,12.128,10.484,10.0073333333333,10.1336666666667,10.816,11.946,11.0756666666667,10.4856666666667,10.1876666666667,10.294,11.5246666666667
1,14.25,-0.0870684,68.8719,69.92445,0.25155,-0.795152,2.42311,0.260919,19.58845,424.345,10.02968,2062.285,0.845171,0.8291795,0.347565,0.464319,101.886,312.903888888889,396.22,92.89,850.536666666667,60.2838333333333,8.2889,21.641,26.27,415.853333333333,57.5781666666667,15.1423333333333,10.943,10.6683333333333,10.2216666666667,10.3853333333333,11.6856666666667,12.402,13.7366666666667,12.2683333333333,10.608,10.137,10.1683333333333,10.8133333333333,12.0383333333333,11.226,10.7856666666667,10.346,10.32,11.5286666666667
1,14.75,-0.0805313,61.9198,61.3858,0.258037,-2.24078,2.69604,0.2589095,19.6119,425.999,10.0658,2056.52,0.8205805,0.770196,0.343312,0.3684995,101.926,313.58,394.235,75.3006666666667,718.696666666667,61.9171666666667,10.7386666666667,19.0741666666667,22.5686666666667,346.131666666667,52.0325,14.922,11.0706666666667,10.8233333333333,10.3271666666667,10.4331666666667,11.7236666666667,12.4423333333333,13.7675,12.3571666666667,10.742,10.2886666666667,10.2121666666667,10.8633333333333,12.0856666666667,11.3285,10.91,10.5781666666667,10.3535,11.5345
1,15.25,-0.0781784,45.3919,52.5778,0.187432,-3.56529,2.3026,0.246374,19.618,425.251,10.027585,2053.62,0.762519,0.735864,0.324215,0.362353,101.896,311.77,393.178333333333,65.5513333333333,571.985,62.7065,12.4346666666667,16.7991666666667,19.9841666666667,281.225,49.3385,14.9838333333333,11.1765,10.9283333333333,10.4225,10.4748333333333,11.7123333333333,12.4258333333333,13.3816666666667,11.8983333333333,10.7966666666667,10.3761666666667,10.2191666666667,10.836,12.0475,11.4248333333333,11.0108333333333,10.6913333333333,10.4081666666667,11.5273333333333
1,15.75,-0.0686732,23.3573,35.95775,0.6914215,-4.516025,2.18392,0.238173,19.4852,423.797,10.17675,2046.195,0.691181,0.646761,0.293379,0.26778,101.904,307.383333333333,388.366666666667,40.164,409.508333333333,66.5253333333333,14.82,13.5725,16.0258333333333,205.053333333333,27.0846666666667,14.4475,11.2445,10.9945,10.4995,10.5056666666667,11.6983333333333,12.4226666666667,13.0626666666667,11.8243333333333,10.8051666666667,10.4618333333333,10.2348333333333,10.8411666666667,11.9321666666667,11.4138333333333,11.0908333333333,10.7813333333333,10.4396666666667,11.5296666666667
1,16.25,-0.0489182,3.72255,21.95725,1.37307,-2.11564,1.918715,0.196999,19.25145,425.712,10.7735,2053.43,0.6489425,0.5938775,0.2468865,0.1934625,101.943,305.528333333333,383.811666666667,16.7138333333333,236.725,71.394,14.2248275862069,10.1463333333333,10.8829166666667,118.230166666667,11.6019166666667,14.119,11.2178333333333,10.9883333333333,10.5766666666667,10.5318333333333,11.6971666666667,12.43,12.4421666666667,11.6558333333333,10.805,10.5293333333333,10.2663333333333,10.8801666666667,11.6141666666667,11.397,11.1398333333333,10.8696666666667,10.4635,11.5296666666667
1,16.75,-0.0216568,-7.14574,14.5993,1.960205,4.00619,1.254495,0.1285375,18.97605,426.3645,11.3083,2055.27,0.584043,0.6097395,0.188815,0.254937,101.935,304.873333333333,377.473333333333,5.36318333333333,76.7568333333333,77.871,12.05,7.22263333333333,5.95566666666667,37.3658166666667,3.78628333333333,13.3591666666667,11.1168333333333,10.9508333333333,10.6305,10.5735,11.7051666666667,12.437,11.5543333333333,11.2738333333333,10.725,10.5755,10.3141666666667,10.8938333333333,11.2101666666667,11.2473333333333,11.1388333333333,10.9348333333333,10.5006666666667,11.5415
1,17.25,-0.0266388,-14.72045,9.72847,3.372975,3.5468,0.923367,0.1196805,18.6891,429.277,10.624,2045.095,0.5059985,0.5123605,0.1523845,0.4105635,101.957,304.36,368.335,0.641883333333333,9.4026,79.9518333333333,8.60036666666667,2.49583333333333,-0.3871,0,0.8729,12.6733333333333,10.9503333333333,10.909,10.661,10.606,11.7075,12.4443333333333,10.599,10.7108333333333,10.5968333333333,10.5946666666667,10.3446666666667,10.8883333333333,10.7848333333333,10.9753333333333,11.0715,10.9608333333333,10.536,11.5485
1,17.75,-0.0127012,-12.1522,5.09846,2.445545,4.87155,0.5737435,0.106591,17.6464,436.906,10.5463,2063.27,0.5031385,0.472933,0.126486,0.5068245,101.97,299.39,364.048333333333,0.0160333333333333,0.2468,82.3231666666667,5.70875862068966,-2.96796666666667,-5.21983333333333,0,0.747433333333333,11.4296666666667,10.805,10.824,10.6511666666667,10.6396666666667,11.6985,12.4316666666667,10.1163333333333,10.15,10.4236666666667,10.5655,10.3565,10.8831666666667,10.5098333333333,10.6836666666667,10.9608333333333,10.9543333333333,10.5635,11.5476666666667
