DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
12,18.75,-0.504296,-1.32810175,-17.547871,10.168,401.52848675,2.399573,1886.994,0.07440925,0.41763025,-13.12213625,-13.3425,78.6275,95.5831775,1.5195,0,11.556,11.927,1997.595,1988.4425,-1.295,3.34775,4.87325,5.10125,5.8005,8.13,8.3325,0.11675,253.314766475,263.86435865,-22.47632512
12,19.25,-0.514403,-1.292503,-17.65681325,10.236,401.4688185,2.3779,1880.0485,0.07688,0.432357,-13.351745,-13.5775,78.995,95.57768,1.5165,0,13.3965,12.811,1988.547,1989.40125,-1.315,3.34625,4.872,5.101,5.8,8.1225,8.3325,0.1365,253.105916825,263.294979425,-22.47632512
12,19.75,-0.54369575,-1.209209,-15.02147,9.207,401.660287,2.28466275,1879.016,0.071172,0.38442275,-13.49974,-13.7675,79.4425,95.562267,1.514,0,13.32225,12.059,1996.2765,1989.444,-1.289,3.34675,4.871,5.1,5.79825,8.1225,8.33,0.10575,251.482561075,261.21313365,-20.1175
12,20.25,-0.546968,-1.367277,-15.2996465,8.676025,401.794105,2.2644815,1882.269,0.0801,0.402542,-13.585377,-13.9275,80.125,95.55890375,1.51225,0,13.4405,14.0815,1992.8585,1986.0795,-0.90075,3.346,4.87125,5.09425,5.79725,8.1225,8.33,0.04425,250.934696975,261.85935045,-18.2
12,20.75,-0.526832,-1.361935,-17.0450825,9.036,402.441743,2.31799125,1880.12075,0.0745435,0.4334175,-13.82938325,-14.1575,80.15,95.57214425,1.5105,0,13.325,13.67,1991.2275,1986.104,-1.07975,3.3475,4.871,5.09175,5.7935,8.1225,8.3325,0.04,249.93873095,261.3718026,-13.5025
12,21.25,-0.4988765,-1.2074335,-17.68986975,10.387,402.58621375,2.24012125,1882.477,0.076363,0.422794,-14.00326875,-14.085,80.2,95.5560655,1.511,0,13.8295,11.7775,1992.72625,1986.617,-0.9265,3.34725,4.871,5.09075,5.78875,8.115,8.3325,0.112,251.135284675,261.390940425,-11.61
12,21.75,-0.474635,-1.13545,-14.259121,9.495,402.68882475,2.24402575,1883.54,0.0758,0.427587,-14.070522,-14.27,81.2,95.5477575,1.51025,0,12.49275,11.795,1977.555,1991.041,-1.058,3.3465,4.86725,5.09,5.78475,8.115,8.34,0.06825,252.52499175,259.93143765,-10.3925
12,22.25,-0.51752825,-0.95788825,-13.707979,9.308,402.2728215,2.27065125,1885.94,0.078653,0.4658765,-14.04836725,-14.49,81.5,95.54937875,1.50675,0,12.693,10.126,1984.59675,1992.196,-0.901,3.34725,4.86225,5.08925,5.78425,8.115,8.34,0.0815,252.890083075,259.17096095,-10.58
12,22.75,-0.446052,-1.533161,-14.5571555,9.72575,402.4688855,2.264504,1886.04725,0.083436,0.51628075,-14.0267975,-14.46,81.425,95.568391,1.50425,0,14.348,14.387,1991.62125,1986.78775,-0.946,3.3475,4.8585,5.089,5.7825,8.115,8.3325,0.08775,253.58311855,258.699939475,-9.565
12,23.25,-0.465863,-0.919334,-11.459867,10.121,402.720853,2.2168095,1884.59,0.0845615,0.5587645,-14.00175,-14.485,81.7,95.570988,1.50325,0,10.5585,12.46775,1987.48,1989.435,-0.738,3.348,4.855,5.089,5.78175,8.1125,8.3325,0.0605,249.9444004,258.281608925,-10.57
12,23.75,-0.42064875,-1.6735995,-13.92781375,9.01875,403.0448015,2.13548725,1886.32575,0.07943025,0.4844555,-14.1050335,-14.64,81.4,95.5725235,1.503,0,14.38825,13.16325,1982.6465,1987.335,-0.896,3.34725,4.8535,5.089,5.78175,8.1125,8.3325,0.02875,251.123516125,257.39188355,-11.11
