DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
2,12.25,-5.729,-6.102,-4.332,-7.063,101.9849,81.6,-20.62,-20.1,66.73,81.8,38.52,51.23,178.7,209.1
2,12.75,-5.674,-6.151,-4.331,-6.679,101.9629,81.7,-20.44,-22.617,74.29,102.1,49.66,55.85,182.9,212.5
2,13.25,-5.554,-6.318,-4.331,-6.512,101.9794,81.6,-20.43,-24.77,76.24,107,53.85,59.14,177.8,211.8
2,13.75,-5.417,-6.61,-4.326,-6.364,101.968,81.9,-20.47,-22.98,78.86,109.5,59.84,56.88,186.3,210.7
2,14.25,-5.28,-6.498,-4.26,-6.216,101.9439,81.4,-20.46,-15.63,76.17,102.9,58.91,55.21,187.3,213.8
2,14.75,-5.2615,-6.427,-4.108,-6,101.99065,82.05,-20.18,-14.99,69.595,94.5,50.025,46.26,185.35,213.2
2,15.25,-5.362,-6.5855,-4.3805,-6.5615,101.93205,81.8,-20.18,-16.39,62.76,78.88,43.02,38.55,186.3,211.15
2,15.75,-5.305,-6.8275,-4.381,-6.6615,101.91335,81.55,-20.215,-17.594,51.675,60.94,30.15,26.985,187.75,211.2
2,16.25,-5.2155,-6.699,-4.3775,-6.7175,101.9005,81.85,-20.305,-16.91,41.21,50.13,21.82,18.055,184.25,210.1
2,16.75,-5.1175,-6.605,-4.339,-6.639,101.8848,82,-20.375,-21.01,26.165,29.015,7.0205,6.3605,185.85,210.5
2,17.25,-5.025,-6.552,-4.3045,-6.5095,101.8874,82.05,-20.34,-21.025,11.03,14.135,-1.8085,-1.1015,184,209.85
2,17.75,-5.011,-6.555,-4.302,-6.534,101.8885,82.15,-20.485,-21.031,6.8985,6.7405,-5.2705,-4.251,183.8,209.1
2,18.25,-4.978,-6.5875,-4.344,-6.5885,101.882,81.95,-21.005,-17.6145,6.766,6.6125,-6.1085,-5.023,183.2,209.45
2,18.75,-5.0415,-6.5605,-4.3855,-6.6695,101.8418,82.1,-21.1,-20.8705,6.502,1.7975,-6.335,-5.473,187.05,206.8
2,19.25,-5.089,-6.4915,-4.436,-6.6285,101.83905,82.25,-21.52,-19.869,6.344,0.2235,-6.427,-5.511,192.2,205.95
2,19.75,-5.161,-6.4025,-4.3975,-6.5395,101.8512,82.3,-21.76,-23.571,5.7675,0.0765,-6.659,-5.5925,190.45,206
2,20.25,-5.26,-6.3435,-4.3255,-6.4045,101.898,82.1,-21.495,-25.294,5.644,0.0805,-6.8845,-5.7165,190.3,206.5
2,20.75,-5.3405,-6.3115,-4.279,-6.3075,101.9147,82.25,-21.475,-22.204,6.0945,0.1725,-6.6845,-5.662,189.45,207.45
2,21.25,-5.415,-6.14,-4.2555,-6.3125,101.88185,82.1,-21.275,-22.4035,6.1385,0.09,-6.606,-5.6865,191.5,207.25
2,21.75,-5.4705,-6.0675,-4.196,-6.106,101.87705,82.1,-21.495,-21.3245,6.3475,0.1125,-6.8655,-5.6635,194.5,208.35
2,22.25,-5.443,-6.015,-4.1525,-6.0215,101.87485,82.15,-21.475,-21.8955,5.987,0.1165,-6.6415,-5.7285,190.95,208.6
2,22.75,-5.3855,-5.995,-4.106,-5.949,101.8751,81.95,-21.325,-23.0725,6.2665,0.109,-6.618,-5.773,190.9,207.6
2,23.25,-5.391,-6.067,-4.108,-5.97,101.89595,81.95,-21.295,-16.9755,5.9295,0.1145,-6.559,-5.7215,192.75,208.05
2,23.75,-5.3705,-6.1525,-4.0715,-6.0955,101.9078,82.05,-21,-20.6535,6.3055,0.0565,-6.633,-5.67,192.6,208.65
3,0.25,-6.0745,-8.1695,-4.44,-8.43,101.80535,81.05,-23.47,-27.956,0.004,0,-7.268,-5.9515,165.45,198.5
3,0.75,-6.1155,-8.0795,-4.425,-8.3,101.8176,81,-23.535,-27.838,0,0,-6.945,-5.613,163.65,198.45
3,1.25,-6.1365,-8.03,-4.429,-8.315,101.8321,80.65,-23.395,-26.354,0.015,0,-6.945,-5.555,169.45,198.9
3,1.75,-6.1475,-7.975,-4.442,-8.3,101.8225,80.65,-23.205,-25.519,0.004,0,-6.9735,-5.504,169.75,198.6
3,2.25,-6.144,-7.9235,-4.442,-8.16,101.814,80.95,-23.08,-25.999,0.0175,0,-7.129,-5.717,166.95,197.95
3,2.75,-6.061,-7.873,-4.428,-8.0705,101.8152,80.8,-23.22,-26.2345,0.01,0,-7.032,-5.7305,163.25,198.05
3,3.25,-6.015,-7.8535,-4.3895,-8.11,101.81485,80.9,-23.425,-24.41,0.015,0,-7.0695,-5.452,164.25,197.35
3,3.75,-5.9785,-8.002,-4.412,-8.13,101.81675,80.9,-23.41,-24.687,0.012,0,-6.8895,-5.7035,162.85,197.1
3,4.25,-5.9585,-8.18,-4.424,-8.14,101.8093,80.9,-23.375,-24.0255,0.01,0,-7.114,-5.688,168.8,196.75
3,4.75,-5.9515,-8.345,-4.442,-8.135,101.80945,80.8,-23.265,-26.0615,0.017,0,-7.161,-5.5725,167.6,199
3,5.25,-6.064,-8.47,-4.4795,-8.345,101.7969,80.7,-23.075,-25.577,0.019,0,-6.9835,-5.6665,167,198.85
3,5.75,-6.249,-8.625,-4.49,-8.5,101.79675,80.85,-23.075,-25.504,0.0345,0,-6.9495,-5.714,165.4,198.35
3,6.25,-6.3415,-8.77,-4.532,-8.635,101.807,81.05,-22.985,-24.88,1.2745,0,-6.8,-5.544,165.25,198.35
3,6.75,-6.3625,-8.9,-4.567,-8.74,101.81575,80.55,-23.1,-25.569,4.5065,0.015,-6.586,-5.3575,166.35,197.9
3,7.25,-6.369,-9.03,-4.6095,-8.835,101.81495,80.45,-23.215,-24.9835,6.7105,1.883,-5.8475,-4.725,165.45,197.95
3,7.75,-6.3855,-9.06,-4.6145,-8.94,101.80925,80.3,-23.13,-25.16,9.745,10.51,-2.572,-2.5335,163.85,199
3,8.25,-6.4775,-9.055,-4.6055,-9.045,101.7965,80.1,-22.81,-25.3455,32.07,30.535,11.17,11.09,165.35,199.05
3,8.75,-6.5675,-9.015,-4.6415,-9.125,101.7838,79.845,-22.84,-21.9295,60.29,69.72,29.895,33.815,161.75,199.35
3,9.25,-6.647,-8.87,-4.6605,-8.95,101.79175,79.305,-22.63,-19.1115,90.65,115.5,59.09,58.35,159.7,200.85
3,9.75,-6.677,-8.905,-4.6625,-8.95,101.78145,78.87,-22.205,-15.55,148.6,165.25,91.6,87.3,162.7,202.05
3,10.25,-6.677,-9.065,-4.7115,-8.9,101.7877,78.595,-21.425,-15.4,198,228.6,128.65,117.95,160.95,203.8
3,10.75,-6.6665,-9.065,-4.715,-8.81,101.7911,78.41,-21.55,-20.25,235.9,290.55,154.65,146.55,161.05,205
3,11.25,-6.697,-8.73,-4.66,-8.72,101.852,78,-21.09,-14.1,279.2,344.3,177.5,171.6,160,206.7
3,11.75,-6.607,-8.55,-4.663,-8.23,101.8469,77.67,-20.57,-7.6,320.6,390.6,211.9,196.2,161.3,207.2
3,12.25,-6.405,-8.34,-4.67,-7.813,101.8427,77.01,-20.45,-4.03,332.3,422.6,230.7,208.1,160.9,208.6
3,12.75,-6.27,-8.06,-4.711,-7.704,101.8526,76.78,-20.45,-5,401.2,443.7,244.8,220.1,161.6,209.1
3,13.25,-6.126,-7.455,-4.767,-7.507,101.818,76.5,-20.1,-6.1,435.3,452.2,254.1,225,161.8,210.8
3,13.75,-6.071,-7.003,-4.728,-7.582,101.7877,76.39,-19.9,-3.1,445.7,462.5,262.9,228.3,162.3,212.1
3,14.25,-6.037,-6.994,-4.656,-7.614,101.7943,75.95,-19.83,0.4,422.8,444.3,254.7,218.2,163.2,212.6
3,14.75,-5.8565,-7.013,-4.639,-7.5975,101.80655,76.14,-19.765,4.7,412.6,424.95,246,208.15,168.75,213.15
3,15.25,-5.732,-6.977,-4.618,-7.575,101.8253,76.66,-19.89,6.26,398.6,397.3,237.7,199.7,164.3,212.2
3,15.75,-5.566,-6.502,-4.548,-7.215,101.8276,76.83,-19.97,5.7,345,357.6,213.3,176.1,162.7,211.3
3,16.25,-5.418,-6.242,-4.506,-7.012,101.8151,77.05,-20.05,6.35,312.7,310.8,197.9,153.9,164.3,210.8
3,16.75,-5.7185,-6.4815,-4.473,-6.962,101.80745,77.325,-20.62,4.95,273.65,263.2,168.45,128.15,164.7,210.05
3,17.25,-5.7225,-6.5825,-4.495,-7.001,101.79745,77.74,-21.055,-0.56,218.55,197.8,128.55,98.1,164.35,207.65
3,17.75,-5.737,-6.7695,-4.4955,-7.0695,101.7806,78.585,-21.4,-6.57,142.05,129.1,86.85,67.11,164.35,206.85
3,18.25,-5.7585,-6.763,-4.4985,-7.216,101.76955,79.11,-21.57,-12.155,84.95,85.7,60.775,41.58,167.15,206.25
3,18.75,-5.7975,-6.7285,-4.5375,-7.39,101.7778,79.825,-21.955,-17.515,44.14,48.72,25.67,18.44,167,205.3
3,19.25,-5.764,-6.72,-4.5505,-7.3815,101.77815,80.5,-22.29,-25.6005,18.395,19.32,3.4805,2.4775,168.2,202.95
3,19.75,-5.719,-6.7715,-4.5505,-7.407,101.776,80.9,-22.42,-30.3,6.878,3.7715,-4.325,-2.7355,162.75,200.9
