DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
6,5.25,89.8,5.745,145.7476,13.34995
6,5.75,88.1,6.054,180.40465,16.92671
6,6.25,87.3,6.507,222.5232,21.77134
6,6.75,86.8,7.0135,265.443,24.36511
6,7.25,85.7,7.1895,339.1006,32.12352
6,7.75,83.8,7.6895,425.5963,38.44784
6,8.25,82.2,7.9465,502.4658,42.95857
6,8.75,79.4,8.21,596.9943,50.25164
6,9.25,77.75,8.53,656.6917,54.32536
6,9.75,75.3,8.88,746.53395,64.18546
6,10.25,74.1,9.25,805.4421,67.14818
6,10.75,72.7,9.58,889.6268,74.74448
6,11.25,70.35,9.68,930.6057,75.913055
6,11.75,68.1,10.155,987.6993,82.40853
6,12.25,66.45,10.86,1053.95,85.90234
6,12.75,64.9,11.42,1063.6985,84.863315
6,13.25,64,11.86,1132.421,90.96004
6,13.75,61.8,11.99,1132.0285,87.410725
6,14.25,61.05,12.41,1111.942,87.02988
6,14.75,59.7,12.765,1106.411,85.480625
6,15.25,59.05,12.91,1063.34,82.37233
6,15.75,58.8,12.955,1005.726,79.26446
6,16.25,58.05,12.99,932.242,72.85249
6,16.75,58.1,13.08,898.783,70.27028
6,17.25,58.65,13.03,851.3621,64.38856
6,17.75,58.85,12.94,757.2402,58.10495
6,18.25,59.35,12.93,668.1615,52.425
6,18.75,60.5,12.52,545.155,44.32699
6,19.25,62.25,12.31,466.9985,38.26919
6,19.75,63.8,12.17,399.8355,32.99353
6,20.25,65.05,11.69,336.3342,27.15257
6,20.75,67.8,11.06,275.0058,22.77091
6,21.25,70.35,10.7,216.6349,18.99975
6,21.75,72.9,10.11,183.719,15.20863
6,22.25,75.35,9.5,139.8258,11.87655
6,22.75,78.75,8.75,99.07182,8.688845
6,23.25,81.05,8.11,73.94649,6.424619
6,23.75,83.45,7.227,54.19428,4.468231
7,0.25,86.2,10.55,18.299875,1.352813
7,0.75,87.5,10.195,13.256,0.9332814
7,1.25,88.8,9.875,10.429115,0.7485581
7,1.75,89.7,9.505,9.706333,0.7070671
7,2.25,90.5,9.335,10.45262,0.7499262
7,2.75,90.4,9.105,13.80371,1.098323
7,3.25,90.75,9.05,19.372245,1.588779
7,3.75,90.35,9.15,29.10616,2.262866
7,4.25,89.95,9.14,44.838905,3.382975
7,4.75,89.65,9.385,65.02694,5.0523135
7,5.25,88.9,9.63,87.45211,6.6867815
7,5.75,87.6,10.01,126.12055,9.3993845
7,6.25,87.2,10.49,156.38915,11.8095075
7,6.75,85.7,10.99,199.1161,14.99923
7,7.25,82.95,11.32,262.62385,19.0978
7,7.75,81,11.645,302.83635,21.969385
7,8.25,79.75,11.88,357.8439,26.26222
7,8.75,78.75,12.24,392.11025,28.838285
7,9.25,77.7,12.56,456.821,32.73031
7,9.75,76.3,12.85,541.1345,37.750365
7,10.25,74.6,13,630.39595,43.26359
7,10.75,72.7,13.46,698.2727,48.13483
7,11.25,70.3,13.91,761.5856,54.256295
7,11.75,68.1,14.265,840.5258,61.98982
7,12.25,66.4,14.65,860.48305,60.87229
7,12.75,63.65,14.985,866.66585,59.60627
7,13.25,63.15,15.37,883.5528,63.463435
7,13.75,61.5,15.52,855.9492,61.39117
7,14.25,60.65,15.71,814.3497,57.979425
7,14.75,60.25,15.86,856.6532,58.66255
7,15.25,59.1,15.95,840.74635,59.084465
7,15.75,58.45,16.185,842.60635,57.994735
7,16.25,58.15,16.05,775.6214,54.01319
7,16.75,58.6,16.26,688.62315,50.43341
7,17.25,58.9,16.35,658.62525,46.228505
7,17.75,59.4,15.91,590.236765,41.289685
7,18.25,60.2,15.905,476.5972,34.47485
